question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_9_eng_b_grammar_0086,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Gerund and Infinitive,Apply,I cannot help ______ at the joke.,laugh,laughed,laughing,to laughed,C | laughing,Hard,1,ELITE,1
q_9_eng_b_grammar_0087,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Modal Verb,Apply,You must ______ the rules.,obey,obeyed,obeys,obeying,A | obey,Easy,1,ELITE,1
q_9_eng_b_grammar_0088,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Causative Verb,Apply,I had the mechanic ______ my car.,repaired,repair,repairing,repairs,B | repair,Hard,1,ELITE,1
q_9_eng_b_grammar_0089,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Future in Time Clause,Apply,She will finish her work before the guests ______.,will arrive,arrive,arrived,have arrived,B | arrive,Hard,1,ELITE,1
q_9_eng_b_grammar_0090,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Past Habit,Apply,He ______ walk to school when he was young.,used to,is used to,use to,was used,A | used to,Medium,1,ULTRA,1
q_9_eng_b_grammar_0091,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Verb after Let,Apply,Let him ______ the work.,does,do,did,doing,B | do,Easy,1,ULTRA,1
q_9_eng_b_grammar_0092,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Verb after Had Better,Apply,You had better ______ now.,leave,left,leaving,to leave,A | leave,Hard,1,ELITE,1
q_9_eng_b_grammar_0093,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Verb after Would Rather,Apply,I would rather ______ at home.,stay,stayed,staying,to stay,A | stay,Hard,1,ELITE,1
q_9_eng_b_grammar_0094,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Sequence of Tenses,Apply,He said that he ______ busy then.,is,was,will be,has been,B | was,Hard,1,ELITE,1
q_9_eng_b_grammar_0095,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Passive Construction,Apply,A new hospital ______ next year.,will build,will be built,is built,has built,B | will be built,Hard,1,ELITE,1
q_9_eng_b_grammar_0096,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Subject-Verb Agreement,Apply,Bread and butter ______ my usual breakfast.,are,were,is,have,C | is,Hard,1,ELITE,1
q_9_eng_b_grammar_0097,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Subject-Verb Agreement,Apply,"The principal, along with the teachers, ______ present.",were,are,was,have,C | was,Hard,1,ELITE,1
q_9_eng_b_grammar_0098,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Question Tag Context,Apply,Everyone ______ ready for the test.,are,is,were,have,B | is,Medium,1,ULTRA,1
q_9_eng_b_grammar_0099,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Relative Clause Agreement,Apply,The boys who ______ here are my cousins.,lives,live,is living,has lived,B | live,Hard,1,ELITE,1
q_9_eng_b_grammar_0100,1,ENGLISH_B | Objective Grammar | Correct Form of Verb | Mind Sharp | Subject-Verb Agreement,Apply,Neither the teacher nor the students ______ ready.,is,are,was,has,B | are,Hard,1,ELITE,1
TOPIC_SEP,1,ENGLISH_B | Objective Grammar | Choose the Correct Grammar Option | Past-Paper Verified and Model-Paper Archive,Topic,,,,,,,,,,1
q_9_eng_b_grammar_0101,1,ENGLISH_B | Objective Grammar | Grammar Option | Past Paper | 2012-13 Model Paper,Analyze,I soon returned home because I was upset. This is a ______.,simple sentence,compound sentence,complex sentence,imperative sentence,C | complex sentence,Hard,1,ELITE,1
q_9_eng_b_grammar_0102,1,ENGLISH_B | Objective Grammar | Grammar Option | Past Paper | 2012-13 Model Paper,Analyze,[[Smoking]] is injurious to health. The underlined word is a ______.,present participle,gerund,infinitive,past participle,B | gerund,Medium,1,ELITE,1
q_9_eng_b_grammar_0103,1,ENGLISH_B | Objective Grammar | Grammar Option | Past Paper | 2012-13 Model Paper,Analyze,[[Patience]] is a/an ______ noun.,collective,uncountable,abstract,material,C | abstract,Medium,1,ELITE,1
q_9_eng_b_grammar_0104,1,ENGLISH_B | Objective Grammar | Grammar Option | Past Paper | 2012-13 Model Paper,Analyze,You can put it [[wherever you like]]. The underlined clause is a/an ______.,adjective clause,noun clause,adverbial clause,prepositional clause,C | adverbial clause,Hard,1,ELITE,1
q_9_eng_b_grammar_0105,1,ENGLISH_B | Objective Grammar | Grammar Option | Past Paper | Sahiwal Board Objective Archive,Analyze,[[His House]] is an example of ______.,alliteration,personification,metaphor,simile,A | alliteration,Medium,1,ELITE,1
q_9_eng_b_grammar_0106,1,ENGLISH_B | Objective Grammar | Grammar Option | Past Paper | Sahiwal Board Objective Archive,Analyze,[[Valour]] is a/an ______ noun.,material,countable,abstract,collective,C | abstract,Medium,1,ELITE,1
q_9_eng_b_grammar_0107,1,ENGLISH_B | Objective Grammar | Grammar Option | Past Paper | Sahiwal Board Objective Archive,Analyze,We are studying ______ English.,a,an,the,no article,D | no article,Medium,1,ULTRA,1
q_9_eng_b_grammar_0108,1,ENGLISH_B | Objective Grammar | Grammar Option | Past Paper | Sahiwal Board Objective Archive,Analyze,Which of the following is a phrase?,He is well,It is of no use,In an unwise manner,The bell hangs there,C | In an unwise manner,Hard,1,ELITE,1
q_9_eng_b_grammar_0109,1,ENGLISH_B | Objective Grammar | Grammar Option | Past Paper | Sahiwal Board Objective Archive,Analyze,He is fond of [[cooking]]. The underlined word is a ______.,infinitive,gerund,present participle,past participle,B | gerund,Medium,1,ELITE,1
q_9_eng_b_grammar_0110,1,ENGLISH_B | Objective Grammar | Grammar Option | Past Paper | 2017 Faisalabad Board,Analyze,Night came on and the room grew dark. This is a ______ sentence.,simple,compound,complex,imperative,B | compound,Hard,1,ELITE,1
q_9_eng_b_grammar_0111,1,ENGLISH_B | Objective Grammar | Grammar Option | Past Paper | 2017 Faisalabad Board,Analyze,Did Sara behave [[well]]? The underlined word is an ______.,noun,pronoun,adjective,adverb,D | adverb,Medium,1,ULTRA,1
q_9_eng_b_grammar_0112,1,ENGLISH_B | Objective Grammar | Grammar Option | Past Paper | 2017 Faisalabad Board,Analyze,She faced every calamity with [[valour]]. The underlined word is an ______ noun.,proper,common,collective,abstract,D | abstract,Medium,1,ELITE,1
q_9_eng_b_grammar_0113,1,ENGLISH_B | Objective Grammar | Grammar Option | Past Paper | 2018 Lahore Board,Analyze,"If he works hard, he will pass. It is a ______ conditional sentence.",Type I,Type II,Type III,zero,A | Type I,Medium,1,ELITE,1
q_9_eng_b_grammar_0114,1,ENGLISH_B | Objective Grammar | Grammar Option | Past Paper | 2018 Lahore Board,Analyze,He is a lion in fight. This sentence contains a ______.,simile,metaphor,imagery,alliteration,B | metaphor,Medium,1,ELITE,1
q_9_eng_b_grammar_0115,1,ENGLISH_B | Objective Grammar | Grammar Option | Past Paper | 2018 Lahore Board,Analyze,"He is rich, yet he is not happy. It is a ______ sentence.",simple,compound,complex,compound-complex,B | compound,Hard,1,ELITE,1
q_9_eng_b_grammar_0116,1,ENGLISH_B | Objective Grammar | Grammar Option | Past Paper | 2018 Lahore Board,Analyze,He is [[the]] tallest in class. The underlined word is a/an ______.,definite article,indefinite article,preposition,pronoun,A | definite article,Easy,1,ULTRA,1
q_9_eng_b_grammar_0117,1,ENGLISH_B | Objective Grammar | Grammar Option | Past Paper | 2021 Lahore ALP,Analyze,How cold the night is! This is an ______ sentence.,interrogative,assertive,imperative,exclamatory,D | exclamatory,Easy,1,ULTRA,1
q_9_eng_b_grammar_0118,1,ENGLISH_B | Objective Grammar | Grammar Option | Past Paper | 2021 Lahore ALP,Analyze,The boy [[laughs]] loudly. The underlined word is a/an ______.,intransitive verb,regular verb,transitive verb,irregular verb,A | intransitive verb,Hard,1,ELITE,1
q_9_eng_b_grammar_0119,1,ENGLISH_B | Objective Grammar | Grammar Option | Past Paper | 2022 Sargodha Board,Analyze,This is a very ______ seminar.,information,informative,informed,informingly,B | informative,Easy,1,ULTRA,1
q_9_eng_b_grammar_0120,1,ENGLISH_B | Objective Grammar | Grammar Option | Past Paper | 2022 Sargodha Board,Analyze,He began knocking ______ the door violently.,on,into,about,at,D | at,Medium,1,ELITE,1
