question_hash,active,topic,question_type,question_style,tense,question,answer,difficulty,marks,weightage,smart_syllabus,source_reference
q_9_eng_b_urdu_eng_0314,1,ENGLISH_B | Urdu to English Translation | It Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,It Sentences,پرسوں جمعہ تھا۔,It was Friday the day before yesterday.,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0315,1,ENGLISH_B | Urdu to English Translation | It Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,It Sentences,دوپہر ہونے والی ہے۔,It is going to be noon.,Easy,1,PRO,1,Expanded Mind-Sharp Practice
sep_9_eng_b_urdu_eng_004,1,ENGLISH_B | Urdu to English Translation | There Sentences | Heading,Topic,topic_separator,There Sentences,,,,,,1,
sep_9_eng_b_urdu_eng_005,1,ENGLISH_B | Urdu to English Translation | There Sentences | Past Paper,Topic,topic_separator,There Sentences,,,,,,1,
q_9_eng_b_urdu_eng_0015,1,ENGLISH_B | Urdu to English Translation | There Sentences | Past Paper | 2015 Evening,Long,translate_to_english,There Sentences,ہال میں کتنے امیدوار ہیں؟,How many candidates are there in the hall?,Hard,1,ULTRA,1,Past Paper | 2015 Evening
q_9_eng_b_urdu_eng_0016,1,ENGLISH_B | Urdu to English Translation | There Sentences | Past Paper | 2016,Long,translate_to_english,There Sentences,ہمارے باغ میں آم کے درخت تھے۔,There were mango trees in our garden.,Medium,1,ULTRA,1,Past Paper | 2016
sep_9_eng_b_urdu_eng_006,1,ENGLISH_B | Urdu to English Translation | There Sentences | Mind-Sharp Practice,Topic,topic_separator,There Sentences,,,,,,1,
q_9_eng_b_urdu_eng_0017,1,ENGLISH_B | Urdu to English Translation | There Sentences | Board-Pattern Practice,Long,translate_to_english,There Sentences,کمرے میں ایک میز ہے۔,There is a table in the room.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0018,1,ENGLISH_B | Urdu to English Translation | There Sentences | Board-Pattern Practice,Long,translate_to_english,There Sentences,باغ میں بہت سے پھول ہیں۔,There are many flowers in the garden.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0019,1,ENGLISH_B | Urdu to English Translation | There Sentences | Board-Pattern Practice,Long,translate_to_english,There Sentences,گاؤں میں ایک پرانا کنواں تھا۔,There was an old well in the village.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0020,1,ENGLISH_B | Urdu to English Translation | There Sentences | Board-Pattern Practice,Long,translate_to_english,There Sentences,میدان میں بہت سے کھلاڑی تھے۔,There were many players in the field.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0021,1,ENGLISH_B | Urdu to English Translation | There Sentences | Board-Pattern Practice,Long,translate_to_english,There Sentences,آج سکول میں چھٹی ہے۔,There is a holiday at school today.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0022,1,ENGLISH_B | Urdu to English Translation | There Sentences | Board-Pattern Practice,Long,translate_to_english,There Sentences,اس سوال میں کوئی غلطی نہیں ہے۔,There is no mistake in this question.,Medium,1,ULTRA,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0023,1,ENGLISH_B | Urdu to English Translation | There Sentences | Board-Pattern Practice,Long,translate_to_english,There Sentences,سڑک پر بہت زیادہ ٹریفک تھی۔,There was heavy traffic on the road.,Medium,1,ULTRA,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0024,1,ENGLISH_B | Urdu to English Translation | There Sentences | Board-Pattern Practice,Long,translate_to_english,There Sentences,کمرے میں کوئی نہیں تھا۔,There was no one in the room.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0025,1,ENGLISH_B | Urdu to English Translation | There Sentences | Board-Pattern Practice,Long,translate_to_english,There Sentences,اگلے ہفتے ایک اجلاس ہوگا۔,There will be a meeting next week.,Medium,1,ULTRA,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0026,1,ENGLISH_B | Urdu to English Translation | There Sentences | Board-Pattern Practice,Long,translate_to_english,There Sentences,اس شہر میں کئی تاریخی عمارتیں ہیں۔,There are several historical buildings in this city.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0027,1,ENGLISH_B | Urdu to English Translation | There Sentences | Board-Pattern Practice,Long,translate_to_english,There Sentences,اس معاملے میں کوئی شک نہیں ہے۔,There is no doubt about this matter.,Medium,1,ULTRA,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0316,1,ENGLISH_B | Urdu to English Translation | There Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,There Sentences,کمرے میں ایک پنکھا ہے۔,There is a fan in the room.,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0317,1,ENGLISH_B | Urdu to English Translation | There Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,There Sentences,باغ میں ایک خوبصورت فوارہ ہے۔,There is a beautiful fountain in the garden.,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0318,1,ENGLISH_B | Urdu to English Translation | There Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,There Sentences,میز پر کوئی کتاب نہیں ہے۔,There is no book on the table.,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0319,1,ENGLISH_B | Urdu to English Translation | There Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,There Sentences,میدان میں کچھ بچے تھے۔,There were some children in the playground.,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0320,1,ENGLISH_B | Urdu to English Translation | There Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,There Sentences,گاؤں میں ایک ہسپتال ہوگا۔,There will be a hospital in the village.,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0321,1,ENGLISH_B | Urdu to English Translation | There Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,There Sentences,کیا گلاس میں دودھ ہے؟,Is there any milk in the glass?,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0322,1,ENGLISH_B | Urdu to English Translation | There Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,There Sentences,سڑک پر اتنا شور کیوں تھا؟,Why was there so much noise on the road?,Easy,1,PRO,1,Expanded Mind-Sharp Practice
sep_9_eng_b_urdu_eng_007,1,ENGLISH_B | Urdu to English Translation | Is / Am / Are Sentences | Heading,Topic,topic_separator,Is / Am / Are Sentences,,,,,,1,
sep_9_eng_b_urdu_eng_008,1,ENGLISH_B | Urdu to English Translation | Is / Am / Are Sentences | Past Paper,Topic,topic_separator,Is / Am / Are Sentences,,,,,,1,
q_9_eng_b_urdu_eng_0028,1,ENGLISH_B | Urdu to English Translation | Is / Am / Are Sentences | Past Paper | 2014,Long,translate_to_english,Is / Am / Are Sentences,آج بہت سے طالب علم کیوں غیر حاضر ہیں؟,Why are so many students absent today?,Hard,1,ULTRA,1,Past Paper | 2014
q_9_eng_b_urdu_eng_0029,1,ENGLISH_B | Urdu to English Translation | Is / Am / Are Sentences | Past Paper | 2015 Evening,Long,translate_to_english,Is / Am / Are Sentences,ہر پاکستانی محب وطن ہے۔,Every Pakistani is patriotic.,Medium,1,ULTRA,1,Past Paper | 2015 Evening
q_9_eng_b_urdu_eng_0030,1,ENGLISH_B | Urdu to English Translation | Is / Am / Are Sentences | Past Paper | 2016,Long,translate_to_english,Is / Am / Are Sentences,ہم سب مسلمان ہیں۔,We are all Muslims.,Medium,1,ULTRA,1,Past Paper | 2016
sep_9_eng_b_urdu_eng_009,1,ENGLISH_B | Urdu to English Translation | Is / Am / Are Sentences | Mind-Sharp Practice,Topic,topic_separator,Is / Am / Are Sentences,,,,,,1,
q_9_eng_b_urdu_eng_0031,1,ENGLISH_B | Urdu to English Translation | Is / Am / Are Sentences | Board-Pattern Practice,Long,translate_to_english,Is / Am / Are Sentences,میں ایک طالب علم ہوں۔,I am a student.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0032,1,ENGLISH_B | Urdu to English Translation | Is / Am / Are Sentences | Board-Pattern Practice,Long,translate_to_english,Is / Am / Are Sentences,ہم سب پاکستانی ہیں۔,We are all Pakistanis.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0033,1,ENGLISH_B | Urdu to English Translation | Is / Am / Are Sentences | Board-Pattern Practice,Long,translate_to_english,Is / Am / Are Sentences,وہ بہت ذہین ہے۔,He is very intelligent.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0034,1,ENGLISH_B | Urdu to English Translation | Is / Am / Are Sentences | Board-Pattern Practice,Long,translate_to_english,Is / Am / Are Sentences,یہ کتاب مفید ہے۔,This book is useful.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0035,1,ENGLISH_B | Urdu to English Translation | Is / Am / Are Sentences | Board-Pattern Practice,Long,translate_to_english,Is / Am / Are Sentences,وہ آج غیر حاضر ہیں۔,They are absent today.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0036,1,ENGLISH_B | Urdu to English Translation | Is / Am / Are Sentences | Board-Pattern Practice,Long,translate_to_english,Is / Am / Are Sentences,کیا تم تیار ہو؟,Are you ready?,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0037,1,ENGLISH_B | Urdu to English Translation | Is / Am / Are Sentences | Board-Pattern Practice,Long,translate_to_english,Is / Am / Are Sentences,میں اس فیصلے سے خوش نہیں ہوں۔,I am not happy with this decision.,Medium,1,ULTRA,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0038,1,ENGLISH_B | Urdu to English Translation | Is / Am / Are Sentences | Board-Pattern Practice,Long,translate_to_english,Is / Am / Are Sentences,یہ سوال بہت آسان ہے۔,This question is very easy.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0039,1,ENGLISH_B | Urdu to English Translation | Is / Am / Are Sentences | Board-Pattern Practice,Long,translate_to_english,Is / Am / Are Sentences,بچے میدان میں ہیں۔,The children are in the playground.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0040,1,ENGLISH_B | Urdu to English Translation | Is / Am / Are Sentences | Board-Pattern Practice,Long,translate_to_english,Is / Am / Are Sentences,کیا وہ تمہارا بھائی ہے؟,Is he your brother?,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0041,1,ENGLISH_B | Urdu to English Translation | Is / Am / Are Sentences | Board-Pattern Practice,Long,translate_to_english,Is / Am / Are Sentences,آپ کیوں پریشان ہیں؟,Why are you worried?,Medium,1,ULTRA,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0042,1,ENGLISH_B | Urdu to English Translation | Is / Am / Are Sentences | Board-Pattern Practice,Long,translate_to_english,Is / Am / Are Sentences,میرا دوست سچا اور ایماندار ہے۔,My friend is truthful and honest.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0323,1,ENGLISH_B | Urdu to English Translation | Is / Am / Are Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,Is / Am / Are Sentences,میں تیار ہوں۔,I am ready.,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0324,1,ENGLISH_B | Urdu to English Translation | Is / Am / Are Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,Is / Am / Are Sentences,وہ ایماندار ہے۔,He is honest.,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0325,1,ENGLISH_B | Urdu to English Translation | Is / Am / Are Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,Is / Am / Are Sentences,وہ مصروف ہیں۔,They are busy.,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0326,1,ENGLISH_B | Urdu to English Translation | Is / Am / Are Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,Is / Am / Are Sentences,کیا وہ غیر حاضر ہے؟,Is she absent?,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0327,1,ENGLISH_B | Urdu to English Translation | Is / Am / Are Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,Is / Am / Are Sentences,ہم لاپرواہ نہیں ہیں۔,We are not careless.,Easy,1,PRO,1,Expanded Mind-Sharp Practice
sep_9_eng_b_urdu_eng_010,1,ENGLISH_B | Urdu to English Translation | Was / Were Sentences | Heading,Topic,topic_separator,Was / Were Sentences,,,,,,1,
sep_9_eng_b_urdu_eng_011,1,ENGLISH_B | Urdu to English Translation | Was / Were Sentences | Past Paper,Topic,topic_separator,Was / Were Sentences,,,,,,1,
q_9_eng_b_urdu_eng_0043,1,ENGLISH_B | Urdu to English Translation | Was / Were Sentences | Past Paper | 2013 Evening,Long,translate_to_english,Was / Were Sentences,کیا امیر آدمی غریبوں پر مہربان تھا؟,Was the rich man kind to the poor?,Hard,1,ULTRA,1,Past Paper | 2013 Evening
sep_9_eng_b_urdu_eng_012,1,ENGLISH_B | Urdu to English Translation | Was / Were Sentences | Mind-Sharp Practice,Topic,topic_separator,Was / Were Sentences,,,,,,1,
q_9_eng_b_urdu_eng_0044,1,ENGLISH_B | Urdu to English Translation | Was / Were Sentences | Board-Pattern Practice,Long,translate_to_english,Was / Were Sentences,میں کل گھر پر تھا۔,I was at home yesterday.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0045,1,ENGLISH_B | Urdu to English Translation | Was / Were Sentences | Board-Pattern Practice,Long,translate_to_english,Was / Were Sentences,وہ بہت تھکا ہوا تھا۔,He was very tired.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0046,1,ENGLISH_B | Urdu to English Translation | Was / Were Sentences | Board-Pattern Practice,Long,translate_to_english,Was / Were Sentences,ہم امتحان کے لیے تیار تھے۔,We were ready for the examination.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0047,1,ENGLISH_B | Urdu to English Translation | Was / Were Sentences | Board-Pattern Practice,Long,translate_to_english,Was / Were Sentences,بچے باغ میں تھے۔,The children were in the garden.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0048,1,ENGLISH_B | Urdu to English Translation | Was / Were Sentences | Board-Pattern Practice,Long,translate_to_english,Was / Were Sentences,کیا وہ کل سکول میں تھا؟,Was he at school yesterday?,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0049,1,ENGLISH_B | Urdu to English Translation | Was / Were Sentences | Board-Pattern Practice,Long,translate_to_english,Was / Were Sentences,تم اتنے خاموش کیوں تھے؟,Why were you so quiet?,Medium,1,ULTRA,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0050,1,ENGLISH_B | Urdu to English Translation | Was / Were Sentences | Board-Pattern Practice,Long,translate_to_english,Was / Were Sentences,موسم بہت سرد تھا۔,The weather was very cold.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0051,1,ENGLISH_B | Urdu to English Translation | Was / Were Sentences | Board-Pattern Practice,Long,translate_to_english,Was / Were Sentences,وہ لوگ ہمارے مہمان تھے۔,They were our guests.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0052,1,ENGLISH_B | Urdu to English Translation | Was / Were Sentences | Board-Pattern Practice,Long,translate_to_english,Was / Were Sentences,میں اس وقت مصروف نہیں تھا۔,I was not busy at that time.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0053,1,ENGLISH_B | Urdu to English Translation | Was / Were Sentences | Board-Pattern Practice,Long,translate_to_english,Was / Were Sentences,کیا سب دروازے بند تھے؟,Were all the doors closed?,Medium,1,ULTRA,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0054,1,ENGLISH_B | Urdu to English Translation | Was / Were Sentences | Board-Pattern Practice,Long,translate_to_english,Was / Were Sentences,سڑکیں بارش کی وجہ سے گیلی تھیں۔,The roads were wet because of the rain.,Medium,1,ULTRA,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0055,1,ENGLISH_B | Urdu to English Translation | Was / Were Sentences | Board-Pattern Practice,Long,translate_to_english,Was / Were Sentences,اس کا جواب درست نہیں تھا۔,His answer was not correct.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0328,1,ENGLISH_B | Urdu to English Translation | Was / Were Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,Was / Were Sentences,علی کل بیمار تھا۔,Ali was ill yesterday.,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0329,1,ENGLISH_B | Urdu to English Translation | Was / Were Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,Was / Were Sentences,ہم گھر پر تھے۔,We were at home.,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0330,1,ENGLISH_B | Urdu to English Translation | Was / Were Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,Was / Were Sentences,کیا دروازہ کھلا تھا؟,Was the door open?,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0331,1,ENGLISH_B | Urdu to English Translation | Was / Were Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,Was / Were Sentences,وہ تھکے ہوئے نہیں تھے۔,They were not tired.,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0332,1,ENGLISH_B | Urdu to English Translation | Was / Were Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,Was / Were Sentences,تم خاموش کیوں تھے؟,Why were you silent?,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0333,1,ENGLISH_B | Urdu to English Translation | Was / Were Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,Was / Were Sentences,کتابیں نئی تھیں۔,The books were new.,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0334,1,ENGLISH_B | Urdu to English Translation | Was / Were Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,Was / Were Sentences,موسم سرد تھا۔,The weather was cold.,Easy,1,PRO,1,Expanded Mind-Sharp Practice
sep_9_eng_b_urdu_eng_013,1,ENGLISH_B | Urdu to English Translation | Has / Have Sentences | Heading,Topic,topic_separator,Has / Have Sentences,,,,,,1,
sep_9_eng_b_urdu_eng_014,1,ENGLISH_B | Urdu to English Translation | Has / Have Sentences | Past Paper,Topic,topic_separator,Has / Have Sentences,,,,,,1,
q_9_eng_b_urdu_eng_0056,1,ENGLISH_B | Urdu to English Translation | Has / Have Sentences | Past Paper | 2018 Evening,Long,translate_to_english,Has / Have Sentences,ان عورتوں کے پاس زیور نہیں ہیں۔,Those women have no jewellery.,Medium,1,ULTRA,1,Past Paper | 2018 Evening
q_9_eng_b_urdu_eng_0057,1,ENGLISH_B | Urdu to English Translation | Has / Have Sentences | Past Paper | 2015 Evening,Long,translate_to_english,Has / Have Sentences,تمہارے پاس قلم کیوں نہیں ہے؟,Why do you not have a pen?,Hard,1,ULTRA,1,Past Paper | 2015 Evening
sep_9_eng_b_urdu_eng_015,1,ENGLISH_B | Urdu to English Translation | Has / Have Sentences | Mind-Sharp Practice,Topic,topic_separator,Has / Have Sentences,,,,,,1,
q_9_eng_b_urdu_eng_0058,1,ENGLISH_B | Urdu to English Translation | Has / Have Sentences | Board-Pattern Practice,Long,translate_to_english,Has / Have Sentences,میرے پاس ایک نئی سائیکل ہے۔,I have a new bicycle.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0059,1,ENGLISH_B | Urdu to English Translation | Has / Have Sentences | Board-Pattern Practice,Long,translate_to_english,Has / Have Sentences,اس کے پاس بہت سی کتابیں ہیں۔,He has many books.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0060,1,ENGLISH_B | Urdu to English Translation | Has / Have Sentences | Board-Pattern Practice,Long,translate_to_english,Has / Have Sentences,ہمارے پاس کافی وقت ہے۔,We have enough time.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0061,1,ENGLISH_B | Urdu to English Translation | Has / Have Sentences | Board-Pattern Practice,Long,translate_to_english,Has / Have Sentences,کیا تمہارے پاس قلم ہے؟,Do you have a pen?,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0062,1,ENGLISH_B | Urdu to English Translation | Has / Have Sentences | Board-Pattern Practice,Long,translate_to_english,Has / Have Sentences,اس کے دو بھائی ہیں۔,He has two brothers.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0063,1,ENGLISH_B | Urdu to English Translation | Has / Have Sentences | Board-Pattern Practice,Long,translate_to_english,Has / Have Sentences,میرے پاس کوئی پیسہ نہیں ہے۔,I have no money.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0064,1,ENGLISH_B | Urdu to English Translation | Has / Have Sentences | Board-Pattern Practice,Long,translate_to_english,Has / Have Sentences,کیا اس کے پاس شناختی کارڈ ہے؟,Does he have an identity card?,Medium,1,ULTRA,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0065,1,ENGLISH_B | Urdu to English Translation | Has / Have Sentences | Board-Pattern Practice,Long,translate_to_english,Has / Have Sentences,اس گاڑی کے چار دروازے ہیں۔,This car has four doors.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0066,1,ENGLISH_B | Urdu to English Translation | Has / Have Sentences | Board-Pattern Practice,Long,translate_to_english,Has / Have Sentences,ہمارے سکول میں ایک بڑی لائبریری ہے۔,Our school has a large library.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0067,1,ENGLISH_B | Urdu to English Translation | Has / Have Sentences | Board-Pattern Practice,Long,translate_to_english,Has / Have Sentences,تمہارے پاس اتنا کام کیوں ہے؟,Why do you have so much work?,Medium,1,ULTRA,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0068,1,ENGLISH_B | Urdu to English Translation | Has / Have Sentences | Board-Pattern Practice,Long,translate_to_english,Has / Have Sentences,اس مکان میں پانچ کمرے ہیں۔,This house has five rooms.,Easy,1,PRO,1,Board-Pattern Practice
