question_hash,active,topic,question_type,question_style,tense,voice,question,difficulty,marks,weightage,smart_syllabus
q_9_eng_b_voice_0038,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,Who writes these reports for the office?,Hard,1,ELITE,1
q_9_eng_b_voice_0039,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,Who cleans the laboratory after school?,Hard,1,ELITE,1
q_9_eng_b_voice_0040,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Active,Who delivers the letters in this area?,Hard,1,ELITE,1
q_9_eng_b_voice_0041,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Passive,The meeting is cancelled by the administration because of the rain.,Easy,1,PRO,1
q_9_eng_b_voice_0042,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Passive,The loan is offered by the bank to the farmer.,Easy,1,PRO,1
q_9_eng_b_voice_0043,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Passive,The food packets are distributed by the charity among the families.,Easy,1,PRO,1
q_9_eng_b_voice_0044,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Passive,The hospitals are built by the government in the district.,Easy,1,PRO,1
q_9_eng_b_voice_0045,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Passive,The workers are hired by the company for the project.,Easy,1,PRO,1
q_9_eng_b_voice_0046,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Passive,The scholarships are awarded by the school to deserving students.,Easy,1,PRO,1
q_9_eng_b_voice_0047,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Passive,The trees are planted by the council along the road.,Easy,1,PRO,1
q_9_eng_b_voice_0048,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Passive,The traffic is stopped by the police near the market.,Easy,1,PRO,1
q_9_eng_b_voice_0049,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Passive,The performer is applauded by the audience after the show.,Easy,1,PRO,1
q_9_eng_b_voice_0050,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Passive,The bill is paid by the customer online.,Easy,1,PRO,1
q_9_eng_b_voice_0051,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Passive,The problem is solved by the student without help.,Easy,1,PRO,1
q_9_eng_b_voice_0052,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Passive,The data is collected by the researcher from the villages.,Easy,1,PRO,1
q_9_eng_b_voice_0053,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Passive,The pictures are taken by the photographer at the event.,Easy,1,PRO,1
q_9_eng_b_voice_0054,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Passive,The bread is sold by the baker in the morning.,Easy,1,PRO,1
q_9_eng_b_voice_0055,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Passive,The cars are produced by the factory for the market.,Easy,1,PRO,1
q_9_eng_b_voice_0056,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Passive,The artifacts are displayed by the museum in the gallery.,Easy,1,PRO,1
q_9_eng_b_voice_0057,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Passive,The crops are harvested by the farmers in autumn.,Easy,1,PRO,1
q_9_eng_b_voice_0058,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Passive,The report is submitted by the team before the deadline.,Easy,1,PRO,1
q_9_eng_b_voice_0059,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Passive,The minutes are recorded by the secretary during the meeting.,Easy,1,PRO,1
q_9_eng_b_voice_0060,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Passive,The parcels are carried by the courier to the office.,Easy,1,PRO,1
q_9_eng_b_voice_0061,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Passive,The operation is not performed by the surgeon successfully.,Medium,1,ULTRA,1
q_9_eng_b_voice_0062,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Passive,The animals are not rescued by the volunteers from the flood.,Medium,1,ULTRA,1
q_9_eng_b_voice_0063,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Passive,The question is not asked by the teacher during the lesson.,Medium,1,ULTRA,1
q_9_eng_b_voice_0064,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Passive,The questions are not answered by the students confidently.,Medium,1,ULTRA,1
q_9_eng_b_voice_0065,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Passive,The law is not enforced by the government strictly.,Medium,1,ULTRA,1
q_9_eng_b_voice_0066,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Passive,Is the manuscript reviewed by the editor carefully?,Medium,1,ULTRA,1
q_9_eng_b_voice_0067,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Passive,Is the document translated by the translator into English?,Medium,1,ULTRA,1
q_9_eng_b_voice_0068,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Passive,Is the software updated by the technician on the computers?,Medium,1,ULTRA,1
q_9_eng_b_voice_0069,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Passive,Are the candidates selected by the committee for the interview?,Medium,1,ULTRA,1
q_9_eng_b_voice_0070,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Passive,Is the complaint investigated by the police quickly?,Medium,1,ULTRA,1
q_9_eng_b_voice_0071,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Passive,By whom is English taught in this class?,Hard,1,ELITE,1
q_9_eng_b_voice_0072,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Passive,By whom is the attendance checked every morning?,Hard,1,ELITE,1
q_9_eng_b_voice_0073,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Passive,By whom are these reports written for the office?,Hard,1,ELITE,1
q_9_eng_b_voice_0074,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Passive,By whom is the laboratory cleaned after school?,Hard,1,ELITE,1
q_9_eng_b_voice_0075,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense,Grammar,active_passive,Present Indefinite Tense,Passive,By whom are the letters delivered in this area?,Hard,1,ELITE,1
sep_9_eng_b_voice_past_001,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense | Past Paper,Topic,topic_separator,Present Indefinite Tense,,,,,,1
q_9_eng_b_voice_past_0001,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense | Past Paper | 2021 Morning,Grammar,active_passive,Present Indefinite Tense,Active,All students like him.,Easy,1,PRO,1
q_9_eng_b_voice_past_0002,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense | Past Paper | 2015 Morning,Grammar,active_passive,Present Indefinite Tense,Active,I wear new clothes.,Easy,1,PRO,1
q_9_eng_b_voice_past_0003,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense | Past Paper | 2013 Morning; 2020 Evening,Grammar,active_passive,Present Indefinite Tense,Active,She likes apples.,Easy,1,ULTRA,1
q_9_eng_b_voice_past_0004,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense | Past Paper | 2013 Evening,Grammar,active_passive,Present Indefinite Tense,Active,She loves her cat very much.,Easy,1,PRO,1
q_9_eng_b_voice_past_0005,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense | Past Paper | 2024 Morning,Grammar,active_passive,Present Indefinite Tense,Active,The mother loves the children.,Easy,1,PRO,1
q_9_eng_b_voice_past_0006,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense | Past Paper | 2021 Morning,Grammar,active_passive,Present Indefinite Tense,Active,We do not read the lesson.,Medium,1,PRO,1
q_9_eng_b_voice_past_0007,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense | Past Paper | 2016 Evening,Grammar,active_passive,Present Indefinite Tense,Active,We do not run this factory.,Medium,1,PRO,1
q_9_eng_b_voice_0001,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense | Past Paper | 2015 Evening; 2016 Morning,Grammar,active_passive,Present Indefinite Tense,Active,We use milk for making cheese.,Easy,1,ULTRA,1
q_9_eng_b_voice_past_0008,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense | Past Paper | 2015 Morning,Grammar,active_passive,Present Indefinite Tense,Active,You take a bath daily.,Easy,1,PRO,1
q_9_eng_b_voice_past_0009,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense | Past Paper | 2016 Evening,Grammar,active_passive,Present Indefinite Tense,Passive,Milk is given by the goat.,Medium,1,PRO,1
q_9_eng_b_voice_past_0010,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense | Past Paper | 2020 Morning,Grammar,active_passive,Present Indefinite Tense,Passive,Naushaba is helped by Khurshid.,Medium,1,PRO,1
q_9_eng_b_voice_past_0011,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense | Past Paper | 2017 Evening,Grammar,active_passive,Present Indefinite Tense,Passive,The children are loved by the mother.,Medium,1,PRO,1
q_9_eng_b_voice_past_0012,1,ENGLISH_B | Active and Passive Voice | Present Indefinite Tense | Past Paper | 2018 Evening; 2023 Morning,Grammar,active_passive,Present Indefinite Tense,Passive,The picture is made by the boy.,Medium,1,ULTRA,1
sep_9_eng_b_voice_updated_002,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Topic,topic_separator,Present Continuous Tense,,,,,,1
q_9_eng_b_voice_0076,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,The teacher is explaining the lesson in class.,Easy,1,PRO,1
q_9_eng_b_voice_0077,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,The students are completing the assignments on time.,Easy,1,PRO,1
q_9_eng_b_voice_0078,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,The mechanic is repairing the car in the workshop.,Easy,1,PRO,1
q_9_eng_b_voice_0079,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,The workers are building the bridge over the river.,Easy,1,PRO,1
q_9_eng_b_voice_0080,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,The chef is preparing the meal for the guests.,Easy,1,PRO,1
q_9_eng_b_voice_0081,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,The nurse is assisting the patient in the ward.,Easy,1,PRO,1
q_9_eng_b_voice_0082,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,The police are arresting the thief near the station.,Easy,1,PRO,1
q_9_eng_b_voice_0083,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,The committee is approving the proposal after discussion.,Easy,1,PRO,1
q_9_eng_b_voice_0084,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,The manager is signing the documents in the office.,Easy,1,PRO,1
q_9_eng_b_voice_0085,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,The farmers are growing wheat in the fields.,Easy,1,PRO,1
q_9_eng_b_voice_0086,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,The artist is painting the portrait in the studio.,Easy,1,PRO,1
q_9_eng_b_voice_0087,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,The carpenter is making the table from wood.,Easy,1,PRO,1
q_9_eng_b_voice_0088,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,The librarian is issuing the books to the students.,Easy,1,PRO,1
q_9_eng_b_voice_0089,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,The postman is delivering the letters in the morning.,Easy,1,PRO,1
q_9_eng_b_voice_0090,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,The volunteers are cleaning the park on Sunday.,Easy,1,PRO,1
q_9_eng_b_voice_0091,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,The engineers are designing the machine for the factory.,Easy,1,PRO,1
q_9_eng_b_voice_0092,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,The doctor is examining the patient carefully.,Easy,1,PRO,1
q_9_eng_b_voice_0093,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,The mother is baking the cake for the birthday.,Easy,1,PRO,1
q_9_eng_b_voice_0094,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,The principal is announcing the results at the assembly.,Easy,1,PRO,1
q_9_eng_b_voice_0095,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,The company is launching the product next month.,Easy,1,PRO,1
q_9_eng_b_voice_0096,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,The scientists are conducting the experiment in the laboratory.,Easy,1,PRO,1
q_9_eng_b_voice_0097,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,The gardener is watering the plants every morning.,Easy,1,PRO,1
q_9_eng_b_voice_0098,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,The tailor is not stitching the uniforms for the team.,Medium,1,ULTRA,1
q_9_eng_b_voice_0099,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,The mason is not constructing the wall around the garden.,Medium,1,ULTRA,1
q_9_eng_b_voice_0100,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,The reporter is not writing the article for the newspaper.,Medium,1,ULTRA,1
q_9_eng_b_voice_0101,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,The publisher is not printing the books for the schools.,Medium,1,ULTRA,1
q_9_eng_b_voice_0102,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,The school is not organizing the competition in the hall.,Medium,1,ULTRA,1
q_9_eng_b_voice_0103,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,The judge is not hearing the case in court.,Medium,1,ULTRA,1
q_9_eng_b_voice_0104,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,The coach is not training the players for the match.,Medium,1,ULTRA,1
q_9_eng_b_voice_0105,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,The shopkeeper is not packing the goods for the customer.,Medium,1,ULTRA,1
q_9_eng_b_voice_0106,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,Is the electrician fixing the wires in the building?,Medium,1,ULTRA,1
q_9_eng_b_voice_0107,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,Is the plumber installing the pipes in the house?,Medium,1,ULTRA,1
q_9_eng_b_voice_0108,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,Is the driver washing the bus before the trip?,Medium,1,ULTRA,1
q_9_eng_b_voice_0109,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,Is the team winning the trophy in the final?,Medium,1,ULTRA,1
q_9_eng_b_voice_0110,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,Is the clerk checking the forms at the counter?,Medium,1,ULTRA,1
q_9_eng_b_voice_0111,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,Who is repairing the computer now?,Hard,1,ELITE,1
q_9_eng_b_voice_0112,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,Who is preparing the annual report?,Hard,1,ELITE,1
q_9_eng_b_voice_0113,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,Who is decorating the hall today?,Hard,1,ELITE,1
q_9_eng_b_voice_0114,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,Who is checking the answer sheets?,Hard,1,ELITE,1
q_9_eng_b_voice_0115,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Active,Who is planting trees along the road?,Hard,1,ELITE,1
q_9_eng_b_voice_0116,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Passive,The meeting is being cancelled by the administration because of the rain.,Easy,1,PRO,1
q_9_eng_b_voice_0117,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Passive,The loan is being offered by the bank to the farmer.,Easy,1,PRO,1
q_9_eng_b_voice_0118,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Passive,The food packets are being distributed by the charity among the families.,Easy,1,PRO,1
q_9_eng_b_voice_0119,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Passive,The hospitals are being built by the government in the district.,Easy,1,PRO,1
q_9_eng_b_voice_0120,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Passive,The workers are being hired by the company for the project.,Easy,1,PRO,1
q_9_eng_b_voice_0121,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Passive,The scholarships are being awarded by the school to deserving students.,Easy,1,PRO,1
q_9_eng_b_voice_0122,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Passive,The trees are being planted by the council along the road.,Easy,1,PRO,1
q_9_eng_b_voice_0123,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Passive,The traffic is being stopped by the police near the market.,Easy,1,PRO,1
q_9_eng_b_voice_0124,1,ENGLISH_B | Active and Passive Voice | Present Continuous Tense,Grammar,active_passive,Present Continuous Tense,Passive,The performer is being applauded by the audience after the show.,Easy,1,PRO,1
