question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_9_isl_b2_mcq_001,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | عقیدہ توحید,Remember,توحید کا لغوی معنی ہے:,ایک بنانا,اطاعت کرنا,حدود مقرر کرنا,برابری کرنا,A | ایک بنانا,Medium,1,ELITE,1
q_9_isl_b2_mcq_012,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | ملائکہ,Remember,کراماً کاتبین کی ذمہ داری ہے:,انسانی اعمال لکھنا,روح قبض کرنا,بارش برسانا,وحی لانا,A | انسانی اعمال لکھنا,Medium,1,ELITE,1
q_9_isl_b2_mcq_013,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | ملائکہ,Remember,اللہ تعالیٰ نے فرشتوں کو تخلیق کیا ہے:,مٹی سے,نور سے,آگ سے,پانی سے,B | نور سے,Medium,1,ELITE,1
q_9_isl_b2_mcq_014,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | ملائکہ,Remember,منکر و نکیر انسان کے پاس آتے ہیں:,پیدائش کے وقت,موت کے وقت,قبر میں,حشر میں,C | قبر میں,Medium,1,ELITE,1
q_9_isl_b2_mcq_015,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | ملائکہ,Remember,حضرت اسرافیلؑ کی ذمہ داری ہے:,صور پھونکنا,روح قبض کرنا,اعمال لکھنا,رزق پہنچانا,A | صور پھونکنا,Medium,1,ELITE,1
q_9_isl_b2_mcq_016,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | کتب سماویہ,Remember,حضرت ابراہیمؑ کا لقب ہے:,خلیل اللہ,ابوالانبیاء,روح اللہ,کلیم اللہ,A | خلیل اللہ,Medium,1,ELITE,1
q_9_isl_b2_mcq_017,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | کتب سماویہ,Remember,بنی اسرائیل کے وہ پہلے نبی جنہیں نبوت کے ساتھ حکومت بھی عطا کی گئی:,حضرت داؤدؑ,حضرت اسحاقؑ,حضرت یعقوبؑ,حضرت اسماعیلؑ,A | حضرت داؤدؑ,Medium,1,ELITE,1
q_9_isl_b2_mcq_018,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | کتب سماویہ,Remember,وہ عبادت جو سابقہ آسمانی کتابوں میں بھی مذکور رہی ہے:,روزہ,حج,عمرہ,طواف,A | روزہ,Medium,1,ELITE,1
q_9_isl_b2_mcq_019,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | کتب سماویہ,Remember,صحفِ ابراہیم منسوب ہیں:,حضرت ابراہیمؑ کو,حضرت اسماعیلؑ کو,حضرت موسیٰؑ کو,حضرت عیسیٰؑ کو,A | حضرت ابراہیمؑ کو,Medium,1,ELITE,1
q_9_isl_b2_mcq_020,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | کتب سماویہ,Remember,تمام انبیاء کرام علیہم السلام کی تعلیمات کی جامع کتاب کا نام ہے:,تورات,زبور,انجیل,قرآن مجید,D | قرآن مجید,Medium,1,ELITE,1
q_9_isl_b2_mcq_021,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | عقیدہ آخرت,Remember,مرنے کے بعد انسان کی سب سے پہلی منزل ہے:,عالم برزخ,عالم ارواح,حشر,نشر,A | عالم برزخ,Medium,1,ELITE,1
q_9_isl_b2_mcq_022,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | عقیدہ آخرت,Remember,عقیدہ توحید و رسالت کے ساتھ بنیادی اہمیت کا حامل عقیدہ ہے:,فرشتوں پر ایمان,آخرت پر ایمان,تقدیر پر ایمان,آسمانی کتابوں پر ایمان,B | آخرت پر ایمان,Medium,1,ELITE,1
q_9_isl_b2_mcq_023,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | عقیدہ آخرت,Remember,نشر کا مطلب ہے:,موت کے بعد زندہ کرنا,حساب لینا,شفاعت کرنا,روح قبض کرنا,A | موت کے بعد زندہ کرنا,Medium,1,ELITE,1
q_9_isl_b2_mcq_024,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | عقیدہ آخرت,Remember,حشر کے دن بعض کافروں کو چلایا جائے گا:,منہ کے بل,قدموں کے بل,گھٹنوں کے بل,ہاتھوں کے بل,A | منہ کے بل,Medium,1,ELITE,1
q_9_isl_b2_mcq_025,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | عقیدہ آخرت,Remember,نبی کریم ﷺ قبرِ انور سے باہر تشریف لائیں گے تو آپ ﷺ کے دائیں طرف ہوں گے:,حضرت ابوبکر صدیقؓ,حضرت عمر فاروقؓ,حضرت عبدالرحمن بن عوفؓ,حضرت سعد بن معاذؓ,A | حضرت ابوبکر صدیقؓ,Medium,1,ELITE,1
q_9_isl_b2_mcq_026,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | نماز,Remember,حدیث مبارک میں نماز کو قرار دیا گیا ہے:,جنت کی کنجی,جنت کا دروازہ,جنت کا صحن,جنت کا ستون,A | جنت کی کنجی,Medium,1,ELITE,1
q_9_isl_b2_mcq_027,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | نماز,Remember,پانچ نمازیں گناہوں کا ایسے خاتمہ کرتی ہیں جیسے پانی:,میل کا,زنگ کا,لوہے کا,لکڑی کا,A | میل کا,Medium,1,ELITE,1
q_9_isl_b2_mcq_028,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | نماز,Remember,باجماعت نماز ادا کرنا تنہا نماز سے افضل ہے:,تیس درجے,پچیس درجے,ستائیس درجے,اکیس درجے,C | ستائیس درجے,Medium,1,ELITE,1
q_9_isl_b2_mcq_029,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | نماز,Remember,عشاء اور فجر کی نماز باجماعت ادا کرنے کا ثواب ہے:,ایک مکمل رات کی عبادت کے برابر,آدھی رات کی عبادت کے برابر,ایک تہائی رات کی عبادت کے برابر,سات نمازوں کے ثواب کے برابر,A | ایک مکمل رات کی عبادت کے برابر,Medium,1,ELITE,1
q_9_isl_b2_mcq_030,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | نماز,Remember,باجماعت نماز ادا کرنے سے انسان میں صفت پیدا ہوتی ہے:,صلح جوئی,سخاوت,نظم و ضبط,کفایت شعاری,C | نظم و ضبط,Medium,1,ELITE,1
q_9_isl_b2_mcq_031,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | روزہ,Remember,قرآن مجید کے مطابق روزے کا سب سے اہم مقصد ہے:,تقویٰ کا حصول,دوسروں سے ہمدردی,صدقات و خیرات کی کثرت,غربا و مساکین کی امداد,A | تقویٰ کا حصول,Medium,1,ELITE,1
q_9_isl_b2_mcq_032,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | روزہ,Remember,وہ روزہ اللہ تعالیٰ کی بارگاہ میں قبول نہیں جس میں:,جھوٹ اور فحش گوئی شامل ہو,صرف سحری کی جائے,صدقہ و خیرات کیا جائے,نماز باجماعت پڑھی جائے,A | جھوٹ اور فحش گوئی شامل ہو,Medium,1,ELITE,1
q_9_isl_b2_mcq_033,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | روزہ,Remember,رمضان المبارک میں بھوکا پیاسا رہنے سے انسان کے اندر جذبات پیدا ہوتے ہیں:,ہمدردی کے,رواداری کے,عفو و درگزر کے,کفایت شعاری کے,A | ہمدردی کے,Medium,1,ELITE,1
q_9_isl_b2_mcq_034,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | روزہ,Remember,مقررہ وقت پر سحری و افطار کرنے سے انسان میں صفت پیدا ہوتی ہے:,صبر و تحمل کی,استقامت کی,نظم و ضبط کی,صلح جوئی کی,C | نظم و ضبط کی,Medium,1,ELITE,1
q_9_isl_b2_mcq_035,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | روزہ,Remember,رمضان المبارک میں بھوکا پیاسا رہنے سے انسان کو دوسروں کے بارے میں احساس ہوتا ہے:,بھوک پیاس کا,مالی پریشانی کا,جسمانی مشقت کا,عزت نفس کا,A | بھوک پیاس کا,Medium,1,ELITE,1
q_9_isl_b2_mcq_036,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | زکوٰۃ,Remember,دین اسلام میں زکوٰۃ کی حیثیت ہے:,اختیاری نیکی,نفلی عبادت,خیرات,فرض,D | فرض,Medium,1,ELITE,1
q_9_isl_b2_mcq_037,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | زکوٰۃ,Remember,حضرت ابوبکر صدیقؓ نے کن لوگوں کے خلاف اعلان جنگ فرمایا؟,زکوٰۃ کا انکار کرنے والوں سے,فضول خرچی کرنے والوں سے,حج کا انکار کرنے والوں سے,نماز کا انکار کرنے والوں سے,A | زکوٰۃ کا انکار کرنے والوں سے,Medium,1,ELITE,1
q_9_isl_b2_mcq_038,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | زکوٰۃ,Remember,حدیث نبوی کے مطابق اللہ تعالیٰ بارش کو روک دیتا ہے:,زکوٰۃ نہ دینے سے,صلہ رحمی نہ کرنے سے,دوسروں کا خیال نہ رکھنے سے,علم حاصل نہ کرنے سے,A | زکوٰۃ نہ دینے سے,Medium,1,ELITE,1
q_9_isl_b2_mcq_039,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | زکوٰۃ,Remember,زرعی پیداوار کی زکوٰۃ ہے:,عشر,صدقہ,فدیہ,ٹیکس,A | عشر,Medium,1,ELITE,1
q_9_isl_b2_mcq_040,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | زکوٰۃ,Remember,زکوٰۃ کا نظام رائج ہونے سے خاتمہ ہو جاتا ہے:,تجارت کا,محنت کا,گداگری کا,ملازمت کا,C | گداگری کا,Medium,1,ELITE,1
q_9_isl_b2_mcq_041,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | حج اور قربانی,Remember,عمرہ ادا کرنا ہے:,سنت,واجب,فرض,نفل,A | سنت,Medium,1,ELITE,1
q_9_isl_b2_mcq_042,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | حج اور قربانی,Remember,حج کا رکن اعظم ہے:,احرام باندھنا,طواف زیارت,وقوف عرفہ,قربانی کرنا,C | وقوف عرفہ,Medium,1,ELITE,1
q_9_isl_b2_mcq_043,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | حج اور قربانی,Remember,نبی کریم ﷺ نے فریضہ حج ادا کیا:,ایک مرتبہ,دو مرتبہ,تین مرتبہ,چار مرتبہ,A | ایک مرتبہ,Medium,1,ELITE,1
q_9_isl_b2_mcq_044,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | حج اور قربانی,Remember,عید الاضحی کے دن سب سے زیادہ فضیلت والا عمل ہے:,صدقہ,قربانی,تلاوت,کھانا کھلانا,B | قربانی,Medium,1,ELITE,1
q_9_isl_b2_mcq_045,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | حج اور قربانی,Remember,آٹھ ذوالحجہ کو حجاج احرام باندھتے ہیں:,فجر کی نماز کے بعد,ظہر کی نماز کے بعد,عصر کی نماز کے بعد,مغرب کی نماز کے بعد,A | فجر کی نماز کے بعد,Medium,1,ELITE,1
q_9_isl_b2_mcq_046,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | عقیدہ توحید,Remember,توحید ربوبیت کا تعلق ہے:,اللہ کو خالق و مالک ماننے سے,نماز کی جماعت سے,حج کے مناسک سے,روزے کے اوقات سے,A | اللہ کو خالق و مالک ماننے سے,Medium,1,ULTRA,1
q_9_isl_b2_mcq_047,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | عقیدہ توحید,Remember,توحید الوہیت کا تقاضا ہے:,عبادت صرف اللہ کی,رزق صرف انسان سے,مخلوق کی عبادت,اللہ کے ساتھ شریک,A | عبادت صرف اللہ کی,Medium,1,ULTRA,1
q_9_isl_b2_mcq_048,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | عقیدہ توحید,Remember,توحید اسماء و صفات کا مفہوم ہے:,اللہ کی صفات میں یکتائی,فرشتوں کی صفات,انبیاء کی صفات,انسانی صفات,A | اللہ کی صفات میں یکتائی,Medium,1,ULTRA,1
q_9_isl_b2_mcq_049,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | عقیدہ توحید,Remember,شرک کی ایک قسم ہے:,ذات میں شرک,نماز میں جماعت,روزے میں نیت,حج میں احرام,A | ذات میں شرک,Medium,1,ULTRA,1
q_9_isl_b2_mcq_050,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | عقیدہ توحید,Remember,شرک فی العبادت کا مطلب ہے:,عبادت میں شریک ٹھہرانا,رزق کمانا,زکوٰۃ دینا,حج کرنا,A | عبادت میں شریک ٹھہرانا,Medium,1,ULTRA,1
q_9_isl_b2_mcq_051,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | عقیدہ توحید,Remember,عقیدہ توحید انسان کو دیتا ہے:,عزت و وقار,شرک کی آزادی,مایوسی,خوف مخلوق,A | عزت و وقار,Medium,1,ULTRA,1
q_9_isl_b2_mcq_052,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | عقیدہ رسالت,Remember,رسول کا بنیادی کام ہے:,اللہ کا پیغام پہنچانا,صرف تجارت کرنا,صرف حکومت کرنا,صرف تاریخ لکھنا,A | اللہ کا پیغام پہنچانا,Medium,1,ULTRA,1
q_9_isl_b2_mcq_053,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | عقیدہ رسالت,Remember,رسول کی اطاعت دراصل اطاعت ہے:,اللہ تعالیٰ کی,صرف معاشرے کی,صرف حکمران کی,صرف خاندان کی,A | اللہ تعالیٰ کی,Medium,1,ULTRA,1
q_9_isl_b2_mcq_054,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | عقیدہ رسالت,Remember,ختم نبوت کا مطلب ہے:,نبوت کا اختتام,وحی کا آغاز,نیا رسول آنا,کتابوں کا اضافہ,A | نبوت کا اختتام,Medium,1,ULTRA,1
q_9_isl_b2_mcq_055,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | عقیدہ رسالت,Remember,نبی کریم ﷺ کی رسالت ہے:,تمام انسانوں کے لیے,صرف عربوں کے لیے,صرف قریش کے لیے,صرف مدینہ کے لیے,A | تمام انسانوں کے لیے,Medium,1,ULTRA,1
q_9_isl_b2_mcq_056,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | عقیدہ رسالت,Remember,نبی کریم ﷺ ہیں:,خاتم النبیین,پہلے نبی,صرف عرب کے نبی,صرف مکہ کے نبی,A | خاتم النبیین,Medium,1,ULTRA,1
q_9_isl_b2_mcq_057,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | عقیدہ رسالت,Remember,انبیاء کرام علیہم السلام کی اطاعت ہے:,واجب,اختیاری,مکروہ,منسوخ,A | واجب,Medium,1,ULTRA,1
q_9_isl_b2_mcq_058,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | ملائکہ,Remember,فرشتے پیدا کیے گئے ہیں:,نور سے,مٹی سے,پانی سے,دھوئیں سے,A | نور سے,Medium,1,ULTRA,1
q_9_isl_b2_mcq_059,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | ملائکہ,Remember,فرشتے اللہ تعالیٰ کی:,نافرمانی نہیں کرتے,مخالفت کرتے ہیں,عبادت نہیں کرتے,احکام بدلتے ہیں,A | نافرمانی نہیں کرتے,Medium,1,ULTRA,1
q_9_isl_b2_mcq_060,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | ملائکہ,Remember,حضرت جبرائیلؑ کی ذمہ داری تھی:,وحی لانا,صور پھونکنا,اعمال لکھنا,قبر میں سوال,A | وحی لانا,Medium,1,ULTRA,1
q_9_isl_b2_mcq_061,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | ملائکہ,Remember,حضرت میکائیلؑ سے متعلق ذمہ داری ہے:,رزق و بارش,وحی,صور,قبر کے سوال,A | رزق و بارش,Medium,1,ULTRA,1
q_9_isl_b2_mcq_062,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | ملائکہ,Remember,کراماً کاتبین لکھتے ہیں:,اعمال,وحی,رزق,کتابیں,A | اعمال,Medium,1,ULTRA,1
q_9_isl_b2_mcq_063,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | ملائکہ,Remember,منکر و نکیر سوال کرتے ہیں:,قبر میں,میدان عرفات میں,مسجد میں,بازار میں,A | قبر میں,Medium,1,ULTRA,1
q_9_isl_b2_mcq_064,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | کتب سماویہ,Remember,تورات نازل ہوئی:,حضرت موسیٰؑ پر,حضرت داؤدؑ پر,حضرت عیسیٰؑ پر,حضرت ابراہیمؑ پر,A | حضرت موسیٰؑ پر,Medium,1,ULTRA,1
q_9_isl_b2_mcq_065,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | کتب سماویہ,Remember,زبور نازل ہوئی:,حضرت داؤدؑ پر,حضرت موسیٰؑ پر,حضرت عیسیٰؑ پر,حضرت اسماعیلؑ پر,A | حضرت داؤدؑ پر,Medium,1,ULTRA,1
q_9_isl_b2_mcq_066,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | کتب سماویہ,Remember,انجیل نازل ہوئی:,حضرت عیسیٰؑ پر,حضرت موسیٰؑ پر,حضرت داؤدؑ پر,حضرت ابراہیمؑ پر,A | حضرت عیسیٰؑ پر,Medium,1,ULTRA,1
q_9_isl_b2_mcq_067,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | کتب سماویہ,Remember,قرآن مجید نازل ہوا:,حضرت محمد ﷺ پر,حضرت موسیٰؑ پر,حضرت عیسیٰؑ پر,حضرت داؤدؑ پر,A | حضرت محمد ﷺ پر,Medium,1,ULTRA,1
q_9_isl_b2_mcq_068,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | کتب سماویہ,Remember,قرآن مجید ہے:,آخری آسمانی کتاب,پہلی آسمانی کتاب,صرف بنی اسرائیل کی کتاب,صرف عربوں کی کتاب,A | آخری آسمانی کتاب,Medium,1,ULTRA,1
q_9_isl_b2_mcq_069,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | کتب سماویہ,Remember,مسلمانوں پر لازم ہے:,تمام آسمانی کتابوں پر ایمان,صرف ایک کتاب پر ایمان,سابقہ کتابوں کا انکار,انبیاء کا انکار,A | تمام آسمانی کتابوں پر ایمان,Medium,1,ULTRA,1
q_9_isl_b2_mcq_070,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | عقیدہ آخرت,Remember,برزخ کا زمانہ ہے:,موت اور قیامت کے درمیان,پیدائش سے بلوغ تک,ہجرت سے فتح تک,دن اور رات کے درمیان,A | موت اور قیامت کے درمیان,Medium,1,ULTRA,1
q_9_isl_b2_mcq_071,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | عقیدہ آخرت,Remember,حشر سے مراد ہے:,لوگوں کو جمع کرنا,روح قبض کرنا,نماز پڑھنا,روزہ رکھنا,A | لوگوں کو جمع کرنا,Medium,1,ULTRA,1
q_9_isl_b2_mcq_072,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | عقیدہ آخرت,Remember,قیامت کے دن اعمال تولے جائیں گے:,میزان میں,بازار میں,مسجد میں,عرفات میں,A | میزان میں,Medium,1,ULTRA,1
q_9_isl_b2_mcq_073,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | عقیدہ آخرت,Remember,مقام محمود عطا ہوگا:,نبی کریم ﷺ کو,ہر فرشتے کو,ہر بادشاہ کو,ہر تاجر کو,A | نبی کریم ﷺ کو,Medium,1,ULTRA,1
