question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
q_9_isl_b4_short_001,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 BOARD ELIGIBLE | EXERCISE DIRECT | شکر و قناعت,textbook_exercise_direct,نبی کریم ﷺ کی شکر گزاری کی ایک مثال تحریر کریں۔,Medium,2,ELITE,1
q_9_isl_b4_short_022,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | امانت و دیانت,extra_important_practice,امانت اور دیانت میں کیا تعلق ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_023,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | امانت و دیانت,extra_important_practice,وعدہ پورا کرنا امانت داری کی علامت کیسے ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_024,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | امانت و دیانت,extra_important_practice,راز کی حفاظت کو امانت کیوں کہا جاتا ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_025,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | امانت و دیانت,extra_important_practice,بددیانتی معاشرتی اعتماد کو کیسے نقصان پہنچاتی ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_026,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | امانت و دیانت,extra_important_practice,الامین کے لقب سے ہمیں کیا سبق ملتا ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_027,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | اخلاص و تقویٰ,extra_important_practice,اخلاص سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_028,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | اخلاص و تقویٰ,extra_important_practice,تقویٰ کا مفہوم بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b4_short_029,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | اخلاص و تقویٰ,extra_important_practice,ریاکاری اخلاص کے خلاف کیوں ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_030,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | اخلاص و تقویٰ,extra_important_practice,تقویٰ انسان کو گناہوں سے کیسے روکتا ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_031,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | اخلاص و تقویٰ,extra_important_practice,نیت کی درستگی اخلاص کے لیے کیوں ضروری ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_032,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | اخلاص و تقویٰ,extra_important_practice,تقویٰ کی اصل جگہ دل کو کیوں کہا گیا ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_033,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | اخلاص و تقویٰ,extra_important_practice,اخلاص عمل کی قبولیت میں کیا کردار ادا کرتا ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_034,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | پردہ پوشی,extra_important_practice,پردہ پوشی سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_035,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | پردہ پوشی,extra_important_practice,کسی مسلمان کی پردہ پوشی کی فضیلت بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b4_short_036,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | پردہ پوشی,extra_important_practice,عیب جوئی کے دو معاشرتی نقصانات تحریر کریں۔,Medium,2,ULTRA,1
q_9_isl_b4_short_037,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | پردہ پوشی,extra_important_practice,سوشل میڈیا پر کسی کا عیب پھیلانا کیوں نقصان دہ ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_038,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | پردہ پوشی,extra_important_practice,پردہ پوشی اور جرم چھپانے میں فرق بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b4_short_039,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | پردہ پوشی,extra_important_practice,میڈیا کو لوگوں کی عزت و آبرو کی حفاظت کیسے کرنی چاہیے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_040,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | تکبر,extra_important_practice,تکبر کا مفہوم بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b4_short_041,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | تکبر,extra_important_practice,ابلیس کی نافرمانی میں تکبر کا کیا کردار تھا؟,Medium,2,ULTRA,1
q_9_isl_b4_short_042,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | تکبر,extra_important_practice,تکبر حق قبول کرنے میں رکاوٹ کیسے بنتا ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_043,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | تکبر,extra_important_practice,عاجزی اور تکبر میں فرق بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b4_short_044,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | تکبر,extra_important_practice,تکبر معاشرتی تعلقات کو کیسے نقصان پہنچاتا ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_045,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | تکبر,extra_important_practice,تکبر سے بچنے کے دو طریقے لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b4_short_046,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | حسد,extra_important_practice,حسد سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_047,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | حسد,extra_important_practice,رشک کی جائز صورت کیا ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_048,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | حسد,extra_important_practice,حسد انسان کے دل کا سکون کیسے ختم کرتا ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_049,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | حسد,extra_important_practice,حسد معاشرے میں دشمنی کیسے پیدا کرتا ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_050,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | حسد,extra_important_practice,حسد سے بچنے کے دو طریقے تحریر کریں۔,Medium,2,ULTRA,1
q_9_isl_b4_short_051,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | حسد,extra_important_practice,اللہ کی تقسیم پر رضا حسد کا علاج کیسے ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_052,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | جھوٹ,extra_important_practice,جھوٹ سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_053,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | جھوٹ,extra_important_practice,جھوٹ کو نفاق کی نشانی کیوں کہا گیا ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_054,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | جھوٹ,extra_important_practice,جھوٹی گواہی کے دو نقصانات لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b4_short_055,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | جھوٹ,extra_important_practice,مزاح میں جھوٹ بولنے کے بارے میں اسلامی تعلیم کیا ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_056,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | جھوٹ,extra_important_practice,جھوٹ معاشرتی اعتماد کو کیسے تباہ کرتا ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_057,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | جھوٹ,extra_important_practice,سچائی کے دو فوائد تحریر کریں۔,Medium,2,ULTRA,1
q_9_isl_b4_short_058,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | غیبت و بہتان,extra_important_practice,غیبت سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_059,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | غیبت و بہتان,extra_important_practice,بہتان سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_060,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | غیبت و بہتان,extra_important_practice,غیبت اور بہتان میں فرق بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b4_short_061,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | غیبت و بہتان,extra_important_practice,غیبت کو مردہ بھائی کا گوشت کھانے سے کیوں تشبیہ دی گئی ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_062,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | غیبت و بہتان,extra_important_practice,سوشل میڈیا پر جھوٹا الزام لگانے کے کیا نقصانات ہیں؟,Medium,2,ULTRA,1
q_9_isl_b4_short_063,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | غیبت و بہتان,extra_important_practice,غیبت سے بچنے کے دو عملی طریقے لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b4_short_064,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,extra_important_practice,جادو کے بارے میں اسلامی حکم بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b4_short_065,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,extra_important_practice,فال گیری سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_066,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,extra_important_practice,بدشگونی سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_067,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,extra_important_practice,توہم پرستی انسان کے فیصلوں کو کیسے متاثر کرتی ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_068,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,extra_important_practice,غیب کے علم کے بارے میں اسلامی عقیدہ کیا ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_069,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,extra_important_practice,جادو اور توہم سے حفاظت کے لیے مسلمان کو کیا طریقہ اختیار کرنا چاہیے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_070,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,extra_important_practice,نجومیوں اور فال گیروں پر اعتماد کیوں غلط ہے؟,Medium,2,ULTRA,1
q_9_isl_b4_short_071,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | شکر و قناعت,extra_important_practice,شکر اور قناعت میں باہمی تعلق بیان کریں۔,Medium,2,PRO,1
q_9_isl_b4_short_072,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q3 PRACTICE ONLY | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,extra_important_practice,توہم پرستی معاشرتی ترقی میں رکاوٹ کیسے بنتی ہے؟,Medium,2,PRO,1
