question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
q_9_isl_b1_short_018,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | قرآن مجید,extra_important_quran,حضرت عثمان غنیؓ نے اختلاف قراءت کو ختم کرنے کے لیے کیا اقدام کیا؟,Medium,2,ULTRA,1
q_9_isl_b1_short_019,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | قرآن مجید,extra_important_quran,مصحف عثمانی کے نسخے مختلف علاقوں میں بھیجنے کا مقصد کیا تھا؟,Medium,2,ULTRA,1
q_9_isl_b1_short_020,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | قرآن مجید,extra_important_quran,جمع و تدوین قرآن کے دور صدیقی اور دور عثمانی میں ایک فرق لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b1_short_021,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_hadith,حدیث قولی سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b1_short_022,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_hadith,حدیث فعلی سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b1_short_023,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_hadith,حدیث تقریری سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b1_short_024,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_hadith,حدیث قدسی سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b1_short_025,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_hadith,قرآن مجید کی تشریح میں حدیث کی کیا اہمیت ہے؟,Medium,2,ULTRA,1
q_9_isl_b1_short_026,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_hadith,صحابہ کرامؓ نے احادیث کو یاد کر کے کس طرح محفوظ کیا؟,Medium,2,ULTRA,1
q_9_isl_b1_short_027,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_hadith,صحابہ کرامؓ کے عمل نے حفاظت حدیث میں کیا کردار ادا کیا؟,Medium,2,ULTRA,1
q_9_isl_b1_short_028,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_hadith,کتابت حدیث سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b1_short_029,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_hadith,صحیفہ صادقہ کیا ہے اور اسے کس نے مرتب کیا؟,Medium,2,ULTRA,1
q_9_isl_b1_short_030,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_hadith,حضرت عمر بن عبدالعزیزؒ کا تدوین حدیث میں کیا کردار ہے؟,Medium,2,ULTRA,1
q_9_isl_b1_short_031,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_hadith,تدوین حدیث سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b1_short_032,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_hadith,صحاح ستہ سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b1_short_033,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_hadith,صحیح بخاری اور صحیح مسلم کی حیثیت کیا ہے؟,Medium,2,ULTRA,1
q_9_isl_b1_short_034,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_hadith,جامع ترمذی، سنن ابی داؤد اور سنن نسائی میں سے کسی دو کے نام لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b1_short_035,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | منتخب احادیث,extra_important_hadith_concept,اچھے اخلاق کو ایمان کی تکمیل سے کس طرح جوڑا گیا ہے؟,Medium,2,PRO,1
q_9_isl_b1_short_036,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | منتخب احادیث,extra_important_hadith_concept,چھوٹوں پر رحم اور بڑوں کے احترام کے بارے میں حدیث کی تعلیم کیا ہے؟,Medium,2,PRO,1
q_9_isl_b1_short_037,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | منتخب احادیث,extra_important_hadith_concept,طلب رزق کے بارے میں حدیث کیا رہنمائی دیتی ہے؟,Medium,2,PRO,1
q_9_isl_b1_short_038,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | منتخب احادیث,extra_important_hadith_concept,صلہ رحمی کا رزق اور عمر پر کیا اثر بیان ہوا ہے؟,Medium,2,PRO,1
q_9_isl_b1_short_039,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | منتخب احادیث,extra_important_hadith_concept,حدیث کے مطابق کبیرہ گناہوں میں سے کوئی دو لکھیں۔,Medium,2,PRO,1
q_9_isl_b1_short_040,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | منتخب احادیث,extra_important_hadith_concept,ماتحت افراد کے کھانے اور لباس کے بارے میں کیا حکم ہے؟,Medium,2,PRO,1
q_9_isl_b1_short_041,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | منتخب احادیث,extra_important_hadith_concept,بغیر علم فتویٰ دینے کے بارے میں حدیث کیا تعلیم دیتی ہے؟,Medium,2,PRO,1
q_9_isl_b1_short_042,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | منتخب احادیث,extra_important_hadith_concept,حیا کے بارے میں حدیث کا مختصر مفہوم لکھیں۔,Medium,2,PRO,1
q_9_isl_b1_short_043,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | منتخب احادیث,extra_important_hadith_concept,پڑوسی کے حقوق کے بارے میں حدیث کی ایک تعلیم لکھیں۔,Medium,2,PRO,1
q_9_isl_b1_short_044,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | منتخب احادیث,extra_important_hadith_concept,درخت لگانے اور کھیتی کرنے کو صدقہ کیوں کہا گیا ہے؟,Medium,2,PRO,1
q_9_isl_b1_short_045,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | BOOK DIRECT | اسماء الحسنیٰ,asma_ul_husna_translation,اسماء الحسنیٰ «الْحَيُّ» اور «الْقَيُّوْمُ» کے اردو معانی لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b1_short_046,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | BOOK DIRECT | اسماء الحسنیٰ,asma_ul_husna_translation,اسماء الحسنیٰ «الْوَاجِدُ» اور «الْمَاجِدُ» کے اردو معانی لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b1_short_047,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | BOOK DIRECT | اسماء الحسنیٰ,asma_ul_husna_translation,اسماء الحسنیٰ «الْوَاحِدُ» اور «الصَّمَدُ» کے اردو معانی لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b1_short_048,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | BOOK DIRECT | اسماء الحسنیٰ,asma_ul_husna_translation,اسماء الحسنیٰ «الْقَادِرُ» اور «الْمُقْتَدِرُ» کے اردو معانی لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b1_short_049,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | BOOK DIRECT | اسماء الحسنیٰ,asma_ul_husna_translation,اسماء الحسنیٰ «الْمُقَدِّمُ» اور «الْمُؤَخِّرُ» کے اردو معانی لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b1_short_050,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | BOOK DIRECT | اسماء الحسنیٰ,asma_ul_husna_translation,اسماء الحسنیٰ «الْأَوَّلُ» اور «الْآخِرُ» کے اردو معانی لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b1_short_051,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | BOOK DIRECT | اسماء الحسنیٰ,asma_ul_husna_translation,اسماء الحسنیٰ «الظَّاهِرُ» اور «الْبَاطِنُ» کے اردو معانی لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b1_short_052,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | BOOK DIRECT | اسماء الحسنیٰ,asma_ul_husna_translation,اسماء الحسنیٰ «الْوَالِي» اور «الْمُتَعَالِي» کے اردو معانی لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b1_short_053,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | BOOK DIRECT | اسماء الحسنیٰ,asma_ul_husna_translation,اسماء الحسنیٰ «الْبَرُّ» اور «التَّوَّابُ» کے اردو معانی لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b1_short_054,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | BOOK DIRECT | اسماء الحسنیٰ,asma_ul_husna_translation,اسماء الحسنیٰ «الْمُنْتَقِمُ» اور «الْعَفُوُّ» کے اردو معانی لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b1_short_055,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | BOOK DIRECT | اسماء الحسنیٰ,asma_ul_husna_translation,اسماء الحسنیٰ «الرَّؤُوفُ» اور «مَالِكُ الْمُلْكِ» کے اردو معانی لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b1_short_056,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | BOOK DIRECT | اسماء الحسنیٰ,asma_ul_husna_translation,اسماء الحسنیٰ «ذُو الْجَلَالِ وَالْإِكْرَامِ» اور «الْمُقْسِطُ» کے اردو معانی لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b1_short_057,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | BOOK DIRECT | اسماء الحسنیٰ,asma_ul_husna_translation,اسماء الحسنیٰ «الْجَامِعُ» اور «الْغَنِيُّ» کے اردو معانی لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b1_short_058,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | BOOK DIRECT | اسماء الحسنیٰ,asma_ul_husna_translation,اسماء الحسنیٰ «الْمُغْنِي» اور «الْمَانِعُ» کے اردو معانی لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b1_short_059,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | BOOK DIRECT | اسماء الحسنیٰ,asma_ul_husna_translation,اسماء الحسنیٰ «الضَّارُّ» اور «النَّافِعُ» کے اردو معانی لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b1_short_060,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | BOOK DIRECT | اسماء الحسنیٰ,asma_ul_husna_translation,اسماء الحسنیٰ «النُّورُ» اور «الْهَادِي» کے اردو معانی لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b1_short_061,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | BOOK DIRECT | اسماء الحسنیٰ,asma_ul_husna_translation,اسماء الحسنیٰ «الْبَدِيعُ» اور «الْبَاقِي» کے اردو معانی لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b1_short_062,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | BOOK DIRECT | اسماء الحسنیٰ,asma_ul_husna_translation,اسماء الحسنیٰ «الْوَارِثُ» اور «الرَّشِيدُ» کے اردو معانی لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b1_short_063,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | BOOK DIRECT | اسماء الحسنیٰ,asma_ul_husna_translation,اسماء الحسنیٰ «الصَّبُورُ» اور «السَّمِيعُ» کے اردو معانی لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b1_short_064,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | BOOK DIRECT | اسماء الحسنیٰ,asma_ul_husna_translation,اسماء الحسنیٰ «الْبَصِيرُ» اور «الْحَكِيمُ» کے اردو معانی لکھیں۔,Medium,2,ULTRA,1
