question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
q_9_isl_b3_short_001,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | فتح مکہ,textbook_exercise_direct,فتح مکہ کے موقع پر نبی کریم ﷺ نے عام معافی کا اعلان کرتے ہوئے کیا ارشاد فرمایا؟,Medium,2,ELITE,1
q_9_isl_b3_short_028,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | سخاوت,textbook_exercise_direct,حضرت علیؓ کی سخاوت کی ایک مثال بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b3_short_029,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | سخاوت,textbook_exercise_direct,غزوہ تبوک کے موقع پر صحابہ کرامؓ نے کس طرح سخاوت کا مظاہرہ فرمایا؟,Medium,2,ELITE,1
q_9_isl_b3_short_030,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | صلہ رحمی,textbook_exercise_direct,نبی کریم ﷺ نے صلہ رحمی کی تلقین کس طرح فرمائی؟ حضرت ابوبکرؓ کے واقعے کی روشنی میں وضاحت کریں۔,Medium,2,ELITE,1
q_9_isl_b3_short_031,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | صلہ رحمی,textbook_exercise_direct,صلہ رحمی کی کوئی سی دو صورتیں لکھیں۔,Medium,2,ELITE,1
q_9_isl_b3_short_032,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | صلہ رحمی,textbook_exercise_direct,صلہ رحمی کے دو فوائد اور قطع رحمی کے دو نقصانات تحریر کریں۔,Medium,2,ELITE,1
q_9_isl_b3_short_033,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | صلہ رحمی,textbook_exercise_direct,صلہ رحمی خاندانی نظام کے استحکام کا باعث ہے۔ اپنے الفاظ میں بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b3_short_034,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | خواتین کے ساتھ حسن سلوک,textbook_exercise_direct,حضرت فاطمہؓ کے آنے پر نبی کریم ﷺ ان کے ساتھ کس طرح حسن سلوک کرتے تھے؟,Medium,2,ELITE,1
q_9_isl_b3_short_035,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | خواتین کے ساتھ حسن سلوک,textbook_exercise_direct,دو بیٹیوں کے ساتھ حسن سلوک کرنے والے کے بارے میں نبی کریم ﷺ نے کیا ارشاد فرمایا؟,Medium,2,ELITE,1
q_9_isl_b3_short_036,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | خواتین کے ساتھ حسن سلوک,textbook_exercise_direct,معاشرتی زندگی میں خواتین کے احترام کے لیے کون سے اقدامات اپنانے چاہئیں؟,Medium,2,ELITE,1
q_9_isl_b3_short_037,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | انداز تربیت,textbook_exercise_direct,نبی کریم ﷺ مخاطب کے جذبات اور احساسات کا کس طرح خیال رکھتے تھے؟ ایک مثال سے واضح کریں۔,Medium,2,ELITE,1
q_9_isl_b3_short_038,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | انداز تربیت,textbook_exercise_direct,نبی کریم ﷺ اصلاح و تربیت کے لیے کس طرح گفتگو فرماتے تھے؟,Medium,2,ELITE,1
q_9_isl_b3_short_039,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXERCISE DIRECT | انداز تربیت,textbook_exercise_direct,نبی کریم ﷺ نے صحابہ کرامؓ کی کس طرح حوصلہ افزائی فرمائی؟ ایک مثال سے واضح کریں۔,Medium,2,ELITE,1
q_9_isl_b3_short_040,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | فتح مکہ,extra_important,صلح حدیبیہ کی خلاف ورزی فتح مکہ کا سبب کیسے بنی؟,Medium,2,ULTRA,1
q_9_isl_b3_short_041,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | فتح مکہ,extra_important,فتح مکہ میں عام معافی کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b3_short_042,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | فتح مکہ,extra_important,فتح مکہ کے موقع پر خانہ کعبہ سے بتوں کے خاتمے کی اہمیت کیا تھی؟,Medium,2,ULTRA,1
q_9_isl_b3_short_043,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | فتح مکہ,extra_important,فتح مکہ نے عرب میں اسلام کے فروغ کو کیسے تیز کیا؟,Medium,2,ULTRA,1
q_9_isl_b3_short_044,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | غزوہ حنین,extra_important,حنین میں مسلمانوں کو ابتدائی طور پر آزمائش کیوں پیش آئی؟,Medium,2,ULTRA,1
q_9_isl_b3_short_045,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | غزوہ حنین,extra_important,حنین میں نبی کریم ﷺ کی ثابت قدمی کا ایک واقعہ بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b3_short_046,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | غزوہ حنین,extra_important,غزوہ حنین سے توکل علی اللہ کا کیا سبق ملتا ہے؟,Medium,2,ULTRA,1
q_9_isl_b3_short_047,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | غزوہ حنین,extra_important,غزوہ حنین کے بعد مال غنیمت کہاں تقسیم کیا گیا؟,Medium,2,ULTRA,1
q_9_isl_b3_short_048,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | عام الوفود,extra_important,عام الوفود کی تاریخی اہمیت کیا ہے؟,Medium,2,ULTRA,1
q_9_isl_b3_short_049,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | عام الوفود,extra_important,وفود کے استقبال میں نبی کریم ﷺ کے حسن اخلاق کی ایک مثال دیں۔,Medium,2,ULTRA,1
q_9_isl_b3_short_050,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | عام الوفود,extra_important,بنی تمیم کے وفد کے ساتھ علمی و ادبی مقابلے کا خلاصہ بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b3_short_051,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | عام الوفود,extra_important,اشج عبدالقیس کی دو پسندیدہ صفات کیا تھیں؟,Medium,2,ULTRA,1
q_9_isl_b3_short_052,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | غزوہ تبوک,extra_important,غزوہ تبوک کو جیش العسرہ سے کیوں یاد کیا جاتا ہے؟,Medium,2,ULTRA,1
q_9_isl_b3_short_053,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | غزوہ تبوک,extra_important,غزوہ تبوک میں حضرت ابوبکرؓ کے مالی تعاون کی مثال بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b3_short_054,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | غزوہ تبوک,extra_important,غزوہ تبوک میں حضرت عثمانؓ کی سخاوت کا مختصر ذکر کریں۔,Medium,2,ULTRA,1
q_9_isl_b3_short_055,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | غزوہ تبوک,extra_important,حضرت کعب بن مالکؓ کے واقعے سے سچائی کا کیا سبق ملتا ہے؟,Medium,2,ULTRA,1
q_9_isl_b3_short_056,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | حجۃ الوداع,extra_important,خطبہ حجۃ الوداع میں جان و مال کے احترام کے بارے میں کیا تعلیم دی گئی؟,Medium,2,ULTRA,1
q_9_isl_b3_short_057,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | حجۃ الوداع,extra_important,خطبہ حجۃ الوداع میں سود کے بارے میں کیا اعلان کیا گیا؟,Medium,2,ULTRA,1
q_9_isl_b3_short_058,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | حجۃ الوداع,extra_important,خطبہ حجۃ الوداع میں خواتین کے حقوق کے بارے میں کیا ہدایت دی گئی؟,Medium,2,ULTRA,1
q_9_isl_b3_short_059,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | حجۃ الوداع,extra_important,حجۃ الوداع کے خطبے میں نسلی برتری کی نفی کیسے کی گئی؟,Medium,2,ULTRA,1
q_9_isl_b3_short_060,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | وصال نبوی ﷺ,extra_important,آخری بیماری میں نماز کی امامت کے لیے کس صحابی کو مقرر کیا گیا؟,Medium,2,ULTRA,1
q_9_isl_b3_short_061,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | وصال نبوی ﷺ,extra_important,نبی کریم ﷺ نے آخری ایام میں نماز کے بارے میں کیا تاکید فرمائی؟,Medium,2,ULTRA,1
q_9_isl_b3_short_062,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | وصال نبوی ﷺ,extra_important,وصال نبوی ﷺ کے بعد صحابہ کرامؓ کو کس صدمے کا سامنا ہوا؟,Medium,2,ULTRA,1
q_9_isl_b3_short_063,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | وصال نبوی ﷺ,extra_important,نبی کریم ﷺ کی تعلیمات امت کے لیے ہمیشہ رہنمائی کیوں ہیں؟,Medium,2,ULTRA,1
q_9_isl_b3_short_064,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | بچپن و جوانی,extra_important,بچپن میں بکریاں چرانے سے محنت اور ذمہ داری کا کیا سبق ملتا ہے؟,Medium,2,ULTRA,1
q_9_isl_b3_short_065,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | بچپن و جوانی,extra_important,حلف الفضول کا بنیادی مقصد کیا تھا؟,Medium,2,ULTRA,1
q_9_isl_b3_short_066,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | بچپن و جوانی,extra_important,نبی کریم ﷺ کی امانت و دیانت نوجوانوں کے لیے کیا نمونہ ہے؟,Medium,2,ULTRA,1
q_9_isl_b3_short_067,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | بچپن و جوانی,extra_important,صادق و امین کے لقب کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b3_short_068,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | ذوق عبادت,extra_important,عبادت میں میانہ روی کیوں ضروری ہے؟,Medium,2,ULTRA,1
q_9_isl_b3_short_069,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | ذوق عبادت,extra_important,نبی کریم ﷺ نے مسلسل رات بھر عبادت سے کیوں منع فرمایا؟,Medium,2,ULTRA,1
q_9_isl_b3_short_070,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | ذوق عبادت,extra_important,نماز کو آنکھوں کی ٹھنڈک قرار دینے سے کیا مفہوم ظاہر ہوتا ہے؟,Medium,2,ULTRA,1
q_9_isl_b3_short_071,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | ذوق عبادت,extra_important,عبادت میں خشوع و خضوع کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b3_short_072,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | سخاوت,extra_important,سخاوت اور ایثار میں کیا تعلق ہے؟,Medium,2,ULTRA,1
q_9_isl_b3_short_073,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | سخاوت,extra_important,علمی سخاوت سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b3_short_074,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | سخاوت,extra_important,سخاوت معاشرتی تعاون کو کیسے بڑھاتی ہے؟,Medium,2,ULTRA,1
q_9_isl_b3_short_075,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | سخاوت,extra_important,انصاری میزبان کے واقعے سے ایثار کا کیا سبق ملتا ہے؟,Medium,2,ULTRA,1
q_9_isl_b3_short_076,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | صلہ رحمی,extra_important,قطع رحمی سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b3_short_077,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | صلہ رحمی,extra_important,کامل صلہ رحمی کی ایک علامت بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b3_short_078,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | صلہ رحمی,extra_important,صلہ رحمی سے خاندانی محبت کیسے بڑھتی ہے؟,Medium,2,ULTRA,1
q_9_isl_b3_short_079,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | خواتین کے ساتھ حسن سلوک,extra_important,اسلام میں ماں کے احترام کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b3_short_080,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | خواتین کے ساتھ حسن سلوک,extra_important,بیٹیوں کی اچھی تربیت کی فضیلت بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b3_short_081,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | خواتین کے ساتھ حسن سلوک,extra_important,نبی کریم ﷺ کے حضرت فاطمہؓ کے ساتھ حسن سلوک کی ایک مثال لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b3_short_082,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | انداز تربیت,extra_important,نبی کریم ﷺ کے انداز تربیت میں نرمی کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b3_short_083,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | انداز تربیت,extra_important,سوال و جواب کا طریقہ تربیت میں کیسے مؤثر ہوتا ہے؟,Medium,2,ULTRA,1
q_9_isl_b3_short_084,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q3 PREPARATION | EXTRA IMPORTANT | انداز تربیت,extra_important,تربیت میں تدرج سے کیا مراد ہے؟,Medium,2,ULTRA,1
