question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_9_isl_b7_mcq_001,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | خود اعتمادی و خود انحصاری,Remember,جو شخص بڑے کام انجام دینا چاہتا ہے، اس میں ہونا ضروری ہے:,حسن و جمال,جسمانی قوت,بہادری,اعتماد,D | اعتماد,Medium,1,ELITE,1
q_9_isl_b7_mcq_015,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,Remember,خود اعتمادی کے ساتھ ضروری ہے:,عاجزی,تکبر,خود پسندی,ریاکاری,A | عاجزی,Medium,1,ULTRA,1
q_9_isl_b7_mcq_016,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,Remember,اسلامی خود اعتمادی کی بنیاد ہے:,اللہ پر یقین,دولت,نسب,شہرت,A | اللہ پر یقین,Medium,1,ULTRA,1
q_9_isl_b7_mcq_017,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,Remember,خود انحصاری انسان کو بناتی ہے:,فعال,بے عمل,بے مقصد,مایوس,A | فعال,Medium,1,ULTRA,1
q_9_isl_b7_mcq_018,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,Remember,خود اعتمادی کا ایک معاشرتی فائدہ ہے:,باہمی احترام,نفرت,غلامی,بدگمانی,A | باہمی احترام,Medium,1,ULTRA,1
q_9_isl_b7_mcq_019,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,Remember,خود اعتمادی کے بغیر بڑا مقصد حاصل کرنا:,مشکل ہوتا ہے,آسان ہوتا ہے,لازم نہیں,ہمیشہ ممکن ہے,A | مشکل ہوتا ہے,Medium,1,ULTRA,1
q_9_isl_b7_mcq_020,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,Remember,توکل انسان کو بچاتا ہے:,تکبر سے,محنت سے,علم سے,قناعت سے,A | تکبر سے,Medium,1,ULTRA,1
q_9_isl_b7_mcq_021,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,Remember,خود اعتمادی کا مطلب یہ نہیں کہ انسان:,اللہ سے بے نیاز ہو,محنت کرے,ذمہ دار بنے,کوشش کرے,A | اللہ سے بے نیاز ہو,Medium,1,ULTRA,1
q_9_isl_b7_mcq_022,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,Remember,مشکلات کا سامنا کرنے میں مدد دیتی ہے:,خود اعتمادی,حسد,غیبت,بدگمانی,A | خود اعتمادی,Medium,1,ULTRA,1
q_9_isl_b7_mcq_023,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,Remember,قوموں کی ترقی میں ضروری ہے:,خود انحصاری,بے عملی,مایوسی,تفرقہ,A | خود انحصاری,Medium,1,ULTRA,1
q_9_isl_b7_mcq_024,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,Remember,اسلامی تعلیمات میں محنت کے ساتھ ہے:,توکل,غرور,تکبر,ناامیدی,A | توکل,Medium,1,ULTRA,1
q_9_isl_b7_mcq_025,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,Remember,خود اعتمادی سے پیدا ہونے والی کامیابی کا سبب ہے:,مسلسل کوشش,سستی,بے مقصدیت,غفلت,A | مسلسل کوشش,Medium,1,ULTRA,1
q_9_isl_b7_mcq_026,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | جسمانی و ذہنی صحت اور جسمانی ریاضت,Remember,اسلام نے انسان کو صحت مند و توانا رکھنے کے لیے ترغیب دی ہے:,جسمانی ریاضت کی,مال خرچ کرنے کی,معاف کرنے کی,صلہ رحمی کی,A | جسمانی ریاضت کی,Medium,1,ELITE,1
q_9_isl_b7_mcq_027,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | جسمانی و ذہنی صحت اور جسمانی ریاضت,Remember,کون سا مومن بہتر قرار دیا گیا ہے؟,مال دار,طاقت ور,کمزور,مفلس,B | طاقت ور,Medium,1,ELITE,1
q_9_isl_b7_mcq_028,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | جسمانی و ذہنی صحت اور جسمانی ریاضت,Remember,جسمانی ریاضت سے مضبوط ہوتے ہیں:,ہاتھ,پاؤں,پٹھے,شانے,C | پٹھے,Medium,1,ELITE,1
q_9_isl_b7_mcq_029,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | جسمانی و ذہنی صحت اور جسمانی ریاضت,Remember,حدیث مبارک میں دو چیزوں کو بڑی نعمت قرار دیا گیا ہے:,صحت اور فراغت,مال اور دولت,کھیل اور فراغت,ورزش اور مصروفیت,A | صحت اور فراغت,Medium,1,ELITE,1
q_9_isl_b7_mcq_030,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | جسمانی و ذہنی صحت اور جسمانی ریاضت,Remember,صحابہ کرام رضی اللہ عنہم کون سے کھیلوں میں حصہ لیا کرتے تھے؟,تیر اندازی و گھڑ سواری,رسی کشی,کبڈی,سیر و سیاحت,A | تیر اندازی و گھڑ سواری,Medium,1,ELITE,1
q_9_isl_b7_mcq_031,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جسمانی و ذہنی صحت اور جسمانی ریاضت,Remember,اسلام میں انسانی جسم کو سمجھا گیا ہے:,اللہ کی امانت,غیر اہم,صرف دنیاوی چیز,فضول بوجھ,A | اللہ کی امانت,Medium,1,ULTRA,1
q_9_isl_b7_mcq_032,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جسمانی و ذہنی صحت اور جسمانی ریاضت,Remember,صحت مند جسم انسان کو مدد دیتا ہے:,عبادت و ذمہ داری میں,سستی میں,غفلت میں,بے عملی میں,A | عبادت و ذمہ داری میں,Medium,1,ULTRA,1
q_9_isl_b7_mcq_033,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جسمانی و ذہنی صحت اور جسمانی ریاضت,Remember,ذہنی صحت بہتر ہوتی ہے:,مناسب ورزش سے,بے خوابی سے,بے اعتدالی سے,سستی سے,A | مناسب ورزش سے,Medium,1,ULTRA,1
q_9_isl_b7_mcq_034,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جسمانی و ذہنی صحت اور جسمانی ریاضت,Remember,جسمانی ریاضت کا ایک فائدہ ہے:,قوت و چستی,کمزوری,مایوسی,بے خوابی,A | قوت و چستی,Medium,1,ULTRA,1
q_9_isl_b7_mcq_035,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جسمانی و ذہنی صحت اور جسمانی ریاضت,Remember,باقاعدہ ورزش سے جسم میں بڑھتی ہے:,طاقت,سستی,بیماری,کم ہمتی,A | طاقت,Medium,1,ULTRA,1
q_9_isl_b7_mcq_036,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جسمانی و ذہنی صحت اور جسمانی ریاضت,Remember,اسلامی کھیلوں میں اہم شرط ہے:,شرعی حدود کی پابندی,جوا,نمود و نمائش,وقت کا ضیاع,A | شرعی حدود کی پابندی,Medium,1,ULTRA,1
q_9_isl_b7_mcq_037,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جسمانی و ذہنی صحت اور جسمانی ریاضت,Remember,کھیل اور ورزش میں پرہیز ہونا چاہیے:,بے اعتدالی سے,نظم سے,صحت سے,محنت سے,A | بے اعتدالی سے,Medium,1,ULTRA,1
q_9_isl_b7_mcq_038,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جسمانی و ذہنی صحت اور جسمانی ریاضت,Remember,انسانی صحت کی حفاظت ہے:,دینی ذمہ داری,غیر ضروری,صرف طبی معاملہ,صرف کھیل,A | دینی ذمہ داری,Medium,1,ULTRA,1
q_9_isl_b7_mcq_039,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جسمانی و ذہنی صحت اور جسمانی ریاضت,Remember,ورزش کا ذہنی فائدہ ہے:,تناؤ میں کمی,حسد میں اضافہ,غصہ میں اضافہ,کم ہمتی,A | تناؤ میں کمی,Medium,1,ULTRA,1
q_9_isl_b7_mcq_040,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جسمانی و ذہنی صحت اور جسمانی ریاضت,Remember,مومن کو پسند کیا گیا ہے:,طاقت ور,کمزور,سست,بے عمل,A | طاقت ور,Medium,1,ULTRA,1
q_9_isl_b7_mcq_041,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جسمانی و ذہنی صحت اور جسمانی ریاضت,Remember,جسمانی ریاضت سے انسان میں پیدا ہوتی ہے:,چستی,غفلت,سستی,بے مقصدیت,A | چستی,Medium,1,ULTRA,1
q_9_isl_b7_mcq_042,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جسمانی و ذہنی صحت اور جسمانی ریاضت,Remember,تیر اندازی سے پیدا ہوتی ہے:,مہارت و توجہ,غفلت,بے عملی,کمزوری,A | مہارت و توجہ,Medium,1,ULTRA,1
q_9_isl_b7_mcq_043,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جسمانی و ذہنی صحت اور جسمانی ریاضت,Remember,گھڑ سواری کا تعلق ہے:,جسمانی مہارت سے,سود سے,غیبت سے,بدشگونی سے,A | جسمانی مہارت سے,Medium,1,ULTRA,1
q_9_isl_b7_mcq_044,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جسمانی و ذہنی صحت اور جسمانی ریاضت,Remember,کھیلوں کا انتخاب ہونا چاہیے:,صحت مند,نقصان دہ,جوا پر مبنی,بے مقصد,A | صحت مند,Medium,1,ULTRA,1
q_9_isl_b7_mcq_045,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جسمانی و ذہنی صحت اور جسمانی ریاضت,Remember,صحت اور فراغت دونوں ہیں:,نعمتیں,سزائیں,رکاوٹیں,غیر اہم چیزیں,A | نعمتیں,Medium,1,ULTRA,1
q_9_isl_b7_mcq_046,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جسمانی و ذہنی صحت اور جسمانی ریاضت,Remember,صحت مند معاشرہ بنتا ہے:,صحت مند افراد سے,صرف دولت سے,صرف عمارتوں سے,صرف تجارت سے,A | صحت مند افراد سے,Medium,1,ULTRA,1
q_9_isl_b7_mcq_047,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جسمانی و ذہنی صحت اور جسمانی ریاضت,Remember,جسمانی صحت پر اثر انداز ہوتی ہے:,غذا اور ورزش,صرف لباس,صرف سفر,صرف دولت,A | غذا اور ورزش,Medium,1,ULTRA,1
q_9_isl_b7_mcq_048,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جسمانی و ذہنی صحت اور جسمانی ریاضت,Remember,ذہنی صحت کے لیے ضروری ہے:,اعتدال,بے اعتدالی,مسلسل تناؤ,کم نیند,A | اعتدال,Medium,1,ULTRA,1
q_9_isl_b7_mcq_049,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جسمانی و ذہنی صحت اور جسمانی ریاضت,Remember,ورزش میں وقت کا نظم ہے:,اہم,غیر ضروری,ممنوع,بے فائدہ,A | اہم,Medium,1,ULTRA,1
q_9_isl_b7_mcq_050,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جسمانی و ذہنی صحت اور جسمانی ریاضت,Remember,کھیل انسان میں بڑھا سکتے ہیں:,نظم و ضبط,غفلت,حسد,تکبر,A | نظم و ضبط,Medium,1,ULTRA,1
q_9_isl_b7_mcq_051,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,مستقبل کی منصوبہ بندی کا تعلق ہے کہ انسان تیاری کرے:,ماضی کے لیے,حال کے لیے,مستقبل کے لیے,فائدے کے لیے,C | مستقبل کے لیے,Medium,1,ELITE,1
q_9_isl_b7_mcq_052,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,حضرت یوسف علیہ السلام نے اہل مصر کے لیے بچاؤ کی منصوبہ بندی کی:,زلزلے سے,قحط سے,سیلاب سے,بارش سے,B | قحط سے,Medium,1,ELITE,1
q_9_isl_b7_mcq_053,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,غزوہ احزاب کے موقع پر حضرت سلمان فارسی رضی اللہ عنہ کے مشورے سے منصوبہ بندی کی گئی:,خندق کی کھدائی,دیوار کی تعمیر,اسلحہ خریداری,براہ راست مقابلہ,A | خندق کی کھدائی,Medium,1,ELITE,1
q_9_isl_b7_mcq_054,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,فتح مکہ کا پیش خیمہ ثابت ہوا:,واقعہ معراج,ہجرت حبشہ,سفر طائف,صلح حدیبیہ,D | صلح حدیبیہ,Medium,1,ELITE,1
q_9_isl_b7_mcq_055,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,انسان کا اللہ تعالیٰ کی ذات پر بھروسہ کرتے ہوئے اسباب کا اختیار کرنا کہلاتا ہے:,توکل,بخل,تقویٰ,طمع,A | توکل,Medium,1,ELITE,1
q_9_isl_b7_mcq_056,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,مستقبل کی منصوبہ بندی سے مراد ہے:,آنے والے وقت کی تیاری,ماضی پر افسوس,حال سے فرار,صرف خواہش,A | آنے والے وقت کی تیاری,Medium,1,ULTRA,1
q_9_isl_b7_mcq_057,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,اسلام میں منصوبہ بندی کے ساتھ ضروری ہے:,توکل,تکبر,ناامیدی,بے عملی,A | توکل,Medium,1,ULTRA,1
q_9_isl_b7_mcq_058,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,حضرت یوسف علیہ السلام کی منصوبہ بندی کا مقصد تھا:,قحط سے بچاؤ,جنگ,تجارت روکنا,ہجرت,A | قحط سے بچاؤ,Medium,1,ULTRA,1
q_9_isl_b7_mcq_059,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,غزوہ احزاب میں دفاعی حکمت عملی تھی:,خندق,قلعہ بندی فقط,سمندری جنگ,ہجرت,A | خندق,Medium,1,ULTRA,1
q_9_isl_b7_mcq_060,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,صلح حدیبیہ نے راستہ ہموار کیا:,فتح مکہ کا,غزوہ بدر کا,ہجرت حبشہ کا,واقعہ معراج کا,A | فتح مکہ کا,Medium,1,ULTRA,1
q_9_isl_b7_mcq_061,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,منصوبہ بندی کا ایک فائدہ ہے:,وسائل کا بہتر استعمال,وقت کا ضیاع,بے مقصدیت,مایوسی,A | وسائل کا بہتر استعمال,Medium,1,ULTRA,1
q_9_isl_b7_mcq_062,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,مستقبل کی تیاری انسان میں پیدا کرتی ہے:,ذمہ داری,غفلت,سستی,بے فکری,A | ذمہ داری,Medium,1,ULTRA,1
