question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_9_isl_b5_mcq_001,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | قسم کے احکام و مسائل,Remember,یمین کا معنی ہے:,قسم,مشورہ,معاونت,ارادہ,A | قسم,Medium,1,ELITE,1
q_9_isl_b5_mcq_012,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | ہمسایوں کے حقوق,Remember,قرآن پاک کے مطابق پڑوسیوں کی اقسام ہیں:,دو,تین,چار,پانچ,B | تین,Medium,1,ELITE,1
q_9_isl_b5_mcq_013,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE-LINKED | ہمسایوں کے حقوق,Remember,حدیث کے مطابق کامل مومن نہیں جس کا پڑوسی اس کی ____ سے محفوظ نہ ہو:,شرارت,محبت,تحفے,خاموشی,A | شرارت,Medium,1,ELITE,1
q_9_isl_b5_mcq_014,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | ہمسایوں کے حقوق,Remember,حضرت جبرائیلؑ نے کن کے حقوق کی بار بار تاکید فرمائی؟,ہمسائے,مزدور,مسافر,استاد,A | ہمسائے,Medium,1,ELITE,1
q_9_isl_b5_mcq_015,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | ہمسایوں کے حقوق,Remember,قرآن مجید میں رشتہ داروں کے حقوق کے ساتھ ذکر ہے:,پڑوسیوں کے حقوق کا,غلاموں کے حقوق کا,مزدوروں کے حقوق کا,اساتذہ کے حقوق کا,A | پڑوسیوں کے حقوق کا,Medium,1,ELITE,1
q_9_isl_b5_mcq_016,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | سود کی حرمت,Remember,سود کو عربی میں کہتے ہیں:,ربا,صوم,زکوٰۃ,ہدی,A | ربا,Medium,1,ELITE,1
q_9_isl_b5_mcq_017,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | سود کی حرمت,Remember,اللہ تعالیٰ نے سود کے مقابل حلال قرار دیا:,تجارت کو,سود کو,قمار کو,رشوت کو,A | تجارت کو,Medium,1,ELITE,1
q_9_isl_b5_mcq_018,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | سود کی حرمت,Remember,سود کا رواج عام ہونے سے لوگ چھوڑ دیتے ہیں:,محنت,سیاست,وراثت,سفر,A | محنت,Medium,1,ELITE,1
q_9_isl_b5_mcq_019,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | سود کی حرمت,Remember,ضرورت پوری کرنے کے لیے بہترین قرض ہے:,قرض حسنہ,سود,قمار,رشوت,A | قرض حسنہ,Medium,1,ELITE,1
q_9_isl_b5_mcq_020,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | سود کی حرمت,Remember,حدیث مبارک کے مطابق قرض دینے کا اجر بتایا گیا:,دوگنا,دس گنا,بارہ گنا,اٹھارہ گنا,D | اٹھارہ گنا,Medium,1,ELITE,1
q_9_isl_b5_mcq_021,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | اسلامی ریاست,Remember,اسلامی معاشرے کے بنیادی اداروں میں شامل ہیں:,خاندان، مسجد اور مکتب,خاندان، عدلیہ اور مقننہ,خاندان، مقننہ اور انتظامیہ,مقننہ، انتظامیہ اور عدلیہ,A | خاندان، مسجد اور مکتب,Medium,1,ELITE,1
q_9_isl_b5_mcq_022,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | اسلامی ریاست,Remember,خطبہ حجۃ الوداع میں نبی کریم ﷺ نے تاکید فرمائی:,جان و مال و عزت کی حفاظت کی,صرف تجارت کی,صرف سفر کی,صرف زراعت کی,A | جان و مال و عزت کی حفاظت کی,Medium,1,ELITE,1
q_9_isl_b5_mcq_023,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | اسلامی ریاست,Remember,ریاست کے بنیادی ادارے ہیں:,مقننہ، انتظامیہ اور عدلیہ,خاندان، مسجد اور مکتب,خاندان، عدلیہ اور مقننہ,مسجد، مکتب اور بازار,A | مقننہ، انتظامیہ اور عدلیہ,Medium,1,ELITE,1
q_9_isl_b5_mcq_024,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | اسلامی ریاست,Remember,پہلی اسلامی ریاست کی بنیاد رکھی گئی:,مدینہ منورہ میں,مکہ مکرمہ میں,طائف میں,دمشق میں,A | مدینہ منورہ میں,Medium,1,ELITE,1
q_9_isl_b5_mcq_025,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | اسلامی ریاست,Remember,اسلامی ریاست میں سیکرٹریٹ کا درجہ حاصل تھا:,مسجد نبوی ﷺ کو,دار ارقم کو,دربار کو,بازار کو,A | مسجد نبوی ﷺ کو,Medium,1,ELITE,1
q_9_isl_b5_mcq_026,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | جہاد فی سبیل اللہ,Remember,جہاد کا بنیادی مقصد ہے:,امن کا قیام,زمین کا حصول,شہرت,بدلہ,A | امن کا قیام,Medium,1,ELITE,1
q_9_isl_b5_mcq_027,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | جہاد فی سبیل اللہ,Remember,قتال کی اجازت مسلمانوں کو ملی:,مدینہ منورہ میں,مکہ مکرمہ میں,طائف میں,حبشہ میں,A | مدینہ منورہ میں,Medium,1,ELITE,1
q_9_isl_b5_mcq_028,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | جہاد فی سبیل اللہ,Remember,دہشت گردی کے خلاف 2018ء میں جاری ہونے والا قومی فتویٰ کہلاتا ہے:,پیغام پاکستان,دستور پاکستان,آئین پاکستان,تقریرات پاکستان,A | پیغام پاکستان,Medium,1,ELITE,1
q_9_isl_b5_mcq_029,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | جہاد فی سبیل اللہ,Remember,جہاد بالسیف کا بنیادی مقصد ختم کرنا ہے:,فساد فی الارض کو,غیر مسلموں کو,غربت کو,تجارت کو,A | فساد فی الارض کو,Medium,1,ELITE,1
q_9_isl_b5_mcq_030,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | جہاد فی سبیل اللہ,Remember,جہاد باللسان سے مراد ہے:,سلطان کے سامنے کلمہ حق کہنا,قلم کے ذریعے جہاد کرنا,تلوار سے جہاد کرنا,صرف مالی مدد کرنا,A | سلطان کے سامنے کلمہ حق کہنا,Medium,1,ELITE,1
q_9_isl_b5_mcq_031,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | قسم کے احکام و مسائل,Remember,قسم کا عربی لفظ ہے:,یمین,شہادت,ربا,جہاد,A | یمین,Medium,1,ULTRA,1
q_9_isl_b5_mcq_032,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | قسم کے احکام و مسائل,Remember,یمین لغو پر کفارہ:,نہیں,لازم ہے,دوگنا ہے,صرف مال ہے,A | نہیں,Medium,1,ULTRA,1
q_9_isl_b5_mcq_033,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | قسم کے احکام و مسائل,Remember,جان بوجھ کر جھوٹی قسم کہلاتی ہے:,یمین غموس,یمین لغو,یمین منعقدہ,یمین مباح,A | یمین غموس,Medium,1,ULTRA,1
q_9_isl_b5_mcq_034,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | قسم کے احکام و مسائل,Remember,آئندہ کام کے بارے میں پختہ قسم ہے:,یمین منعقدہ,یمین لغو,یمین غموس,یمین باطل,A | یمین منعقدہ,Medium,1,ULTRA,1
q_9_isl_b5_mcq_035,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | قسم کے احکام و مسائل,Remember,قسم صرف کھائی جائے:,اللہ کے نام کی,آباء کی,قبروں کی,ستاروں کی,A | اللہ کے نام کی,Medium,1,ULTRA,1
q_9_isl_b5_mcq_036,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | قسم کے احکام و مسائل,Remember,قسم کا کفارہ ادا کیا جاتا ہے:,قسم توڑنے پر,ہر قسم سے پہلے,صرف سفر میں,صرف رمضان میں,A | قسم توڑنے پر,Medium,1,ULTRA,1
q_9_isl_b5_mcq_037,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | قسم کے احکام و مسائل,Remember,قسم کے کفارے میں مسکینوں کو کھانا کھلانے کی تعداد ہے:,دس,پانچ,سات,بارہ,A | دس,Medium,1,ULTRA,1
q_9_isl_b5_mcq_038,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | قسم کے احکام و مسائل,Remember,کفارہ میں مسکینوں کو دیا جا سکتا ہے:,لباس,صرف قرض,صرف پانی,صرف تحفہ,A | لباس,Medium,1,ULTRA,1
q_9_isl_b5_mcq_039,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | قسم کے احکام و مسائل,Remember,کفارہ کی مالی صورت ممکن نہ ہو تو:,تین روزے,ایک روزہ,سات روزے,دس روزے,A | تین روزے,Medium,1,ULTRA,1
q_9_isl_b5_mcq_040,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | قسم کے احکام و مسائل,Remember,جھوٹی قسم کا بڑا نقصان ہے:,اعتماد کا خاتمہ,رزق کی ضمانت,محبت میں اضافہ,علم میں اضافہ,A | اعتماد کا خاتمہ,Medium,1,ULTRA,1
q_9_isl_b5_mcq_041,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | قسم کے احکام و مسائل,Remember,قسم کو معمولی بات بنانا ہے:,نامناسب,مستحب,فرض,لازم,A | نامناسب,Medium,1,ULTRA,1
q_9_isl_b5_mcq_042,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | قسم کے احکام و مسائل,Remember,سچی قسم بھی بلا ضرورت کثرت سے کھانا:,مناسب نہیں,فرض ہے,واجب ہے,سنت مؤکدہ,A | مناسب نہیں,Medium,1,ULTRA,1
q_9_isl_b5_mcq_043,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | گواہی کے احکام و مسائل,Remember,گواہی کا عربی لفظ ہے:,شہادت,یمین,ربا,صدقہ,A | شہادت,Medium,1,ULTRA,1
q_9_isl_b5_mcq_044,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | گواہی کے احکام و مسائل,Remember,گواہی کا مقصد ہے:,حق کا قیام,جھگڑا بڑھانا,مال جمع کرنا,شہرت,A | حق کا قیام,Medium,1,ULTRA,1
q_9_isl_b5_mcq_045,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | گواہی کے احکام و مسائل,Remember,جھوٹی گواہی ہے:,بڑا گناہ,نفل,مباح,مستحب,A | بڑا گناہ,Medium,1,ULTRA,1
q_9_isl_b5_mcq_046,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | گواہی کے احکام و مسائل,Remember,گواہی چھپانے سے متاثر ہوتا ہے:,انصاف,صرف تجارت,صرف سفر,صرف عبادت,A | انصاف,Medium,1,ULTRA,1
q_9_isl_b5_mcq_047,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | گواہی کے احکام و مسائل,Remember,سچی گواہی معاشرے میں بڑھاتی ہے:,عدل,فساد,جھوٹ,بدگمانی,A | عدل,Medium,1,ULTRA,1
q_9_isl_b5_mcq_048,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | گواہی کے احکام و مسائل,Remember,گواہ کو بیان کرنا چاہیے:,حقیقت,قیاس,افواہ,اندازہ,A | حقیقت,Medium,1,ULTRA,1
q_9_isl_b5_mcq_049,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | گواہی کے احکام و مسائل,Remember,جھوٹی گواہی سے حق دار:,محروم ہو سکتا ہے,ہمیشہ کامیاب ہوتا ہے,مالدار ہوتا ہے,محفوظ ہوتا ہے,A | محروم ہو سکتا ہے,Medium,1,ULTRA,1
q_9_isl_b5_mcq_050,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | گواہی کے احکام و مسائل,Remember,قرآن مجید نے گواہی کو چھپانے سے:,منع کیا,لازم کیا,مستحب کیا,افضل کہا,A | منع کیا,Medium,1,ULTRA,1
q_9_isl_b5_mcq_051,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | گواہی کے احکام و مسائل,Remember,گواہی دیتے وقت ضروری ہے:,دیانت,حسد,تکبر,غیبت,A | دیانت,Medium,1,ULTRA,1
q_9_isl_b5_mcq_052,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | گواہی کے احکام و مسائل,Remember,سچی شہادت عدالتی نظام کو بناتی ہے:,مضبوط,کمزور,غیر ضروری,غیر منصف,A | مضبوط,Medium,1,ULTRA,1
q_9_isl_b5_mcq_053,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | گواہی کے احکام و مسائل,Remember,جھوٹی شہادت معاشرے میں پیدا کرتی ہے:,ناانصافی,امن,اعتماد,مساوات,A | ناانصافی,Medium,1,ULTRA,1
q_9_isl_b5_mcq_054,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | گواہی کے احکام و مسائل,Remember,گواہی کی ذمہ داری کا تعلق ہے:,حقوق العباد سے,صرف روزے سے,صرف حج سے,صرف زکوٰۃ سے,A | حقوق العباد سے,Medium,1,ULTRA,1
q_9_isl_b5_mcq_055,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | ہمسایوں کے حقوق,Remember,اسلام میں ہمسائے کے حقوق ہیں:,اہم,غیر ضروری,صرف اختیاری,منسوخ,A | اہم,Medium,1,ULTRA,1
q_9_isl_b5_mcq_056,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | ہمسایوں کے حقوق,Remember,پڑوسی کو تکلیف دینا ہے:,ناجائز,مستحب,فرض,سنت,A | ناجائز,Medium,1,ULTRA,1
q_9_isl_b5_mcq_057,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | ہمسایوں کے حقوق,Remember,ہمسائے کی بیماری میں کرنا چاہیے:,عیادت,غیبت,مذاق,قطع تعلق,A | عیادت,Medium,1,ULTRA,1
q_9_isl_b5_mcq_058,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | ہمسایوں کے حقوق,Remember,ہمسائے کی خوشی میں کرنا چاہیے:,شرکت,حسد,مخالفت,تنہائی,A | شرکت,Medium,1,ULTRA,1
q_9_isl_b5_mcq_059,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | ہمسایوں کے حقوق,Remember,ہمسائے کی ضرورت میں کرنا چاہیے:,مدد,بدگمانی,تحقیر,غیبت,A | مدد,Medium,1,ULTRA,1
q_9_isl_b5_mcq_060,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | ہمسایوں کے حقوق,Remember,ہمسائے کے عیب کی حفاظت ہے:,حسن معاشرت,بددیانتی,جھوٹ,تکبر,A | حسن معاشرت,Medium,1,ULTRA,1
q_9_isl_b5_mcq_061,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | ہمسایوں کے حقوق,Remember,حضرت جبرائیلؑ کی مسلسل تاکید سے ظاہر ہوتی ہے:,حق ہمسایہ کی اہمیت,تجارت کی اہمیت,سفر کی اہمیت,شکار کی اہمیت,A | حق ہمسایہ کی اہمیت,Medium,1,ULTRA,1
q_9_isl_b5_mcq_062,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | ہمسایوں کے حقوق,Remember,قریب رشتہ دار پڑوسی کے حقوق ہوتے ہیں:,زیادہ,کم,کوئی نہیں,صرف ایک,A | زیادہ,Medium,1,ULTRA,1
q_9_isl_b5_mcq_063,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | ہمسایوں کے حقوق,Remember,اچھا ہمسایہ معاشرے میں بڑھاتا ہے:,امن,فساد,خوف,بدگمانی,A | امن,Medium,1,ULTRA,1
q_9_isl_b5_mcq_064,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | ہمسایوں کے حقوق,Remember,پڑوسی کی عزت و آبرو کی حفاظت ہے:,ضروری,غیر ضروری,ممنوع,مکروہ,A | ضروری,Medium,1,ULTRA,1
q_9_isl_b5_mcq_065,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | ہمسایوں کے حقوق,Remember,ہمسائے کو کھانے میں شریک کرنا اظہار ہے:,حسن سلوک,تکبر,حسد,قطع رحمی,A | حسن سلوک,Medium,1,ULTRA,1
q_9_isl_b5_mcq_066,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | ہمسایوں کے حقوق,Remember,بدسلوکی سے پڑوسیوں میں پیدا ہوتا ہے:,تنازع,اعتماد,اخوت,سکون,A | تنازع,Medium,1,ULTRA,1
q_9_isl_b5_mcq_067,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,سود کا عربی نام ہے:,ربا,زکوٰۃ,صدقہ,ہدی,A | ربا,Medium,1,ULTRA,1
q_9_isl_b5_mcq_068,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,قرآن مجید نے سود کو قرار دیا:,حرام,فرض,مستحب,مباح,A | حرام,Medium,1,ULTRA,1
q_9_isl_b5_mcq_069,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,اللہ تعالیٰ نے حلال کیا:,تجارت,سود,قمار,رشوت,A | تجارت,Medium,1,ULTRA,1
q_9_isl_b5_mcq_070,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,سود معاشرے میں بڑھاتا ہے:,استحصال,مساوات,رحم,قناعت,A | استحصال,Medium,1,ULTRA,1
q_9_isl_b5_mcq_071,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,سود کی وجہ سے دولت:,چند ہاتھوں میں سمٹتی ہے,برابر تقسیم ہوتی ہے,ختم ہو جاتی ہے,صرف غریبوں میں جاتی ہے,A | چند ہاتھوں میں سمٹتی ہے,Medium,1,ULTRA,1
q_9_isl_b5_mcq_072,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,سود محنت کے جذبے کو:,کم کرتا ہے,بڑھاتا ہے,لازم کرتا ہے,محفوظ کرتا ہے,A | کم کرتا ہے,Medium,1,ULTRA,1
