question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
q_9_isl_b7_short_001,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | خود اعتمادی و خود انحصاری,textbook_exercise_direct,خود اعتمادی و خود انحصاری کا مفہوم تحریر کریں۔,Medium,2,ELITE,1
q_9_isl_b7_short_012,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,textbook_exercise_direct,مستقبل کی منصوبہ بندی کے کوئی سے چار اثرات تحریر کریں۔,Medium,2,ELITE,1
q_9_isl_b7_short_013,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,textbook_exercise_direct,مستقبل کی منصوبہ بندی کے حوالے سے اسوہ حسنہ سے ایک مثال تحریر کریں۔,Medium,2,ELITE,1
q_9_isl_b7_short_014,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,textbook_exercise_direct,مستقبل کی منصوبہ بندی کے دو فائدے تحریر کیجئے۔,Medium,2,ELITE,1
q_9_isl_b7_short_015,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | اسلامی تہذیب کے امتیازات,textbook_exercise_direct,تہذیب کا معنی و مفہوم تحریر کریں۔,Medium,2,ELITE,1
q_9_isl_b7_short_016,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | اسلامی تہذیب کے امتیازات,textbook_exercise_direct,اسلامی تہذیب سے کیا مراد ہے؟,Medium,2,ELITE,1
q_9_isl_b7_short_017,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | اسلامی تہذیب کے امتیازات,textbook_exercise_direct,اسلامی تہذیب میں احترام رسالت مآب ﷺ کا کیا مقام ہے؟,Medium,2,ELITE,1
q_9_isl_b7_short_018,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | اسلامی تہذیب کے امتیازات,textbook_exercise_direct,اسلامی تہذیب کی کوئی تین بنیادی خصوصیات تحریر کریں۔,Medium,2,ELITE,1
q_9_isl_b7_short_019,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | اسلامی تہذیب کے امتیازات,textbook_exercise_direct,اسلامی تہذیب میں علم کی اہمیت بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b7_short_020,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,extra_important_practice,خود اعتمادی انسان کی شخصیت کو کیسے مضبوط بناتی ہے؟,Medium,2,ULTRA,1
q_9_isl_b7_short_021,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,extra_important_practice,خود انحصاری سے فرد میں ذمہ داری کا احساس کیسے پیدا ہوتا ہے؟,Medium,2,ULTRA,1
q_9_isl_b7_short_022,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,extra_important_practice,خود اعتمادی اور تکبر میں فرق بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b7_short_023,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,extra_important_practice,خود اعتمادی کے ساتھ توکل کیوں ضروری ہے؟,Medium,2,ULTRA,1
q_9_isl_b7_short_024,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,extra_important_practice,خود انحصاری قوم کی اجتماعی عزت میں کیسے اضافہ کرتی ہے؟,Medium,2,ULTRA,1
q_9_isl_b7_short_025,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,extra_important_practice,مشکلات میں خود اعتمادی انسان کی کیا مدد کرتی ہے؟,Medium,2,ULTRA,1
q_9_isl_b7_short_026,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,extra_important_practice,اسلامی تعلیمات میں محنت اور توکل کا باہمی تعلق بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b7_short_027,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,extra_important_practice,خود اعتمادی کے دو انفرادی فوائد لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b7_short_028,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,extra_important_practice,خود انحصاری کے دو معاشرتی فوائد لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b7_short_029,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,extra_important_practice,خود اعتمادی انسان کو مایوسی سے کیسے بچاتی ہے؟,Medium,2,ULTRA,1
q_9_isl_b7_short_030,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,extra_important_practice,دوسروں پر غیر ضروری انحصار کے دو نقصانات لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b7_short_031,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,extra_important_practice,خود اعتمادی کے ساتھ عاجزی کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b7_short_032,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,extra_important_practice,قوموں کی ترقی میں خود انحصاری کا کردار بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b7_short_033,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,extra_important_practice,اپنی صلاحیتوں پر یقین اور اللہ پر بھروسے میں کیا تعلق ہے؟,Medium,2,ULTRA,1
q_9_isl_b7_short_034,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جسمانی و ذہنی صحت اور جسمانی ریاضت,extra_important_practice,اسلام میں جسمانی صحت کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b7_short_035,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جسمانی و ذہنی صحت اور جسمانی ریاضت,extra_important_practice,طاقت ور مومن کی فضیلت مختصراً بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b7_short_036,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جسمانی و ذہنی صحت اور جسمانی ریاضت,extra_important_practice,صحت اور فراغت کو بڑی نعمتیں کیوں کہا گیا ہے؟,Medium,2,ULTRA,1
q_9_isl_b7_short_037,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جسمانی و ذہنی صحت اور جسمانی ریاضت,extra_important_practice,ورزش جسمانی قوت میں کیسے اضافہ کرتی ہے؟,Medium,2,ULTRA,1
q_9_isl_b7_short_038,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جسمانی و ذہنی صحت اور جسمانی ریاضت,extra_important_practice,ورزش ذہنی دباؤ کم کرنے میں کیسے مدد دیتی ہے؟,Medium,2,ULTRA,1
q_9_isl_b7_short_039,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جسمانی و ذہنی صحت اور جسمانی ریاضت,extra_important_practice,صحت مند کھیل کے دو فوائد لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b7_short_040,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جسمانی و ذہنی صحت اور جسمانی ریاضت,extra_important_practice,کھیلوں میں شرعی حدود کی پابندی کیوں ضروری ہے؟,Medium,2,ULTRA,1
q_9_isl_b7_short_041,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جسمانی و ذہنی صحت اور جسمانی ریاضت,extra_important_practice,تیر اندازی اور گھڑ سواری سے کون سی صلاحیتیں پیدا ہوتی ہیں؟,Medium,2,ULTRA,1
q_9_isl_b7_short_042,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جسمانی و ذہنی صحت اور جسمانی ریاضت,extra_important_practice,جسمانی صحت اور عبادت میں کیا تعلق ہے؟,Medium,2,ULTRA,1
q_9_isl_b7_short_043,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جسمانی و ذہنی صحت اور جسمانی ریاضت,extra_important_practice,مناسب غذا اور ورزش کا باہمی تعلق بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b7_short_044,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جسمانی و ذہنی صحت اور جسمانی ریاضت,extra_important_practice,ذہنی صحت کے لیے اعتدال کیوں ضروری ہے؟,Medium,2,ULTRA,1
q_9_isl_b7_short_045,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جسمانی و ذہنی صحت اور جسمانی ریاضت,extra_important_practice,کھیل انسان میں نظم و ضبط کیسے پیدا کرتے ہیں؟,Medium,2,ULTRA,1
q_9_isl_b7_short_046,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جسمانی و ذہنی صحت اور جسمانی ریاضت,extra_important_practice,ورزش میں بے اعتدالی کے دو نقصانات لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b7_short_047,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_practice,حضرت یوسف علیہ السلام کی منصوبہ بندی سے کیا سبق ملتا ہے؟,Medium,2,ULTRA,1
q_9_isl_b7_short_048,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_practice,غزوہ احزاب میں خندق کی حکمت عملی کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b7_short_049,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_practice,صلح حدیبیہ مستقبل کی منصوبہ بندی کی مثال کیسے ہے؟,Medium,2,ULTRA,1
q_9_isl_b7_short_050,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_practice,منصوبہ بندی اور توکل میں کیا تعلق ہے؟,Medium,2,ULTRA,1
q_9_isl_b7_short_051,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_practice,اسباب اختیار کرنے سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b7_short_052,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_practice,صرف اسباب پر بھروسہ کرنا درست کیوں نہیں؟,Medium,2,ULTRA,1
q_9_isl_b7_short_053,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_practice,مستقبل کی منصوبہ بندی وسائل کے بہتر استعمال میں کیسے مدد دیتی ہے؟,Medium,2,ULTRA,1
q_9_isl_b7_short_054,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_practice,منصوبہ بندی ناکامی کے امکانات کم کیسے کرتی ہے؟,Medium,2,ULTRA,1
q_9_isl_b7_short_055,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_practice,منصوبہ بندی میں واضح مقاصد کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b7_short_056,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_practice,مشاورت مستقبل کی منصوبہ بندی میں کیوں مفید ہے؟,Medium,2,ULTRA,1
q_9_isl_b7_short_057,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_practice,اسلامی منصوبہ بندی میں شرعی حدود کی پابندی کیوں ضروری ہے؟,Medium,2,ULTRA,1
q_9_isl_b7_short_058,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_practice,منصوبہ بندی انسان میں ذمہ داری کیسے پیدا کرتی ہے؟,Medium,2,ULTRA,1
q_9_isl_b7_short_059,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_practice,دور اندیشی اور منصوبہ بندی میں کیا تعلق ہے؟,Medium,2,ULTRA,1
q_9_isl_b7_short_060,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_practice,اسلامی تہذیب کی بنیاد توحید کو کیوں کہا جاتا ہے؟,Medium,2,ULTRA,1
q_9_isl_b7_short_061,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_practice,اسلامی تہذیب کی عالمگیریت سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b7_short_062,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_practice,اسلامی تہذیب انسانی عزت و حرمت کی حفاظت کیسے کرتی ہے؟,Medium,2,ULTRA,1
q_9_isl_b7_short_063,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_practice,اسلامی تہذیب میں مساوات کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b7_short_064,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_practice,اسلامی تہذیب میں عدل کی حیثیت کیا ہے؟,Medium,2,ULTRA,1
q_9_isl_b7_short_065,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_practice,اسلامی تہذیب میں علم کو بنیادی اہمیت کیوں حاصل ہے؟,Medium,2,ULTRA,1
q_9_isl_b7_short_066,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_practice,پہلی وحی کے لفظ «اقرأ» سے کیا پیغام ملتا ہے؟,Medium,2,ULTRA,1
q_9_isl_b7_short_067,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_practice,اسلامی تہذیب میں رنگ و نسل کی برتری کی نفی کیسے ہوتی ہے؟,Medium,2,ULTRA,1
q_9_isl_b7_short_068,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_practice,اسلامی تہذیب کے دو اخلاقی امتیازات لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b7_short_069,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_practice,اسلامی تہذیب انسان کو متوازن زندگی کیسے سکھاتی ہے؟,Medium,2,ULTRA,1
q_9_isl_b7_short_070,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_practice,اسلامی تہذیب میں انسانی حقوق کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b7_short_071,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_practice,احترام رسالت ﷺ اسلامی تہذیب کی شناخت کیسے ہے؟,Medium,2,ULTRA,1
q_9_isl_b7_short_072,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_practice,اسلامی تہذیب نے دوسری اقوام کو کیسے متاثر کیا؟,Medium,2,ULTRA,1
