question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_9_isl_b3_mcq_001,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | فتح مکہ,Remember,فتح مکہ کے اسباب میں شامل تھا:,بنو خزاعہ پر حملہ,جنگ بدر,غزوہ خندق,ہجرت حبشہ,A | بنو خزاعہ پر حملہ,Medium,1,ELITE,1
q_9_isl_b3_mcq_015,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | عام الوفود,Remember,اشج عبدالقیس کی نمایاں صفت تھی:,حلم و بردباری,فضول خرچی,سخت مزاجی,غرور,A | حلم و بردباری,Medium,1,ELITE,1
q_9_isl_b3_mcq_016,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | غزوہ تبوک,Remember,تبوک ایک مقام تھا:,چشمے کا,دریا کا,بندرگاہ کا,جزیرے کا,A | چشمے کا,Medium,1,ELITE,1
q_9_isl_b3_mcq_017,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | غزوہ تبوک,Remember,تبوک کے لیے حضرت ابوبکرؓ نے پیش کیا:,گھر کا سارا سامان,صرف کھجوریں,آدھا سامان,صرف اونٹ,A | گھر کا سارا سامان,Medium,1,ELITE,1
q_9_isl_b3_mcq_018,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | غزوہ تبوک,Remember,تبوک کے موقع پر حضرت علیؓ کو ذمہ داری دی گئی:,اہل بیت کی حفاظت,لشکر کی قیادت,زکوٰۃ جمع کرنا,بازار چلانا,A | اہل بیت کی حفاظت,Medium,1,ELITE,1
q_9_isl_b3_mcq_019,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | غزوہ تبوک,Remember,غزوہ تبوک میں نمایاں مشکل تھی:,زاد راہ کی قلت,افراد کی قلت,پانی کی فراوانی,ہتھیاروں کی زیادتی,A | زاد راہ کی قلت,Medium,1,ELITE,1
q_9_isl_b3_mcq_020,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | غزوہ تبوک,Remember,حضرت کعب بن مالکؓ کا واقعہ تعلق رکھتا ہے:,غزوہ تبوک,فتح مکہ,حنین,بدر,A | غزوہ تبوک,Medium,1,ELITE,1
q_9_isl_b3_mcq_021,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | حجۃ الوداع,Remember,نبی کریم ﷺ نے حجۃ الوداع ادا فرمایا:,10 ہجری,8 ہجری,9 ہجری,11 ہجری,A | 10 ہجری,Medium,1,ELITE,1
q_9_isl_b3_mcq_022,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | حجۃ الوداع,Remember,حج اور عمرہ کا ایک احرام باندھنا کہلاتا ہے:,حج قران,حج افراد,حج تمتع,حج مبرور,A | حج قران,Medium,1,ELITE,1
q_9_isl_b3_mcq_023,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | حجۃ الوداع,Remember,ہدی سے مراد ہے:,قربانی کا جانور,طاقتور جانور,پالتو جانور,سواری,A | قربانی کا جانور,Medium,1,ELITE,1
q_9_isl_b3_mcq_024,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | حجۃ الوداع,Remember,واپسی پر حضرت علیؓ کے بارے میں بیان ہوا:,غدیر خم,حدیبیہ,منیٰ,ذوالحلیفہ,A | غدیر خم,Medium,1,ELITE,1
q_9_isl_b3_mcq_025,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | حجۃ الوداع,Remember,خطبہ حجۃ الوداع میں صحابہ سے گواہی لی گئی کہ:,پیغام پہنچا دیا,مال تقسیم کیا,جنگ مکمل ہوئی,ہجرت ختم ہوئی,A | پیغام پہنچا دیا,Medium,1,ELITE,1
q_9_isl_b3_mcq_026,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | وصال نبوی ﷺ,Remember,نبی کریم ﷺ کی آخری بیماری شروع ہوئی:,صفر میں,محرم میں,ربیع الثانی میں,رمضان میں,A | صفر میں,Medium,1,ELITE,1
q_9_isl_b3_mcq_027,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | وصال نبوی ﷺ,Remember,آخری ایام میں خصوصی تاکید تھی:,نماز کی,تجارت کی,شکار کی,سفر کی,A | نماز کی,Medium,1,ELITE,1
q_9_isl_b3_mcq_028,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | وصال نبوی ﷺ,Remember,آخری ایام میں کمزوروں کے حقوق میں خاص طور پر ذکر ہوا:,غلاموں کا,تاجروں کا,بادشاہوں کا,شاعروں کا,A | غلاموں کا,Medium,1,ELITE,1
q_9_isl_b3_mcq_029,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | وصال نبوی ﷺ,Remember,حضرت فاطمہؓ کو خوشی ہوئی:,قریب ملاقات کی بشارت پر,مال ملنے پر,سفر کی اجازت پر,جنگ کی خبر پر,A | قریب ملاقات کی بشارت پر,Medium,1,ELITE,1
q_9_isl_b3_mcq_030,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | وصال نبوی ﷺ,Remember,نبی کریم ﷺ کا وصال ہوا:,چاشت کے وقت,عشاء کے وقت,مغرب کے وقت,آدھی رات,A | چاشت کے وقت,Medium,1,ELITE,1
q_9_isl_b3_mcq_031,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | بچپن و جوانی,Remember,نبی کریم ﷺ کی ولادت مشہور قول کے مطابق ہوئی:,22 اپریل 571ء,18 اپریل 571ء,24 اپریل 571ء,26 اپریل 571ء,A | 22 اپریل 571ء,Medium,1,ELITE,1
q_9_isl_b3_mcq_032,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | بچپن و جوانی,Remember,عبدالمطلب کی وفات کے وقت نبی کریم ﷺ کی عمر تھی:,8 سال,6 سال,10 سال,12 سال,A | 8 سال,Medium,1,ELITE,1
q_9_isl_b3_mcq_033,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | بچپن و جوانی,Remember,نبی کریم ﷺ کی رضاعی والدہ تھیں:,حضرت حلیمہ سعدیہؓ,حضرت شیماءؓ,حضرت ام ایمنؓ,حضرت ثویبہؓ,A | حضرت حلیمہ سعدیہؓ,Medium,1,ELITE,1
q_9_isl_b3_mcq_034,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | بچپن و جوانی,Remember,جاہلی معاہدوں میں پسندیدہ معاہدہ تھا:,حلف الفضول,میثاق مدینہ,صلح حدیبیہ,مواخات مدینہ,A | حلف الفضول,Medium,1,ELITE,1
q_9_isl_b3_mcq_035,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | بچپن و جوانی,Remember,جوانی میں نبی کریم ﷺ مشہور ہوئے:,صادق و امین,شاعر,بادشاہ,سپہ سالار,A | صادق و امین,Medium,1,ELITE,1
q_9_isl_b3_mcq_036,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | ذوق عبادت,Remember,عبادت میں میانہ روی کی تلقین کی گئی:,حضرت عبداللہ بن عمروؓ کو,حضرت خالدؓ کو,حضرت بلالؓ کو,حضرت عباسؓ کو,A | حضرت عبداللہ بن عمروؓ کو,Medium,1,ELITE,1
q_9_isl_b3_mcq_037,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | ذوق عبادت,Remember,پاؤں میں ورم کے جواب میں فرمایا:,شکر گزار بندہ نہ بنوں؟,عبادت چھوڑ دوں؟,صرف دن میں عبادت؟,صرف سفر میں عبادت؟,A | شکر گزار بندہ نہ بنوں؟,Medium,1,ELITE,1
q_9_isl_b3_mcq_038,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | ذوق عبادت,Remember,نماز کو قرار دیا گیا:,آنکھوں کی ٹھنڈک,دنیاوی مشقت,صرف عادت,صرف ورزش,A | آنکھوں کی ٹھنڈک,Medium,1,ELITE,1
q_9_isl_b3_mcq_039,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | ذوق عبادت,Remember,اسلامی عبادات میں مطلوب رویہ ہے:,میانہ روی,غلو,سستی,ریاکاری,A | میانہ روی,Medium,1,ELITE,1
q_9_isl_b3_mcq_040,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | ذوق عبادت,Remember,عبادت کا بنیادی مقصد ہے:,رضائے الٰہی,نمائش,شہرت,مال,A | رضائے الٰہی,Medium,1,ELITE,1
q_9_isl_b3_mcq_041,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | سخاوت,Remember,سخاوت سے مراد ہے:,کھلے دل سے خرچ کرنا,فضول خرچی,مال روکنا,بحث کرنا,A | کھلے دل سے خرچ کرنا,Medium,1,ELITE,1
q_9_isl_b3_mcq_042,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | سخاوت,Remember,علمی سخاوت کی مثال ہے:,علمی بات سمجھانا,مال جمع کرنا,کسی پر ہنسنا,خاموش رہنا,A | علمی بات سمجھانا,Medium,1,ELITE,1
q_9_isl_b3_mcq_043,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | سخاوت,Remember,انصاری میزبان نے مہمان کے لیے:,خود بھوکے رہ کر کھلایا,اسے واپس بھیجا,صرف پانی دیا,مال چھپا لیا,A | خود بھوکے رہ کر کھلایا,Medium,1,ELITE,1
q_9_isl_b3_mcq_044,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | سخاوت,Remember,مال کی بے حد محبت کم کرتی ہے:,سخاوت,منافقت,حسد,قطع رحمی,A | سخاوت,Medium,1,ELITE,1
q_9_isl_b3_mcq_045,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | سخاوت,Remember,سخاوت کی اعلیٰ شکل ہے:,ایثار,بخل,اسراف,ریاکاری,A | ایثار,Medium,1,ELITE,1
q_9_isl_b3_mcq_046,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | صلہ رحمی,Remember,صلہ رحمی سے مراد ہے:,رشتہ داروں سے اچھا تعلق,تعلقات ختم کرنا,فضول خرچی,تنہائی,A | رشتہ داروں سے اچھا تعلق,Medium,1,ELITE,1
q_9_isl_b3_mcq_047,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | صلہ رحمی,Remember,رشتہ داروں سے تعلق توڑنا کہلاتا ہے:,قطع رحمی,سخاوت,میانہ روی,قناعت,A | قطع رحمی,Medium,1,ELITE,1
q_9_isl_b3_mcq_048,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | صلہ رحمی,Remember,کامل صلہ رحمی یہ ہے کہ:,توڑنے والے سے تعلق جوڑا جائے,صرف مال دیا جائے,صرف ملاقات ہو,صرف تحفہ دیا جائے,A | توڑنے والے سے تعلق جوڑا جائے,Medium,1,ELITE,1
q_9_isl_b3_mcq_049,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | صلہ رحمی,Remember,صلہ رحمی سے معاشرے میں بڑھتی ہے:,محبت,نفرت,بدگمانی,تفرقہ,A | محبت,Medium,1,ELITE,1
q_9_isl_b3_mcq_050,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | صلہ رحمی,Remember,قطع رحمی کا نتیجہ ہے:,خاندانی انتشار,اتحاد,محبت,اعتماد,A | خاندانی انتشار,Medium,1,ELITE,1
q_9_isl_b3_mcq_051,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | خواتین کے ساتھ حسن سلوک,Remember,جنت کس کے قدموں میں بتائی گئی؟,ماں,باپ,بھائی,دوست,A | ماں,Medium,1,ELITE,1
q_9_isl_b3_mcq_052,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | خواتین کے ساتھ حسن سلوک,Remember,قیامت میں نبی ﷺ کے قریب ہوگا:,بیٹیوں کی اچھی تربیت کرنے والا,مال جمع کرنے والا,صرف سفر کرنے والا,دوسروں کو معاف نہ کرنے والا,A | بیٹیوں کی اچھی تربیت کرنے والا,Medium,1,ELITE,1
q_9_isl_b3_mcq_053,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | خواتین کے ساتھ حسن سلوک,Remember,حضرت فاطمہؓ کے آنے پر نبی کریم ﷺ:,کھڑے ہو جاتے تھے,رخ موڑ لیتے تھے,خاموش رہتے تھے,گھر سے نکل جاتے تھے,A | کھڑے ہو جاتے تھے,Medium,1,ELITE,1
q_9_isl_b3_mcq_054,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | خواتین کے ساتھ حسن سلوک,Remember,نبی کریم ﷺ نے حسن سلوک کی وصیت فرمائی:,عورتوں کے ساتھ,تاجروں کے ساتھ,صرف حکمرانوں کے ساتھ,صرف طلبہ کے ساتھ,A | عورتوں کے ساتھ,Medium,1,ELITE,1
q_9_isl_b3_mcq_055,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | خواتین کے ساتھ حسن سلوک,Remember,حضرت حلیمہ سعدیہؓ کے استقبال میں نبی کریم ﷺ نے:,اپنی چادر بچھائی,دروازہ بند کیا,قافلہ واپس کیا,بازار روانہ کیا,A | اپنی چادر بچھائی,Medium,1,ELITE,1
q_9_isl_b3_mcq_056,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | انداز تربیت,Remember,نبی کریم ﷺ کی دس سال خدمت کی:,حضرت انس بن مالکؓ نے,حضرت طلحہؓ نے,حضرت ابو ہریرہؓ نے,حضرت زبیرؓ نے,A | حضرت انس بن مالکؓ نے,Medium,1,ELITE,1
q_9_isl_b3_mcq_057,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | انداز تربیت,Remember,حضرت معاذ بن جبلؓ کو بھیجا گیا:,یمن,مصر,شام,طائف,A | یمن,Medium,1,ELITE,1
q_9_isl_b3_mcq_058,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | انداز تربیت,Remember,قیامت کے سوال پر نبی کریم ﷺ نے پوچھا:,تم نے کیا تیاری کی؟,تم کہاں سے آئے؟,تمہارا نام کیا؟,تم کیوں چلے گئے؟,A | تم نے کیا تیاری کی؟,Medium,1,ELITE,1
q_9_isl_b3_mcq_059,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | انداز تربیت,Remember,نبی کریم ﷺ نے شفقت سے ہاتھ پھیرا:,محنت کش کے ہاتھ پر,سخی کے مال پر,تاجر کے مال پر,حاکم کی کرسی پر,A | محنت کش کے ہاتھ پر,Medium,1,ELITE,1
q_9_isl_b3_mcq_060,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE / EXERCISE-LINKED | انداز تربیت,Remember,تربیت میں نبی کریم ﷺ نے اختیار کیا:,تدرج,سختی ہمیشہ,خاموشی ہمیشہ,صرف تحریر,A | تدرج,Medium,1,ELITE,1
q_9_isl_b3_mcq_061,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | فتح مکہ,Remember,فتح مکہ میں اسلامی لشکر کی قیادت تھی:,نبی کریم ﷺ کے پاس,ابو سفیان کے پاس,رومیوں کے پاس,ہوازن کے پاس,A | نبی کریم ﷺ کے پاس,Medium,1,ULTRA,1
q_9_isl_b3_mcq_062,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | فتح مکہ,Remember,فتح مکہ کا نمایاں نتیجہ تھا:,مکہ میں اسلام کا غلبہ,مسلمانوں کی ہجرت,مدینہ کا سقوط,روم کی فتح,A | مکہ میں اسلام کا غلبہ,Medium,1,ULTRA,1
q_9_isl_b3_mcq_063,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | فتح مکہ,Remember,فتح مکہ میں عام معافی نے ظاہر کیا:,رحمت,انتقام,غرور,بخل,A | رحمت,Medium,1,ULTRA,1
q_9_isl_b3_mcq_064,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | فتح مکہ,Remember,خانہ کعبہ سے بت نکالنا علامت تھا:,توحید کے غلبے کی,تجارت کی,قحط کی,ہجرت کی,A | توحید کے غلبے کی,Medium,1,ULTRA,1
q_9_isl_b3_mcq_065,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | غزوہ حنین,Remember,حنین میں ابتدائی آزمائش کا سبب بنا:,کثرت تعداد پر اعتماد,قلت تعداد,پانی کی کمی,رات کا سفر,A | کثرت تعداد پر اعتماد,Medium,1,ULTRA,1
q_9_isl_b3_mcq_066,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | غزوہ حنین,Remember,حنین میں کامیابی ملی:,اللہ کی مدد سے,صرف تعداد سے,صرف مال سے,صرف ہتھیار سے,A | اللہ کی مدد سے,Medium,1,ULTRA,1
q_9_isl_b3_mcq_067,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | غزوہ حنین,Remember,حنین کے بعد مال غنیمت تقسیم ہوا:,جعرانہ میں,مکہ میں,مدینہ میں,تبوک میں,A | جعرانہ میں,Medium,1,ULTRA,1
q_9_isl_b3_mcq_068,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | عام الوفود,Remember,عام الوفود میں قبائل آئے:,اسلام قبول کرنے,جنگ کرنے,تجارت روکنے,ہجرت کرنے,A | اسلام قبول کرنے,Medium,1,ULTRA,1
