question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
q_9_isl_b6_short_001,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | اہل بیت اطہار | حضرت امام زین العابدین رحمۃ اللہ علیہ,textbook_oriented_short,حضرت امام زین العابدین رحمۃ اللہ علیہ کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_012,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابہ کرام رضی اللہ عنہم | حضرت ابو موسیٰ اشعری رضی اللہ عنہ,textbook_oriented_short,حضرت ابو موسیٰ اشعری رضی اللہ عنہ کی دینی، علمی یا معاشرتی خدمات میں سے کوئی دو بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_013,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابہ کرام رضی اللہ عنہم | حضرت ابو موسیٰ اشعری رضی اللہ عنہ,textbook_oriented_short,حضرت ابو موسیٰ اشعری رضی اللہ عنہ کی دو نمایاں صفات تحریر کریں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_014,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صحابہ کرام رضی اللہ عنہم | حضرت ابو موسیٰ اشعری رضی اللہ عنہ,extra_important_practice,حضرت ابو موسیٰ اشعری رضی اللہ عنہ کی زندگی سے حاصل ہونے والے دو اسباق لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_015,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صحابہ کرام رضی اللہ عنہم | حضرت ابو موسیٰ اشعری رضی اللہ عنہ,extra_important_practice,حضرت ابو موسیٰ اشعری رضی اللہ عنہ کی شخصیت کا ایک اہم واقعہ یا خدمت مختصراً بیان کریں۔,Medium,2,PRO,1
q_9_isl_b6_short_016,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابہ کرام رضی اللہ عنہم | حضرت عبداللہ بن عمرو بن العاص رضی اللہ عنہ,textbook_oriented_short,حضرت عبداللہ بن عمرو بن العاص رضی اللہ عنہ کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_017,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابہ کرام رضی اللہ عنہم | حضرت عبداللہ بن عمرو بن العاص رضی اللہ عنہ,textbook_oriented_short,حضرت عبداللہ بن عمرو بن العاص رضی اللہ عنہ کی دینی، علمی یا معاشرتی خدمات میں سے کوئی دو بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_018,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابہ کرام رضی اللہ عنہم | حضرت عبداللہ بن عمرو بن العاص رضی اللہ عنہ,textbook_oriented_short,حضرت عبداللہ بن عمرو بن العاص رضی اللہ عنہ کی دو نمایاں صفات تحریر کریں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_019,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صحابہ کرام رضی اللہ عنہم | حضرت عبداللہ بن عمرو بن العاص رضی اللہ عنہ,extra_important_practice,حضرت عبداللہ بن عمرو بن العاص رضی اللہ عنہ کی زندگی سے حاصل ہونے والے دو اسباق لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_020,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صحابہ کرام رضی اللہ عنہم | حضرت عبداللہ بن عمرو بن العاص رضی اللہ عنہ,extra_important_practice,حضرت عبداللہ بن عمرو بن العاص رضی اللہ عنہ کی شخصیت کا ایک اہم واقعہ یا خدمت مختصراً بیان کریں۔,Medium,2,PRO,1
q_9_isl_b6_short_021,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابہ کرام رضی اللہ عنہم | حضرت عمرو بن امیہ رضی اللہ عنہ,textbook_oriented_short,حضرت عمرو بن امیہ رضی اللہ عنہ کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_022,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابہ کرام رضی اللہ عنہم | حضرت عمرو بن امیہ رضی اللہ عنہ,textbook_oriented_short,حضرت عمرو بن امیہ رضی اللہ عنہ کی دینی، علمی یا معاشرتی خدمات میں سے کوئی دو بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_023,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابہ کرام رضی اللہ عنہم | حضرت عمرو بن امیہ رضی اللہ عنہ,textbook_oriented_short,حضرت عمرو بن امیہ رضی اللہ عنہ کی دو نمایاں صفات تحریر کریں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_024,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صحابہ کرام رضی اللہ عنہم | حضرت عمرو بن امیہ رضی اللہ عنہ,extra_important_practice,حضرت عمرو بن امیہ رضی اللہ عنہ کی زندگی سے حاصل ہونے والے دو اسباق لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_025,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صحابہ کرام رضی اللہ عنہم | حضرت عمرو بن امیہ رضی اللہ عنہ,extra_important_practice,حضرت عمرو بن امیہ رضی اللہ عنہ کی شخصیت کا ایک اہم واقعہ یا خدمت مختصراً بیان کریں۔,Medium,2,PRO,1
q_9_isl_b6_short_026,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابہ کرام رضی اللہ عنہم | حضرت عمرو بن العاص رضی اللہ عنہ,textbook_oriented_short,حضرت عمرو بن العاص رضی اللہ عنہ کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_027,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابہ کرام رضی اللہ عنہم | حضرت عمرو بن العاص رضی اللہ عنہ,textbook_oriented_short,حضرت عمرو بن العاص رضی اللہ عنہ کی دینی، علمی یا معاشرتی خدمات میں سے کوئی دو بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_028,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابہ کرام رضی اللہ عنہم | حضرت عمرو بن العاص رضی اللہ عنہ,textbook_oriented_short,حضرت عمرو بن العاص رضی اللہ عنہ کی دو نمایاں صفات تحریر کریں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_029,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صحابہ کرام رضی اللہ عنہم | حضرت عمرو بن العاص رضی اللہ عنہ,extra_important_practice,حضرت عمرو بن العاص رضی اللہ عنہ کی زندگی سے حاصل ہونے والے دو اسباق لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_030,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صحابہ کرام رضی اللہ عنہم | حضرت عمرو بن العاص رضی اللہ عنہ,extra_important_practice,حضرت عمرو بن العاص رضی اللہ عنہ کی شخصیت کا ایک اہم واقعہ یا خدمت مختصراً بیان کریں۔,Medium,2,PRO,1
q_9_isl_b6_short_031,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابہ کرام رضی اللہ عنہم | حضرت جابر بن عبداللہ رضی اللہ عنہ,textbook_oriented_short,حضرت جابر بن عبداللہ رضی اللہ عنہ کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_032,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابہ کرام رضی اللہ عنہم | حضرت جابر بن عبداللہ رضی اللہ عنہ,textbook_oriented_short,حضرت جابر بن عبداللہ رضی اللہ عنہ کی دینی، علمی یا معاشرتی خدمات میں سے کوئی دو بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_033,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابہ کرام رضی اللہ عنہم | حضرت جابر بن عبداللہ رضی اللہ عنہ,textbook_oriented_short,حضرت جابر بن عبداللہ رضی اللہ عنہ کی دو نمایاں صفات تحریر کریں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_034,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صحابہ کرام رضی اللہ عنہم | حضرت جابر بن عبداللہ رضی اللہ عنہ,extra_important_practice,حضرت جابر بن عبداللہ رضی اللہ عنہ کی زندگی سے حاصل ہونے والے دو اسباق لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_035,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صحابہ کرام رضی اللہ عنہم | حضرت جابر بن عبداللہ رضی اللہ عنہ,extra_important_practice,حضرت جابر بن عبداللہ رضی اللہ عنہ کی شخصیت کا ایک اہم واقعہ یا خدمت مختصراً بیان کریں۔,Medium,2,PRO,1
q_9_isl_b6_short_036,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابہ کرام رضی اللہ عنہم | حضرت انس بن مالک رضی اللہ عنہ,textbook_oriented_short,حضرت انس بن مالک رضی اللہ عنہ کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_037,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابہ کرام رضی اللہ عنہم | حضرت انس بن مالک رضی اللہ عنہ,textbook_oriented_short,حضرت انس بن مالک رضی اللہ عنہ کی دینی، علمی یا معاشرتی خدمات میں سے کوئی دو بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_038,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابہ کرام رضی اللہ عنہم | حضرت انس بن مالک رضی اللہ عنہ,textbook_oriented_short,حضرت انس بن مالک رضی اللہ عنہ کی دو نمایاں صفات تحریر کریں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_039,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صحابہ کرام رضی اللہ عنہم | حضرت انس بن مالک رضی اللہ عنہ,extra_important_practice,حضرت انس بن مالک رضی اللہ عنہ کی زندگی سے حاصل ہونے والے دو اسباق لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_040,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صحابہ کرام رضی اللہ عنہم | حضرت انس بن مالک رضی اللہ عنہ,extra_important_practice,حضرت انس بن مالک رضی اللہ عنہ کی شخصیت کا ایک اہم واقعہ یا خدمت مختصراً بیان کریں۔,Medium,2,PRO,1
q_9_isl_b6_short_041,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابیات رضی اللہ عنہن | حضرت شفاء بنت عبداللہ رضی اللہ عنہا,textbook_oriented_short,حضرت شفاء بنت عبداللہ رضی اللہ عنہا کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_042,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابیات رضی اللہ عنہن | حضرت شفاء بنت عبداللہ رضی اللہ عنہا,textbook_oriented_short,حضرت شفاء بنت عبداللہ رضی اللہ عنہا کی دینی، علمی یا معاشرتی خدمات میں سے کوئی دو بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_043,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابیات رضی اللہ عنہن | حضرت شفاء بنت عبداللہ رضی اللہ عنہا,textbook_oriented_short,حضرت شفاء بنت عبداللہ رضی اللہ عنہا کی دو نمایاں صفات تحریر کریں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_044,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صحابیات رضی اللہ عنہن | حضرت شفاء بنت عبداللہ رضی اللہ عنہا,extra_important_practice,حضرت شفاء بنت عبداللہ رضی اللہ عنہا کی زندگی سے حاصل ہونے والے دو اسباق لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_045,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صحابیات رضی اللہ عنہن | حضرت شفاء بنت عبداللہ رضی اللہ عنہا,extra_important_practice,حضرت شفاء بنت عبداللہ رضی اللہ عنہا کی شخصیت کا ایک اہم واقعہ یا خدمت مختصراً بیان کریں۔,Medium,2,PRO,1
q_9_isl_b6_short_046,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابیات رضی اللہ عنہن | حضرت ام سلیم رضی اللہ عنہا,textbook_oriented_short,حضرت ام سلیم رضی اللہ عنہا کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_047,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابیات رضی اللہ عنہن | حضرت ام سلیم رضی اللہ عنہا,textbook_oriented_short,حضرت ام سلیم رضی اللہ عنہا کی دینی، علمی یا معاشرتی خدمات میں سے کوئی دو بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_048,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابیات رضی اللہ عنہن | حضرت ام سلیم رضی اللہ عنہا,textbook_oriented_short,حضرت ام سلیم رضی اللہ عنہا کی دو نمایاں صفات تحریر کریں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_049,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صحابیات رضی اللہ عنہن | حضرت ام سلیم رضی اللہ عنہا,extra_important_practice,حضرت ام سلیم رضی اللہ عنہا کی زندگی سے حاصل ہونے والے دو اسباق لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_050,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صحابیات رضی اللہ عنہن | حضرت ام سلیم رضی اللہ عنہا,extra_important_practice,حضرت ام سلیم رضی اللہ عنہا کی شخصیت کا ایک اہم واقعہ یا خدمت مختصراً بیان کریں۔,Medium,2,PRO,1
q_9_isl_b6_short_051,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابیات رضی اللہ عنہن | حضرت ام عطیہ رضی اللہ عنہا,textbook_oriented_short,حضرت ام عطیہ رضی اللہ عنہا کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_052,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابیات رضی اللہ عنہن | حضرت ام عطیہ رضی اللہ عنہا,textbook_oriented_short,حضرت ام عطیہ رضی اللہ عنہا کی دینی، علمی یا معاشرتی خدمات میں سے کوئی دو بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_053,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابیات رضی اللہ عنہن | حضرت ام عطیہ رضی اللہ عنہا,textbook_oriented_short,حضرت ام عطیہ رضی اللہ عنہا کی دو نمایاں صفات تحریر کریں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_054,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صحابیات رضی اللہ عنہن | حضرت ام عطیہ رضی اللہ عنہا,extra_important_practice,حضرت ام عطیہ رضی اللہ عنہا کی زندگی سے حاصل ہونے والے دو اسباق لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_055,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صحابیات رضی اللہ عنہن | حضرت ام عطیہ رضی اللہ عنہا,extra_important_practice,حضرت ام عطیہ رضی اللہ عنہا کی شخصیت کا ایک اہم واقعہ یا خدمت مختصراً بیان کریں۔,Medium,2,PRO,1
q_9_isl_b6_short_056,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابیات رضی اللہ عنہن | حضرت ام ایمن رضی اللہ عنہا,textbook_oriented_short,حضرت ام ایمن رضی اللہ عنہا کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_057,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابیات رضی اللہ عنہن | حضرت ام ایمن رضی اللہ عنہا,textbook_oriented_short,حضرت ام ایمن رضی اللہ عنہا کی دینی، علمی یا معاشرتی خدمات میں سے کوئی دو بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_058,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابیات رضی اللہ عنہن | حضرت ام ایمن رضی اللہ عنہا,textbook_oriented_short,حضرت ام ایمن رضی اللہ عنہا کی دو نمایاں صفات تحریر کریں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_059,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صحابیات رضی اللہ عنہن | حضرت ام ایمن رضی اللہ عنہا,extra_important_practice,حضرت ام ایمن رضی اللہ عنہا کی زندگی سے حاصل ہونے والے دو اسباق لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_060,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صحابیات رضی اللہ عنہن | حضرت ام ایمن رضی اللہ عنہا,extra_important_practice,حضرت ام ایمن رضی اللہ عنہا کی شخصیت کا ایک اہم واقعہ یا خدمت مختصراً بیان کریں۔,Medium,2,PRO,1
q_9_isl_b6_short_061,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابیات رضی اللہ عنہن | حضرت ام عمارہ رضی اللہ عنہا,textbook_oriented_short,حضرت ام عمارہ رضی اللہ عنہا کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_062,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابیات رضی اللہ عنہن | حضرت ام عمارہ رضی اللہ عنہا,textbook_oriented_short,حضرت ام عمارہ رضی اللہ عنہا کی دینی، علمی یا معاشرتی خدمات میں سے کوئی دو بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_063,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابیات رضی اللہ عنہن | حضرت ام عمارہ رضی اللہ عنہا,textbook_oriented_short,حضرت ام عمارہ رضی اللہ عنہا کی دو نمایاں صفات تحریر کریں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_064,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صحابیات رضی اللہ عنہن | حضرت ام عمارہ رضی اللہ عنہا,extra_important_practice,حضرت ام عمارہ رضی اللہ عنہا کی زندگی سے حاصل ہونے والے دو اسباق لکھیں۔,Medium,2,ULTRA,1
