question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_9_isl_b4_mcq_001,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | شکر و قناعت,Remember,کھانا کھا کر شکر ادا کرنے والے کا اجر برابر ہے:,روزے دار کے,مجاہد کے,مسافر کے,سخی کے,A | روزے دار کے,Medium,1,ELITE,1
q_9_isl_b4_mcq_027,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | امانت و دیانت,Remember,راز کی حفاظت بھی ہے:,امانت,غیبت,جھوٹ,تکبر,A | امانت,Medium,1,ULTRA,1
q_9_isl_b4_mcq_028,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | امانت و دیانت,Remember,امانت میں خیانت نشانی ہے:,نفاق کی,تقویٰ کی,شکر کی,قناعت کی,A | نفاق کی,Medium,1,ULTRA,1
q_9_isl_b4_mcq_029,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | امانت و دیانت,Remember,دیانت دار شخص معاشرے میں حاصل کرتا ہے:,اعتماد,نفرت,شک,تنہائی,A | اعتماد,Medium,1,ULTRA,1
q_9_isl_b4_mcq_030,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | امانت و دیانت,Remember,مالی معاملات میں دیانت کا نتیجہ ہے:,اعتماد,فساد,جھوٹ,بدگمانی,A | اعتماد,Medium,1,ULTRA,1
q_9_isl_b4_mcq_031,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | امانت و دیانت,Remember,نبی کریم ﷺ کا مشہور لقب تھا:,الامین,الفاروق,ذوالنورین,سیف اللہ,A | الامین,Medium,1,ULTRA,1
q_9_isl_b4_mcq_032,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | امانت و دیانت,Remember,امانت کی ادائیگی ضروری ہے:,ہر حال میں,صرف دوست کو,صرف امیر کو,صرف رشتہ دار کو,A | ہر حال میں,Medium,1,ULTRA,1
q_9_isl_b4_mcq_033,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اخلاص و تقویٰ,Remember,اخلاص کا مطلب ہے:,اللہ کے لیے عمل کرنا,لوگوں کو دکھانا,مال بڑھانا,تعریف چاہنا,A | اللہ کے لیے عمل کرنا,Medium,1,ULTRA,1
q_9_isl_b4_mcq_034,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اخلاص و تقویٰ,Remember,ریاکاری اخلاص کے:,خلاف ہے,مطابق ہے,لازم ہے,نتیجہ ہے,A | خلاف ہے,Medium,1,ULTRA,1
q_9_isl_b4_mcq_035,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اخلاص و تقویٰ,Remember,تقویٰ کا بنیادی مفہوم ہے:,اللہ سے ڈر کر گناہ چھوڑنا,دنیا چھوڑنا,لوگوں سے ڈرنا,مال تقسیم کرنا,A | اللہ سے ڈر کر گناہ چھوڑنا,Medium,1,ULTRA,1
q_9_isl_b4_mcq_036,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اخلاص و تقویٰ,Remember,تقویٰ کی جگہ قرار دی گئی:,دل,زبان,ہاتھ,آنکھ,A | دل,Medium,1,ULTRA,1
q_9_isl_b4_mcq_037,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اخلاص و تقویٰ,Remember,اخلاص عمل کی:,قبولیت کا سبب,منسوخی کا سبب,کمی کا سبب,رکاوٹ,A | قبولیت کا سبب,Medium,1,ULTRA,1
q_9_isl_b4_mcq_038,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اخلاص و تقویٰ,Remember,مخلص انسان طلب کرتا ہے:,رضائے الٰہی,لوگوں کی واہ واہ,شہرت,مال,A | رضائے الٰہی,Medium,1,ULTRA,1
q_9_isl_b4_mcq_039,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اخلاص و تقویٰ,Remember,تقویٰ انسان کو روکتا ہے:,گناہ سے,علم سے,عبادت سے,محنت سے,A | گناہ سے,Medium,1,ULTRA,1
q_9_isl_b4_mcq_040,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اخلاص و تقویٰ,Remember,تقویٰ سے کردار میں آتی ہے:,پاکیزگی,غرور,بددیانتی,غیبت,A | پاکیزگی,Medium,1,ULTRA,1
q_9_isl_b4_mcq_041,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اخلاص و تقویٰ,Remember,اخلاص کا تعلق زیادہ ہے:,نیت سے,لباس سے,دولت سے,عمر سے,A | نیت سے,Medium,1,ULTRA,1
q_9_isl_b4_mcq_042,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اخلاص و تقویٰ,Remember,تقویٰ کا بہترین معیار ہے:,اللہ کی اطاعت,مال کی کثرت,نسب,شہرت,A | اللہ کی اطاعت,Medium,1,ULTRA,1
q_9_isl_b4_mcq_043,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | پردہ پوشی,Remember,پردہ پوشی سے مراد ہے:,عیب چھپانا,جھوٹ بولنا,گناہ پھیلانا,کسی کو ذلیل کرنا,A | عیب چھپانا,Medium,1,ULTRA,1
q_9_isl_b4_mcq_044,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | پردہ پوشی,Remember,کسی مسلمان کی پردہ پوشی کا اجر ہے:,اللہ پردہ رکھے گا,مال بڑھے گا,عمر دوگنی ہوگی,شہرت بڑھے گی,A | اللہ پردہ رکھے گا,Medium,1,ULTRA,1
q_9_isl_b4_mcq_045,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | پردہ پوشی,Remember,لوگوں کے عیوب پھیلانا پیدا کرتا ہے:,فساد,اعتماد,محبت,سکون,A | فساد,Medium,1,ULTRA,1
q_9_isl_b4_mcq_046,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | پردہ پوشی,Remember,سوشل میڈیا پر عیب پھیلانا ہے:,ناپسندیدہ,لازم,مستحب,فرض,A | ناپسندیدہ,Medium,1,ULTRA,1
q_9_isl_b4_mcq_047,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | پردہ پوشی,Remember,اجتماعی جرم کی اطلاع دینا ضروری ہو تو:,ذمہ دار ادارے کو دی جائے,ہر جگہ پھیلائی جائے,مذاق بنایا جائے,چھپا دی جائے,A | ذمہ دار ادارے کو دی جائے,Medium,1,ULTRA,1
q_9_isl_b4_mcq_048,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | پردہ پوشی,Remember,پردہ پوشی کا مقصد ہے:,اصلاح و عزت کی حفاظت,جرم کو بڑھانا,جھوٹ پھیلانا,بدلہ لینا,A | اصلاح و عزت کی حفاظت,Medium,1,ULTRA,1
q_9_isl_b4_mcq_049,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | پردہ پوشی,Remember,عیب جوئی معاشرے میں بڑھاتی ہے:,نفرت,اعتماد,اخوت,سخاوت,A | نفرت,Medium,1,ULTRA,1
q_9_isl_b4_mcq_050,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | پردہ پوشی,Remember,کسی کی ذاتی کمزوری کو بلا ضرورت پھیلانا ہے:,غلط,ضروری,عبادت,فرض,A | غلط,Medium,1,ULTRA,1
q_9_isl_b4_mcq_051,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | تکبر,Remember,تکبر کا مطلب ہے:,خود کو بڑا سمجھنا,شکر کرنا,قناعت کرنا,سچ بولنا,A | خود کو بڑا سمجھنا,Medium,1,ULTRA,1
q_9_isl_b4_mcq_052,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | تکبر,Remember,ابلیس کی ہلاکت کا بنیادی سبب تھا:,تکبر,قناعت,سخاوت,خاموشی,A | تکبر,Medium,1,ULTRA,1
q_9_isl_b4_mcq_053,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | تکبر,Remember,تکبر انسان کو روکتا ہے:,حق قبول کرنے سے,مال کمانے سے,علم پڑھنے سے,سفر سے,A | حق قبول کرنے سے,Medium,1,ULTRA,1
q_9_isl_b4_mcq_054,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | تکبر,Remember,تکبر کا علاج ہے:,تواضع,حسد,غیبت,جھوٹ,A | تواضع,Medium,1,ULTRA,1
q_9_isl_b4_mcq_055,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | تکبر,Remember,متکبر انسان دوسروں کو سمجھتا ہے:,کم تر,برابر,بہتر,استاد,A | کم تر,Medium,1,ULTRA,1
q_9_isl_b4_mcq_056,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | تکبر,Remember,اللہ تعالیٰ پسند نہیں کرتا:,متکبر کو,شکر گزار کو,مخلص کو,امین کو,A | متکبر کو,Medium,1,ULTRA,1
q_9_isl_b4_mcq_057,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | تکبر,Remember,تکبر معاشرتی طور پر پیدا کرتا ہے:,نفرت,محبت,اتحاد,اعتماد,A | نفرت,Medium,1,ULTRA,1
q_9_isl_b4_mcq_058,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | تکبر,Remember,عاجزی کا مخالف ہے:,تکبر,قناعت,امانت,اخلاص,A | تکبر,Medium,1,ULTRA,1
q_9_isl_b4_mcq_059,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | تکبر,Remember,علم پر غرور کرنا بھی ہے:,تکبر,شکر,قناعت,سخاوت,A | تکبر,Medium,1,ULTRA,1
q_9_isl_b4_mcq_060,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | تکبر,Remember,متکبر شخص حق بات کو:,رد کر سکتا ہے,فوراً مانتا ہے,ہمیشہ سکھاتا ہے,پھیلاتا ہے,A | رد کر سکتا ہے,Medium,1,ULTRA,1
q_9_isl_b4_mcq_061,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | حسد,Remember,حسد کا مطلب ہے:,دوسرے کی نعمت زائل چاہنا,خود ترقی چاہنا,شکر کرنا,صدقہ دینا,A | دوسرے کی نعمت زائل چاہنا,Medium,1,ULTRA,1
q_9_isl_b4_mcq_062,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | حسد,Remember,رشک اور حسد میں فرق یہ ہے کہ رشک میں:,نعمت زائل نہیں چاہی جاتی,نعمت زائل چاہی جاتی ہے,بدلہ لیا جاتا ہے,غیبت لازم ہے,A | نعمت زائل نہیں چاہی جاتی,Medium,1,ULTRA,1
q_9_isl_b4_mcq_063,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | حسد,Remember,حسد نیکیوں کو نقصان پہنچاتا ہے:,ہاں,نہیں,صرف دنیا میں,صرف تجارت میں,A | ہاں,Medium,1,ULTRA,1
q_9_isl_b4_mcq_064,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | حسد,Remember,حسد کا علاج ہے:,اللہ کی تقسیم پر رضا,غیبت,تکبر,جھوٹ,A | اللہ کی تقسیم پر رضا,Medium,1,ULTRA,1
q_9_isl_b4_mcq_065,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | حسد,Remember,حسد سے پیدا ہوتی ہے:,دل کی بے چینی,قناعت,سکون,شکر,A | دل کی بے چینی,Medium,1,ULTRA,1
q_9_isl_b4_mcq_066,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | حسد,Remember,دوسروں کی کامیابی پر خوش ہونا ہے:,اچھا اخلاق,حسد,تکبر,بددیانتی,A | اچھا اخلاق,Medium,1,ULTRA,1
q_9_isl_b4_mcq_067,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | حسد,Remember,حسد معاشرے میں بڑھاتا ہے:,دشمنی,اخوت,اعتماد,رحم,A | دشمنی,Medium,1,ULTRA,1
q_9_isl_b4_mcq_068,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | حسد,Remember,اللہ کی نعمتوں پر راضی رہنا کم کرتا ہے:,حسد,اخلاص,امانت,شکر,A | حسد,Medium,1,ULTRA,1
q_9_isl_b4_mcq_069,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | حسد,Remember,حسد کا تعلق زیادہ ہے:,دل سے,لباس سے,عمر سے,جسمانی قد سے,A | دل سے,Medium,1,ULTRA,1
q_9_isl_b4_mcq_070,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | حسد,Remember,رشک کی جائز صورت میں انسان چاہتا ہے:,اپنے لیے بھی خیر,دوسرے کی تباہی,نعمت کا زوال,بدلہ,A | اپنے لیے بھی خیر,Medium,1,ULTRA,1
q_9_isl_b4_mcq_071,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جھوٹ,Remember,جھوٹ کا مطلب ہے:,خلاف حقیقت بات,سچی بات,نصیحت,راز داری,A | خلاف حقیقت بات,Medium,1,ULTRA,1
q_9_isl_b4_mcq_072,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جھوٹ,Remember,جھوٹ نفاق کی:,نشانی ہے,ضد ہے,علاج ہے,شرط نہیں,A | نشانی ہے,Medium,1,ULTRA,1
q_9_isl_b4_mcq_073,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جھوٹ,Remember,مزاح میں بھی جھوٹ بولنا:,درست نہیں,ہمیشہ جائز,فرض,مستحب,A | درست نہیں,Medium,1,ULTRA,1
q_9_isl_b4_mcq_074,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جھوٹ,Remember,جھوٹی گواہی ہے:,بڑا گناہ,نیکی,سنت,مباح,A | بڑا گناہ,Medium,1,ULTRA,1
q_9_isl_b4_mcq_075,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جھوٹ,Remember,جھوٹ اعتماد کو:,تباہ کرتا ہے,بڑھاتا ہے,محفوظ کرتا ہے,لازم کرتا ہے,A | تباہ کرتا ہے,Medium,1,ULTRA,1
q_9_isl_b4_mcq_076,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جھوٹ,Remember,جھوٹ بولنے والا معاشرے میں کھوتا ہے:,اعتماد,مال,عمر,زبان,A | اعتماد,Medium,1,ULTRA,1
