question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
q_9_isl_b2_short_001,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXERCISE DIRECT | عقیدہ توحید,textbook_exercise_direct,شرک کا مفہوم بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b2_short_012,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXERCISE DIRECT | کتب سماویہ,textbook_exercise_direct,مشرکین اور اہل کتاب میں کیا فرق ہے؟,Medium,2,ELITE,1
q_9_isl_b2_short_013,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXERCISE DIRECT | عقیدہ آخرت,textbook_exercise_direct,مقام محمود سے کیا مراد ہے؟,Medium,2,ELITE,1
q_9_isl_b2_short_014,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXERCISE DIRECT | عقیدہ آخرت,textbook_exercise_direct,حوض کوثر کے بارے میں مختصر بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b2_short_015,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXERCISE DIRECT | عقیدہ آخرت,textbook_exercise_direct,آخرت میں اللہ تعالیٰ کے فرماں برداروں اور نافرمانوں کے ساتھ کیا سلوک کیا جائے گا؟,Medium,2,ELITE,1
q_9_isl_b2_short_016,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXERCISE DIRECT | نماز,textbook_exercise_direct,وقت کی پابندی کی اہمیت کے بارے میں ایک آیت کا ترجمہ تحریر کریں۔,Medium,2,ELITE,1
q_9_isl_b2_short_017,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXERCISE DIRECT | نماز,textbook_exercise_direct,نماز کی کوئی سی دو شرائط تحریر کریں۔,Medium,2,ELITE,1
q_9_isl_b2_short_018,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXERCISE DIRECT | نماز,textbook_exercise_direct,مسجد میں باجماعت نماز ادا کرنے کے دو معاشرتی اثرات بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b2_short_019,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXERCISE DIRECT | روزہ,textbook_exercise_direct,صوم کا لغوی مفہوم تحریر کریں۔,Medium,2,ELITE,1
q_9_isl_b2_short_020,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXERCISE DIRECT | روزہ,textbook_exercise_direct,رمضان المبارک کے دو مسنون اعمال تحریر کریں۔,Medium,2,ELITE,1
q_9_isl_b2_short_021,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXERCISE DIRECT | روزہ,textbook_exercise_direct,روزے کے کوئی سے دو معاشرتی فوائد تحریر کریں۔,Medium,2,ELITE,1
q_9_isl_b2_short_022,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXERCISE DIRECT | زکوٰۃ,textbook_exercise_direct,زکوٰۃ و عشر میں فرق لکھیں۔,Medium,2,ELITE,1
q_9_isl_b2_short_023,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXERCISE DIRECT | زکوٰۃ,textbook_exercise_direct,زکوٰۃ و عشر کی فرضیت کی حکمت بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b2_short_024,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXERCISE DIRECT | زکوٰۃ,textbook_exercise_direct,اسلام کے معاشی نظام کے حوالے سے زکوٰۃ و عشر کی اہمیت واضح کریں۔,Medium,2,ELITE,1
q_9_isl_b2_short_025,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXERCISE DIRECT | حج اور قربانی,textbook_exercise_direct,قربانی کے کوئی سے دو احکام تحریر کریں۔,Medium,2,ELITE,1
q_9_isl_b2_short_026,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXERCISE DIRECT | حج اور قربانی,textbook_exercise_direct,حج اور عمرہ کے موقع پر حجاج کرام کن مقدس مقامات کے انوار و فیوض سے مستفید ہوتے ہیں؟ وضاحت کریں۔,Medium,2,ELITE,1
q_9_isl_b2_short_027,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXERCISE DIRECT | حج اور قربانی,textbook_exercise_direct,امت مسلمہ کے اتحاد کے لیے حج کس طرح مددگار ثابت ہو سکتا ہے؟ وضاحت کریں۔,Medium,2,ELITE,1
q_9_isl_b2_short_028,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | عقیدہ توحید,extra_important,توحید کا شرعی مفہوم بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b2_short_029,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | عقیدہ توحید,extra_important,توحید ربوبیت سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b2_short_030,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | عقیدہ توحید,extra_important,توحید الوہیت سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b2_short_031,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | عقیدہ توحید,extra_important,توحید اسماء و صفات سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b2_short_032,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | عقیدہ توحید,extra_important,شرک فی العبادت کی وضاحت کریں۔,Medium,2,ULTRA,1
q_9_isl_b2_short_033,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | عقیدہ رسالت,extra_important,رسالت کا شرعی مفہوم بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b2_short_034,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | عقیدہ رسالت,extra_important,رسول کی اطاعت کیوں ضروری ہے؟,Medium,2,ULTRA,1
q_9_isl_b2_short_035,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | عقیدہ رسالت,extra_important,ختم نبوت سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b2_short_036,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | عقیدہ رسالت,extra_important,نبی کریم ﷺ کی رسالت کی عالمگیریت بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b2_short_037,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | عقیدہ رسالت,extra_important,نبی کریم ﷺ کی کوئی دو امتیازی خصوصیات لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b2_short_038,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | ملائکہ,extra_important,فرشتوں کی تخلیق کس چیز سے ہوئی؟,Medium,2,ULTRA,1
q_9_isl_b2_short_039,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | ملائکہ,extra_important,حضرت جبرائیلؑ کی ذمہ داری بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b2_short_040,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | ملائکہ,extra_important,حضرت میکائیلؑ کی ذمہ داری بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b2_short_041,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | ملائکہ,extra_important,کراماً کاتبین کی ذمہ داری کیا ہے؟,Medium,2,ULTRA,1
q_9_isl_b2_short_042,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | ملائکہ,extra_important,منکر و نکیر کا کام بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b2_short_043,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | کتب سماویہ,extra_important,تورات کس نبی پر نازل ہوئی؟,Medium,2,ULTRA,1
q_9_isl_b2_short_044,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | کتب سماویہ,extra_important,زبور کس نبی پر نازل ہوئی؟,Medium,2,ULTRA,1
q_9_isl_b2_short_045,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | کتب سماویہ,extra_important,انجیل کس نبی پر نازل ہوئی؟,Medium,2,ULTRA,1
q_9_isl_b2_short_046,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | کتب سماویہ,extra_important,قرآن مجید کو آخری آسمانی کتاب کیوں کہا جاتا ہے؟,Medium,2,ULTRA,1
q_9_isl_b2_short_047,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | کتب سماویہ,extra_important,تمام آسمانی کتابوں پر ایمان لانا کیوں ضروری ہے؟,Medium,2,ULTRA,1
q_9_isl_b2_short_048,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | عقیدہ آخرت,extra_important,عالم برزخ سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b2_short_049,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | عقیدہ آخرت,extra_important,حشر سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b2_short_050,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | عقیدہ آخرت,extra_important,نشر سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b2_short_051,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | عقیدہ آخرت,extra_important,میزان کا مختصر تعارف بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b2_short_052,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | عقیدہ آخرت,extra_important,عقیدہ آخرت انسان میں جواب دہی کا احساس کیسے پیدا کرتا ہے؟,Medium,2,ULTRA,1
q_9_isl_b2_short_053,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | نماز,extra_important,نماز کی فرضیت اور اہمیت مختصراً بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b2_short_054,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | نماز,extra_important,نماز انسان کو فحشاء و منکر سے کیسے روکتی ہے؟,Medium,2,ULTRA,1
q_9_isl_b2_short_055,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | نماز,extra_important,باجماعت نماز کی فضیلت بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b2_short_056,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | نماز,extra_important,نماز میں وقت کی پابندی کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b2_short_057,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | نماز,extra_important,باجماعت نماز سے اتحاد و اخوت کیسے پیدا ہوتی ہے؟,Medium,2,ULTRA,1
q_9_isl_b2_short_058,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | روزہ,extra_important,روزے کا بنیادی مقصد کیا ہے؟,Medium,2,ULTRA,1
q_9_isl_b2_short_059,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | روزہ,extra_important,رمضان کے روزے انسان میں تقویٰ کیسے پیدا کرتے ہیں؟,Medium,2,ULTRA,1
q_9_isl_b2_short_060,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | روزہ,extra_important,روزے میں جھوٹ اور فحش گوئی سے بچنا کیوں ضروری ہے؟,Medium,2,ULTRA,1
q_9_isl_b2_short_061,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | روزہ,extra_important,سحری اور افطار میں وقت کی پابندی کا فائدہ بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b2_short_062,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | روزہ,extra_important,روزہ انسان میں ہمدردی کا جذبہ کیسے پیدا کرتا ہے؟,Medium,2,ULTRA,1
q_9_isl_b2_short_063,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | زکوٰۃ,extra_important,زکوٰۃ کے فرض ہونے کے لیے نصاب کی کیا اہمیت ہے؟,Medium,2,ULTRA,1
q_9_isl_b2_short_064,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | زکوٰۃ,extra_important,مالی زکوٰۃ کی معروف شرح کیا ہے؟,Medium,2,ULTRA,1
q_9_isl_b2_short_065,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | زکوٰۃ,extra_important,قدرتی پانی سے سیراب فصل کے عشر کی شرح لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b2_short_066,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | زکوٰۃ,extra_important,مصنوعی ذرائع سے سیراب فصل پر عشر کی شرح لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b2_short_067,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | زکوٰۃ,extra_important,زکوٰۃ غربت اور گداگری کے خاتمے میں کیسے مدد دیتی ہے؟,Medium,2,ULTRA,1
q_9_isl_b2_short_068,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | حج اور قربانی,extra_important,حج کن مسلمانوں پر فرض ہے؟,Medium,2,ULTRA,1
q_9_isl_b2_short_069,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | حج اور قربانی,extra_important,وقوف عرفہ کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_9_isl_b2_short_070,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | حج اور قربانی,extra_important,احرام سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_9_isl_b2_short_071,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | حج اور قربانی,extra_important,قربانی حضرت ابراہیمؑ کی کس سنت کی یاد دلاتی ہے؟,Medium,2,ULTRA,1
q_9_isl_b2_short_072,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | حج اور قربانی,extra_important,حج امت مسلمہ میں مساوات اور اتحاد کیسے پیدا کرتا ہے؟,Medium,2,ULTRA,1
