question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_9_isl_b6_mcq_001,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | اہل بیت اطہار | حضرت امام زین العابدین رحمۃ اللہ علیہ,Remember,حضرت امام زین العابدین رحمۃ اللہ علیہ کے والد تھے:,حضرت امام حسین رضی اللہ عنہ,حضرت امام حسن رضی اللہ عنہ,حضرت عباس رضی اللہ عنہ,حضرت جعفر رضی اللہ عنہ,A | حضرت امام حسین رضی اللہ عنہ,Medium,1,ELITE,1
q_9_isl_b6_mcq_015,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابہ کرام رضی اللہ عنہم | حضرت ابو موسیٰ اشعری رضی اللہ عنہ,Remember,حضرت ابو موسیٰ اشعری رضی اللہ عنہ سے مروی احادیث کی تعداد تقریباً ہے:,360,20,39,1540,A | 360,Medium,1,ELITE,1
q_9_isl_b6_mcq_016,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابہ کرام رضی اللہ عنہم | حضرت عبداللہ بن عمرو بن العاص رضی اللہ عنہ,Remember,حضرت عبداللہ بن عمرو بن العاص رضی اللہ عنہ کے والد تھے:,حضرت عمرو بن العاص رضی اللہ عنہ,حضرت ابو موسیٰ اشعری رضی اللہ عنہ,حضرت جابر رضی اللہ عنہ,حضرت انس رضی اللہ عنہ,A | حضرت عمرو بن العاص رضی اللہ عنہ,Medium,1,ELITE,1
q_9_isl_b6_mcq_017,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابہ کرام رضی اللہ عنہم | حضرت عبداللہ بن عمرو بن العاص رضی اللہ عنہ,Remember,حضرت عبداللہ بن عمرو بن العاص رضی اللہ عنہ کی مشہور حدیثی تحریر ہے:,صحیفہ صادقہ,رسالۃ الحقوق,الرسالہ القشیریہ,تذکرۃ الاولیاء,A | صحیفہ صادقہ,Medium,1,ELITE,1
q_9_isl_b6_mcq_018,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابہ کرام رضی اللہ عنہم | حضرت عبداللہ بن عمرو بن العاص رضی اللہ عنہ,Remember,حضرت عبداللہ بن عمرو بن العاص رضی اللہ عنہ کی نمایاں صفت تھی:,کثرت عبادت,سوداگری,شاعری,زراعت,A | کثرت عبادت,Medium,1,ELITE,1
q_9_isl_b6_mcq_019,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابہ کرام رضی اللہ عنہم | حضرت عبداللہ بن عمرو بن العاص رضی اللہ عنہ,Remember,حضرت عبداللہ بن عمرو بن العاص رضی اللہ عنہ نے احادیث کو:,تحریر بھی کیا,منع کیا,چھپایا,صرف زبانی رکھا,A | تحریر بھی کیا,Medium,1,ELITE,1
q_9_isl_b6_mcq_020,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابہ کرام رضی اللہ عنہم | حضرت عبداللہ بن عمرو بن العاص رضی اللہ عنہ,Remember,حضرت عبداللہ بن عمرو بن العاص رضی اللہ عنہ سے مروی احادیث کی تعداد تقریباً ہے:,700,20,39,360,A | 700,Medium,1,ELITE,1
q_9_isl_b6_mcq_021,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابہ کرام رضی اللہ عنہم | حضرت عمرو بن امیہ رضی اللہ عنہ,Remember,حضرت عمرو بن امیہ رضی اللہ عنہ کی کنیت تھی:,ابو امیہ,ابو حمزہ,ابو موسیٰ,ابو عبداللہ,A | ابو امیہ,Medium,1,ELITE,1
q_9_isl_b6_mcq_022,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابہ کرام رضی اللہ عنہم | حضرت عمرو بن امیہ رضی اللہ عنہ,Remember,حضرت عمرو بن امیہ رضی اللہ عنہ نے اسلام قبول کیا:,غزوہ احد کے بعد,ہجرت سے پہلے,غزوہ بدر سے پہلے,فتح مکہ کے بعد,A | غزوہ احد کے بعد,Medium,1,ELITE,1
q_9_isl_b6_mcq_023,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابہ کرام رضی اللہ عنہم | حضرت عمرو بن امیہ رضی اللہ عنہ,Remember,حضرت عمرو بن امیہ رضی اللہ عنہ نے اہم کردار ادا کیا:,سفارت کاری میں,صرف زراعت میں,صرف تجارت میں,صرف شاعری میں,A | سفارت کاری میں,Medium,1,ELITE,1
q_9_isl_b6_mcq_024,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابہ کرام رضی اللہ عنہم | حضرت عمرو بن امیہ رضی اللہ عنہ,Remember,حضرت عمرو بن امیہ رضی اللہ عنہ کو سفارتی مشن پر بھیجا گیا:,نجاشی کے پاس,قیصر کے پاس,کسریٰ کے پاس,مقوقس کے پاس,A | نجاشی کے پاس,Medium,1,ELITE,1
q_9_isl_b6_mcq_025,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابہ کرام رضی اللہ عنہم | حضرت عمرو بن امیہ رضی اللہ عنہ,Remember,حضرت عمرو بن امیہ رضی اللہ عنہ سے مروی احادیث کی تعداد ہے:,20,39,360,700,A | 20,Medium,1,ELITE,1
q_9_isl_b6_mcq_026,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابہ کرام رضی اللہ عنہم | حضرت عمرو بن العاص رضی اللہ عنہ,Remember,حضرت عمرو بن العاص رضی اللہ عنہ کے والد تھے:,عاص بن وائل,عبداللہ بن قیس,مالک بن نضر,عمرو بن حرام,A | عاص بن وائل,Medium,1,ELITE,1
q_9_isl_b6_mcq_027,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابہ کرام رضی اللہ عنہم | حضرت عمرو بن العاص رضی اللہ عنہ,Remember,حضرت عمرو بن العاص رضی اللہ عنہ نے اسلام قبول کیا:,حضرت خالد بن ولید رضی اللہ عنہ کے ساتھ,حضرت ابو ذر رضی اللہ عنہ کے ساتھ,حضرت بلال رضی اللہ عنہ کے ساتھ,حضرت سلمان رضی اللہ عنہ کے ساتھ,A | حضرت خالد بن ولید رضی اللہ عنہ کے ساتھ,Medium,1,ELITE,1
q_9_isl_b6_mcq_028,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابہ کرام رضی اللہ عنہم | حضرت عمرو بن العاص رضی اللہ عنہ,Remember,حضرت عمرو بن العاص رضی اللہ عنہ کا مشہور کارنامہ ہے:,فتح مصر,فتح سندھ,فتح اندلس,فتح خراسان,A | فتح مصر,Medium,1,ELITE,1
q_9_isl_b6_mcq_029,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابہ کرام رضی اللہ عنہم | حضرت عمرو بن العاص رضی اللہ عنہ,Remember,حضرت عمرو بن العاص رضی اللہ عنہ کی نمایاں صلاحیت تھی:,سفارت و قیادت,صرف شاعری,صرف طب,صرف زراعت,A | سفارت و قیادت,Medium,1,ELITE,1
q_9_isl_b6_mcq_030,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابہ کرام رضی اللہ عنہم | حضرت عمرو بن العاص رضی اللہ عنہ,Remember,حضرت عمرو بن العاص رضی اللہ عنہ سے مروی احادیث کی تعداد ہے:,39,20,360,1540,A | 39,Medium,1,ELITE,1
q_9_isl_b6_mcq_031,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابہ کرام رضی اللہ عنہم | حضرت جابر بن عبداللہ رضی اللہ عنہ,Remember,حضرت جابر بن عبداللہ رضی اللہ عنہ کے والد تھے:,عبداللہ بن عمرو بن حرام رضی اللہ عنہ,عاص بن وائل,عبداللہ بن قیس,مالک بن نضر,A | عبداللہ بن عمرو بن حرام رضی اللہ عنہ,Medium,1,ELITE,1
q_9_isl_b6_mcq_032,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابہ کرام رضی اللہ عنہم | حضرت جابر بن عبداللہ رضی اللہ عنہ,Remember,حضرت جابر بن عبداللہ رضی اللہ عنہ نے کتنے غزوات میں شرکت کی؟,19,7,12,27,A | 19,Medium,1,ELITE,1
q_9_isl_b6_mcq_033,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابہ کرام رضی اللہ عنہم | حضرت جابر بن عبداللہ رضی اللہ عنہ,Remember,حضرت جابر بن عبداللہ رضی اللہ عنہ سے مروی احادیث کی تعداد تقریباً ہے:,1540,39,20,360,A | 1540,Medium,1,ELITE,1
q_9_isl_b6_mcq_034,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابہ کرام رضی اللہ عنہم | حضرت جابر بن عبداللہ رضی اللہ عنہ,Remember,حضرت جابر بن عبداللہ رضی اللہ عنہ کی نمایاں علمی خدمت تھی:,روایت حدیث,طب,ہندسہ,شاعری,A | روایت حدیث,Medium,1,ELITE,1
q_9_isl_b6_mcq_035,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابہ کرام رضی اللہ عنہم | حضرت جابر بن عبداللہ رضی اللہ عنہ,Remember,حضرت جابر بن عبداللہ رضی اللہ عنہ کی وفات ہوئی:,74 ہجری,60 ہجری,93 ہجری,43 ہجری,A | 74 ہجری,Medium,1,ELITE,1
q_9_isl_b6_mcq_036,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابہ کرام رضی اللہ عنہم | حضرت انس بن مالک رضی اللہ عنہ,Remember,حضرت انس بن مالک رضی اللہ عنہ کی کنیت تھی:,ابو حمزہ,ابو موسیٰ,ابو امیہ,ابو عبداللہ,A | ابو حمزہ,Medium,1,ELITE,1
q_9_isl_b6_mcq_037,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابہ کرام رضی اللہ عنہم | حضرت انس بن مالک رضی اللہ عنہ,Remember,حضرت انس بن مالک رضی اللہ عنہ کی والدہ تھیں:,حضرت ام سلیم رضی اللہ عنہا,حضرت ام ایمن رضی اللہ عنہا,حضرت ام عطیہ رضی اللہ عنہا,حضرت شفاء رضی اللہ عنہا,A | حضرت ام سلیم رضی اللہ عنہا,Medium,1,ELITE,1
q_9_isl_b6_mcq_038,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابہ کرام رضی اللہ عنہم | حضرت انس بن مالک رضی اللہ عنہ,Remember,حضرت انس بن مالک رضی اللہ عنہ نے نبی کریم ﷺ کی خدمت کی:,دس سال,پانچ سال,سات سال,بارہ سال,A | دس سال,Medium,1,ELITE,1
q_9_isl_b6_mcq_039,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابہ کرام رضی اللہ عنہم | حضرت انس بن مالک رضی اللہ عنہ,Remember,حضرت انس بن مالک رضی اللہ عنہ کا مشہور لقب ہے:,خادم الرسول ﷺ,سیف اللہ,امین الامت,ذوالنورین,A | خادم الرسول ﷺ,Medium,1,ELITE,1
q_9_isl_b6_mcq_040,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابہ کرام رضی اللہ عنہم | حضرت انس بن مالک رضی اللہ عنہ,Remember,حضرت انس بن مالک رضی اللہ عنہ کی وفات ہوئی:,93 ہجری,74 ہجری,60 ہجری,43 ہجری,A | 93 ہجری,Medium,1,ELITE,1
q_9_isl_b6_mcq_041,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابیات رضی اللہ عنہن | حضرت شفاء بنت عبداللہ رضی اللہ عنہا,Remember,حضرت شفاء بنت عبداللہ رضی اللہ عنہا کے والد کا نام تھا:,عبداللہ,عبدالرحمن,عبد شمس,عبدالمطلب,A | عبداللہ,Medium,1,ULTRA,1
q_9_isl_b6_mcq_042,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابیات رضی اللہ عنہن | حضرت شفاء بنت عبداللہ رضی اللہ عنہا,Remember,حضرت شفاء بنت عبداللہ رضی اللہ عنہا کی نمایاں مہارت تھی:,پڑھنا لکھنا,تیر اندازی,تجارت,فن تعمیر,A | پڑھنا لکھنا,Medium,1,ULTRA,1
q_9_isl_b6_mcq_043,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابیات رضی اللہ عنہن | حضرت شفاء بنت عبداللہ رضی اللہ عنہا,Remember,حضرت شفاء بنت عبداللہ رضی اللہ عنہا نے تعلیم دی:,حضرت حفصہ رضی اللہ عنہا کو,حضرت عائشہ رضی اللہ عنہا کو,حضرت ام سلمہ رضی اللہ عنہا کو,حضرت صفیہ رضی اللہ عنہا کو,A | حضرت حفصہ رضی اللہ عنہا کو,Medium,1,ULTRA,1
q_9_isl_b6_mcq_044,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابیات رضی اللہ عنہن | حضرت شفاء بنت عبداللہ رضی اللہ عنہا,Remember,حضرت شفاء بنت عبداللہ رضی اللہ عنہا کو مہارت حاصل تھی:,رقیہ و علاج میں,صرف تجارت میں,صرف زراعت میں,صرف شاعری میں,A | رقیہ و علاج میں,Medium,1,ULTRA,1
q_9_isl_b6_mcq_045,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابیات رضی اللہ عنہن | حضرت شفاء بنت عبداللہ رضی اللہ عنہا,Remember,حضرت شفاء بنت عبداللہ رضی اللہ عنہا کی زندگی کا نمایاں پہلو تھا:,تعلیم و خدمت,سیاست,بادشاہت,سیاحت,A | تعلیم و خدمت,Medium,1,ULTRA,1
q_9_isl_b6_mcq_046,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابیات رضی اللہ عنہن | حضرت ام سلیم رضی اللہ عنہا,Remember,حضرت ام سلیم رضی اللہ عنہا تھیں:,حضرت انس بن مالک رضی اللہ عنہ کی والدہ,حضرت جابر رضی اللہ عنہ کی والدہ,حضرت ابو موسیٰ رضی اللہ عنہ کی والدہ,حضرت عمرو رضی اللہ عنہ کی والدہ,A | حضرت انس بن مالک رضی اللہ عنہ کی والدہ,Medium,1,ULTRA,1
q_9_isl_b6_mcq_047,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابیات رضی اللہ عنہن | حضرت ام سلیم رضی اللہ عنہا,Remember,حضرت ام سلیم رضی اللہ عنہا کے شوہر تھے:,حضرت ابو طلحہ رضی اللہ عنہ,حضرت ابو ہریرہ رضی اللہ عنہ,حضرت بلال رضی اللہ عنہ,حضرت زید رضی اللہ عنہ,A | حضرت ابو طلحہ رضی اللہ عنہ,Medium,1,ULTRA,1
q_9_isl_b6_mcq_048,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابیات رضی اللہ عنہن | حضرت ام سلیم رضی اللہ عنہا,Remember,حضرت ام سلیم رضی اللہ عنہا کی نمایاں خدمت تھی:,زخمیوں کی مدد,سوداگری,عدالت,شاعری,A | زخمیوں کی مدد,Medium,1,ULTRA,1
q_9_isl_b6_mcq_049,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابیات رضی اللہ عنہن | حضرت ام سلیم رضی اللہ عنہا,Remember,حضرت ام سلیم رضی اللہ عنہا غزوات میں لے جاتی تھیں:,پانی,سونا,کتابیں,کپڑا,A | پانی,Medium,1,ULTRA,1
q_9_isl_b6_mcq_050,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابیات رضی اللہ عنہن | حضرت ام سلیم رضی اللہ عنہا,Remember,حضرت ام سلیم رضی اللہ عنہا کی نمایاں صفت تھی:,ایمان و شجاعت,تکبر,بخل,غفلت,A | ایمان و شجاعت,Medium,1,ULTRA,1
q_9_isl_b6_mcq_051,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابیات رضی اللہ عنہن | حضرت ام عطیہ رضی اللہ عنہا,Remember,حضرت ام عطیہ رضی اللہ عنہا کا تعلق تھا:,انصار سے,قریش سے,ثقیف سے,بنو تمیم سے,A | انصار سے,Medium,1,ULTRA,1
q_9_isl_b6_mcq_052,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابیات رضی اللہ عنہن | حضرت ام عطیہ رضی اللہ عنہا,Remember,حضرت ام عطیہ رضی اللہ عنہا کی نمایاں خدمت تھی:,زخمیوں کی تیمارداری,سپہ سالاری,تجارت,شاعری,A | زخمیوں کی تیمارداری,Medium,1,ULTRA,1
q_9_isl_b6_mcq_053,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابیات رضی اللہ عنہن | حضرت ام عطیہ رضی اللہ عنہا,Remember,حضرت ام عطیہ رضی اللہ عنہا غزوات میں کرتی تھیں:,مجاہدین کی خدمت,سود کا کاروبار,عدالتی فیصلے,خطاطی,A | مجاہدین کی خدمت,Medium,1,ULTRA,1
q_9_isl_b6_mcq_054,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابیات رضی اللہ عنہن | حضرت ام عطیہ رضی اللہ عنہا,Remember,حضرت ام عطیہ رضی اللہ عنہا کی روایات کا تعلق زیادہ ہے:,احکام و مسائل سے,فن تعمیر سے,زراعت سے,ہندسہ سے,A | احکام و مسائل سے,Medium,1,ULTRA,1
q_9_isl_b6_mcq_055,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابیات رضی اللہ عنہن | حضرت ام عطیہ رضی اللہ عنہا,Remember,حضرت ام عطیہ رضی اللہ عنہا کی شخصیت کا نمایاں وصف ہے:,خدمت خلق,تکبر,اسراف,قطع رحمی,A | خدمت خلق,Medium,1,ULTRA,1
