question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,ENGLISH_A | Unit 2 - Patriotism | While-reading Questions,topic_separator,,,,,1
q_9_eng_ch2_sq_015,1,ENGLISH_A | Unit 2 - Patriotism | Reading and Critical Thinking,event_cause_effect,"Identify the cause and effect in the statement: “During the wars of 1965 and 1971, many soldiers displayed great courage.”",Medium,2,PRO,1
q_9_eng_ch2_sq_016,1,ENGLISH_A | Unit 2 - Patriotism | Reading and Critical Thinking,main_idea,What is the main idea of paragraph 2?,Easy,2,PRO,1
q_9_eng_ch2_sq_017,1,ENGLISH_A | Unit 2 - Patriotism | Reading and Critical Thinking,supporting_details,Identify two values that are of supreme importance to a patriot according to paragraph 2.,Easy,2,PRO,1
q_9_eng_ch2_sq_018,1,ENGLISH_A | Unit 2 - Patriotism | Reading and Critical Thinking,supporting_details,What do patriots do to preserve and protect the country's supreme values?,Easy,2,PRO,1
q_9_eng_ch2_sq_019,1,ENGLISH_A | Unit 2 - Patriotism | Reading and Critical Thinking,evidence_based,Does the text present a strong argument for the importance of patriotism? Give two text-based reasons.,Hard,2,PRO,1
TOPIC_SEP,1,ENGLISH_A | Unit 2 - Patriotism | Text-derived Board Questions,topic_separator,,,,,1
q_9_eng_ch2_sq_020,1,ENGLISH_A | Unit 2 - Patriotism | Text-derived Board Questions,prose_short,What does patriotism mean?,Easy,2,PRO,1
q_9_eng_ch2_sq_021,1,ENGLISH_A | Unit 2 - Patriotism | Text-derived Board Questions,prose_short,What is a patriot willing to do when the need arises?,Easy,2,ULTRA,1
q_9_eng_ch2_sq_022,1,ENGLISH_A | Unit 2 - Patriotism | Text-derived Board Questions,prose_short,Why is patriotism regarded as a commendable quality?,Medium,2,ULTRA,1
q_9_eng_ch2_sq_023,1,ENGLISH_A | Unit 2 - Patriotism | Text-derived Board Questions,event_cause_effect,How does patriotism give people strength and courage?,Medium,2,PRO,1
q_9_eng_ch2_sq_024,1,ENGLISH_A | Unit 2 - Patriotism | Text-derived Board Questions,prose_short,"Why can no compromise be made on sovereignty, integrity, and honour?",Medium,2,PRO,1
q_9_eng_ch2_sq_025,1,ENGLISH_A | Unit 2 - Patriotism | Text-derived Board Questions,prose_short,What sacrifices do patriots make for the country's values?,Easy,2,ULTRA,1
q_9_eng_ch2_sq_026,1,ENGLISH_A | Unit 2 - Patriotism | Text-derived Board Questions,character_reason,Why is Quaid-e-Azam Muhammad Ali Jinnah called a nation builder and a great patriot?,Medium,2,PRO,1
q_9_eng_ch2_sq_027,1,ENGLISH_A | Unit 2 - Patriotism | Text-derived Board Questions,prose_short,How did Quaid-e-Azam give the Muslims a sense of identity?,Easy,2,PRO,1
q_9_eng_ch2_sq_028,1,ENGLISH_A | Unit 2 - Patriotism | Text-derived Board Questions,theme_message,Explain Quaid-e-Azam's statement about developing a sense of patriotism.,Medium,2,ULTRA,1
q_9_eng_ch2_sq_029,1,ENGLISH_A | Unit 2 - Patriotism | Text-derived Board Questions,event_cause_effect,How does the spirit of patriotism prepare a nation for foreign invasion?,Medium,2,PRO,1
q_9_eng_ch2_sq_030,1,ENGLISH_A | Unit 2 - Patriotism | Text-derived Board Questions,prose_short,Name the military conflicts mentioned in the lesson.,Easy,2,ULTRA,1
q_9_eng_ch2_sq_031,1,ENGLISH_A | Unit 2 - Patriotism | Text-derived Board Questions,prose_short,What award was given to the patriots who laid down their lives for Pakistan?,Easy,2,PRO,1
q_9_eng_ch2_sq_032,1,ENGLISH_A | Unit 2 - Patriotism | Text-derived Board Questions,prose_short,What was awarded to Naik Saif Ali Janjua Shaheed?,Easy,2,ULTRA,1
q_9_eng_ch2_sq_033,1,ENGLISH_A | Unit 2 - Patriotism | Text-derived Board Questions,prose_short,Why is Nishan-e-Haider regarded as the highest military award?,Medium,2,PRO,1
q_9_eng_ch2_sq_034,1,ENGLISH_A | Unit 2 - Patriotism | Text-derived Board Questions,theme_message,Why is patriotism described as a live spirit rather than merely a feeling?,Medium,2,PRO,1
q_9_eng_ch2_sq_035,1,ENGLISH_A | Unit 2 - Patriotism | Text-derived Board Questions,theme_message,What qualities of patriots are emphasized in the theme of the unit?,Medium,2,ULTRA,1
q_9_eng_ch2_sq_036,1,ENGLISH_A | Unit 2 - Patriotism | Text-derived Board Questions,theme_message,How do patriots look after the interests and progress of their country?,Medium,2,ULTRA,1
q_9_eng_ch2_sq_037,1,ENGLISH_A | Unit 2 - Patriotism | Text-derived Board Questions,evidence_based,How do the examples of the martyrs support the central idea of the lesson?,Hard,2,PRO,1
q_9_eng_ch2_sq_038,1,ENGLISH_A | Unit 2 - Patriotism | Text-derived Board Questions,prose_short,What does the quotation by S. W. Scott suggest about a person without patriotic spirit?,Medium,2,PRO,1
