question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_9_eng_ch8_010,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Complete Glossary,Remember,Choose the correct meaning of [[homogenisation]].,wrong information that is given or spread,"buying, selling, or exchanging goods and services",the process of making things uniform or similar,the process of expressing ideas and giving information,C | the process of making things uniform or similar,Medium,1,PRO,0
q_9_eng_ch8_011,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Complete Glossary,Remember,Choose the correct meaning of [[integration]].,situations that make it possible to do or achieve something,the process of combining things so that they work together,a belief or custom passed through generations,a state of being difficult to understand because of many parts,B | the process of combining things so that they work together,Medium,1,PRO,0
q_9_eng_ch8_012,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Complete Glossary,Remember,Choose the correct meaning of [[interconnected]].,to keep something safe or maintain its quality,regular money earned for work or services,extremely important,connected with one another,D | connected with one another,Medium,1,PRO,0
q_9_eng_ch8_013,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Complete Glossary,Remember,Choose the correct meaning of [[misinformation]].,scientific knowledge used in practical ways,to recognise the good qualities of somebody or something,"the relationship between production, trade, and money in a country",wrong information that is given or spread,D | wrong information that is given or spread,Medium,1,PRO,0
q_9_eng_ch8_014,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Complete Glossary,Remember,Choose the correct meaning of [[opportunities]].,"buying, selling, or exchanging goods and services",situations that make it possible to do or achieve something,the process of expressing ideas and giving information,the ability to understand another person's feelings or experience,B | situations that make it possible to do or achieve something,Medium,1,PRO,0
q_9_eng_ch8_015,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Complete Glossary,Remember,Choose the correct meaning of [[preserve]].,a belief or custom passed through generations,a state of being difficult to understand because of many parts,to keep something safe or maintain its quality,the gradual destruction of something,C | to keep something safe or maintain its quality,Medium,1,PRO,0
q_9_eng_ch8_016,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Complete Glossary,Remember,Choose the correct meaning of [[technology]].,scientific knowledge used in practical ways,regular money earned for work or services,extremely important,the process by which cultures and economic systems become connected and similar,A | scientific knowledge used in practical ways,Medium,1,PRO,0
q_9_eng_ch8_017,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Complete Glossary,Remember,Choose the correct meaning of [[trade]].,to recognise the good qualities of somebody or something,"buying, selling, or exchanging goods and services","the relationship between production, trade, and money in a country",to control and use something effectively,"B | buying, selling, or exchanging goods and services",Medium,1,PRO,0
q_9_eng_ch8_018,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Complete Glossary,Remember,Choose the correct meaning of [[tradition]].,the process of expressing ideas and giving information,the ability to understand another person's feelings or experience,the process of making things uniform or similar,a belief or custom passed through generations,D | a belief or custom passed through generations,Medium,1,PRO,0
q_9_eng_ch8_019,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Complete Glossary,Remember,Choose the correct meaning of [[wages]].,regular money earned for work or services,a state of being difficult to understand because of many parts,the gradual destruction of something,the process of combining things so that they work together,A | regular money earned for work or services,Medium,1,PRO,0
TOPIC_SEP,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Correct Spellings,Topic,,,,,,,,,,0
q_9_eng_ch8_020,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 8 word: [[appreciate]].,appreciat,apppreciate,appreciate,appreciatexxx,C | appreciate,Easy,1,ULTRA,0
q_9_eng_ch8_021,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 8 word: [[communication]].,communicatio,cmomunication,communication,commmunication,C | communication,Easy,1,ULTRA,0
q_9_eng_ch8_022,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 8 word: [[complexities]].,complexities,complexitie,cmoplexities,commplexities,A | complexities,Easy,1,ULTRA,0
q_9_eng_ch8_023,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 8 word: [[crucial]].,crucia,curcial,cruucial,crucial,D | crucial,Easy,1,ULTRA,0
q_9_eng_ch8_024,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 8 word: [[economy]].,econom,economy,eocnomy,ecoonomy,B | economy,Easy,1,ULTRA,0
q_9_eng_ch8_025,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 8 word: [[empathy]].,empathy,empath,epmathy,emppathy,A | empathy,Easy,1,ULTRA,0
q_9_eng_ch8_026,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 8 word: [[erosion]].,erosio,eorsion,erosion,eroosion,C | erosion,Easy,1,ULTRA,0
q_9_eng_ch8_027,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 8 word: [[globalisation]].,globalisatio,globalisation,golbalisation,gloobalisation,B | globalisation,Easy,1,ULTRA,0
q_9_eng_ch8_028,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 8 word: [[harness]].,harnes,hraness,harrness,harness,D | harness,Easy,1,ULTRA,0
q_9_eng_ch8_029,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 8 word: [[homogenisation]].,homogenisatio,hmoogenisation,hommogenisation,homogenisation,D | homogenisation,Medium,1,ULTRA,0
q_9_eng_ch8_030,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 8 word: [[integration]].,integratio,integration,itnegration,inttegration,B | integration,Medium,1,ULTRA,0
q_9_eng_ch8_031,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 8 word: [[interconnected]].,interconnecte,itnerconnected,interconnected,intterconnected,C | interconnected,Medium,1,ULTRA,0
q_9_eng_ch8_032,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 8 word: [[misinformation]].,misinformation,misinformatio,msiinformation,missinformation,A | misinformation,Medium,1,ULTRA,0
q_9_eng_ch8_033,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 8 word: [[opportunities]].,opportunitie,opportunities,oppportunities,opportunitiesxxx,B | opportunities,Medium,1,ULTRA,0
q_9_eng_ch8_034,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 8 word: [[preserve]].,preserv,perserve,preeserve,preserve,D | preserve,Medium,1,ULTRA,0
q_9_eng_ch8_035,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 8 word: [[technology]].,technology,technolog,tcehnology,tecchnology,A | technology,Medium,1,ULTRA,0
q_9_eng_ch8_036,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 8 word: [[trade]].,trad,tarde,trade,traade,C | trade,Medium,1,ULTRA,0
q_9_eng_ch8_037,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 8 word: [[tradition]].,traditio,tardition,tradition,traadition,C | tradition,Medium,1,ULTRA,0
q_9_eng_ch8_038,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 8 word: [[wages]].,wages,wage,wgaes,wagges,A | wages,Medium,1,ULTRA,0
TOPIC_SEP,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Lesson and Exercise MCQs,Topic,,,,,,,,,,0
q_9_eng_ch8_039,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Lesson and Exercise MCQs,Remember,What is globalisation?,the complete isolation of countries,the end of international trade,the rejection of technology,the growing interconnection and interdependence of economies and cultures,D | the growing interconnection and interdependence of economies and cultures,Easy,1,PRO,0
q_9_eng_ch8_040,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Lesson and Exercise MCQs,Understand,How does globalisation support Pakistan's exports?,by closing borders,by opening international markets,by banning technology,by reducing communication,B | by opening international markets,Easy,1,PRO,0
q_9_eng_ch8_041,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Lesson and Exercise MCQs,Understand,What does CPEC bring according to the text?,"capital, technology, and job opportunities",cultural isolation,fewer roads,less investment,"A | capital, technology, and job opportunities",Easy,1,PRO,0
q_9_eng_ch8_042,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Lesson and Exercise MCQs,Remember,How does globalisation facilitate labour mobility?,by eliminating all jobs,by stopping training,by increasing demand for skilled workers and advanced technology,by reducing wages in every case,C | by increasing demand for skilled workers and advanced technology,Easy,1,PRO,0
q_9_eng_ch8_043,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Lesson and Exercise MCQs,Understand,What does digital globalisation make instantly accessible?,only local newspapers,information from around the world,no educational content,only imported products,B | information from around the world,Easy,1,PRO,0
q_9_eng_ch8_044,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Lesson and Exercise MCQs,Understand,How do social media platforms support cultural exchange?,they prevent communication,they remove all traditions,they stop language learning,people share daily life and interact across cultures,D | people share daily life and interact across cultures,Medium,1,PRO,0
q_9_eng_ch8_045,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Lesson and Exercise MCQs,Remember,What cultural concern is mentioned?,too much cultural preservation,complete absence of foreign influence,lack of all media,erosion of traditional Pakistani culture,D | erosion of traditional Pakistani culture,Medium,1,PRO,0
q_9_eng_ch8_046,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Lesson and Exercise MCQs,Understand,What is one positive role of digital platforms?,spreading only misinformation,preserving and promoting local culture globally,ending all local content,preventing collaboration,B | preserving and promoting local culture globally,Medium,1,PRO,0
q_9_eng_ch8_047,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Lesson and Exercise MCQs,Understand,What challenge accompanies digital globalisation?,no access to information,complete economic isolation,"homogenisation, misinformation, and inequality",no educational opportunity,"C | homogenisation, misinformation, and inequality",Medium,1,PRO,0
q_9_eng_ch8_048,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Lesson and Exercise MCQs,Remember,What balance does the unit recommend?,benefit from globalisation while preserving cultural identity and stability,accept every global trend without question,avoid all international contact,focus only on foreign culture,A | benefit from globalisation while preserving cultural identity and stability,Medium,1,PRO,0
TOPIC_SEP,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Grammar and Vocabulary Exercises,Topic,,,,,,,,,,0
q_9_eng_ch8_049,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Grammar and Vocabulary Exercises,Apply,A sentence normally contains:,only an object,a subject and a predicate,only a conjunction,only a preposition,B | a subject and a predicate,Medium,1,PRO,0
q_9_eng_ch8_050,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Grammar and Vocabulary Exercises,Apply,A simple sentence contains:,two independent clauses,only dependent clauses,no verb,one independent clause,D | one independent clause,Medium,1,PRO,0
q_9_eng_ch8_051,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Grammar and Vocabulary Exercises,Apply,A complex sentence contains:,one independent clause and at least one dependent clause,only one word,two independent clauses only,no conjunction,A | one independent clause and at least one dependent clause,Medium,1,PRO,0
q_9_eng_ch8_052,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Grammar and Vocabulary Exercises,Apply,Which is a subordinating conjunction?,and,but,because,or,C | because,Medium,1,PRO,0
q_9_eng_ch8_053,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Grammar and Vocabulary Exercises,Apply,"In “The cat chased the mouse,” the subject is:",chased,the mouse,The cat,mouse,C | The cat,Medium,1,PRO,0
q_9_eng_ch8_054,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Grammar and Vocabulary Exercises,Apply,"In “She reads a book,” the object is:",a book,She,reads,She reads,A | a book,Medium,1,PRO,0
q_9_eng_ch8_055,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Grammar and Vocabulary Exercises,Apply,"In “Because it was raining, we stayed indoors,” the dependent clause is:",we stayed indoors,stayed indoors,it was,Because it was raining,D | Because it was raining,Medium,1,PRO,0
q_9_eng_ch8_056,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Grammar and Vocabulary Exercises,Apply,"In “When the bell rang, the students left,” the independent clause is:",When the bell rang,the students left,the bell,rang,B | the students left,Medium,1,PRO,0
q_9_eng_ch8_057,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Grammar and Vocabulary Exercises,Apply,An anagram is formed by:,rearranging the letters of another word or phrase,adding a prefix only,removing every vowel,joining two sentences,A | rearranging the letters of another word or phrase,Medium,1,PRO,0
q_9_eng_ch8_058,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Grammar and Vocabulary Exercises,Apply,A precis should usually be written in:,the first person only,dialogue form,the third person,question form,C | the third person,Hard,1,PRO,0
q_9_eng_ch8_059,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Grammar and Vocabulary Exercises,Apply,A precis should avoid:,main ideas,personal opinions and unnecessary details,logical order,clear language,B | personal opinions and unnecessary details,Hard,1,PRO,0
