question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,ENGLISH_A | Unit 3 - Daffodils | While-reading Questions,topic_separator,,,,,1
q_9_eng_ch3_sq_031,1,ENGLISH_A | Unit 3 - Daffodils | Text-derived Board Questions,poem_short,Why are the daffodils compared to stars in the Milky Way?,Medium,2,PRO,1
q_9_eng_ch3_sq_032,1,ENGLISH_A | Unit 3 - Daffodils | Text-derived Board Questions,poem_short,What does the phrase “wealth the show to me had brought” mean?,Hard,2,ULTRA,1
q_9_eng_ch3_sq_033,1,ENGLISH_A | Unit 3 - Daffodils | Text-derived Board Questions,poem_short,How do the daffodils outdo the sparkling waves?,Medium,2,PRO,1
q_9_eng_ch3_sq_034,1,ENGLISH_A | Unit 3 - Daffodils | Text-derived Board Questions,poem_short,Why could the poet not help feeling happy in the company of the daffodils?,Medium,2,PRO,1
q_9_eng_ch3_sq_035,1,ENGLISH_A | Unit 3 - Daffodils | Text-derived Board Questions,poem_short,What role does memory play in the poem?,Medium,2,PRO,1
q_9_eng_ch3_sq_036,1,ENGLISH_A | Unit 3 - Daffodils | Text-derived Board Questions,poem_short,How does nature provide emotional and spiritual uplift in the poem?,Hard,2,PRO,1
q_9_eng_ch3_sq_037,1,ENGLISH_A | Unit 3 - Daffodils | Text-derived Board Questions,poem_short,How is solitude transformed from loneliness into joy?,Hard,2,PRO,1
q_9_eng_ch3_sq_038,1,ENGLISH_A | Unit 3 - Daffodils | Text-derived Board Questions,poem_short,What visual details make the scene vivid?,Medium,2,ULTRA,1
q_9_eng_ch3_sq_039,1,ENGLISH_A | Unit 3 - Daffodils | Text-derived Board Questions,poem_short,What does “tossing their heads in sprightly dance” suggest about the flowers?,Medium,2,PRO,1
q_9_eng_ch3_sq_040,1,ENGLISH_A | Unit 3 - Daffodils | Text-derived Board Questions,poem_short,Why is “Daffodils” called a rhythmic poem?,Medium,2,ULTRA,1
q_9_eng_ch3_sq_041,1,ENGLISH_A | Unit 3 - Daffodils | Text-derived Board Questions,poem_short,What experience inspired Wordsworth to write “Daffodils”?,Easy,2,PRO,1
q_9_eng_ch3_sq_042,1,ENGLISH_A | Unit 3 - Daffodils | Text-derived Board Questions,poem_short,What belief about nature is reflected in Wordsworth’s poetry?,Medium,2,PRO,1
q_9_eng_ch3_sq_043,1,ENGLISH_A | Unit 3 - Daffodils | Text-derived Board Questions,theme_message,State the four major themes listed for “Daffodils.”,Medium,2,PRO,1
