question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_9_eng_ch5_010,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Complete Glossary,Remember,Choose the correct meaning of [[thrive]].,"the activity of starting or running businesses, especially with financial risk",connected with society and the way it is organised,to become and continue to be successful and strong,a large business company,C | to become and continue to be successful and strong,Medium,1,PRO,0
TOPIC_SEP,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Correct Spellings,Topic,,,,,,,,,,0
q_9_eng_ch5_011,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 5 word: [[corporation]].,corporatio,corporation,croporation,corrporation,B | corporation,Easy,1,ULTRA,0
q_9_eng_ch5_012,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 5 word: [[e-commerce]].,e-commerc,ec-ommerce,e-ccommerce,e-commerce,D | e-commerce,Easy,1,ULTRA,0
q_9_eng_ch5_013,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 5 word: [[entrepreneurship]].,entrepreneurshi,etnrepreneurship,enttrepreneurship,entrepreneurship,D | entrepreneurship,Easy,1,ULTRA,0
q_9_eng_ch5_014,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 5 word: [[innovative]].,innovativ,innovative,innnovative,innovativexxx,B | innovative,Easy,1,ULTRA,0
q_9_eng_ch5_015,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 5 word: [[microfinance]].,microfinanc,mcirofinance,microfinance,miccrofinance,C | microfinance,Easy,1,ULTRA,0
q_9_eng_ch5_016,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 5 word: [[norm]].,norm,norme,normm,mron,A | norm,Medium,1,ULTRA,0
q_9_eng_ch5_017,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 5 word: [[societal]].,societa,societal,scoietal,soccietal,B | societal,Medium,1,ULTRA,0
q_9_eng_ch5_018,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 5 word: [[stereotype]].,stereotyp,setreotype,steereotype,stereotype,D | stereotype,Medium,1,ULTRA,0
q_9_eng_ch5_019,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 5 word: [[strategic]].,strategic,strategi,srtategic,strrategic,A | strategic,Medium,1,ULTRA,0
q_9_eng_ch5_020,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 5 word: [[thrive]].,thriv,trhive,thrive,thrrive,C | thrive,Medium,1,ULTRA,0
TOPIC_SEP,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Lesson and Exercise MCQs,Topic,,,,,,,,,,0
q_9_eng_ch5_021,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Lesson and Exercise MCQs,Remember,What is entrepreneurship?,working only for a corporation,avoiding financial risk,"starting, managing, and growing a business venture",buying imported goods only,"C | starting, managing, and growing a business venture",Easy,1,PRO,0
q_9_eng_ch5_022,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Lesson and Exercise MCQs,Understand,What do entrepreneurs identify?,opportunities,only government jobs,traditional barriers,fixed salaries,A | opportunities,Easy,1,PRO,0
q_9_eng_ch5_023,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Lesson and Exercise MCQs,Understand,Which woman is presented as an early successful entrepreneur?,Hazrat Asma رضی اللہ تعالیٰ عنہا,Fatima Jinnah,Maryam Al-Astrulabi,Hazrat Khadija رضی اللہ تعالیٰ عنہا,D | Hazrat Khadija رضی اللہ تعالیٰ عنہا,Easy,1,PRO,0
q_9_eng_ch5_024,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Lesson and Exercise MCQs,Remember,Which qualities supported Hazrat Khadija's success?,fear and isolation,"wisdom, integrity, leadership, hard work, and strategic thinking",wealth alone,avoidance of trade,"B | wisdom, integrity, leadership, hard work, and strategic thinking",Easy,1,PRO,0
q_9_eng_ch5_025,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Lesson and Exercise MCQs,Understand,Which sectors are named for women entrepreneurs in Pakistan?,"fashion, technology, food, education, and crafts",mining only,aviation only,military service only,"A | fashion, technology, food, education, and crafts",Easy,1,PRO,0
q_9_eng_ch5_026,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Lesson and Exercise MCQs,Understand,What do microfinance institutions provide?,free imported products,government jobs,loans to help women start small businesses,international travel,C | loans to help women start small businesses,Easy,1,PRO,0
q_9_eng_ch5_027,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Lesson and Exercise MCQs,Remember,What do mentorship programmes provide?,automatic profits,guidance and essential skills,legal immunity,free property,B | guidance and essential skills,Easy,1,PRO,0
q_9_eng_ch5_028,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Lesson and Exercise MCQs,Understand,Which is a cultural barrier mentioned in the unit?,too many banks,excessive business training,too much access to markets,traditional expectations that prioritise household duties,D | traditional expectations that prioritise household duties,Medium,1,PRO,0
q_9_eng_ch5_029,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Lesson and Exercise MCQs,Understand,Which is a resource barrier?,too many mentors,unrestricted mobility,excessive legal guidance,"limited access to finance, education, and networks","D | limited access to finance, education, and networks",Medium,1,PRO,0
q_9_eng_ch5_030,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Lesson and Exercise MCQs,Remember,Which is a mobility barrier?,easy travel to clients,restrictions on movement and market access,too many transport options,unlimited networking,B | restrictions on movement and market access,Medium,1,PRO,0
q_9_eng_ch5_031,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Lesson and Exercise MCQs,Understand,Which business area includes boutiques and embroidery?,education and training,e-commerce only,fashion and textiles,legal services,C | fashion and textiles,Medium,1,PRO,0
q_9_eng_ch5_032,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Lesson and Exercise MCQs,Understand,Which business area includes home-based baking and catering?,food and catering services,fashion and textiles,microfinance,legal registration,A | food and catering services,Medium,1,PRO,0
q_9_eng_ch5_033,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Lesson and Exercise MCQs,Remember,Which benefit results when women start businesses and employ people?,cultural isolation,job creation,reduced productivity,less innovation,B | job creation,Medium,1,PRO,0
q_9_eng_ch5_034,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Lesson and Exercise MCQs,Understand,How do women entrepreneurs promote gender equality?,by reinforcing traditional restrictions,by avoiding economic activity,by limiting employment,by challenging stereotypes and showing women as capable leaders,D | by challenging stereotypes and showing women as capable leaders,Medium,1,PRO,0
q_9_eng_ch5_035,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Lesson and Exercise MCQs,Understand,What role can e-commerce play?,allow women to run businesses from home and reach wider markets,eliminate all competition,prevent online selling,reduce access to customers,A | allow women to run businesses from home and reach wider markets,Medium,1,PRO,0
TOPIC_SEP,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Grammar and Vocabulary Exercises,Topic,,,,,,,,,,0
q_9_eng_ch5_036,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Grammar and Vocabulary Exercises,Apply,Which punctuation mark ends a statement?,comma,apostrophe,full stop,question mark,C | full stop,Medium,1,PRO,0
q_9_eng_ch5_037,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Grammar and Vocabulary Exercises,Apply,Which punctuation mark separates items in a simple series?,full stop,apostrophe,comma,exclamation mark,C | comma,Medium,1,PRO,0
q_9_eng_ch5_038,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Grammar and Vocabulary Exercises,Apply,Which punctuation mark shows possession?,apostrophe,comma,full stop,question mark,A | apostrophe,Medium,1,PRO,0
q_9_eng_ch5_039,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Grammar and Vocabulary Exercises,Apply,Which punctuation mark ends a direct question?,full stop,comma,apostrophe,question mark,D | question mark,Medium,1,PRO,0
q_9_eng_ch5_040,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Grammar and Vocabulary Exercises,Apply,Which punctuation mark shows strong emotion or surprise?,comma,exclamation mark,apostrophe,full stop,B | exclamation mark,Medium,1,PRO,0
q_9_eng_ch5_041,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Grammar and Vocabulary Exercises,Apply,Capital letters are required at the beginning of:,sentences and proper nouns,every common noun,every preposition,every article,A | sentences and proper nouns,Medium,1,PRO,0
q_9_eng_ch5_042,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Grammar and Vocabulary Exercises,Apply,The proverb “Actions speak louder than words” means:,words are always useless,actions should remain secret,deeds are more important than promises,people should avoid speaking,C | deeds are more important than promises,Medium,1,PRO,0
q_9_eng_ch5_043,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Grammar and Vocabulary Exercises,Apply,The proverb “A stitch in time saves nine” advises us to:,delay every task,solve a small problem before it becomes bigger,avoid making repairs,ignore difficulties,B | solve a small problem before it becomes bigger,Medium,1,PRO,0
q_9_eng_ch5_044,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Grammar and Vocabulary Exercises,Apply,The idiom “break the ice” means:,destroy something cold,end a friendship,win a competition,make people feel more comfortable,D | make people feel more comfortable,Medium,1,PRO,0
q_9_eng_ch5_045,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Grammar and Vocabulary Exercises,Apply,The idiom “once in a blue moon” means:,very often,immediately,exactly,very rarely,D | very rarely,Medium,1,PRO,0
q_9_eng_ch5_046,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Grammar and Vocabulary Exercises,Apply,The idiom “a piece of cake” means:,something expensive,something very easy,something impossible,something secret,B | something very easy,Hard,1,PRO,0
q_9_eng_ch5_047,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Grammar and Vocabulary Exercises,Apply,The idiom “hit the nail on the head” means:,make a loud sound,hurt someone,say or do exactly the right thing,make a careless guess,C | say or do exactly the right thing,Hard,1,PRO,0
q_9_eng_ch5_048,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Grammar and Vocabulary Exercises,Apply,The idiom “cost an arm and a leg” means:,be very expensive,be very easy,be very rare,be very comfortable,A | be very expensive,Hard,1,PRO,0
