question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
q_9_eng_ch3_lq_008,1,ENGLISH_A | Unit 3 - Daffodils | Paraphrasing,Long,rewrite_simple_english,"Paraphrase the following stanza in simple prose without changing its meaning:
Continuous as the stars that shine
And twinkle on the milky way,
They stretched in never-ending line
Along the margin of a bay:
Ten thousand saw I at a glance
Tossing their heads in sprightly dance.",Hard,5,PRO,1
q_9_eng_ch3_lq_009,1,ENGLISH_A | Unit 3 - Daffodils | Paraphrasing,Long,rewrite_simple_english,"Paraphrase the following stanza in simple prose without changing its meaning:
The waves beside them danced, but they
Out-did the sparkling waves in glee:
A poet could not but be gay,
In such a jocund company!
I gazed—and gazed—but little thought
What wealth the show to me had brought.",Hard,5,PRO,1
q_9_eng_ch3_lq_010,1,ENGLISH_A | Unit 3 - Daffodils | Paraphrasing,Long,rewrite_simple_english,"Paraphrase the following stanza in simple prose without changing its meaning:
For oft, when on my couch I lie
In vacant or in pensive mood,
They flash upon that inward eye
Which is the bliss of solitude;
And then my heart with pleasure fills
And dances with the daffodils.",Hard,5,PRO,1
sep_9_eng_ch3_004,1,ENGLISH_A | Unit 3 - Daffodils | Figurative Language Extended Tasks,Topic,topic_separator,,,,,1
q_9_eng_ch3_lq_011,1,ENGLISH_A | Unit 3 - Daffodils | Figurative Language Extended Tasks,Long,literary_extended,Explain the major figures of speech used in “Daffodils” with one textbook example of each.,Hard,5,PRO,1
q_9_eng_ch3_lq_012,1,ENGLISH_A | Unit 3 - Daffodils | Figurative Language Extended Tasks,Long,literary_extended,"Discuss how simile, personification, hyperbole, metaphor, alliteration, assonance, and imagery contribute to the poem.",Hard,5,PRO,1
q_9_eng_ch3_lq_013,1,ENGLISH_A | Unit 3 - Daffodils | Figurative Language Extended Tasks,Long,literary_extended,Compare the connotations of “lonely” and “solitary” as explained in the unit.,Medium,4,ULTRA,1
q_9_eng_ch3_lq_014,1,ENGLISH_A | Unit 3 - Daffodils | Figurative Language Extended Tasks,Long,word_phrase_usage_item,Write sentences that show the different connotations of the words “lonely” and “solitary.”,Medium,4,ELITE,1
q_9_eng_ch3_lq_015,1,ENGLISH_A | Unit 3 - Daffodils | Figurative Language Extended Tasks,Long,word_phrase_usage_item,"Give the denotative and connotative meanings of: lonely, cloud, fluttering, sprightly, gazed, and bliss.",Hard,6,ULTRA,1
q_9_eng_ch3_lq_016,1,ENGLISH_A | Unit 3 - Daffodils | Figurative Language Extended Tasks,Long,word_phrase_usage_item,"State the positive and negative connotations of each pair: gaze/stare, shine/glare, and collect/hoard.",Hard,6,ULTRA,1
sep_9_eng_ch3_005,1,ENGLISH_A | Unit 3 - Daffodils | Compound Preposition Exercises,Topic,topic_separator,,,,,1
q_9_eng_ch3_lq_017,1,ENGLISH_A | Unit 3 - Daffodils | Compound Preposition Exercises,Long,sentence_transformation_item,"Underline the compound preposition in: According to the schedule, the meeting starts at 10 a.m.",Easy,1,PRO,1
q_9_eng_ch3_lq_018,1,ENGLISH_A | Unit 3 - Daffodils | Compound Preposition Exercises,Long,sentence_transformation_item,Underline the compound preposition in: The park is located in front of the library.,Easy,1,PRO,1
q_9_eng_ch3_lq_019,1,ENGLISH_A | Unit 3 - Daffodils | Compound Preposition Exercises,Long,sentence_transformation_item,Underline the compound preposition in: She attended the conference on behalf of her manager.,Easy,1,PRO,1
q_9_eng_ch3_lq_020,1,ENGLISH_A | Unit 3 - Daffodils | Compound Preposition Exercises,Long,sentence_transformation_item,Underline the compound preposition in: We were late for school due to the heavy rain.,Easy,1,PRO,1
q_9_eng_ch3_lq_021,1,ENGLISH_A | Unit 3 - Daffodils | Compound Preposition Exercises,Long,sentence_transformation_item,"Underline the compound preposition in: In addition to his academic work, he participates in sports.",Easy,1,PRO,1
q_9_eng_ch3_lq_022,1,ENGLISH_A | Unit 3 - Daffodils | Compound Preposition Exercises,Long,sentence_transformation_item,"Underline the compound preposition in: In spite of the rain, the match continued.",Easy,1,PRO,1
q_9_eng_ch3_lq_023,1,ENGLISH_A | Unit 3 - Daffodils | Compound Preposition Exercises,Long,word_phrase_usage_item,Use “according to” in a meaningful sentence.,Easy,1,ULTRA,1
q_9_eng_ch3_lq_024,1,ENGLISH_A | Unit 3 - Daffodils | Compound Preposition Exercises,Long,word_phrase_usage_item,Use “in front of” in a meaningful sentence.,Easy,1,ULTRA,1
q_9_eng_ch3_lq_025,1,ENGLISH_A | Unit 3 - Daffodils | Compound Preposition Exercises,Long,word_phrase_usage_item,Use “on behalf of” in a meaningful sentence.,Easy,1,ULTRA,1
q_9_eng_ch3_lq_026,1,ENGLISH_A | Unit 3 - Daffodils | Compound Preposition Exercises,Long,word_phrase_usage_item,Use “due to” in a meaningful sentence.,Easy,1,ULTRA,1
q_9_eng_ch3_lq_027,1,ENGLISH_A | Unit 3 - Daffodils | Compound Preposition Exercises,Long,word_phrase_usage_item,Use “in addition to” in a meaningful sentence.,Easy,1,ULTRA,1
q_9_eng_ch3_lq_028,1,ENGLISH_A | Unit 3 - Daffodils | Compound Preposition Exercises,Long,word_phrase_usage_item,Use “in spite of” in a meaningful sentence.,Easy,1,ULTRA,1
sep_9_eng_ch3_006,1,ENGLISH_A | Unit 3 - Daffodils | Prepositional Phrase Exercises,Topic,topic_separator,,,,,1
q_9_eng_ch3_lq_029,1,ENGLISH_A | Unit 3 - Daffodils | Prepositional Phrase Exercises,Long,sentence_transformation_item,Underline the prepositional phrase and state whether it is adjectival or adverbial: The book on the shelf is mine.,Medium,1,PRO,1
q_9_eng_ch3_lq_030,1,ENGLISH_A | Unit 3 - Daffodils | Prepositional Phrase Exercises,Long,sentence_transformation_item,Underline the prepositional phrase and state whether it is adjectival or adverbial: She recited with grace.,Medium,1,PRO,1
q_9_eng_ch3_lq_031,1,ENGLISH_A | Unit 3 - Daffodils | Prepositional Phrase Exercises,Long,sentence_transformation_item,Underline the prepositional phrase and state whether it is adjectival or adverbial: They travelled to the mountains.,Medium,1,PRO,1
q_9_eng_ch3_lq_032,1,ENGLISH_A | Unit 3 - Daffodils | Prepositional Phrase Exercises,Long,sentence_transformation_item,Underline the prepositional phrase and state whether it is adjectival or adverbial: The cat under the table is sleeping.,Medium,1,PRO,1
q_9_eng_ch3_lq_033,1,ENGLISH_A | Unit 3 - Daffodils | Prepositional Phrase Exercises,Long,sentence_transformation_item,Underline the prepositional phrase and state whether it is adjectival or adverbial: He arrived after dinner.,Medium,1,PRO,1
q_9_eng_ch3_lq_034,1,ENGLISH_A | Unit 3 - Daffodils | Prepositional Phrase Exercises,Long,sentence_transformation_item,Underline the prepositional phrase and state whether it is adjectival or adverbial: The painting on the wall is beautiful.,Medium,1,PRO,1
q_9_eng_ch3_lq_035,1,ENGLISH_A | Unit 3 - Daffodils | Prepositional Phrase Exercises,Long,word_phrase_usage_item,Use “in the morning” in a meaningful sentence.,Easy,1,ULTRA,1
q_9_eng_ch3_lq_036,1,ENGLISH_A | Unit 3 - Daffodils | Prepositional Phrase Exercises,Long,word_phrase_usage_item,Use “under the bed” in a meaningful sentence.,Easy,1,ULTRA,1
q_9_eng_ch3_lq_037,1,ENGLISH_A | Unit 3 - Daffodils | Prepositional Phrase Exercises,Long,word_phrase_usage_item,Use “with a smile” in a meaningful sentence.,Easy,1,ULTRA,1
q_9_eng_ch3_lq_038,1,ENGLISH_A | Unit 3 - Daffodils | Prepositional Phrase Exercises,Long,word_phrase_usage_item,Use “after the game” in a meaningful sentence.,Easy,1,ULTRA,1
q_9_eng_ch3_lq_039,1,ENGLISH_A | Unit 3 - Daffodils | Prepositional Phrase Exercises,Long,word_phrase_usage_item,Use “on the roof” in a meaningful sentence.,Easy,1,ULTRA,1
sep_9_eng_ch3_007,1,ENGLISH_A | Unit 3 - Daffodils | Writing Task,Topic,topic_separator,,,,,1
q_9_eng_ch3_lq_040,1,ENGLISH_A | Unit 3 - Daffodils | Writing Task,Long,paragraph,Imagine you are the poet revisiting the place after many years. Write a short paragraph describing your feelings and the scene.,Hard,5,ELITE,1
