question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Pre-reading and While-reading Questions,topic_separator,,,,,1
q_9_eng_ch1_sq_018,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Text-derived Board Questions,prose_short,Where was the Rasoolullah ﷺ born?,Easy,2,ULTRA,1
q_9_eng_ch1_sq_019,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Text-derived Board Questions,prose_short,What qualities of the Arabs found expression in their poetry?,Easy,2,ULTRA,1
q_9_eng_ch1_sq_020,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Text-derived Board Questions,prose_short,Why was the Arabic language chosen for the final dispensation and the preservation of Allah's Word?,Medium,2,PRO,1
q_9_eng_ch1_sq_021,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Text-derived Board Questions,event_cause_effect,What was the condition of civilization in the fifth and sixth centuries?,Medium,2,ULTRA,1
q_9_eng_ch1_sq_022,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Text-derived Board Questions,prose_short,How did Allah Almighty lift humanity from ignorance into the light of faith?,Medium,2,ULTRA,1
q_9_eng_ch1_sq_023,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Text-derived Board Questions,event_cause_effect,Why did Hazrat Muhammad ﷺ spend time in solitude and meditation in the cave of Hira?,Medium,2,ULTRA,1
q_9_eng_ch1_sq_024,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Text-derived Board Questions,event_cause_effect,What event marked the beginning of divine revelation?,Easy,2,PRO,1
q_9_eng_ch1_sq_025,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Text-derived Board Questions,prose_short,For how many years did the revelation of the divine message continue?,Easy,2,PRO,1
q_9_eng_ch1_sq_026,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Text-derived Board Questions,theme_message,What was the mission of the Rasoolullah ﷺ after the beginning of revelation?,Medium,2,PRO,1
q_9_eng_ch1_sq_027,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Text-derived Board Questions,event_cause_effect,Why did the pagan Arabs begin to put pressure on the Rasoolullah ﷺ and his followers?,Medium,2,PRO,1
q_9_eng_ch1_sq_028,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Text-derived Board Questions,prose_short,What demand did the pagan Arabs make through their delegation to Hazrat Abu Talib?,Medium,2,ULTRA,1
q_9_eng_ch1_sq_029,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Text-derived Board Questions,character_reason,How did the Rasoolullah ﷺ respond when asked to abandon the proclamation of Tauheed?,Medium,2,PRO,1
q_9_eng_ch1_sq_030,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Text-derived Board Questions,character_reason,How did Hazrat Abu Talib react to the firm determination of the Rasoolullah ﷺ?,Medium,2,PRO,1
q_9_eng_ch1_sq_031,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Text-derived Board Questions,prose_short,How did the Rasoolullah ﷺ face the challenges placed before him?,Easy,2,ULTRA,1
q_9_eng_ch1_sq_032,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Text-derived Board Questions,event_cause_effect,How did the Rasoolullah ﷺ become a driving force behind a lasting transformation of human history?,Hard,2,ULTRA,1
q_9_eng_ch1_sq_033,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Text-derived Board Questions,prose_short,Why is the Rasoolullah ﷺ universally acknowledged as one of the most influential figures in history?,Medium,2,PRO,1
q_9_eng_ch1_sq_034,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Text-derived Board Questions,theme_message,To what qualities of the Rasoolullah ﷺ does the lesson attribute the transformation of mankind and society?,Medium,2,PRO,1
q_9_eng_ch1_sq_035,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Text-derived Board Questions,prose_short,How did Hazrat Ayesha رضی اللہ تعالیٰ عنہا describe the morals and character of the Rasoolullah ﷺ?,Easy,2,PRO,1
q_9_eng_ch1_sq_036,1,ENGLISH_A | Unit 1 - The Saviour of Mankind | Text-derived Board Questions,theme_message,State the central theme of “The Saviour of Mankind.”,Easy,2,PRO,1
