question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_9_phy_ch4_011,1,4.3 Turning Effect of a Force,Remember,The turning effect of a force is measured by:,قوت کے گھمانے والے اثر کو کس مقدار سے ناپا جاتا ہے؟,Momentum / مومنٹم,Torque / ٹارک,Velocity / ولاسٹی,Mass / کمیت,B | Torque / ٹارک,Easy,1,high,1
q_9_phy_ch4_012,1,4.3 Turning Effect of a Force,Remember,"If the distance between two points of a body remains the same under the action of a force, the body is called:",اگر قوت کے عمل کے باوجود جسم کے دو نقاط کا درمیانی فاصلہ وہی رہے تو جسم کیا کہلاتا ہے؟,Rigid body / سخت جسم,Elastic body / لچک دار جسم,Fluid body / سیال جسم,Free body / آزاد جسم,A | Rigid body / سخت جسم,Easy,1,high,1
q_9_phy_ch4_013,1,4.3 Turning Effect of a Force,Remember,The straight line joining the centres of fixed circles during rotation is called the:,گردش کے دوران مقررہ دائروں کے مراکز کو ملانے والی سیدھی لکیر کیا کہلاتی ہے؟,Line of action / خط عمل,Moment arm / بازوئے قوت,Axis of rotation / محور گردش,Resultant line / محصل لکیر,C | Axis of rotation / محور گردش,Easy,1,high,1
q_9_phy_ch4_014,1,4.3 Turning Effect of a Force,Remember,The line along which a force acts is called the:,وہ خط جس کے ساتھ قوت عمل کرتی ہے کیا کہلاتا ہے؟,Line of action / خط عمل,Line of mass / خط کمیت,Axis of balance / محور توازن,Circular path / دائرہ نما راستہ,A | Line of action / خط عمل,Easy,1,high,1
q_9_phy_ch4_015,1,4.3 Turning Effect of a Force,Remember,The perpendicular distance of the line of action of a force from the axis of rotation is called:,قوت کے خط عمل کا محور گردش سے عمودی فاصلہ کیا کہلاتا ہے؟,Torque / ٹارک,Moment arm / بازوئے قوت,Centre of mass / مرکز کمیت,Resultant force / محصل قوت,B | Moment arm / بازوئے قوت,Easy,1,high,1
q_9_phy_ch4_016,1,4.3 Turning Effect of a Force,Understand,A door handle is fitted far from the hinge because a larger moment arm:,دروازے کا ہینڈل قبضے سے دور اس لیے لگایا جاتا ہے کہ بڑا بازوئے قوت:,Reduces the turning effect / گھمانے کا اثر کم کرتا ہے,Produces larger torque with less force / کم قوت سے زیادہ ٹارک پیدا کرتا ہے,Makes the door heavier / دروازے کو بھاری بناتا ہے,Removes the line of action / خط عمل ختم کرتا ہے,B | Produces larger torque with less force / کم قوت سے زیادہ ٹارک پیدا کرتا ہے,Medium,1,high,1
q_9_phy_ch4_017,1,4.3 Turning Effect of a Force,Remember,The magnitude of torque is given by:,ٹارک کی مقدار کس مساوات سے دی جاتی ہے؟,τ = F × ℓ / τ = F × ℓ,F = ma / F = ma,F = mv²/r / F = mv²/r,F = √(Fx² + Fy²) / F = √(Fx² + Fy²),A | τ = F × ℓ / τ = F × ℓ,Easy,1,high,1
q_9_phy_ch4_018,1,4.3 Turning Effect of a Force,Remember,The SI unit of torque is:,ٹارک کی SI اکائی کیا ہے؟,Newton / نیوٹن,Newton metre / نیوٹن میٹر,Kilogram metre per second / کلوگرام میٹر فی سیکنڈ,Metre per second / میٹر فی سیکنڈ,B | Newton metre / نیوٹن میٹر,Easy,1,high,1
q_9_phy_ch4_019,1,4.3 Turning Effect of a Force,Analyze,Torque becomes zero when the line of action of a force passes through the axis of rotation because:,جب قوت کا خط عمل محور گردش سے گزرے تو ٹارک صفر کیوں ہو جاتا ہے؟,Force becomes zero / قوت صفر ہو جاتی ہے,Moment arm becomes zero / بازوئے قوت صفر ہو جاتا ہے,Mass becomes zero / کمیت صفر ہو جاتی ہے,Direction becomes horizontal / سمت افقی ہو جاتی ہے,B | Moment arm becomes zero / بازوئے قوت صفر ہو جاتا ہے,Hard,1,high,1
q_9_phy_ch4_020,1,4.3 Turning Effect of a Force,Understand,A torque is taken as positive when the force tends to produce:,ٹارک کو مثبت کب لیا جاتا ہے؟,Clockwise rotation / گھڑی وار گردش,Anticlockwise rotation / مخالف گھڑی وار گردش,Straight-line motion / سیدھی خطی حرکت,No rotation / کوئی گردش نہیں,B | Anticlockwise rotation / مخالف گھڑی وار گردش,Medium,1,high,1
q_9_phy_ch4_021,1,4.3 Turning Effect of a Force,Understand,A torque is taken as negative when the force tends to produce:,ٹارک کو منفی کب لیا جاتا ہے؟,Clockwise rotation / گھڑی وار گردش,Anticlockwise rotation / مخالف گھڑی وار گردش,Upward motion / اوپر کی حرکت,Uniform velocity / یکساں ولاسٹی,A | Clockwise rotation / گھڑی وار گردش,Medium,1,high,1
q_9_phy_ch4_022,1,4.3 Turning Effect of a Force,Remember,"When two equal and opposite parallel forces act at two different points of the same body, they form a:",جب دو برابر اور مخالف متوازی قوتیں ایک ہی جسم کے دو مختلف نقاط پر عمل کریں تو وہ کیا بناتی ہیں؟,Couple / جوڑا قوت,Component / جزو,Centre of gravity / مرکز ثقل,Static equilibrium / سکونی توازن,A | Couple / جوڑا قوت,Easy,1,high,1
q_9_phy_ch4_023,1,4.3 Turning Effect of a Force,Understand,Which daily-life action is an example of a couple?,روزمرہ زندگی میں کون سا عمل جوڑا قوت کی مثال ہے؟,Opening a water tap / پانی کا نل کھولنا,Dropping a stone / پتھر گرانا,Measuring mass / کمیت ناپنا,Moving with uniform velocity / یکساں ولاسٹی سے حرکت کرنا,A | Opening a water tap / پانی کا نل کھولنا,Medium,1,high,1
q_9_phy_ch4_024,1,4.3 Turning Effect of a Force,Apply,A 0.25 m spanner is used with a perpendicular force of 400 N. The torque is:,ایک 0.25 m اسپینر پر 400 N عمودی قوت لگائی جائے تو ٹارک ہو گا:,40 N m / 40 N m,100 N m / 100 N m,160 N m / 160 N m,400 N m / 400 N m,B | 100 N m / 100 N m,Medium,1,high,1
q_9_phy_ch4_025,1,4.3 Turning Effect of a Force,Analyze,A smaller force can open a bottle cap when applied at a longer moment arm because:,بوتل کا ڈھکن کم قوت سے تب کھل سکتا ہے جب قوت لمبے بازوئے قوت پر لگائی جائے، کیونکہ:,Torque depends only on force / ٹارک صرف قوت پر منحصر ہے,Torque depends on force and moment arm / ٹارک قوت اور بازوئے قوت دونوں پر منحصر ہے,Torque is independent of distance / ٹارک فاصلے سے آزاد ہے,Moment arm reduces torque / بازوئے قوت ٹارک کم کرتا ہے,B | Torque depends on force and moment arm / ٹارک قوت اور بازوئے قوت دونوں پر منحصر ہے,Hard,1,high,1
q_9_phy_ch4_026,1,4.4 Resolution of Vectors,Remember,Dividing a vector into two or more parts is called:,کسی ویکٹر کو دو یا زیادہ حصوں میں تقسیم کرنا کیا کہلاتا ہے؟,Resolution of a vector / ویکٹر کی تحلیل,Addition of a vector / ویکٹر کا جمع,Equilibrium of a vector / ویکٹر کا توازن,Rotation of a vector / ویکٹر کی گردش,A | Resolution of a vector / ویکٹر کی تحلیل,Easy,1,high,1
q_9_phy_ch4_027,1,4.4 Resolution of Vectors,Remember,A component of a vector is its:,ویکٹر کا جزو اس کی کیا چیز ہے؟,Effective value in a given direction / کسی خاص سمت میں مؤثر قیمت,Total mass in a body / جسم کی کل کمیت,Turning point / نقطہ گردش,Centre of gravity / مرکز ثقل,A | Effective value in a given direction / کسی خاص سمت میں مؤثر قیمت,Easy,1,high,1
q_9_phy_ch4_028,1,4.4 Resolution of Vectors,Remember,"Usually, a force is resolved into components which are:",عموماً ایک قوت کو ایسے اجزا میں تحلیل کیا جاتا ہے جو:,Parallel to each other / ایک دوسرے کے متوازی ہوں,Perpendicular to each other / ایک دوسرے پر عمود ہوں,Equal to zero / صفر کے برابر ہوں,Opposite to velocity only / صرف ولاسٹی کے مخالف ہوں,B | Perpendicular to each other / ایک دوسرے پر عمود ہوں,Easy,1,high,1
q_9_phy_ch4_029,1,4.4 Resolution of Vectors,Understand,"For a force F making angle θ with the x-axis, its x-component is:",x-axis کے ساتھ θ زاویہ بنانے والی قوت F کا x-جزو کیا ہے؟,Fx = F sinθ / Fx = F sinθ,Fx = F cosθ / Fx = F cosθ,Fx = F tanθ / Fx = F tanθ,Fx = F/θ / Fx = F/θ,B | Fx = F cosθ / Fx = F cosθ,Medium,1,high,1
q_9_phy_ch4_030,1,4.4 Resolution of Vectors,Understand,"For a force F making angle θ with the x-axis, its y-component is:",x-axis کے ساتھ θ زاویہ بنانے والی قوت F کا y-جزو کیا ہے؟,Fy = F cosθ / Fy = F cosθ,Fy = F sinθ / Fy = F sinθ,Fy = F tanθ / Fy = F tanθ,Fy = F² / Fy = F²,B | Fy = F sinθ / Fy = F sinθ,Medium,1,high,1
q_9_phy_ch4_031,1,4.4 Resolution of Vectors,Apply,"A force of 160 N acts at 60° with the horizontal. Using cos60° = 0.5, the x-component is:",ایک 160 N قوت افقی سمت سے 60° زاویہ پر عمل کرتی ہے۔ cos60° = 0.5 استعمال کرتے ہوئے x-جزو ہو گا:,80 N / 80 N,100 N / 100 N,138.6 N / 138.6 N,160 N / 160 N,A | 80 N / 80 N,Medium,1,high,1
q_9_phy_ch4_032,1,4.4 Resolution of Vectors,Apply,"A force of 160 N acts at 60° with the horizontal. Using sin60° = 0.866, the y-component is:",ایک 160 N قوت افقی سمت سے 60° زاویہ پر عمل کرتی ہے۔ sin60° = 0.866 استعمال کرتے ہوئے y-جزو ہو گا:,80 N / 80 N,86.6 N / 86.6 N,138.6 N / 138.6 N,160 N / 160 N,C | 138.6 N / 138.6 N,Medium,1,high,1
q_9_phy_ch4_033,1,4.5 Force from Perpendicular Components,Remember,"If perpendicular components Fx and Fy are known, the magnitude of force is:",اگر عمودی اجزا Fx اور Fy معلوم ہوں تو قوت کی مقدار کیا ہو گی؟,F = Fx + Fy / F = Fx + Fy,F = √(Fx² + Fy²) / F = √(Fx² + Fy²),F = Fx/Fy / F = Fx/Fy,F = Fy − Fx / F = Fy − Fx,B | F = √(Fx² + Fy²) / F = √(Fx² + Fy²),Easy,1,high,1
q_9_phy_ch4_034,1,4.5 Force from Perpendicular Components,Understand,The direction of a force from its components is found using:,قوت کے اجزا سے اس کی سمت کس سے معلوم کی جاتی ہے؟,tanθ = Fy/Fx / tanθ = Fy/Fx,sinθ = Fx/Fy / sinθ = Fx/Fy,cosθ = Fy/Fx / cosθ = Fy/Fx,τ = Fℓ / τ = Fℓ,A | tanθ = Fy/Fx / tanθ = Fy/Fx,Medium,1,high,1
q_9_phy_ch4_035,1,4.5 Force from Perpendicular Components,Analyze,"If Fx is zero and Fy is not zero, the force is directed along:",اگر Fx صفر ہو اور Fy صفر نہ ہو تو قوت کس سمت میں ہو گی؟,x-axis only / صرف x-axis,y-axis only / صرف y-axis,Both axes equally / دونوں محوروں پر برابر,No direction / کوئی سمت نہیں,B | y-axis only / صرف y-axis,Hard,1,high,1
q_9_phy_ch4_036,1,4.6 Principle of Moments,Remember,"When a body is in balanced position, the sum of clockwise moments about any point equals the:",جب جسم متوازن حالت میں ہو تو کسی نقطے کے گرد گھڑی وار مومنٹس کا مجموعہ کس کے برابر ہوتا ہے؟,Sum of anticlockwise moments / مخالف گھڑی وار مومنٹس کا مجموعہ,Sum of all masses / تمام کمیتوں کا مجموعہ,Centripetal force / مرکز مائل قوت,Friction force / رگڑ کی قوت,A | Sum of anticlockwise moments / مخالف گھڑی وار مومنٹس کا مجموعہ,Easy,1,high,1
q_9_phy_ch4_037,1,4.6 Principle of Moments,Apply,"In the metre-rule activity, if w1 and w2 rotate anticlockwise and w3 rotates clockwise, balance requires:",میٹر رول سرگرمی میں اگر w1 اور w2 مخالف گھڑی وار اور w3 گھڑی وار گردش پیدا کریں تو توازن کے لیے شرط ہو گی:,w1ℓ1 + w2ℓ2 = w3ℓ3 / w1ℓ1 + w2ℓ2 = w3ℓ3,w1 + w2 = ℓ3 / w1 + w2 = ℓ3,w3 = 0 / w3 = 0,ℓ1 = ℓ2 = ℓ3 / ℓ1 = ℓ2 = ℓ3,A | w1ℓ1 + w2ℓ2 = w3ℓ3 / w1ℓ1 + w2ℓ2 = w3ℓ3,Medium,1,high,1
q_9_phy_ch4_038,1,4.6 Principle of Moments,Analyze,A metre rule is balanced even though weights are placed at unequal distances. This is possible because:,میٹر رول غیر برابر فاصلوں پر وزن رکھنے کے باوجود متوازن ہے۔ یہ اس لیے ممکن ہے کہ:,Only weights decide balance / صرف وزن توازن کا فیصلہ کرتے ہیں,Only distances decide balance / صرف فاصلے توازن کا فیصلہ کرتے ہیں,Clockwise and anticlockwise moments are equal / گھڑی وار اور مخالف گھڑی وار مومنٹس برابر ہیں,The centre of gravity disappears / مرکز ثقل ختم ہو جاتا ہے,C | Clockwise and anticlockwise moments are equal / گھڑی وار اور مخالف گھڑی وار مومنٹس برابر ہیں,Hard,1,high,1
q_9_phy_ch4_039,1,4.7 Centre of Gravity and Centre of Mass,Remember,Centre of gravity is the point where the total weight of the body appears to be:,مرکز ثقل وہ نقطہ ہے جہاں جسم کا کل وزن کیا معلوم ہوتا ہے؟,Acting / عمل کرتا ہوا,Zero / صفر,Converted to mass / کمیت میں تبدیل,Always outside the body / ہمیشہ جسم سے باہر,A | Acting / عمل کرتا ہوا,Easy,1,high,1
q_9_phy_ch4_040,1,4.7 Centre of Gravity and Centre of Mass,Remember,The centre of gravity of a square or rectangle is at the:,مربع یا مستطیل کا مرکز ثقل کہاں ہوتا ہے؟,Point of intersection of diagonals / قطروں کے تقاطع کا نقطہ,Point of intersection of medians / میڈینز کے تقاطع کا نقطہ,Centre of the axis / محور کا مرکز,Edge of the body / جسم کا کنارہ,A | Point of intersection of diagonals / قطروں کے تقاطع کا نقطہ,Easy,1,high,1
q_9_phy_ch4_041,1,4.7 Centre of Gravity and Centre of Mass,Remember,The centre of gravity of a triangle is at the:,مثلث کا مرکز ثقل کہاں ہوتا ہے؟,Centre of the plate / پلیٹ کا مرکز,Point of intersection of medians / میڈینز کے تقاطع کا نقطہ,Centre of the axis / محور کا مرکز,Point of intersection of diagonals / قطروں کے تقاطع کا نقطہ,B | Point of intersection of medians / میڈینز کے تقاطع کا نقطہ,Easy,1,high,1
q_9_phy_ch4_042,1,4.7 Centre of Gravity and Centre of Mass,Remember,The centre of gravity of a metre rule is at the:,میٹر رول کا مرکز ثقل کہاں ہوتا ہے؟,Centre of the rod / راڈ کا مرکز,End of the rod / راڈ کا سرا,Outside the rod / راڈ سے باہر,Point of suspension only / صرف نقطہ تعلیق,A | Centre of the rod / راڈ کا مرکز,Easy,1,high,1
q_9_phy_ch4_043,1,4.7 Centre of Gravity and Centre of Mass,Understand,"For an irregular plane lamina, the exact centre of gravity is found where:",غیر باقاعدہ پلین لیمینا کے لیے اصل مرکز ثقل کہاں ملتا ہے؟,One horizontal line touches the edge / ایک افقی لکیر کنارے کو چھوئے,Two vertical plumb lines cross each other / دو عمودی شاقولی لکیریں ایک دوسرے کو کاٹیں,The largest side begins / سب سے بڑا ضلع شروع ہو,The mass becomes zero / کمیت صفر ہو جائے,B | Two vertical plumb lines cross each other / دو عمودی شاقولی لکیریں ایک دوسرے کو کاٹیں,Medium,1,high,1
q_9_phy_ch4_044,1,4.7 Centre of Gravity and Centre of Mass,Remember,The centre of mass of a body is the point where the whole mass is assumed to be:,جسم کا مرکز کمیت وہ نقطہ ہے جہاں پوری کمیت کو کیا فرض کیا جاتا ہے؟,Concentrated / مرتکز,Destroyed / ختم,Rotating only / صرف گھومتی ہوئی,Converted into weight / وزن میں تبدیل,A | Concentrated / مرتکز,Easy,1,high,1
q_9_phy_ch4_045,1,4.7 Centre of Gravity and Centre of Mass,Understand,"On the surface of the Earth where g is almost uniform, the centre of mass of an object:",زمین کی سطح پر جہاں g تقریباً یکساں ہے، جسم کا مرکز کمیت:,Coincides with its centre of gravity / اس کے مرکز ثقل سے مل جاتا ہے,Always lies outside the body / ہمیشہ جسم سے باہر ہوتا ہے,Becomes zero / صفر ہو جاتا ہے,Changes into torque / ٹارک میں بدل جاتا ہے,A | Coincides with its centre of gravity / اس کے مرکز ثقل سے مل جاتا ہے,Medium,1,high,1
q_9_phy_ch4_046,1,4.7 Centre of Gravity and Centre of Mass,Analyze,The centre of gravity of a bowl may lie outside the material. This shows that centre of gravity:,پیالے کا مرکز ثقل مادے سے باہر ہو سکتا ہے۔ یہ ظاہر کرتا ہے کہ مرکز ثقل:,Must always lie inside a body / لازماً ہمیشہ جسم کے اندر ہوتا ہے,May exist inside or outside a body / جسم کے اندر یا باہر ہو سکتا ہے,Exists only for regular bodies / صرف باقاعدہ اجسام کے لیے ہوتا ہے,Is the same as surface area / سطحی رقبے کے برابر ہے,B | May exist inside or outside a body / جسم کے اندر یا باہر ہو سکتا ہے,Hard,1,high,1
q_9_phy_ch4_047,1,4.8 Equilibrium,Remember,A body is said to be in equilibrium if it has no:,اگر جسم میں کیا نہ ہو تو اسے توازن میں کہا جاتا ہے؟,Acceleration / اسراع,Mass / کمیت,Weight / وزن,Force pair / قوتی جوڑا,A | Acceleration / اسراع,Easy,1,high,1
q_9_phy_ch4_048,1,4.8 Equilibrium,Remember,A body at rest is in:,سکون میں موجود جسم کس توازن میں ہوتا ہے؟,Static equilibrium / سکونی توازن,Dynamic equilibrium / حرکی توازن,Unstable equilibrium / غیر مستحکم توازن,Circular equilibrium / دائرہ نما توازن,A | Static equilibrium / سکونی توازن,Easy,1,high,1
q_9_phy_ch4_049,1,4.8 Equilibrium,Remember,A body moving with uniform velocity is in:,یکساں ولاسٹی سے حرکت کرنے والا جسم کس توازن میں ہوتا ہے؟,Static equilibrium / سکونی توازن,Dynamic equilibrium / حرکی توازن,Stable equilibrium / مستحکم توازن,Neutral equilibrium / غیر جانبدار توازن,B | Dynamic equilibrium / حرکی توازن,Easy,1,high,1
q_9_phy_ch4_050,1,4.8 Equilibrium,Understand,"For a book lying at rest on a table, equilibrium means:",میز پر سکون میں پڑی کتاب کے لیے توازن کا مطلب ہے:,Fn = w / Fn = w,Fn > w / Fn > w,Fn < w / Fn < w,w = 0 / w = 0,A | Fn = w / Fn = w,Medium,1,high,1
q_9_phy_ch4_051,1,4.8 Equilibrium,Analyze,A descending paratrooper moving with uniform velocity is an example of:,یکساں ولاسٹی سے نیچے اترتا ہوا پیراٹروپر کس کی مثال ہے؟,Static equilibrium / سکونی توازن,Dynamic equilibrium / حرکی توازن,Unbalanced motion / غیر متوازن حرکت,Unstable equilibrium / غیر مستحکم توازن,B | Dynamic equilibrium / حرکی توازن,Hard,1,high,1
q_9_phy_ch4_052,1,4.9 Conditions of Equilibrium,Remember,The first condition of equilibrium is:,توازن کی پہلی شرط کیا ہے؟,ΣF = 0 / ΣF = 0,Στ ≠ 0 / Στ ≠ 0,F = mv²/r / F = mv²/r,τ = F/ℓ / τ = F/ℓ,A | ΣF = 0 / ΣF = 0,Easy,1,high,1
q_9_phy_ch4_053,1,4.9 Conditions of Equilibrium,Remember,The second condition of equilibrium is:,توازن کی دوسری شرط کیا ہے؟,ΣF = ma / ΣF = ma,Στ = 0 / Στ = 0,Fx = F sinθ / Fx = F sinθ,F = p/t / F = p/t,B | Στ = 0 / Στ = 0,Easy,1,high,1
q_9_phy_ch4_054,1,4.9 Conditions of Equilibrium,Understand,"For translational equilibrium, the vector sum of all external forces must be:",انتقالی توازن کے لیے تمام بیرونی قوتوں کا ویکٹری مجموعہ کیا ہونا چاہیے؟,Maximum / زیادہ سے زیادہ,Zero / صفر,Equal to torque / ٹارک کے برابر,Equal to mass / کمیت کے برابر,B | Zero / صفر,Medium,1,high,1
q_9_phy_ch4_055,1,4.9 Conditions of Equilibrium,Understand,The first condition of equilibrium can also be written in rectangular components as:,توازن کی پہلی شرط کو مستطیلی اجزا میں کیسے لکھا جا سکتا ہے؟,ΣFx = 0 and ΣFy = 0 / ΣFx = 0 اور ΣFy = 0,ΣFx = Στ and ΣFy = m / ΣFx = Στ اور ΣFy = m,Fx = F sinθ only / صرف Fx = F sinθ,Fy = F cosθ only / صرف Fy = F cosθ,A | ΣFx = 0 and ΣFy = 0 / ΣFx = 0 اور ΣFy = 0,Medium,1,high,1
q_9_phy_ch4_056,1,4.9 Conditions of Equilibrium,Analyze,"Two equal opposite forces act on a rigid body with different lines of action. The resultant force is zero, but the body may rotate because:",دو برابر مخالف قوتیں ایک سخت جسم پر مختلف خطوط عمل کے ساتھ عمل کرتی ہیں۔ محصل قوت صفر ہے مگر جسم گھوم سکتا ہے کیونکہ:,A couple can produce torque / جوڑا قوت ٹارک پیدا کر سکتا ہے,Mass becomes zero / کمیت صفر ہو جاتی ہے,Both forces vanish / دونوں قوتیں ختم ہو جاتی ہیں,The first condition fails automatically / پہلی شرط لازماً ناکام ہو جاتی ہے,A | A couple can produce torque / جوڑا قوت ٹارک پیدا کر سکتا ہے,Hard,1,high,1
q_9_phy_ch4_057,1,4.9 Conditions of Equilibrium,Analyze,Complete equilibrium of a body requires:,کسی جسم کے مکمل توازن کے لیے کیا ضروری ہے؟,Only ΣFx = 0 / صرف ΣFx = 0,Only Στ = 0 / صرف Στ = 0,"ΣFx = 0, ΣFy = 0 and Στ = 0 / ΣFx = 0، ΣFy = 0 اور Στ = 0",Only uniform speed / صرف یکساں رفتار,"C | ΣFx = 0, ΣFy = 0 and Στ = 0 / ΣFx = 0، ΣFy = 0 اور Στ = 0",Hard,1,high,1
q_9_phy_ch4_058,1,4.10 States of Equilibrium,Remember,A body is in stable equilibrium if after a slight tilt it:,جسم مستحکم توازن میں ہوتا ہے اگر معمولی جھکاؤ کے بعد وہ:,Comes back to its original position / اپنی اصل حالت میں واپس آ جائے,Moves further away / مزید دور چلا جائے,Stays in new position without centre change / مرکز بدلے بغیر نئی حالت میں ٹھہر جائے,Starts accelerating forever / ہمیشہ اسراع شروع کر دے,A | Comes back to its original position / اپنی اصل حالت میں واپس آ جائے,Easy,1,high,1
q_9_phy_ch4_059,1,4.10 States of Equilibrium,Remember,A body is in unstable equilibrium if after a slight tilt it:,جسم غیر مستحکم توازن میں ہوتا ہے اگر معمولی جھکاؤ کے بعد وہ:,Returns to original position / اصل حالت میں واپس آ جائے,Tends to move further away from original position / اصل حالت سے مزید دور جانے لگے,Loses all mass / ساری کمیت کھو دے,Has no torque ever / کبھی ٹارک نہ ہو,B | Tends to move further away from original position / اصل حالت سے مزید دور جانے لگے,Easy,1,high,1
q_9_phy_ch4_060,1,4.10 States of Equilibrium,Remember,A body is in neutral equilibrium if after disturbance it comes to rest in a new position without any change in its:,جسم غیر جانبدار توازن میں ہوتا ہے اگر خلل کے بعد وہ نئی حالت میں رک جائے اور کس چیز میں تبدیلی نہ ہو؟,Centre of mass / مرکز کمیت,Weight / وزن,Volume / حجم,Force unit / قوت کی اکائی,A | Centre of mass / مرکز کمیت,Easy,1,high,1
