question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_9_phy_ch8_017,,8.4 Temporary and Permanent Magnets,Remember,Which of the following is a good example of a temporary magnet?,درج ذیل میں سے عارضی مقناطیس کی اچھی مثال کون سی ہے؟,Electromagnet / برقی مقناطیس,Ferrite magnet / فیرائٹ مقناطیس,Alnico magnet / ال نیکو مقناطیس,Lodestone / لوڈ اسٹون,A | Electromagnet / برقی مقناطیس,Easy,1,high,
q_9_phy_ch8_018,,8.4 Temporary and Permanent Magnets,Remember,Permanent magnets retain their magnetic properties:,مستقل مقناطیس اپنی مقناطیسی خصوصیات کب تک برقرار رکھتے ہیں؟,Only during heating / صرف گرم کرنے کے دوران,Only in water / صرف پانی میں,Forever / ہمیشہ,Only when current flows / صرف جب کرنٹ گزرے,C | Forever / ہمیشہ,Easy,1,high,
q_9_phy_ch8_019,,8.4 Temporary and Permanent Magnets,Understand,"In the nail-chain activity, why does the chain of iron nails collapse immediately after removal?",کیلوں کی زنجیر والی سرگرمی میں لوہے کی کیلوں کی زنجیر ہٹانے پر فوراً کیوں گر جاتی ہے؟,Iron becomes non-metal / لوہا غیر دھات بن جاتا ہے,Induced magnetism in iron nails is temporary / لوہے کی کیلوں میں پیدا شدہ مقناطیسیت عارضی ہوتی ہے,Steel cannot be magnetised / فولاد مقناطیس نہیں بن سکتا,The bar magnet loses all poles / بار مقناطیس تمام قطب کھو دیتا ہے,B | Induced magnetism in iron nails is temporary / لوہے کی کیلوں میں پیدا شدہ مقناطیسیت عارضی ہوتی ہے,Medium,1,high,
q_9_phy_ch8_020,,8.4 Temporary and Permanent Magnets,Understand,Why do steel nails remain attached for some time after removing the magnet?,مقناطیس ہٹانے کے بعد فولادی کیلیں کچھ دیر تک کیوں جڑی رہتی ہیں؟,Steel retains induced magnetism better / فولاد پیدا شدہ مقناطیسیت کو بہتر برقرار رکھتا ہے,Steel is non-magnetic / فولاد غیر مقناطیسی ہے,Steel has no domains / فولاد میں ڈومین نہیں ہوتے,Steel becomes plastic / فولاد پلاسٹک بن جاتا ہے,A | Steel retains induced magnetism better / فولاد پیدا شدہ مقناطیسیت کو بہتر برقرار رکھتا ہے,Medium,1,high,
q_9_phy_ch8_021,,8.5 Magnetic Fields,Remember,A magnetic field is the region around a magnet where another magnetic object experiences:,مقناطیس کے گرد وہ خطہ جہاں دوسرا مقناطیسی جسم کس چیز کا تجربہ کرتا ہے؟,A force / قوت,Heat / حرارت,Sound / آواز,Light / روشنی,A | A force / قوت,Easy,1,high,
q_9_phy_ch8_022,,8.5 Magnetic Fields,Understand,Why do iron filings form a pattern on a glass plate over a bar magnet?,بار مقناطیس کے اوپر شیشے کی پلیٹ پر لوہے کا برادہ نمونہ کیوں بناتا ہے؟,They become tiny magnets by magnetic induction / وہ مقناطیسی القا سے ننھے مقناطیس بن جاتے ہیں,They melt due to heat / وہ حرارت سے پگھل جاتے ہیں,They become non-magnetic / وہ غیر مقناطیسی ہو جاتے ہیں,They repel glass / وہ شیشے کو دھکیلتے ہیں,A | They become tiny magnets by magnetic induction / وہ مقناطیسی القا سے ننھے مقناطیس بن جاتے ہیں,Medium,1,high,
q_9_phy_ch8_023,,Magnetic Lines of Force,Remember,The lines corresponding to the path of iron filings around a magnet are called:,مقناطیس کے گرد لوہے کے برادے کے راستے سے مطابقت رکھنے والی لکیروں کو کیا کہتے ہیں؟,Electric lines / برقی لکیریں,Magnetic lines of force / مقناطیسی خطوطِ قوت,Heat lines / حرارتی لکیریں,Neutral lines / غیر جانبدار لکیریں,B | Magnetic lines of force / مقناطیسی خطوطِ قوت,Easy,1,high,
q_9_phy_ch8_024,,Magnetic Lines of Force,Remember,The direction of magnetic field at a point is indicated by the direction of:,کسی نقطے پر مقناطیسی میدان کی سمت کس سے ظاہر ہوتی ہے؟,S-pole of a compass needle / قطب نما سوئی کے S قطب سے,N-pole of a compass needle / قطب نما سوئی کے N قطب سے,The glass plate / شیشے کی پلیٹ سے,The south geographic pole only / صرف جغرافیائی جنوبی قطب سے,B | N-pole of a compass needle / قطب نما سوئی کے N قطب سے,Easy,1,high,
q_9_phy_ch8_025,,Magnetic Lines of Force,Analyze,A magnetic field at a point has:,کسی نقطے پر مقناطیسی میدان میں کیا ہوتا ہے؟,Only magnitude / صرف مقدار,Only direction / صرف سمت,Both magnitude and direction / مقدار اور سمت دونوں,Neither magnitude nor direction / نہ مقدار نہ سمت,C | Both magnitude and direction / مقدار اور سمت دونوں,Hard,1,high,
q_9_phy_ch8_026,,Magnetic Lines of Force,Analyze,"In the textbook diagram, magnetic field lines outside a bar magnet appear to originate from:",کتابی شکل میں بار مقناطیس کے باہر مقناطیسی خطوط کس قطب سے نکلتے ہوئے دکھائی دیتے ہیں؟,The south pole / جنوبی قطب,The north pole / شمالی قطب,The centre only / صرف مرکز,The neutral point / غیر جانبدار نقطہ,B | The north pole / شمالی قطب,Hard,1,high,
q_9_phy_ch8_027,,Strength of the Magnetic Field,Understand,Magnetic field strength is proportional to the number of magnetic lines of force passing through:,مقناطیسی میدان کی طاقت کس کے متناسب ہوتی ہے؟,Unit length parallel to the lines / خطوط کے متوازی اکائی لمبائی,Unit area placed perpendicular to the lines / خطوط کے عموداً رکھی اکائی سطح,Unit volume of glass / شیشے کے اکائی حجم,Any wooden surface / کسی بھی لکڑی کی سطح,B | Unit area placed perpendicular to the lines / خطوط کے عموداً رکھی اکائی سطح,Medium,1,high,
q_9_phy_ch8_028,,Strength of the Magnetic Field,Understand,Where is the magnetic field of a bar magnet stronger?,بار مقناطیس کا مقناطیسی میدان کہاں زیادہ مضبوط ہوتا ہے؟,Where field lines are far apart / جہاں خطوط دور دور ہوں,Where field lines are close together / جہاں خطوط قریب قریب ہوں,Only at the centre / صرف مرکز پر,Only outside the field / صرف میدان سے باہر,B | Where field lines are close together / جہاں خطوط قریب قریب ہوں,Medium,1,high,
q_9_phy_ch8_029,,Strength of the Magnetic Field,Analyze,Point x between two magnets is called a neutral point because:,دو مقناطیسوں کے درمیان نقطہ x کو غیر جانبدار نقطہ کیوں کہا جاتا ہے؟,Both magnets become non-magnetic there / وہاں دونوں مقناطیس غیر مقناطیسی ہو جاتے ہیں,The field of one magnet cancels the field of the other / ایک مقناطیس کا میدان دوسرے کے میدان کو زائل کر دیتا ہے,All field lines become straight / تمام خطوط سیدھے ہو جاتے ہیں,Only electric force acts there / وہاں صرف برقی قوت عمل کرتی ہے,B | The field of one magnet cancels the field of the other / ایک مقناطیس کا میدان دوسرے کے میدان کو زائل کر دیتا ہے,Hard,1,high,
q_9_phy_ch8_030,,Strength of the Magnetic Field,Understand,The field between the poles of a horseshoe magnet is almost uniform except:,نعل نما مقناطیس کے قطبوں کے درمیان میدان تقریباً یکساں ہوتا ہے سوائے کہاں؟,Near the edges / کناروں کے قریب,At every point / ہر نقطے پر,In the whole space outside Earth / زمین سے باہر پوری جگہ میں,Inside wood only / صرف لکڑی کے اندر,A | Near the edges / کناروں کے قریب,Medium,1,high,
q_9_phy_ch8_031,,8.6 Uses of Permanent Magnets,Remember,Permanent magnets are essential parts of:,مستقل مقناطیس کن چیزوں کے لازمی حصے ہیں؟,D.C motors and electric generators / D.C موٹروں اور برقی جنریٹروں کے,Plastic rulers / پلاسٹک کے فٹوں کے,Glass bottles / شیشے کی بوتلوں کے,Paper books / کاغذی کتابوں کے,A | D.C motors and electric generators / D.C موٹروں اور برقی جنریٹروں کے,Easy,1,high,
q_9_phy_ch8_032,,8.6 Uses of Permanent Magnets,Remember,Permanent magnets fitted in refrigerator doors are used to:,فریج کے دروازوں میں لگے مستقل مقناطیس کس لیے استعمال ہوتے ہیں؟,Heat the food / خوراک گرم کرنے کے لیے,Keep the door closed tightly / دروازہ مضبوطی سے بند رکھنے کے لیے,Remove water from ice / برف سے پانی نکالنے کے لیے,Make the glass visible / شیشے کو واضح کرنے کے لیے,B | Keep the door closed tightly / دروازہ مضبوطی سے بند رکھنے کے لیے,Easy,1,high,
q_9_phy_ch8_033,,8.6 Uses of Permanent Magnets,Analyze,Flourmills use permanent magnets to remove:,فلور ملز مستقل مقناطیس کس چیز کو نکالنے کے لیے استعمال کرتی ہیں؟,Sugar from flour / آٹے سے چینی,Iron nails from grains / اناج سے لوہے کی کیلیں,Water from grains / اناج سے پانی,Plastic from air / ہوا سے پلاسٹک,B | Iron nails from grains / اناج سے لوہے کی کیلیں,Hard,1,high,
q_9_phy_ch8_034,,8.6 Uses of Permanent Magnets,Understand,"In the medical field, permanent magnets may be used to remove:",طب کے میدان میں مستقل مقناطیس کس چیز کو نکالنے کے لیے استعمال ہو سکتے ہیں؟,Iron splinters from eyes / آنکھوں سے لوہے کے باریک ٹکڑے,Water from blood / خون سے پانی,Light from skin / جلد سے روشنی,Glass from paper / کاغذ سے شیشہ,A | Iron splinters from eyes / آنکھوں سے لوہے کے باریک ٹکڑے,Medium,1,high,
q_9_phy_ch8_035,,Applications of Permanent Magnets — A.C Generator,Understand,"In an A.C generator, what happens when a coil rotates between the poles of a permanent magnet?",A.C جنریٹر میں جب کنڈلی مستقل مقناطیس کے قطبوں کے درمیان گھومتی ہے تو کیا ہوتا ہے؟,The magnetic field through the coil changes and emf is induced / کنڈلی سے گزرنے والا مقناطیسی میدان بدلتا ہے اور emf پیدا ہوتی ہے,The coil becomes plastic / کنڈلی پلاسٹک بن جاتی ہے,The magnet loses both poles / مقناطیس دونوں قطب کھو دیتا ہے,No current can ever flow / کبھی بھی کرنٹ نہیں گزر سکتا,A | The magnetic field through the coil changes and emf is induced / کنڈلی سے گزرنے والا مقناطیسی میدان بدلتا ہے اور emf پیدا ہوتی ہے,Medium,1,high,
q_9_phy_ch8_036,,Applications of Permanent Magnets — A.C Generator,Understand,The electric motor is described as the reverse process of:,برقی موٹر کو کس عمل کا الٹ عمل کہا گیا ہے؟,Electric generator / برقی جنریٹر,Telephone receiver / ٹیلی فون ریسیور,Magnetic shield / مقناطیسی ڈھال,Door catcher / دروازہ پکڑنے والا,A | Electric generator / برقی جنریٹر,Medium,1,high,
q_9_phy_ch8_037,,Applications of Permanent Magnets — Moving Coil Loudspeaker,Understand,"In a moving coil loudspeaker, varying A.C current through the voice coil produces sound because the cone:",موونگ کوائل لاؤڈ اسپیکر میں وائس کوائل سے گزرتا متغیر A.C کرنٹ آواز کیوں پیدا کرتا ہے؟,Becomes completely still / بالکل ساکن ہو جاتا ہے,Vibrates back and forth / آگے پیچھے ارتعاش کرتا ہے,Turns into a bar magnet forever / ہمیشہ کے لیے بار مقناطیس بن جاتا ہے,Stops the magnetic field / مقناطیسی میدان روک دیتا ہے,B | Vibrates back and forth / آگے پیچھے ارتعاش کرتا ہے,Medium,1,high,
q_9_phy_ch8_038,,8.7 Electromagnets,Remember,An iron nail becomes an electromagnet when electric current passes through:,لوہے کی کیل کب برقی مقناطیس بنتی ہے؟,A coil of wire around it / اس کے گرد لپٹی تار کی کنڈلی سے,A glass plate near it / اس کے قریب شیشے کی پلیٹ سے,A wooden ruler above it / اس کے اوپر لکڑی کے فٹے سے,A plastic bag around it / اس کے گرد پلاسٹک تھیلی سے,A | A coil of wire around it / اس کے گرد لپٹی تار کی کنڈلی سے,Easy,1,high,
q_9_phy_ch8_039,,8.7 Electromagnets,Understand,The magnetic properties of an electromagnet are temporary because the iron object remains a magnet only while:,برقی مقناطیس کی مقناطیسی خصوصیات عارضی کیوں ہوتی ہیں؟,Light falls on it / اس پر روشنی پڑتی ہے,Current passes through the coil / کنڈلی سے کرنٹ گزرتا ہے,It is kept in water / اسے پانی میں رکھا جاتا ہے,It is made of plastic / یہ پلاسٹک کا بنا ہوتا ہے,B | Current passes through the coil / کنڈلی سے کرنٹ گزرتا ہے,Medium,1,high,
q_9_phy_ch8_040,,8.7 Electromagnets,Apply,How can the strength of an electromagnet be increased in the activity?,سرگرمی میں برقی مقناطیس کی طاقت کیسے بڑھائی جا سکتی ہے؟,Decrease the number of turns only / صرف چکروں کی تعداد کم کر کے,Increase the number of cells or turns of the coil / سیلوں یا کنڈلی کے چکروں کی تعداد بڑھا کر,Remove the iron nail / لوہے کی کیل نکال کر,Replace the battery with wood / بیٹری کو لکڑی سے بدل کر,B | Increase the number of cells or turns of the coil / سیلوں یا کنڈلی کے چکروں کی تعداد بڑھا کر,Medium,1,high,
q_9_phy_ch8_041,,8.7 Electromagnets,Apply,"In the electromagnet activity, a larger number of clips held by the nail indicates:",برقی مقناطیس کی سرگرمی میں کیل کے ساتھ زیادہ کلپس لگنا کس بات کو ظاہر کرتا ہے؟,Weaker magnetic field / کمزور مقناطیسی میدان,Stronger magnetic field / مضبوط مقناطیسی میدان,No current in the coil / کنڈلی میں کرنٹ نہیں,No magnetism in iron / لوہے میں مقناطیسیت نہیں,B | Stronger magnetic field / مضبوط مقناطیسی میدان,Medium,1,high,
q_9_phy_ch8_042,,Uses of Electromagnets,Remember,Which device is listed as a use of electromagnets?,درج ذیل میں سے کون سا آلہ برقی مقناطیس کے استعمالات میں شامل ہے؟,Magnetic relay / مقناطیسی ریلے,Glass bottle / شیشے کی بوتل,Wooden ruler / لکڑی کا فٹا,Plastic comb / پلاسٹک کی کنگھی,A | Magnetic relay / مقناطیسی ریلے,Easy,1,high,
q_9_phy_ch8_043,,Uses of Electromagnets — Magnetic Relay,Analyze,A magnetic relay allows a low-current input circuit to activate:,مقناطیسی ریلے کم کرنٹ والے داخلی سرکٹ سے کس کو فعال کراتا ہے؟,A high-current circuit / زیادہ کرنٹ والا سرکٹ,A wooden switch / لکڑی کا سوئچ,A non-magnetic field / غیر مقناطیسی میدان,A glass insulator only / صرف شیشے کا عایق,A | A high-current circuit / زیادہ کرنٹ والا سرکٹ,Hard,1,high,
q_9_phy_ch8_044,,Uses of Electromagnets — Magnetic Relay,Understand,"In a magnetic relay, the electromagnet attracts the iron armature and causes metal contacts to:",مقناطیسی ریلے میں برقی مقناطیس لوہے کے آرمےچر کو کھینچتا ہے اور دھاتی رابطوں کو کیا کرتا ہے؟,Melt immediately / فوراً پگھلا دیتا ہے,Join together / آپس میں ملا دیتا ہے,Turn into glass / شیشے میں بدل دیتا ہے,Repel the coil / کنڈلی کو دھکیل دیتا ہے,B | Join together / آپس میں ملا دیتا ہے,Medium,1,high,
q_9_phy_ch8_045,,Uses of Electromagnets — Circuit Breaker,Remember,A circuit breaker protects electric appliances by switching off the circuit when current becomes:,سرکٹ بریکر برقی آلات کو کب سرکٹ بند کر کے محفوظ کرتا ہے؟,Zero only / صرف صفر ہو,Excessive / حد سے زیادہ ہو,Always small / ہمیشہ کم ہو,A light beam / روشنی کی شعاع ہو,B | Excessive / حد سے زیادہ ہو,Easy,1,high,
q_9_phy_ch8_046,,Uses of Electromagnets — Circuit Breaker,Understand,"Inside a circuit breaker, the circuit breaks when the armature is detached from the:",سرکٹ بریکر کے اندر آرمےچر کس سے جدا ہو تو سرکٹ ٹوٹ جاتا ہے؟,Copper strip / تانبے کی پٹی,Glass bottle / شیشے کی بوتل,Plastic comb / پلاسٹک کی کنگھی,Wooden ruler / لکڑی کا فٹا,A | Copper strip / تانبے کی پٹی,Medium,1,high,
q_9_phy_ch8_047,,Uses of Electromagnets — Telephone Receiver,Understand,"In a telephone receiver, varying current through the coil causes the diaphragm to:",ٹیلی فون ریسیور میں کنڈلی سے گزرتا متغیر کرنٹ ڈایافرام کو کیا کرتا ہے؟,Move back and forth to produce sound / آواز پیدا کرنے کے لیے آگے پیچھے حرکت دیتا ہے,Become a permanent magnet / مستقل مقناطیس بنا دیتا ہے,Stop all sound signals / تمام صوتی اشارے روک دیتا ہے,Turn into iron oxide / آئرن آکسائیڈ میں بدل دیتا ہے,A | Move back and forth to produce sound / آواز پیدا کرنے کے لیے آگے پیچھے حرکت دیتا ہے,Medium,1,high,
q_9_phy_ch8_048,,Uses of Electromagnets — Maglev Trains,Understand,Maglev trains float above the guideway due to forces arising from:,میگ لیو ٹرینیں گائیڈ وے کے اوپر کن قوتوں کی وجہ سے تیرتی ہیں؟,Induced magnetism / القائی مقناطیسیت,Boiling water / ابلتا پانی,Wood friction / لکڑی کی رگڑ,Plastic expansion / پلاسٹک کی پھیلاؤ,A | Induced magnetism / القائی مقناطیسیت,Medium,1,high,
q_9_phy_ch8_049,,Uses of Electromagnets — Electromagnetic Cranes,Apply,How are heavy iron and steel objects released by an electromagnetic crane?,برقی مقناطیسی کرین بھاری لوہے اور فولاد کے اجسام کو کیسے چھوڑتی ہے؟,By switching OFF the current of the electromagnet / برقی مقناطیس کا کرنٹ بند کر کے,By increasing the number of turns / چکروں کی تعداد بڑھا کر,By heating the object first / پہلے جسم کو گرم کر کے,By using a wooden hook / لکڑی کا ہک استعمال کر کے,A | By switching OFF the current of the electromagnet / برقی مقناطیس کا کرنٹ بند کر کے,Medium,1,high,
q_9_phy_ch8_050,,8.8 Domain Theory of Magnetism,Understand,"According to domain theory, magnetic effects in a magnet are due to:",ڈومین نظریہ کے مطابق مقناطیس میں مقناطیسی اثرات کس وجہ سے ہوتے ہیں؟,Electrons within the atoms of the material / مادے کے ایٹموں کے اندر الیکٹرانوں کی وجہ سے,Only water molecules / صرف پانی کے سالمات کی وجہ سے,Only wooden particles / صرف لکڑی کے ذرات کی وجہ سے,Static glass surfaces / ساکن شیشے کی سطحوں کی وجہ سے,A | Electrons within the atoms of the material / مادے کے ایٹموں کے اندر الیکٹرانوں کی وجہ سے,Medium,1,high,
q_9_phy_ch8_051,,8.8 Domain Theory of Magnetism,Understand,The rotation and spin of an electron both give rise to:,الیکٹران کی گردش اور سپن دونوں کس کو پیدا کرتے ہیں؟,A magnetic field / مقناطیسی میدان,A glass rod / شیشے کی سلاخ,A plastic domain / پلاسٹک ڈومین,A non-magnetic liquid / غیر مقناطیسی مائع,A | A magnetic field / مقناطیسی میدان,Medium,1,high,
q_9_phy_ch8_052,,8.8 Domain Theory of Magnetism,Remember,An atom with some resultant magnetic field behaves like a tiny magnet called:,ایسا ایٹم جس کا کچھ نتیجی مقناطیسی میدان ہو ننھے مقناطیس کی طرح برتاؤ کرتا ہے، اسے کیا کہتے ہیں؟,Magnetic dipole / مقناطیسی ڈائی پول,Neutral point / غیر جانبدار نقطہ,Glass particle / شیشے کا ذرہ,Thermal line / حرارتی لکیر,A | Magnetic dipole / مقناطیسی ڈائی پول,Easy,1,high,
q_9_phy_ch8_053,,"Paramagnetic, Diamagnetic and Ferromagnetic Materials",Remember,Materials whose electron fields support one another and atoms behave like tiny magnets are called:,وہ مادّے جن میں الیکٹرانوں کے میدان ایک دوسرے کو تقویت دیں اور ایٹم ننھے مقناطیس کی طرح برتاؤ کریں، کیا کہلاتے ہیں؟,Paramagnetic materials / پیرا مقناطیسی مادّے,Diamagnetic materials / ڈایا مقناطیسی مادّے,Non-magnetic plastics / غیر مقناطیسی پلاسٹک,Neutral materials / غیر جانبدار مادّے,A | Paramagnetic materials / پیرا مقناطیسی مادّے,Easy,1,high,
q_9_phy_ch8_054,,"Paramagnetic, Diamagnetic and Ferromagnetic Materials",Analyze,Which pair is given as examples of diamagnetic materials?,ڈایا مقناطیسی مادّوں کی مثال کے طور پر کون سا جوڑا دیا گیا ہے؟,Aluminium and lithium / ایلومینیم اور لیتھیم,Copper and bismuth / تانبا اور بزمتھ,Iron and cobalt / لوہا اور کوبالٹ,Steel and nickel / فولاد اور نکل,B | Copper and bismuth / تانبا اور بزمتھ,Hard,1,high,
q_9_phy_ch8_055,,"Paramagnetic, Diamagnetic and Ferromagnetic Materials",Understand,Ferromagnetic materials have large groups of neighbouring atoms with electron spins naturally aligned:,فیرو مقناطیسی مادّوں میں ہمسایہ ایٹموں کے بڑے گروہوں کے الیکٹران سپن فطری طور پر کیسے ہوتے ہیں؟,Parallel to each other / ایک دوسرے کے متوازی,Always perpendicular to Earth / ہمیشہ زمین کے عموداً,Randomly in water only / صرف پانی میں بے ترتیب,Completely absent / مکمل طور پر غیر موجود,A | Parallel to each other / ایک دوسرے کے متوازی,Medium,1,high,
