question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
q_10_eng_b_narration_024,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | INTERROGATIVE SENTENCES,Grammar,narration_interrogative,"He said to me, ""What is your name?""",Easy,1,ELITE,1
q_10_eng_b_narration_025,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | INTERROGATIVE SENTENCES,Grammar,narration_interrogative,"He said to me, ""Can you help me?""",Easy,1,ELITE,1
q_10_eng_b_narration_026,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | INTERROGATIVE SENTENCES,Grammar,narration_interrogative,"The teacher said to me, ""Where is your book?""",Easy,1,ELITE,1
q_10_eng_b_narration_027,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | INTERROGATIVE SENTENCES,Grammar,narration_interrogative,"My father said to me, ""Where are you going?""",Easy,1,ELITE,1
q_10_eng_b_narration_028,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | INTERROGATIVE SENTENCES,Grammar,narration_interrogative,"He said to him, ""When will you go?""",Medium,1,ELITE,1
q_10_eng_b_narration_029,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | INTERROGATIVE SENTENCES,Grammar,narration_interrogative,"Ali said to his sister, ""Why are you crying?""",Medium,1,ELITE,1
q_10_eng_b_narration_030,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | INTERROGATIVE SENTENCES,Grammar,narration_interrogative,"He said to me, ""Who are you?""",Medium,1,ELITE,1
q_10_eng_b_narration_031,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | INTERROGATIVE SENTENCES,Grammar,narration_interrogative,"Subhan said, ""Is Aslam at home?""",Medium,1,ELITE,1
q_10_eng_b_narration_032,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | INTERROGATIVE SENTENCES,Grammar,narration_interrogative,"He said to me, ""Will you come tomorrow?""",Medium,1,ELITE,1
q_10_eng_b_narration_033,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | INTERROGATIVE SENTENCES,Grammar,narration_interrogative,"I said to him, ""Are you going today?""",Medium,1,ELITE,1
q_10_eng_b_narration_034,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | INTERROGATIVE SENTENCES,Grammar,narration_interrogative,"The teacher said, ""Ali, what are you doing?""",Medium,1,ELITE,1
q_10_eng_b_narration_035,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | INTERROGATIVE SENTENCES,Grammar,narration_interrogative,"Aslam said, ""Will you believe such a story?""",Medium,1,ELITE,1
q_10_eng_b_narration_036,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | INTERROGATIVE SENTENCES,Grammar,narration_interrogative,"He said to me, ""Is your father at home?""",Hard,1,ELITE,1
q_10_eng_b_narration_037,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | INTERROGATIVE SENTENCES,Grammar,narration_interrogative,"He said to me, ""Have you taken your pen?""",Hard,1,ELITE,1
q_10_eng_b_narration_038,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | INTERROGATIVE SENTENCES,Grammar,narration_interrogative,"Ali said to me, ""Where do you live?""",Hard,1,ELITE,1
q_10_eng_b_narration_039,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | INTERROGATIVE SENTENCES,Grammar,narration_interrogative,"The teacher said to Fareed, ""Where is your pen?""",Hard,1,ELITE,1
q_10_eng_b_narration_040,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | INTERROGATIVE SENTENCES,Grammar,narration_interrogative,"""What is your business?"" Raza said to me.",Hard,1,ELITE,1
sep_10_eng_b_narration_section_003,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | IMPERATIVE SENTENCES,Topic,topic_separator,,,,,1
q_10_eng_b_narration_041,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | IMPERATIVE SENTENCES,Grammar,narration_imperative,"He said to his servant, ""Polish my shoes.""",Easy,1,ELITE,1
q_10_eng_b_narration_042,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | IMPERATIVE SENTENCES,Grammar,narration_imperative,"I said to him, ""Please do not run fast.""",Easy,1,ELITE,1
q_10_eng_b_narration_043,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | IMPERATIVE SENTENCES,Grammar,narration_imperative,"My father said, ""Go to college.""",Easy,1,ELITE,1
q_10_eng_b_narration_044,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | IMPERATIVE SENTENCES,Grammar,narration_imperative,"I said to my servant, ""Post this letter now.""",Easy,1,ELITE,1
q_10_eng_b_narration_045,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | IMPERATIVE SENTENCES,Grammar,narration_imperative,"The beggar said to me, ""Please give me a loaf.""",Easy,1,ELITE,1
q_10_eng_b_narration_046,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | IMPERATIVE SENTENCES,Grammar,narration_imperative,"The gardener said to the boys, ""Do not pluck flowers.""",Easy,1,ELITE,1
q_10_eng_b_narration_047,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | IMPERATIVE SENTENCES,Grammar,narration_imperative,"She said to me, ""Do not sit here.""",Easy,1,ELITE,1
q_10_eng_b_narration_048,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | IMPERATIVE SENTENCES,Grammar,narration_imperative,"My teacher said to me, ""Work hard.""",Medium,1,ELITE,1
q_10_eng_b_narration_049,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | IMPERATIVE SENTENCES,Grammar,narration_imperative,"The teacher said to Ali, ""Do not waste your time.""",Medium,1,ELITE,1
q_10_eng_b_narration_050,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | IMPERATIVE SENTENCES,Grammar,narration_imperative,"The poor man said to me, ""Please help me if you can.""",Medium,1,ELITE,1
q_10_eng_b_narration_051,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | IMPERATIVE SENTENCES,Grammar,narration_imperative,"The general said, ""Fire, my men.""",Medium,1,ELITE,1
q_10_eng_b_narration_052,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | IMPERATIVE SENTENCES,Grammar,narration_imperative,"The doctor said, ""Take care of your health.""",Medium,1,ELITE,1
q_10_eng_b_narration_053,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | IMPERATIVE SENTENCES,Grammar,narration_imperative,"She said to her servant, ""Fetch me a glass of water.""",Medium,1,ELITE,1
q_10_eng_b_narration_054,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | IMPERATIVE SENTENCES,Grammar,narration_imperative,"I said to my friend, ""Lend me your pen.""",Medium,1,ELITE,1
q_10_eng_b_narration_055,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | IMPERATIVE SENTENCES,Grammar,narration_imperative,"The principal said, ""Wear clean clothes, boys.""",Medium,1,ELITE,1
q_10_eng_b_narration_056,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | IMPERATIVE SENTENCES,Grammar,narration_imperative,"Aslam said to his brother, ""Do your home work and do not waste your time.""",Hard,1,ELITE,1
q_10_eng_b_narration_057,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | IMPERATIVE SENTENCES,Grammar,narration_imperative,"The teacher said to the boys, ""Be punctual and do not be late again.""",Hard,1,ELITE,1
q_10_eng_b_narration_058,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | IMPERATIVE SENTENCES,Grammar,narration_imperative,"The officer said to his peon, ""Get out of my office.""",Hard,1,ELITE,1
q_10_eng_b_narration_059,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | IMPERATIVE SENTENCES,Grammar,narration_imperative,"My father said to me, ""Do not walk barefooted.""",Hard,1,ELITE,1
q_10_eng_b_narration_060,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | IMPERATIVE SENTENCES,Grammar,narration_imperative,"He said to his servant, ""Clean this table.""",Hard,1,ELITE,1
sep_10_eng_b_narration_section_004,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | EXCLAMATORY SENTENCES,Topic,topic_separator,,,,,1
q_10_eng_b_narration_061,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | EXCLAMATORY SENTENCES,Grammar,narration_exclamatory,"Adnan said, ""Hurrah! I have got the first prize.""",Easy,1,ELITE,1
q_10_eng_b_narration_062,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | EXCLAMATORY SENTENCES,Grammar,narration_exclamatory,"He said, ""Alas! How foolish I am.""",Easy,1,ELITE,1
q_10_eng_b_narration_063,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | EXCLAMATORY SENTENCES,Grammar,narration_exclamatory,"He said, ""What a fine day it is today.""",Easy,1,ELITE,1
q_10_eng_b_narration_064,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | EXCLAMATORY SENTENCES,Grammar,narration_exclamatory,"The old man said, ""Alas! I was undone.""",Easy,1,ELITE,1
q_10_eng_b_narration_065,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | EXCLAMATORY SENTENCES,Grammar,narration_exclamatory,"He said, ""Hurrah! My brother has passed.""",Easy,1,ELITE,1
q_10_eng_b_narration_066,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | EXCLAMATORY SENTENCES,Grammar,narration_exclamatory,"The captain said, ""Hurrah! We have won the match.""",Easy,1,ELITE,1
q_10_eng_b_narration_067,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | EXCLAMATORY SENTENCES,Grammar,narration_exclamatory,"Aqsa said, ""What a beautiful flower!""",Easy,1,ELITE,1
q_10_eng_b_narration_068,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | EXCLAMATORY SENTENCES,Grammar,narration_exclamatory,"He said to his friend, ""How worried you look!""",Medium,1,ELITE,1
q_10_eng_b_narration_069,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | EXCLAMATORY SENTENCES,Grammar,narration_exclamatory,"The farmer said, ""Alas! I am ruined.""",Medium,1,ELITE,1
q_10_eng_b_narration_070,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | EXCLAMATORY SENTENCES,Grammar,narration_exclamatory,"The boy said, ""Alas! My father has died.""",Medium,1,ELITE,1
q_10_eng_b_narration_071,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | EXCLAMATORY SENTENCES,Grammar,narration_exclamatory,"He said, ""Oh! I have lost my book.""",Medium,1,ELITE,1
q_10_eng_b_narration_072,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | EXCLAMATORY SENTENCES,Grammar,narration_exclamatory,"Mother said, ""Hurrah! I am proud of my daughter.""",Medium,1,ELITE,1
q_10_eng_b_narration_073,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | EXCLAMATORY SENTENCES,Grammar,narration_exclamatory,"He said, ""Ah me! My only child is dead.""",Medium,1,ELITE,1
q_10_eng_b_narration_074,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | EXCLAMATORY SENTENCES,Grammar,narration_exclamatory,"She said, ""Hurrah! My friend has come.""",Medium,1,ELITE,1
q_10_eng_b_narration_075,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | EXCLAMATORY SENTENCES,Grammar,narration_exclamatory,"She said, ""Alas! I am so down-hearted. My daughter has failed.""",Medium,1,ELITE,1
q_10_eng_b_narration_076,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | EXCLAMATORY SENTENCES,Grammar,narration_exclamatory,"Rehman said, ""What a fine morning!""",Hard,1,ELITE,1
q_10_eng_b_narration_077,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | EXCLAMATORY SENTENCES,Grammar,narration_exclamatory,"She said, ""What a fine weather today!""",Hard,1,ELITE,1
q_10_eng_b_narration_078,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | EXCLAMATORY SENTENCES,Grammar,narration_exclamatory,"The Principal said, ""Bravo! You have done well, my boy.""",Hard,1,ELITE,1
q_10_eng_b_narration_079,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | EXCLAMATORY SENTENCES,Grammar,narration_exclamatory,"He said, ""Oh! I have lost my pen.""",Hard,1,ELITE,1
q_10_eng_b_narration_080,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | EXCLAMATORY SENTENCES,Grammar,narration_exclamatory,"The old man said, ""Alas! I have lost my sight.""",Hard,1,ELITE,1
sep_10_eng_b_narration_section_005,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | OPTATIVE SENTENCES,Topic,topic_separator,,,,,1
q_10_eng_b_narration_081,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | OPTATIVE SENTENCES,Grammar,narration_optative,"The saint said, ""May you live long!""",Easy,1,ELITE,1
q_10_eng_b_narration_082,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | OPTATIVE SENTENCES,Grammar,narration_optative,"The beggar said to him, ""May you go to hell!""",Easy,1,ELITE,1
q_10_eng_b_narration_083,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | OPTATIVE SENTENCES,Grammar,narration_optative,"He said, ""May ALLAH reward this act of mine.""",Easy,1,ELITE,1
q_10_eng_b_narration_084,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | OPTATIVE SENTENCES,Grammar,narration_optative,"The teacher said, ""May you succeed!""",Easy,1,ELITE,1
q_10_eng_b_narration_085,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | OPTATIVE SENTENCES,Grammar,narration_optative,"The beggar said, ""May you live long!""",Easy,1,ELITE,1
q_10_eng_b_narration_086,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | OPTATIVE SENTENCES,Grammar,narration_optative,"I said to him, ""May you recover soon!""",Easy,1,ELITE,1
q_10_eng_b_narration_087,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | OPTATIVE SENTENCES,Grammar,narration_optative,"The farmer said, ""May it rain in time!""",Easy,1,ELITE,1
q_10_eng_b_narration_088,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | OPTATIVE SENTENCES,Grammar,narration_optative,"The beggar said, ""May you be ruined!""",Medium,1,ELITE,1
q_10_eng_b_narration_089,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | OPTATIVE SENTENCES,Grammar,narration_optative,"The beggar said, ""May you go to Hell!""",Medium,1,ELITE,1
q_10_eng_b_narration_090,1,ENGLISH_B | DIRECT AND INDIRECT NARRATION | OPTATIVE SENTENCES,Grammar,narration_optative,"The mother said, ""May you reach your goal!""",Medium,1,ELITE,1
