question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
q_10_eng_b_q8_urdu_para_011,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 11,Long,urdu_to_english_paragraph,ایک دفعہ ایک کوا پیاسا تھا۔ وہ ایک جگہ سے دوسری جگہ اڑا مگر اسے پانی نہ ملا۔ آخر وہ ایک باغ میں پہنچا۔ وہاں اس نے پانی کا ایک گھڑا دیکھا۔ وہ بہت خوش ہوا۔ اس نے گھڑے میں جھانکا۔ پانی اتنا نیچے تھا کہ اس کی چونچ وہاں تک نہ پہنچ سکتی تھی۔ کوا بہت چالاک تھا۔ اس نے ایک ترکیب سوچی۔,Medium,8,ULTRA,1
q_10_eng_b_q8_urdu_para_012,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 12,Long,urdu_to_english_paragraph,"تقریباً دو سو پچاس سال پہلے جرمنی کے ایک چھوٹے سے قصبے میں ایک لڑکا رہتا تھا۔ اس کا نام جارج فریڈرک ہینڈل تھا۔ اس کا باپ ایک مشہور ڈاکٹر تھا۔ ایک دن بوڑھے ڈاکٹر نے اپنے بیٹے سے کہا، ""جارج! تم روز بروز بڑے ہو رہے ہو۔ تم ایک عظیم ڈاکٹر یا جج بن سکتے ہو۔"" جارج نے جواب دیا، ""میں نہ ڈاکٹر بننا چاہتا ہوں نہ جج۔ میں اپنی زندگی موسیقی کے لیے وقف کرنا چاہتا ہوں۔"" اور وہ واقعی ایک عظیم موسیقار بن گیا۔",Medium,8,ULTRA,1
q_10_eng_b_q8_urdu_para_013,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 13,Long,urdu_to_english_paragraph,کراچی ایک خوبصورت اور اہم شہر ہے۔ کراچی پاکستان کا سب سے بڑا شہر ہے۔ یہ بحیرۂ عرب کے کنارے واقع ہے۔ یہاں کی آب و ہوا معتدل ہے۔ یہاں ہلکی ہوا اور سمندری ہوا چلتی رہتی ہے۔ کبھی کراچی پاکستان کا دارالحکومت تھا۔ یہ ایک بندرگاہ ہے۔ دوسرے ملکوں کے ساتھ ہماری تجارت اسی بندرگاہ کے ذریعے ہوتی ہے۔ ہمارے عظیم رہنما قائداعظم کراچی میں پیدا ہوئے۔ ان کا مزار بھی اسی شہر میں ہے۔ جو لوگ کراچی جاتے ہیں وہ قائداعظم کے مزار پر فاتحہ پڑھتے ہیں۔,Medium,8,ULTRA,1
q_10_eng_b_q8_urdu_para_014,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 14,Long,urdu_to_english_paragraph,ایٹمی توانائی انسان کے فائدے کے لیے استعمال کی جا سکتی ہے۔ اسے دنیا کو تباہ کرنے کے لیے بھی استعمال کیا جا سکتا ہے۔ ایٹمی توانائی ہمارے لیے بجلی پیدا کر سکتی ہے۔ کراچی میں ایک ایٹمی بجلی گھر ہے۔ آج کل امکان ہے کہ ایٹمی توانائی سے پیدا ہونے والی بجلی سستی ہو گی۔ ہمیں ایٹمی توانائی صرف پرامن مقاصد کے لیے استعمال کرنی چاہیے۔,Medium,8,ULTRA,1
q_10_eng_b_q8_urdu_para_015,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 15,Long,urdu_to_english_paragraph,انور میرا بہترین دوست ہے۔ اس کا باپ استاد ہے۔ وہ بہت پرہیزگار اور ایماندار آدمی ہے۔ انور ہمارے گھر کے قریب رہتا ہے۔ اس کا گھر بہت اچھا اور خوبصورت ہے۔ ہم اکٹھے سکول جاتے ہیں۔ شام کو میں اس کے گھر جاتا ہوں۔ ہم اکٹھے پڑھتے ہیں۔ وہ ہمیشہ امتحان میں اول آتا ہے۔ وہ صاف ستھرے کپڑے پہنتا ہے۔,Medium,8,ULTRA,1
q_10_eng_b_q8_urdu_para_016,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 16,Long,urdu_to_english_paragraph,دودھ ایک مکمل غذا ہے۔ یہ میٹھا اور لذیذ ہے۔ اس کا رنگ سفید ہے۔ ہمیں زیادہ تر دودھ گایوں اور بھینسوں سے ملتا ہے۔ دودھ ہمیں صحت مند اور طاقتور بناتا ہے۔ ہم اس سے دہی، مکھن اور پنیر بھی بناتے ہیں۔ دودھ بچوں اور مریضوں کے لیے بہت مفید غذا ہے۔ دودھ ہمیشہ ابال کر استعمال کرنا چاہیے۔,Medium,8,ULTRA,1
q_10_eng_b_q8_urdu_para_017,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 17,Long,urdu_to_english_paragraph,شیر ایک طاقتور جانور ہے۔ اس کی شکل خوفناک ہوتی ہے۔ اس کی گردن پر لمبے بال ہوتے ہیں۔ یہ افریقہ اور ایشیا کے جنگلوں میں پایا جاتا ہے۔ یہ غاروں میں رہتا ہے۔ اسے جنگل کا بادشاہ کہا جاتا ہے۔ یہ انسان کا بڑا دشمن ہے۔ لیکن شکاری اس کے بچے چرا لیتے ہیں۔ وہ انہیں سدھاتے ہیں اور سرکس میں کام کرواتے ہیں۔,Medium,8,ULTRA,1
q_10_eng_b_q8_urdu_para_018,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 18,Long,urdu_to_english_paragraph,ایک نوجوان ایک باغ میں بیٹھا تھا۔ وہ کچھ پریشان تھا۔ تھوڑی دیر بعد ایک بوڑھا آدمی باغ میں داخل ہوا۔ اس نے نوجوان کو ایک خط دیا۔ نوجوان نے خط کھولا اور پڑھا۔ خط پڑھ کر وہ بہت خوش ہوا۔ اس کی پریشانی کے آثار ختم ہو گئے۔ اس نے بوڑھے آدمی کا شکریہ ادا کیا۔,Medium,8,ULTRA,1
q_10_eng_b_q8_urdu_para_019,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 19,Long,urdu_to_english_paragraph,لاہور ایک قدیم اور تاریخی شہر ہے۔ یہ دریائے راوی کے کنارے واقع ہے۔ یہ صوبہ پنجاب کا دارالحکومت ہے۔ اس شہر میں بہت سی تاریخی عمارتیں ہیں۔ بادشاہی مسجد دنیا کی عظیم ترین مساجد میں سے ایک ہے۔ علامہ اقبال کا مزار بھی شاہی مسجد کے قریب واقع ہے۔ اقبال نے ہمیں پاکستان کا تصور دیا۔ قرارداد پاکستان لاہور میں منظور ہوئی۔ مینار پاکستان اس قرارداد کی یادگار کے طور پر تعمیر کیا گیا۔ یہ اقبال پارک میں تعمیر کیا گیا۔,Medium,8,ULTRA,1
q_10_eng_b_q8_urdu_para_020,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 20,Long,urdu_to_english_paragraph,علاءالدین چین کے ایک شہر بیجنگ میں رہتا تھا۔ اس کا باپ درزی تھا۔ وہ بہت محنتی آدمی تھا۔ علاءالدین ابھی بہت چھوٹا تھا جب اس کا باپ فوت ہو گیا۔ علاءالدین اور اس کی ماں غربت کی زندگی بسر کرتے تھے۔ علاءالدین بہت سست تھا۔ وہ سارا دن گلیوں میں کھیلتا اور کوئی کام نہ کرتا۔ تاہم وہ جسمانی طور پر مضبوط اور طاقتور تھا۔,Medium,8,ULTRA,1
q_10_eng_b_q8_urdu_para_021,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 21,Long,urdu_to_english_paragraph,"ہم نے چڑیا گھر میں بہت سے جانور دیکھے۔ ہم نے یہ جانور پہلے کبھی نہ دیکھے تھے۔ ہم سب بہت خوش تھے۔ میرا چھوٹا بھائی خاص طور پر بہت خوش تھا۔ جب اس نے مور دیکھا تو خوشی سے اچھلنے لگا۔ اس نے والد سے کہا، ""ابا جان! کیا آپ مجھے ایک مور خرید دیں گے؟ یہ بہت خوبصورت جانور ہے۔"" والد نے کہا کہ وہ مور فروخت کے لیے نہیں تھے۔",Medium,8,ULTRA,1
q_10_eng_b_q8_urdu_para_022,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 22,Long,urdu_to_english_paragraph,میری ماں مجھ سے بہت محبت کرتی ہے۔ وہ ہمیشہ میری صحت کا خیال رکھتی ہے۔ وہ میری پسند کا کھانا پکاتی ہے۔ لیکن وہ مجھے زیادہ کھانے سے روکتی ہے۔ وہ مجھے اچھے کپڑے دیتی ہے۔ وہ مہنگے کپڑوں کے خلاف ہے۔ وہ مجھے ایمانداری سکھاتی ہے۔ میں انگریزی میں کچھ کمزور ہوں۔ اس لیے اس نے میرے لیے ایک استاد رکھ لیا ہے۔ وہ روزانہ میرے پڑھنے پر زور دیتی ہے۔,Medium,8,ULTRA,1
q_10_eng_b_q8_urdu_para_023,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 23,Long,urdu_to_english_paragraph,اورنگ زیب بہت نیک فطرت اور خدا ترس بادشاہ تھا۔ وہ صبح سویرے اٹھتا اور اللہ تعالیٰ کی عبادت کرتا تھا۔ اپنی حکومت کے دوران اس نے احکامات جاری کر رکھے تھے کہ لوگ اللہ تعالیٰ کی عبادت کریں اور نیک کام کریں تاکہ کوئی دن بیکار نہ گزرے۔ وہ سورج نکلتے ہی دربار لگاتا تھا۔ وہ غریبوں، محتاجوں اور مظلوموں کی فریاد سنتا تھا۔ وہ ان سے محبت سے پیش آتا تھا۔ وہ ان کی خیریت دریافت کرتا اور ان کی خواہشیں پوری کرتا تھا۔,Medium,8,ULTRA,1
q_10_eng_b_q8_urdu_para_024,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 24,Long,urdu_to_english_paragraph,ایک نوجوان قائداعظم کو قتل کرنے آیا تھا۔ جب اس نے دیکھا کہ آس پاس کوئی موجود نہیں تو اس نے فوراً چاقو نکالا۔ اس نے قائداعظم پر حملہ کر دیا۔ اللہ تعالیٰ نے قائداعظم کو بڑی دانائی اور جرأت عطا کی تھی۔ انہوں نے اپنا لمبا بازو آگے بڑھایا اور قاتل کا ہاتھ مضبوطی سے پکڑ لیا۔ انہوں نے اپنے پرائیویٹ سیکرٹری کو آواز دی۔ مجرم گرفتار کر لیا گیا۔ سب لوگوں نے دیکھا کہ قائداعظم ایک بہادر آدمی تھے۔,Medium,8,ULTRA,1
q_10_eng_b_q8_urdu_para_025,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 25,Long,urdu_to_english_paragraph,"حضرت محمد ﷺ مکہ میں پیدا ہوئے۔ آپ کے والد کا نام حضرت عبداللہ تھا۔ آپ کے دادا نے آپ کی پرورش کی۔ جب آپ پچیس سال کے ہوئے تو آپ نے حضرت خدیجہ رضی اللہ عنہا سے شادی کی۔ جب آپ چالیس سال کے ہوئے تو آپ نے فرمایا، ""میں اللہ کا نبی ہوں۔ میری بات سنو۔ اللہ ایک ہے۔ صرف اسی کی عبادت کرو۔""",Medium,8,ULTRA,1
q_10_eng_b_q8_urdu_para_026,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 26,Long,urdu_to_english_paragraph,پرانے زمانے میں کابل میں ایک تاجر رہتا تھا۔ اس کا ایک بیٹا تھا۔ تاجر کے بیٹے کو بچپن ہی سے تعلیم حاصل کرنے کا شوق تھا۔ باپ نے بڑی توجہ سے اسے تعلیم دلوائی۔ اس نے اسے اچھے استادوں کے پاس بھیجا۔ اس نے اسے اچھے اداروں میں تعلیم دلوائی اور اچھی کتابیں مہیا کیں۔ نتیجتاً جوان ہونے تک وہ اپنے زمانے کے علم کی بیشتر شاخوں میں ماہر ہو چکا تھا۔ جب بادشاہ نے اس کے علم کی شہرت سنی تو وہ بہت خوش ہوا۔ بادشاہ نے تاجر کے بیٹے کو اپنا وزیر بنا لیا اور ہر کام میں اس سے مشورہ لینے لگا۔,Medium,8,ULTRA,1
q_10_eng_b_q8_urdu_para_027,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 27,Long,urdu_to_english_paragraph,یہ ہمارا گھر ہے۔ جب والد صاحب نے یہ گھر خریدا تھا تو میری عمر صرف پانچ سال تھی۔ مجھے اس گھر میں رہتے ہوئے دس سال ہو گئے ہیں۔ ہمارا خاندان بہت بڑا ہے لیکن یہ گھر بہت چھوٹا ہے۔ والد صاحب کہتے ہیں کہ وہ یہ گھر بیچ کر گلبرگ میں ایک بڑا گھر خریدیں گے۔ لیکن میں یہ گھر چھوڑنا نہیں چاہتا۔ مجھے یہ گھر بہت پسند ہے۔,Medium,8,ULTRA,1
q_10_eng_b_q8_urdu_para_028,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 28,Long,urdu_to_english_paragraph,امجد ابھی بچہ تھا جب اس کا باپ فوت ہو گیا۔ وہ یتیم ہو گیا۔ اس کا چچا اسے اپنے گھر لے آیا۔ چچا کا کوئی بیٹا نہ تھا۔ اس نے امجد کو اپنے بیٹے کی طرح پالا۔ امجد نے ایم اے کا امتحان پاس کیا اور اسے اچھی ملازمت مل گئی۔ اس وقت تک اس کا چچا بوڑھا ہو چکا تھا۔ امجد نے اپنے چچا کی باپ کی طرح خدمت کی۔ چچا نے امجد کو اپنا داماد بنا لیا۔ اس طرح امجد اپنے چچا کے خاندان کا فرد بن گیا۔,Medium,8,ULTRA,1
q_10_eng_b_q8_urdu_para_029,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 29,Long,urdu_to_english_paragraph,حضرت عائشہ رضی اللہ عنہا حضرت ابوبکر صدیق رضی اللہ عنہ کی بیٹی تھیں جو رسول اکرم ﷺ کے قریبی دوست تھے۔ وہ رسول اکرم ﷺ کی زوجہ تھیں۔ وہ ایک چھوٹے سے کمرے میں رہتی تھیں۔ یہ کم چھت والا ایک سادہ سا کمرہ تھا۔ حضرت عائشہ رضی اللہ عنہا گھر کا کام خود کرتی تھیں۔ ان کی زندگی سادہ تھی۔ وہ رسول اکرم ﷺ سے بہت محبت کرتی تھیں۔ وہ بہت ذہین تھیں اور اسلام کے بارے میں بہت کچھ جانتی تھیں۔,Medium,8,ULTRA,1
q_10_eng_b_q8_urdu_para_030,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 30,Long,urdu_to_english_paragraph,"ایک دفعہ ایک کوے کو گوشت کا ٹکڑا ملا۔ وہ ایک درخت کی شاخ پر بیٹھ گیا۔ اسی اثنا میں ایک لومڑی وہاں آ گئی۔ لومڑی نے اپنے دل میں کہا، ""مجھے کوے سے گوشت کا ٹکڑا حاصل کرنا چاہیے۔"" کوے کے قریب آ کر اس نے کہا، ""میں نے سنا ہے کہ تم بہت اچھا گاتے ہو۔ تمہاری آواز بہت میٹھی ہے۔ میں تمہارا گانا سننا چاہتی ہوں۔ کیا تم مجھے اپنا گانا سنانے کی مہربانی کرو گے؟"" کوا اس بات پر خوش ہوا۔",Medium,8,ULTRA,1
q_10_eng_b_q8_urdu_para_031,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 31,Long,urdu_to_english_paragraph,یہ ہمارے گاؤں کی تصویر ہے۔ گاؤں سے باہر سرسبز کھیت ہیں۔ اب موسم گرما ہے۔ سورج چمک رہا ہے۔ گاؤں کے بالکل سامنے گندم کے کھیت ہیں۔ گندم کے کھیتوں میں بڑی رونق ہے۔ جوان، بوڑھے، مرد اور عورتیں مل کر کام کر رہے ہیں۔ فصل پک چکی ہے۔ گاؤں والے فصل کاٹیں گے اور غلہ جمع کریں گے۔ ہمارے گاؤں میں بہت سے مکانات ہیں۔ ہم گاؤں میں خوش ہیں۔ ہمیں اپنا گاؤں بہت خوبصورت لگتا ہے۔,Medium,8,ULTRA,1
q_10_eng_b_q8_urdu_para_032,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 32,Long,urdu_to_english_paragraph,حضرت علی رضی اللہ عنہ رسول اکرم ﷺ کے چچا حضرت ابو طالب کے بیٹے تھے۔ ان کی والدہ کا نام فاطمہ بنت اسد تھا۔ ابو طالب امیر آدمی نہ تھے۔ حضرت علی رضی اللہ عنہ نے نو سال کی عمر میں رسول اکرم ﷺ کے ہاتھ پر اسلام قبول کیا۔ انہوں نے بہت سی جنگیں لڑیں اور بہت سے کافروں کو قتل کیا۔ حضرت عثمان رضی اللہ عنہ کی وفات کے بعد وہ چوتھے خلیفہ بنے۔ رسول اکرم ﷺ نے اپنی بیٹی حضرت فاطمہ رضی اللہ عنہا کا نکاح ان سے کیا۔ حضرت علی رضی اللہ عنہ ایک بہادر آدمی اور عالم تھے۔ وہ رسول اکرم ﷺ سے بہت محبت کرتے تھے۔,Medium,8,ULTRA,1
q_10_eng_b_q8_urdu_para_033,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 33,Long,urdu_to_english_paragraph,انسان اپنی تقدیر اپنے ہاتھ میں رکھتا ہے۔ اسے سخت محنت کرنی چاہیے اور پوری لگن سے اپنے فرائض انجام دینے چاہئیں تاکہ وہ زندگی میں کامیاب ہو سکے۔ محنت دنیا کی سب سے بڑی حقیقت ہے۔ اس سے انکار نہیں کیا جا سکتا۔ اگر ہم ماضی پر نظر ڈالیں تو ہمیں معلوم ہو گا کہ دنیا کے تمام عظیم لوگوں نے سخت محنت کی اور جذبے اور بہتر مستقبل کے لیے کام کیا۔ ابراہام لنکن امریکہ کا صدر تھا۔ اگر ہم اس کی زندگی کا مطالعہ کریں تو معلوم ہو گا کہ وہ لکڑہارے کا بیٹا تھا۔ لیکن اسے تعلیم حاصل کرنے کا شوق تھا۔,Medium,8,ULTRA,1
q_10_eng_b_q8_urdu_para_034,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 34,Long,urdu_to_english_paragraph,مدینہ عرب کا ایک مقدس شہر ہے۔ یہ مکہ سے تقریباً تین سو میل دور ہے۔ کاریں یہ فاصلہ چار یا پانچ گھنٹوں میں طے کرتی ہیں۔ مدینہ رسول اللہ ﷺ کا شہر ہے۔ یہاں بہت سی مساجد ہیں مگر مسجد نبوی سب سے مشہور ہے۔ رسول اللہ ﷺ کا روضہ اسی مسجد میں واقع ہے۔ یہاں ایک لاکھ مسلمان نماز پڑھ سکتے ہیں۔ مدینہ میں بہت سے ہوٹل ہیں۔ پرانی عمارتیں بھی وہاں موجود ہیں۔,Medium,8,ULTRA,1
q_10_eng_b_q8_urdu_para_035,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 35,Long,urdu_to_english_paragraph,"میں نے دور سے شیر دیکھا۔ وہ جھاڑیوں میں بیٹھا تھا۔ شیر نے ہمیں نہیں دیکھا۔ میں نے اپنے ساتھی سے کہا، ""تم یہاں خاموش بیٹھو۔ میں شیر کے قریب جاتا ہوں۔"" اس کے بعد میں آہستہ آہستہ شیر کی طرف بڑھنے لگا۔ اگر میں ذرا سا شور کرتا تو وہ بھاگ جاتا۔ آخر میں اس کے قریب پہنچ گیا۔ میں اسے پتوں میں بیٹھا صاف دیکھ سکتا تھا۔ اس نے ابھی مجھے نہیں دیکھا تھا۔ میں نے بہت احتیاط سے بندوق اٹھائی۔",Medium,8,ULTRA,1
q_10_eng_b_q8_urdu_para_036,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 36,Long,urdu_to_english_paragraph,"چودھری اسلم کا ایک دوست عرصے بعد اس سے ملنے آیا۔ اسے محسوس ہوا کہ چودھری اداس ہے۔ اس نے پوچھا، ""چودھری صاحب، کیا بات ہے؟ آپ اداس کیوں رہتے ہیں؟"" چودھری نے کہا، ""کوئی خاص بات نہیں۔"" ایوب نے کہا، ""اگر کوئی خاص بات نہیں تو کوئی عام مسئلہ ضرور ہو گا۔ پھر آپ پریشان کیوں ہیں؟"" چودھری نے کہا، ""دنیا میں کون اپنے آپ سے خوش ہے؟ نہ دن کو سکون ہے نہ رات کو۔"" ایوب نے کہا، ""دنیا تم سے اختلاف نہیں کرتی۔ یہ انسان کی بزدلی ہے جو اسے بے حوصلہ کرتی ہے۔""",Medium,8,ULTRA,1
