question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_10_eng_b_q7_book_001,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER A,Topic,topic_separator,,,,,1
q_10_eng_b_q7_book_010,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER B,Grammar,pair_of_words_item,"Brake, Break",Medium,1,ELITE,1
sep_10_eng_b_q7_book_003,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER C,Topic,topic_separator,,,,,1
q_10_eng_b_q7_book_011,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER C,Grammar,pair_of_words_item,"Cell, Sell",Medium,1,ELITE,1
q_10_eng_b_q7_book_012,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER C,Grammar,pair_of_words_item,"Cloth, Clothes",Medium,1,ELITE,1
q_10_eng_b_q7_book_013,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER C,Grammar,pair_of_words_item,"Compare, Contrast",Medium,1,ELITE,1
q_10_eng_b_q7_book_014,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER C,Grammar,pair_of_words_item,"Cool, Cold",Medium,1,ELITE,1
sep_10_eng_b_q7_book_004,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER D,Topic,topic_separator,,,,,1
q_10_eng_b_q7_book_015,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER D,Grammar,pair_of_words_item,"Denied, Refused",Medium,1,ELITE,1
q_10_eng_b_q7_book_016,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER D,Grammar,pair_of_words_item,"Device, Devise",Medium,1,ELITE,1
q_10_eng_b_q7_book_017,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER D,Grammar,pair_of_words_item,"Dew, Due",Medium,1,ELITE,1
q_10_eng_b_q7_book_018,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER D,Grammar,pair_of_words_item,"Diary, Dairy",Medium,1,ELITE,1
q_10_eng_b_q7_book_019,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER D,Grammar,pair_of_words_item,"Die, Dye",Medium,1,ELITE,1
q_10_eng_b_q7_book_020,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER D,Grammar,pair_of_words_item,"Dose, Doze",Medium,1,ELITE,1
q_10_eng_b_q7_book_021,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER D,Grammar,pair_of_words_item,"Droop, Drop",Medium,1,ELITE,1
sep_10_eng_b_q7_book_005,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER E,Topic,topic_separator,,,,,1
q_10_eng_b_q7_book_022,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER E,Grammar,pair_of_words_item,"Elder, Older",Medium,1,ELITE,1
q_10_eng_b_q7_book_023,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER E,Grammar,pair_of_words_item,"Eligible, Illegible",Medium,1,ELITE,1
q_10_eng_b_q7_book_024,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER E,Grammar,pair_of_words_item,"Except, Accept",Medium,1,ELITE,1
q_10_eng_b_q7_book_025,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER E,Grammar,pair_of_words_item,"Expect, Hope",Medium,1,ELITE,1
sep_10_eng_b_q7_book_006,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER F,Topic,topic_separator,,,,,1
q_10_eng_b_q7_book_026,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER F,Grammar,pair_of_words_item,"Fair, Fare",Medium,1,ELITE,1
q_10_eng_b_q7_book_027,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER F,Grammar,pair_of_words_item,"Feet, Feat",Medium,1,ELITE,1
q_10_eng_b_q7_book_028,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER F,Grammar,pair_of_words_item,"Flour, Floor",Medium,1,ELITE,1
q_10_eng_b_q7_book_029,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER F,Grammar,pair_of_words_item,"Foul, Fowl",Medium,1,ELITE,1
sep_10_eng_b_q7_book_007,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER G,Topic,topic_separator,,,,,1
q_10_eng_b_q7_book_030,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER G,Grammar,pair_of_words_item,"Gaol, Goal",Medium,1,ELITE,1
q_10_eng_b_q7_book_031,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER G,Grammar,pair_of_words_item,"Gate, Gait",Medium,1,ELITE,1
sep_10_eng_b_q7_book_008,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER H,Topic,topic_separator,,,,,1
q_10_eng_b_q7_book_032,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER H,Grammar,pair_of_words_item,"Heal, Heel",Medium,1,ELITE,1
q_10_eng_b_q7_book_033,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER H,Grammar,pair_of_words_item,"Healthy, Healthful",Medium,1,ELITE,1
sep_10_eng_b_q7_book_009,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER I,Topic,topic_separator,,,,,1
q_10_eng_b_q7_book_034,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER I,Grammar,pair_of_words_item,"Ice, Snow",Medium,1,ELITE,1
q_10_eng_b_q7_book_035,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER I,Grammar,pair_of_words_item,"Idle, Idol",Medium,1,ELITE,1
q_10_eng_b_q7_book_036,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER I,Grammar,pair_of_words_item,"Invent, Discover",Medium,1,ELITE,1
sep_10_eng_b_q7_book_010,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER L,Topic,topic_separator,,,,,1
q_10_eng_b_q7_book_037,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER L,Grammar,pair_of_words_item,"Lessen, Lesson",Medium,1,ELITE,1
q_10_eng_b_q7_book_038,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER L,Grammar,pair_of_words_item,"Letter, Latter",Medium,1,ELITE,1
q_10_eng_b_q7_book_039,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER L,Grammar,pair_of_words_item,"Liar, Lawyer",Medium,1,ELITE,1
q_10_eng_b_q7_book_040,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER L,Grammar,pair_of_words_item,"Lose, Loose",Medium,1,ELITE,1
q_10_eng_b_q7_book_041,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER L,Grammar,pair_of_words_item,"Lovely, Lovable",Medium,1,ELITE,1
sep_10_eng_b_q7_book_011,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER M,Topic,topic_separator,,,,,1
q_10_eng_b_q7_book_042,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER M,Grammar,pair_of_words_item,"Marry, Merry",Medium,1,ELITE,1
q_10_eng_b_q7_book_043,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER M,Grammar,pair_of_words_item,"Meat, Meet",Medium,1,ELITE,1
q_10_eng_b_q7_book_044,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER M,Grammar,pair_of_words_item,"Medal, Meddle",Medium,1,ELITE,1
q_10_eng_b_q7_book_045,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER M,Grammar,pair_of_words_item,"Metal, Mettle",Medium,1,ELITE,1
q_10_eng_b_q7_book_046,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER M,Grammar,pair_of_words_item,"Miner, Minor",Medium,1,ELITE,1
sep_10_eng_b_q7_book_012,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER N,Topic,topic_separator,,,,,1
q_10_eng_b_q7_book_047,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER N,Grammar,pair_of_words_item,"Necessity, Necessary",Medium,1,ELITE,1
sep_10_eng_b_q7_book_013,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER O,Topic,topic_separator,,,,,1
q_10_eng_b_q7_book_048,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER O,Grammar,pair_of_words_item,"Observation, Observance",Medium,1,ELITE,1
sep_10_eng_b_q7_book_014,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER P,Topic,topic_separator,,,,,1
q_10_eng_b_q7_book_049,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER P,Grammar,pair_of_words_item,"Pear, Peer",Medium,1,ELITE,1
q_10_eng_b_q7_book_050,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER P,Grammar,pair_of_words_item,"People, Peoples",Medium,1,ELITE,1
q_10_eng_b_q7_book_051,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER P,Grammar,pair_of_words_item,"Piece, Peace",Medium,1,ELITE,1
q_10_eng_b_q7_book_052,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER P,Grammar,pair_of_words_item,"Popular, Populous",Medium,1,ELITE,1
q_10_eng_b_q7_book_053,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER P,Grammar,pair_of_words_item,"Pore, Pour",Medium,1,ELITE,1
q_10_eng_b_q7_book_054,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER P,Grammar,pair_of_words_item,"Pray, Prey",Medium,1,ELITE,1
q_10_eng_b_q7_book_055,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER P,Grammar,pair_of_words_item,"Principal, Principle",Medium,1,ELITE,1
sep_10_eng_b_q7_book_015,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER Q,Topic,topic_separator,,,,,1
q_10_eng_b_q7_book_056,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER Q,Grammar,pair_of_words_item,"Quiet, Quite",Medium,1,ELITE,1
sep_10_eng_b_q7_book_016,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER R,Topic,topic_separator,,,,,1
q_10_eng_b_q7_book_057,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER R,Grammar,pair_of_words_item,"Rain, Rein",Medium,1,ELITE,1
q_10_eng_b_q7_book_058,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER R,Grammar,pair_of_words_item,"Respectable, Respectful",Medium,1,ELITE,1
q_10_eng_b_q7_book_059,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER R,Grammar,pair_of_words_item,"Rob, Steal",Medium,1,ELITE,1
q_10_eng_b_q7_book_060,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER R,Grammar,pair_of_words_item,"Role, Roll",Medium,1,ELITE,1
q_10_eng_b_q7_book_061,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER R,Grammar,pair_of_words_item,"Root, Route",Medium,1,ELITE,1
sep_10_eng_b_q7_book_017,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER S,Topic,topic_separator,,,,,1
q_10_eng_b_q7_book_062,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER S,Grammar,pair_of_words_item,"Sail, Sale",Medium,1,ELITE,1
q_10_eng_b_q7_book_063,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER S,Grammar,pair_of_words_item,"Scene, Seen",Medium,1,ELITE,1
q_10_eng_b_q7_book_064,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER S,Grammar,pair_of_words_item,"Sink, Drown",Medium,1,ELITE,1
q_10_eng_b_q7_book_065,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER S,Grammar,pair_of_words_item,"Sole, Soul",Medium,1,ELITE,1
q_10_eng_b_q7_book_066,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER S,Grammar,pair_of_words_item,"Stationary, Stationery",Medium,1,ELITE,1
q_10_eng_b_q7_book_067,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER S,Grammar,pair_of_words_item,"Story, Storey",Medium,1,ELITE,1
sep_10_eng_b_q7_book_018,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER T,Topic,topic_separator,,,,,1
q_10_eng_b_q7_book_068,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER T,Grammar,pair_of_words_item,"Teach, Learn",Medium,1,ELITE,1
q_10_eng_b_q7_book_069,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER T,Grammar,pair_of_words_item,"Team, Teem",Medium,1,ELITE,1
sep_10_eng_b_q7_book_019,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER U,Topic,topic_separator,,,,,1
q_10_eng_b_q7_book_070,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER U,Grammar,pair_of_words_item,"Urbane, Urban",Medium,1,ELITE,1
sep_10_eng_b_q7_book_020,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER V,Topic,topic_separator,,,,,1
q_10_eng_b_q7_book_071,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER V,Grammar,pair_of_words_item,"Vain, Vein",Medium,1,ELITE,1
q_10_eng_b_q7_book_072,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER V,Grammar,pair_of_words_item,"Vale, Veil",Medium,1,ELITE,1
sep_10_eng_b_q7_book_021,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER W,Topic,topic_separator,,,,,1
q_10_eng_b_q7_book_073,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER W,Grammar,pair_of_words_item,"Waste, Waist",Medium,1,ELITE,1
q_10_eng_b_q7_book_074,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER W,Grammar,pair_of_words_item,"Wave, Waive",Medium,1,ELITE,1
q_10_eng_b_q7_book_075,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER W,Grammar,pair_of_words_item,"Way, Weigh",Medium,1,ELITE,1
q_10_eng_b_q7_book_076,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER W,Grammar,pair_of_words_item,"Weak, Week",Medium,1,ELITE,1
q_10_eng_b_q7_book_077,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER W,Grammar,pair_of_words_item,"Wine, Vine",Medium,1,ELITE,1
q_10_eng_b_q7_book_078,1,ENGLISH_B | Q7 PAIR OF WORDS | BOOK ONLY | LETTER W,Grammar,pair_of_words_item,"Write, Right",Medium,1,ELITE,1
