question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_10_isl_b7_mcq_001,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,مستقبل کی منصوبہ بندی کا تعلق کس وقت کی تیاری سے ہے؟,موجودہ وقت,آنے والے وقت,جاری وقت,گزرے ہوئے وقت,B | آنے والے وقت,Medium,1,ELITE,1
q_10_isl_b7_mcq_012,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,منصوبہ بندی کا مقصد ہے:,آئندہ کی تیاری,غفلت,تکبر,بے عملی,A | آئندہ کی تیاری,Medium,1,ULTRA,1
q_10_isl_b7_mcq_013,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,مستقبل کی تیاری میں ضروری ہے:,غفلت,تکبر,بے عملی,دور اندیشی,D | دور اندیشی,Medium,1,ULTRA,1
q_10_isl_b7_mcq_014,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,اسلام منصوبہ بندی کے ساتھ سکھاتا ہے:,تکبر,بے عملی,توکل,غفلت,C | توکل,Medium,1,ULTRA,1
q_10_isl_b7_mcq_015,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,توکل کا درست مفہوم ہے:,بے عملی,اسباب کے ساتھ اللہ پر بھروسہ,غفلت,تکبر,B | اسباب کے ساتھ اللہ پر بھروسہ,Medium,1,ULTRA,1
q_10_isl_b7_mcq_016,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,حضرت یوسف علیہ السلام کی منصوبہ بندی کا مقصد تھا:,قحط سے بچاؤ,غفلت,تکبر,بے عملی,A | قحط سے بچاؤ,Medium,1,ULTRA,1
q_10_isl_b7_mcq_017,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,غزوہ خندق کی حکمت عملی تھی:,غفلت,تکبر,بے عملی,خندق کھودنا,D | خندق کھودنا,Medium,1,ULTRA,1
q_10_isl_b7_mcq_018,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,صلح حدیبیہ نے راستہ ہموار کیا:,تکبر,بے عملی,فتح مکہ کا,غفلت,C | فتح مکہ کا,Medium,1,ULTRA,1
q_10_isl_b7_mcq_019,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,مستقبل کی منصوبہ بندی میں مشورہ ہے:,بے عملی,مفید,غفلت,تکبر,B | مفید,Medium,1,ULTRA,1
q_10_isl_b7_mcq_020,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,منصوبہ بندی وسائل کو بناتی ہے:,منظم,غفلت,تکبر,بے عملی,A | منظم,Medium,1,ULTRA,1
q_10_isl_b7_mcq_021,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,منصوبہ بندی خطرات کو کرتی ہے:,غفلت,تکبر,بے عملی,کم,D | کم,Medium,1,ULTRA,1
q_10_isl_b7_mcq_022,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,منصوبہ بندی انسان میں پیدا کرتی ہے:,تکبر,بے عملی,ذمہ داری,غفلت,C | ذمہ داری,Medium,1,ULTRA,1
q_10_isl_b7_mcq_023,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,منصوبہ بندی کے لیے مقصد ہونا چاہیے:,بے عملی,واضح,غفلت,تکبر,B | واضح,Medium,1,ULTRA,1
q_10_isl_b7_mcq_024,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,منصوبہ بندی میں شرعی حدود ہیں:,ضروری,غفلت,تکبر,بے عملی,A | ضروری,Medium,1,ULTRA,1
q_10_isl_b7_mcq_025,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,صرف خواہش منصوبہ بندی نہیں بلکہ ضروری ہے:,غفلت,تکبر,بے عملی,عمل,D | عمل,Medium,1,ULTRA,1
q_10_isl_b7_mcq_026,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,مستقبل کی تیاری میں کوشش کے بعد ہے:,تکبر,بے عملی,توکل,غفلت,C | توکل,Medium,1,ULTRA,1
q_10_isl_b7_mcq_027,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,مستقبل کے لیے اسباب اختیار کرنا ہے:,بے عملی,جائز,غفلت,تکبر,B | جائز,Medium,1,ULTRA,1
q_10_isl_b7_mcq_028,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,ناکامی سے سیکھ کر آئندہ بہتر کرنا ہے:,دانائی,غفلت,تکبر,بے عملی,A | دانائی,Medium,1,ULTRA,1
q_10_isl_b7_mcq_029,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,منصوبہ بندی میں جلد بازی کے بجائے چاہیے:,غفلت,تکبر,بے عملی,تدبر,D | تدبر,Medium,1,ULTRA,1
q_10_isl_b7_mcq_030,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,اچھی منصوبہ بندی وقت کو بچاتی ہے:,تکبر,بے عملی,ہاں,غفلت,C | ہاں,Medium,1,ULTRA,1
q_10_isl_b7_mcq_031,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,اچھی منصوبہ بندی وسائل کا ضیاع کرتی ہے:,بے عملی,نہیں,غفلت,تکبر,B | نہیں,Medium,1,ULTRA,1
q_10_isl_b7_mcq_032,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,حضرت یوسف علیہ السلام نے ذخیرہ اندوزی نہیں بلکہ کی:,قحط کی حکمت عملی,غفلت,تکبر,بے عملی,A | قحط کی حکمت عملی,Medium,1,ULTRA,1
q_10_isl_b7_mcq_033,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,غزوہ خندق دفاعی منصوبہ بندی کی:,غفلت,تکبر,بے عملی,مثال,D | مثال,Medium,1,ULTRA,1
q_10_isl_b7_mcq_034,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,صلح حدیبیہ سیاسی بصیرت کی:,تکبر,بے عملی,مثال,غفلت,C | مثال,Medium,1,ULTRA,1
q_10_isl_b7_mcq_035,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,منصوبہ بندی کا تعلق صرف دنیا سے نہیں بلکہ:,بے عملی,دین و دنیا دونوں سے,غفلت,تکبر,B | دین و دنیا دونوں سے,Medium,1,ULTRA,1
q_10_isl_b7_mcq_036,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,مستقبل کی تیاری میں مایوسی کے بجائے:,امید,غفلت,تکبر,بے عملی,A | امید,Medium,1,ULTRA,1
q_10_isl_b7_mcq_037,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,اسلامی منصوبہ بندی میں حرام ذریعہ:,غفلت,تکبر,بے عملی,قبول نہیں,D | قبول نہیں,Medium,1,ULTRA,1
q_10_isl_b7_mcq_038,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,منصوبہ بندی کے فوائد میں ہے:,تکبر,بے عملی,بہتر نتائج,غفلت,C | بہتر نتائج,Medium,1,ULTRA,1
q_10_isl_b7_mcq_039,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,توکل سستی کا نام:,بے عملی,نہیں,غفلت,تکبر,B | نہیں,Medium,1,ULTRA,1
q_10_isl_b7_mcq_040,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,اسلام محنت کے ساتھ سکھاتا ہے:,اللہ پر اعتماد,غفلت,تکبر,بے عملی,A | اللہ پر اعتماد,Medium,1,ULTRA,1
q_10_isl_b7_mcq_041,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,مشکل حالات میں منصوبہ بندی دیتی ہے:,غفلت,تکبر,بے عملی,رہنمائی,D | رہنمائی,Medium,1,ULTRA,1
q_10_isl_b7_mcq_042,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,دور اندیش شخص نتائج پر:,تکبر,بے عملی,غور کرتا ہے,غفلت,C | غور کرتا ہے,Medium,1,ULTRA,1
q_10_isl_b7_mcq_043,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,مستقبل کے لیے تعلیم حاصل کرنا ہے:,بے عملی,منصوبہ بندی,غفلت,تکبر,B | منصوبہ بندی,Medium,1,ULTRA,1
q_10_isl_b7_mcq_044,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,بچت کا مناسب نظام ہو سکتا ہے:,منصوبہ بندی,غفلت,تکبر,بے عملی,A | منصوبہ بندی,Medium,1,ULTRA,1
q_10_isl_b7_mcq_045,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,صحت کی احتیاط ہو سکتی ہے:,غفلت,تکبر,بے عملی,مستقبل کی تیاری,D | مستقبل کی تیاری,Medium,1,ULTRA,1
q_10_isl_b7_mcq_046,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,تعلیم و پیشہ کا انتخاب ہے:,تکبر,بے عملی,مستقبل کی منصوبہ بندی,غفلت,C | مستقبل کی منصوبہ بندی,Medium,1,ULTRA,1
q_10_isl_b7_mcq_047,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,خاندان کی مالی منصوبہ بندی سے آتا ہے:,بے عملی,استحکام,غفلت,تکبر,B | استحکام,Medium,1,ULTRA,1
q_10_isl_b7_mcq_048,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,قومی منصوبہ بندی سے بڑھتی ہے:,ترقی,غفلت,تکبر,بے عملی,A | ترقی,Medium,1,ULTRA,1
q_10_isl_b7_mcq_049,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,منصوبہ بندی میں جائز اسباب کا انتخاب ہے:,غفلت,تکبر,بے عملی,ضروری,D | ضروری,Medium,1,ULTRA,1
q_10_isl_b7_mcq_050,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,منصوبہ بندی اور تقدیر پر ایمان میں:,تکبر,بے عملی,تعارض نہیں,غفلت,C | تعارض نہیں,Medium,1,ULTRA,1
q_10_isl_b7_mcq_051,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,اللہ تعالیٰ کو پسند ہے:,بے عملی,محنت و توکل,غفلت,تکبر,B | محنت و توکل,Medium,1,ULTRA,1
q_10_isl_b7_mcq_052,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,غیر یقینی مستقبل میں انسان کو چاہیے:,تیاری,غفلت,تکبر,بے عملی,A | تیاری,Medium,1,ULTRA,1
q_10_isl_b7_mcq_053,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,مستقبل کی منصوبہ بندی کا بہترین نتیجہ ہے:,غفلت,تکبر,بے عملی,بہتر فیصلہ سازی,D | بہتر فیصلہ سازی,Medium,1,ULTRA,1
q_10_isl_b7_mcq_054,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,منصوبہ بندی کا اخلاقی پہلو ہے:,تکبر,بے عملی,ذمہ داری,غفلت,C | ذمہ داری,Medium,1,ULTRA,1
q_10_isl_b7_mcq_055,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,منصوبہ بندی سے انسان بچتا ہے:,بے عملی,بے ترتیبی,غفلت,تکبر,B | بے ترتیبی,Medium,1,ULTRA,1
q_10_isl_b7_mcq_056,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,تہذیب کا تعلق ہے:,طرز زندگی,تعصب,ظلم,غفلت,A | طرز زندگی,Medium,1,ULTRA,1
q_10_isl_b7_mcq_057,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب کی بنیاد ہے:,تعصب,ظلم,غفلت,توحید,D | توحید,Medium,1,ULTRA,1
q_10_isl_b7_mcq_058,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب کا بنیادی ماخذ ہے:,ظلم,غفلت,قرآن و سنت,تعصب,C | قرآن و سنت,Medium,1,ULTRA,1
q_10_isl_b7_mcq_059,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب کی نمایاں خصوصیت ہے:,غفلت,عالمگیریت,تعصب,ظلم,B | عالمگیریت,Medium,1,ULTRA,1
q_10_isl_b7_mcq_060,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب انسان کو دیتی ہے:,عزت,تعصب,ظلم,غفلت,A | عزت,Medium,1,ULTRA,1
q_10_isl_b7_mcq_061,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب میں علم کی حیثیت ہے:,تعصب,ظلم,غفلت,بنیادی,D | بنیادی,Medium,1,ULTRA,1
q_10_isl_b7_mcq_062,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,پہلی وحی کا پہلا لفظ تھا:,ظلم,غفلت,اقرأ,تعصب,C | اقرأ,Medium,1,ULTRA,1
q_10_isl_b7_mcq_063,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب میں احترام رسالت ﷺ ہے:,غفلت,بنیادی قدر,تعصب,ظلم,B | بنیادی قدر,Medium,1,ULTRA,1
q_10_isl_b7_mcq_064,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب میں مساوات ہے:,اہم اصول,تعصب,ظلم,غفلت,A | اہم اصول,Medium,1,ULTRA,1
