question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_10_isl_b4_mcq_001,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | اخلاص و تقویٰ,Remember,اللہ تعالیٰ کے نزدیک زیادہ عزت والا ہے:,زیادہ دولت والا,زیادہ تقویٰ اختیار کرنے والا,زیادہ حسن والا,زیادہ شہرت والا,B | زیادہ تقویٰ اختیار کرنے والا,Medium,1,ELITE,1
q_10_isl_b4_mcq_014,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | جھوٹ,Remember,عرب کے لوگ نبی کریم ﷺ کو لقب سے پکارتے تھے:,محبوب عالم,عالم دین,صادق و امین,ماہر تاجر,C | صادق و امین,Medium,1,ELITE,1
q_10_isl_b4_mcq_015,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | جھوٹ,Remember,تمام برائیوں کی جڑ ہے:,زیادہ بولنا,زیادہ کھانا,زیادہ سونا,جھوٹ بولنا,D | جھوٹ بولنا,Medium,1,ELITE,1
q_10_isl_b4_mcq_016,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | غیبت و بہتان,Remember,کسی کی غیر موجودگی میں اس کی برائی بیان کرنے کو کہتے ہیں:,غیبت,تنقید,فضول خرچی,بے حیائی,A | غیبت,Medium,1,ELITE,1
q_10_isl_b4_mcq_017,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | غیبت و بہتان,Remember,کسی کے سامنے اس کی برائی بیان کرنے کی ایک صورت ہے:,تکبر و غرور,طنز و طعنہ,لاپرواہی و سستی,چغل خوری و غیبت,B | طنز و طعنہ,Medium,1,ELITE,1
q_10_isl_b4_mcq_018,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | غیبت و بہتان,Remember,قرآن مجید میں مردہ بھائی کا گوشت کھانے سے تشبیہ دی گئی ہے:,غیبت کو,جھوٹ کو,سود کو,تکبر کو,A | غیبت کو,Medium,1,ELITE,1
q_10_isl_b4_mcq_019,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | غیبت و بہتان,Remember,دوسروں کے عیبوں کا تذکرہ کرنے والا مبتلا ہو جاتا ہے:,بیماریوں میں,انہی عیبوں میں,لالچ میں,تکبر میں,B | انہی عیبوں میں,Medium,1,ELITE,1
q_10_isl_b4_mcq_020,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | غیبت و بہتان,Remember,غیبت اور بہتان کی وجہ سے دلوں میں پیدا ہوتی ہے:,حرص,لالچ,نفرت,میانہ روی,C | نفرت,Medium,1,ELITE,1
q_10_isl_b4_mcq_021,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | جادو، فال اور توہم پرستی,Remember,کسی چیز کو اس کی اصل حقیقت سے ہٹا کر سمجھنا کہلاتا ہے:,بدشگونی,جادو,فال,علم نجوم,A | بدشگونی,Medium,1,ELITE,1
q_10_isl_b4_mcq_022,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | جادو، فال اور توہم پرستی,Remember,انسان کو کوئی بھی مصیبت پہنچتی ہے:,بد اعمالیوں کے سبب سے,جادو کی وجہ سے,تیز رفتاری کے سبب سے,فال کے سبب سے,A | بد اعمالیوں کے سبب سے,Medium,1,ELITE,1
q_10_isl_b4_mcq_023,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | جادو، فال اور توہم پرستی,Remember,عرب زمانہ جاہلیت میں جس مہینے کو منحوس سمجھتے تھے:,صفر,محرم,ذوالحجہ,ذوالقعدہ,A | صفر,Medium,1,ELITE,1
q_10_isl_b4_mcq_024,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | جادو، فال اور توہم پرستی,Remember,حدیث مبارک کے مطابق جس شخص کی چالیس راتوں تک نماز قبول نہیں ہوتی:,قسمت کا حال پوچھنے والے کی,فضول خرچی کرنے والے کی,حوصلہ شکنی کرنے والے کی,مزدور کا حق رکھنے والے کی,A | قسمت کا حال پوچھنے والے کی,Medium,1,ELITE,1
q_10_isl_b4_mcq_025,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | جادو، فال اور توہم پرستی,Remember,وہ کھجور جسے جادو کا علاج قرار دیا گیا ہے:,عنبر,عجوہ,مبروم,قلمی,B | عجوہ,Medium,1,ELITE,1
q_10_isl_b4_mcq_026,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اخلاص و تقویٰ,Remember,اخلاص کا تعلق بنیادی طور پر ہے:,نیت سے,لباس سے,دولت سے,نسب سے,A | نیت سے,Medium,1,ULTRA,1
q_10_isl_b4_mcq_027,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اخلاص و تقویٰ,Remember,اخلاص کا مقصد ہے:,رضائے الٰہی,شہرت,مال,تعریف,A | رضائے الٰہی,Medium,1,ULTRA,1
q_10_isl_b4_mcq_028,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اخلاص و تقویٰ,Remember,ریاکاری اخلاص کے:,خلاف ہے,مطابق ہے,لازم ہے,نتیجہ ہے,A | خلاف ہے,Medium,1,ULTRA,1
q_10_isl_b4_mcq_029,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اخلاص و تقویٰ,Remember,تقویٰ کا مفہوم ہے:,اللہ سے ڈر کر نافرمانی سے بچنا,دنیا چھوڑ دینا,لوگوں سے ڈرنا,مال جمع کرنا,A | اللہ سے ڈر کر نافرمانی سے بچنا,Medium,1,ULTRA,1
q_10_isl_b4_mcq_030,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اخلاص و تقویٰ,Remember,اللہ تعالیٰ کے ہاں فضیلت کا معیار ہے:,تقویٰ,دولت,حسب نسب,شہرت,A | تقویٰ,Medium,1,ULTRA,1
q_10_isl_b4_mcq_031,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اخلاص و تقویٰ,Remember,مخلص انسان عمل کرتا ہے:,اللہ کے لیے,لوگوں کو دکھانے کے لیے,نام بنانے کے لیے,مال حاصل کرنے کے لیے,A | اللہ کے لیے,Medium,1,ULTRA,1
q_10_isl_b4_mcq_032,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اخلاص و تقویٰ,Remember,عمل کی قدر کا اہم دارومدار ہے:,نیت پر,عمر پر,لباس پر,زبان پر,A | نیت پر,Medium,1,ULTRA,1
q_10_isl_b4_mcq_033,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اخلاص و تقویٰ,Remember,تقویٰ انسان کو روکتا ہے:,گناہ سے,علم سے,عبادت سے,محنت سے,A | گناہ سے,Medium,1,ULTRA,1
q_10_isl_b4_mcq_034,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اخلاص و تقویٰ,Remember,تقویٰ کا اصل مقام ہے:,دل,ہاتھ,آنکھ,پاؤں,A | دل,Medium,1,ULTRA,1
q_10_isl_b4_mcq_035,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اخلاص و تقویٰ,Remember,اخلاص سے عمل میں پیدا ہوتی ہے:,قبولیت کی امید,ریاکاری,غرور,حسد,A | قبولیت کی امید,Medium,1,ULTRA,1
q_10_isl_b4_mcq_036,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اخلاص و تقویٰ,Remember,ریاکاری کا مقصد ہوتا ہے:,لوگوں کو دکھانا,رضائے الٰہی,اصلاح نفس,تقویٰ,A | لوگوں کو دکھانا,Medium,1,ULTRA,1
q_10_isl_b4_mcq_037,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اخلاص و تقویٰ,Remember,تقویٰ کردار میں لاتا ہے:,پاکیزگی,تکبر,جھوٹ,بددیانتی,A | پاکیزگی,Medium,1,ULTRA,1
q_10_isl_b4_mcq_038,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اخلاص و تقویٰ,Remember,نیک عمل کے ساتھ ضروری ہے:,درست نیت,شہرت,دولت,نسب,A | درست نیت,Medium,1,ULTRA,1
q_10_isl_b4_mcq_039,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اخلاص و تقویٰ,Remember,اخلاص انسان کو بچاتا ہے:,نمائش سے,عبادت سے,محنت سے,صدقہ سے,A | نمائش سے,Medium,1,ULTRA,1
q_10_isl_b4_mcq_040,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اخلاص و تقویٰ,Remember,سیرت نبوی ﷺ اخلاص و تقویٰ کا ہے:,کامل نمونہ,غیر متعلق موضوع,صرف تاریخی واقعہ,صرف معاشی اصول,A | کامل نمونہ,Medium,1,ULTRA,1
q_10_isl_b4_mcq_041,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | پردہ پوشی,Remember,پردہ پوشی کا مقصد ہے:,عزت کی حفاظت,عیب کی تشہیر,مذاق,بدلہ,A | عزت کی حفاظت,Medium,1,ULTRA,1
q_10_isl_b4_mcq_042,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | پردہ پوشی,Remember,کسی مسلمان کا عیب چھپانے والے کے ساتھ اللہ تعالیٰ:,پردہ فرماتا ہے,رزق روک دیتا ہے,علم کم کرتا ہے,سفر روکتا ہے,A | پردہ فرماتا ہے,Medium,1,ULTRA,1
q_10_isl_b4_mcq_043,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | پردہ پوشی,Remember,عیب تلاش کرنا اسلامی تعلیمات میں:,منع ہے,فرض ہے,مستحب ہے,سنت مؤکدہ ہے,A | منع ہے,Medium,1,ULTRA,1
q_10_isl_b4_mcq_044,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | پردہ پوشی,Remember,اصلاح کا بہتر طریقہ ہے:,نام لیے بغیر نصیحت,مجمع میں رسوا کرنا,عیب پھیلانا,مذاق اڑانا,A | نام لیے بغیر نصیحت,Medium,1,ULTRA,1
q_10_isl_b4_mcq_045,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | پردہ پوشی,Remember,پردہ پوشی سے معاشرے میں بڑھتا ہے:,اعتماد,نفرت,بدگمانی,فساد,A | اعتماد,Medium,1,ULTRA,1
q_10_isl_b4_mcq_046,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | پردہ پوشی,Remember,لوگوں کے عیوب پھیلانا پیدا کرتا ہے:,فتنہ و فساد,قناعت,اخلاص,تقویٰ,A | فتنہ و فساد,Medium,1,ULTRA,1
q_10_isl_b4_mcq_047,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | پردہ پوشی,Remember,سوشل میڈیا پر کسی کا عیب پھیلانا ہے:,غلط رویہ,لازم عمل,عبادت,فرض,A | غلط رویہ,Medium,1,ULTRA,1
q_10_isl_b4_mcq_048,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | پردہ پوشی,Remember,میڈیا کی ذمہ داری ہے:,عزت و آبرو کا تحفظ,عیبوں کی تشہیر,افواہیں پھیلانا,تحقیر کرنا,A | عزت و آبرو کا تحفظ,Medium,1,ULTRA,1
q_10_isl_b4_mcq_049,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | پردہ پوشی,Remember,کسی کی ذاتی کمزوری کو بلا ضرورت پھیلانا:,درست نہیں,فرض ہے,مستحب ہے,ضروری ہے,A | درست نہیں,Medium,1,ULTRA,1
q_10_isl_b4_mcq_050,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | پردہ پوشی,Remember,پردہ پوشی کا تعلق ہے:,حسن معاشرت سے,سود سے,تجارت سے,وراثت سے,A | حسن معاشرت سے,Medium,1,ULTRA,1
q_10_isl_b4_mcq_051,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | پردہ پوشی,Remember,اصلاح میں نرمی کا فائدہ ہے:,دل جوئی,تحقیر,نفرت,تکبر,A | دل جوئی,Medium,1,ULTRA,1
q_10_isl_b4_mcq_052,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | پردہ پوشی,Remember,عیبوں کی تلاش سے پیدا ہوتی ہے:,بدگمانی,اخوت,اعتماد,رحمت,A | بدگمانی,Medium,1,ULTRA,1
q_10_isl_b4_mcq_053,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | پردہ پوشی,Remember,حضرت عمر رضی اللہ عنہ کے واقعے سے سبق ملتا ہے:,عیب پوشی و اصلاح,تکبر,بدگمانی,جھوٹ,A | عیب پوشی و اصلاح,Medium,1,ULTRA,1
q_10_isl_b4_mcq_054,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | پردہ پوشی,Remember,پردہ پوشی کا مطلب جرم کو ہمیشہ:,چھپانا نہیں,لازم چھپانا,عام کرنا,مذاق بنانا,A | چھپانا نہیں,Medium,1,ULTRA,1
q_10_isl_b4_mcq_055,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | پردہ پوشی,Remember,اسلامی معاشرے میں عزت و آبرو:,محفوظ ہونی چاہیے,غیر اہم ہے,صرف امیروں کی ہے,صرف حکمرانوں کی ہے,A | محفوظ ہونی چاہیے,Medium,1,ULTRA,1
q_10_isl_b4_mcq_056,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جھوٹ,Remember,جھوٹ سے مراد ہے:,خلاف حقیقت بات,سچی بات,نصیحت,خاموشی,A | خلاف حقیقت بات,Medium,1,ULTRA,1
q_10_isl_b4_mcq_057,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جھوٹ,Remember,جھوٹ نفاق کی:,نشانی ہے,فضیلت ہے,شرط نہیں,سنت ہے,A | نشانی ہے,Medium,1,ULTRA,1
q_10_isl_b4_mcq_058,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جھوٹ,Remember,سچائی انسان کو لے جاتی ہے:,نیکی کی طرف,گناہ کی طرف,تکبر کی طرف,حسد کی طرف,A | نیکی کی طرف,Medium,1,ULTRA,1
q_10_isl_b4_mcq_059,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جھوٹ,Remember,جھوٹ انسان کو لے جاتا ہے:,برائی کی طرف,نیکی کی طرف,تقویٰ کی طرف,اخلاص کی طرف,A | برائی کی طرف,Medium,1,ULTRA,1
q_10_isl_b4_mcq_060,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جھوٹ,Remember,جھوٹ معاشرے میں ختم کرتا ہے:,اعتماد,غیبت,تکبر,سستی,A | اعتماد,Medium,1,ULTRA,1
q_10_isl_b4_mcq_061,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جھوٹ,Remember,نبی کریم ﷺ کا مشہور وصف تھا:,صادق و امین,ماہر تاجر فقط,شاعر,بادشاہ,A | صادق و امین,Medium,1,ULTRA,1
q_10_isl_b4_mcq_062,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جھوٹ,Remember,جھوٹی گواہی ہے:,بڑا گناہ,نفل عبادت,مباح,مستحب,A | بڑا گناہ,Medium,1,ULTRA,1
q_10_isl_b4_mcq_063,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جھوٹ,Remember,افواہ کی بنیاد اکثر ہوتی ہے:,جھوٹ,تقویٰ,اخلاص,امانت,A | جھوٹ,Medium,1,ULTRA,1
q_10_isl_b4_mcq_064,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جھوٹ,Remember,مزاح میں جھوٹ بولنا بھی:,ناپسندیدہ ہے,فرض ہے,سنت ہے,ضروری ہے,A | ناپسندیدہ ہے,Medium,1,ULTRA,1
q_10_isl_b4_mcq_065,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جھوٹ,Remember,جھوٹ بولنے والا کھو دیتا ہے:,اعتماد,عمر,زبان,لباس,A | اعتماد,Medium,1,ULTRA,1
q_10_isl_b4_mcq_066,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جھوٹ,Remember,سچائی کردار کی علامت ہے:,اچھے اخلاق کی,تکبر کی,حسد کی,بدگمانی کی,A | اچھے اخلاق کی,Medium,1,ULTRA,1
q_10_isl_b4_mcq_067,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جھوٹ,Remember,جھوٹ سے پیدا ہوتی ہے:,بداعتمادی,اخوت,محبت,سکون,A | بداعتمادی,Medium,1,ULTRA,1
q_10_isl_b4_mcq_068,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جھوٹ,Remember,جھوٹ سے بچنے کے لیے ضروری ہے:,زبان کی حفاظت,افواہ پھیلانا,مبالغہ,عیب جوئی,A | زبان کی حفاظت,Medium,1,ULTRA,1
q_10_isl_b4_mcq_069,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جھوٹ,Remember,سچ بولنے سے معاشرے میں بڑھتا ہے:,اعتماد,فساد,نفرت,شک,A | اعتماد,Medium,1,ULTRA,1
q_10_isl_b4_mcq_070,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جھوٹ,Remember,اسلامی اخلاق میں جھوٹ کا مقام ہے:,مذموم,پسندیدہ,لازم,مستحب,A | مذموم,Medium,1,ULTRA,1
q_10_isl_b4_mcq_071,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غیبت و بہتان,Remember,غیبت سے مراد ہے:,غیر موجودگی میں عیب بیان کرنا,سامنے تعریف کرنا,نصیحت کرنا,سچ چھپانا,A | غیر موجودگی میں عیب بیان کرنا,Medium,1,ULTRA,1
q_10_isl_b4_mcq_072,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غیبت و بہتان,Remember,بہتان سے مراد ہے:,جھوٹا الزام,سچی گواہی,نصیحت,صلہ رحمی,A | جھوٹا الزام,Medium,1,ULTRA,1
q_10_isl_b4_mcq_073,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غیبت و بہتان,Remember,غیبت کی قرآنی مثال ہے:,مردہ بھائی کا گوشت,پانی پینا,درخت لگانا,سفر کرنا,A | مردہ بھائی کا گوشت,Medium,1,ULTRA,1
q_10_isl_b4_mcq_074,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غیبت و بہتان,Remember,بہتان میں شامل ہوتا ہے:,جھوٹ,اخلاص,تقویٰ,امانت,A | جھوٹ,Medium,1,ULTRA,1
