question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_10_isl_b1_mcq_001,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | حفاظت و تدوین حدیث,Remember,نبی کریم ﷺ کے عمل کو کہا جاتا ہے:,حدیث فعلی,حدیث قولی,حدیث تقریری,حدیث قدسی,A | حدیث فعلی,Medium,1,ELITE,1
q_10_isl_b1_mcq_049,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | حفاظت حدیث,Remember,جمع و تدوین حدیث کے نتیجے میں وجود میں آئیں:,مستند کتب حدیث,صرف لغات,صرف نقشے,صرف شعری دیوان,A | مستند کتب حدیث,Medium,1,ULTRA,1
q_10_isl_b1_mcq_050,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK-DERIVED | حفاظت حدیث,Remember,قرآن مجید کے حکم «وما آتاكم الرسول فخذوه» میں تاکید ہے:,رسول ﷺ کی اطاعت کی,صرف تجارت کی,صرف سفر کی,صرف زراعت کی,A | رسول ﷺ کی اطاعت کی,Medium,1,ULTRA,1
q_10_isl_b1_mcq_051,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | SELECTED AHADITH | حدیث 1,Remember,طاعون زدہ علاقے میں موجود شخص کو چاہیے:,وہیں رہے,فوراً نکل جائے,سمندر کا سفر کرے,شہر بدل دے,A | وہیں رہے,Medium,1,ELITE,1
q_10_isl_b1_mcq_052,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | SELECTED AHADITH | حدیث 1,Remember,اگر کسی علاقے میں طاعون ہو اور انسان وہاں نہ ہو تو:,وہاں نہ جائے,ضرور جائے,صرف رات کو جائے,کسی شرط کے بغیر جائے,A | وہاں نہ جائے,Medium,1,ELITE,1
q_10_isl_b1_mcq_053,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | SELECTED AHADITH | حدیث 1,Remember,منتخب حدیث 1 کا مرکزی موضوع ہے:,وبا میں احتیاط,تجارت,وراثت,زکوٰۃ,A | وبا میں احتیاط,Medium,1,ELITE,1
q_10_isl_b1_mcq_054,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | SELECTED AHADITH | حدیث 2,Remember,اللہ تعالیٰ کو پسند ہے کہ بندے:,صرف اسی کی عبادت کریں,مال جمع کریں,بحث کریں,فضول سوال کریں,A | صرف اسی کی عبادت کریں,Medium,1,ELITE,1
q_10_isl_b1_mcq_055,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | SELECTED AHADITH | حدیث 2,Remember,مسلمانوں کو مضبوطی سے تھامنے کا حکم ہے:,اللہ کی رسی کو,صرف مال کو,صرف نسب کو,صرف قوت کو,A | اللہ کی رسی کو,Medium,1,ELITE,1
q_10_isl_b1_mcq_056,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | SELECTED AHADITH | حدیث 2,Remember,حدیث میں ناپسندیدہ چیزوں میں شامل ہے:,اضاعت مال,صدقہ,صلہ رحمی,عبادت,A | اضاعت مال,Medium,1,ELITE,1
q_10_isl_b1_mcq_057,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | SELECTED AHADITH | حدیث 3,Remember,درخت لگانے کا ثواب بن سکتا ہے:,صدقہ,کفارہ قسم,زکوٰۃ,فدیہ,A | صدقہ,Medium,1,ELITE,1
q_10_isl_b1_mcq_058,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | SELECTED AHADITH | حدیث 3,Remember,فصل سے انسان یا جانور کھائے تو مالک کے لیے ہے:,صدقہ,جرمانہ,قرض,نقصان,A | صدقہ,Medium,1,ELITE,1
q_10_isl_b1_mcq_059,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | SELECTED AHADITH | حدیث 3,Remember,حدیث 3 کا مرکزی سبق ہے:,شجرکاری و خیر,سود,غیبت,تکبر,A | شجرکاری و خیر,Medium,1,ELITE,1
q_10_isl_b1_mcq_060,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | SELECTED AHADITH | حدیث 4,Remember,اللہ اور آخرت پر ایمان والا پڑوسی کو:,تکلیف نہ دے,نظر انداز کرے,حقیر سمجھے,جھگڑا کرے,A | تکلیف نہ دے,Medium,1,ELITE,1
q_10_isl_b1_mcq_061,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | SELECTED AHADITH | حدیث 4,Remember,مہمان کے ساتھ سلوک ہونا چاہیے:,عزت و اکرام,تحقیر,بدگمانی,قطع تعلق,A | عزت و اکرام,Medium,1,ELITE,1
q_10_isl_b1_mcq_062,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | SELECTED AHADITH | حدیث 4,Remember,زبان کے بارے میں ہدایت ہے:,اچھی بات کہو یا خاموش رہو,ہر بات کہو,افواہ پھیلاؤ,غیبت کرو,A | اچھی بات کہو یا خاموش رہو,Medium,1,ELITE,1
q_10_isl_b1_mcq_063,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | SELECTED AHADITH | حدیث 5,Remember,مسلمان مسلمان کا ہے:,بھائی,دشمن,حریف,اجنبی,A | بھائی,Medium,1,ELITE,1
q_10_isl_b1_mcq_064,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | SELECTED AHADITH | حدیث 5,Remember,مسلمان کو دوسرے مسلمان پر نہیں کرنا چاہیے:,ظلم,احسان,سلام,دعاء,A | ظلم,Medium,1,ELITE,1
q_10_isl_b1_mcq_065,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | SELECTED AHADITH | حدیث 5,Remember,مسلمان کو دوسرے مسلمان کو نہیں سمجھنا چاہیے:,حقیر,بھائی,محترم,قابل مدد,A | حقیر,Medium,1,ELITE,1
