question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
q_10_isl_b1_short_021,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_book_derived,صحیفہ صادقہ کی حدیثی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b1_short_022,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_book_derived,ان دو صحابہ کے نام لکھیں جن کے پاس احادیث کے ذاتی تحریری نسخے موجود تھے۔,Medium,2,ULTRA,1
q_10_isl_b1_short_023,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_book_derived,دور تابعین میں جمع و تدوین حدیث نے کیا شکل اختیار کی؟,Medium,2,ULTRA,1
q_10_isl_b1_short_024,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_book_derived,حضرت عمر بن عبدالعزیز رحمۃ اللہ علیہ کا تدوین حدیث میں کیا کردار تھا؟,Medium,2,ULTRA,1
q_10_isl_b1_short_025,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_book_derived,موطا امام مالک کا تعلق کس علم سے ہے؟,Medium,2,ULTRA,1
q_10_isl_b1_short_026,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_book_derived,صحیح بخاری اور صحیح مسلم کی حیثیت کیا ہے؟,Medium,2,ULTRA,1
q_10_isl_b1_short_027,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_book_derived,جامع ترمذی اور سنن ابی داؤد کا مختصر تعارف لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b1_short_028,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_book_derived,سنن نسائی اور سنن ابن ماجہ کس موضوع کی کتابیں ہیں؟,Medium,2,ULTRA,1
q_10_isl_b1_short_029,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_book_derived,صحاح ستہ سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_10_isl_b1_short_030,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_book_derived,احادیث کی زبانی اور تحریری حفاظت میں ایک فرق لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b1_short_031,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_book_derived,جمع و تدوین حدیث کی ضرورت کیوں پیش آئی؟,Medium,2,ULTRA,1
q_10_isl_b1_short_032,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_book_derived,مستند کتب حدیث امت کے لیے کیوں اہم ہیں؟,Medium,2,ULTRA,1
q_10_isl_b1_short_033,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_book_derived,قرآن مجید کے بعد حدیث نبوی ﷺ کو ہدایت کا اہم ذریعہ کیوں کہا جاتا ہے؟,Medium,2,ULTRA,1
q_10_isl_b1_short_034,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حفاظت و تدوین حدیث,extra_important_book_derived,سورۃ الحشر کی آیت «وما آتاكم الرسول فخذوه» ہمیں کیا تعلیم دیتی ہے؟,Medium,2,ULTRA,1
q_10_isl_b1_short_035,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | منتخب احادیث | حدیث 1,selected_hadith_concept,طاعون کے بارے میں منتخب حدیث کی بنیادی ہدایت کیا ہے؟,Medium,2,ELITE,1
q_10_isl_b1_short_036,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | منتخب احادیث | حدیث 1,selected_hadith_concept,وبا کے دوران آمد و رفت کے بارے میں اس حدیث سے کیا احتیاطی اصول ملتا ہے؟,Medium,2,ELITE,1
q_10_isl_b1_short_037,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | منتخب احادیث | حدیث 2,selected_hadith_concept,اللہ کی رسی کو مضبوطی سے تھامنے سے کیا مراد ہے؟,Medium,2,ELITE,1
q_10_isl_b1_short_038,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | منتخب احادیث | حدیث 2,selected_hadith_concept,حدیث 2 میں کن ناپسندیدہ عادات سے بچنے کی تعلیم دی گئی ہے؟,Medium,2,ELITE,1
q_10_isl_b1_short_039,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | منتخب احادیث | حدیث 3,selected_hadith_concept,درخت لگانے اور کھیتی کرنے کو صدقہ کیوں کہا گیا ہے؟,Medium,2,ELITE,1
q_10_isl_b1_short_040,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | منتخب احادیث | حدیث 3,selected_hadith_concept,اس حدیث سے ماحول اور مخلوق کے بارے میں کیا سبق ملتا ہے؟,Medium,2,ELITE,1
q_10_isl_b1_short_041,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | منتخب احادیث | حدیث 4,selected_hadith_concept,پڑوسی کے حق کے بارے میں منتخب حدیث کیا تعلیم دیتی ہے؟,Medium,2,ELITE,1
q_10_isl_b1_short_042,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | منتخب احادیث | حدیث 4,selected_hadith_concept,مہمان نوازی اور اچھی گفتگو کے بارے میں حدیث کی ہدایت لکھیں۔,Medium,2,ELITE,1
q_10_isl_b1_short_043,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | منتخب احادیث | حدیث 5,selected_hadith_concept,مسلمان کے دوسرے مسلمان پر تین حقوق/ذمہ داریاں لکھیں۔,Medium,2,ELITE,1
q_10_isl_b1_short_044,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | منتخب احادیث | حدیث 5,selected_hadith_concept,مسلمان کو دوسرے مسلمان کو حقیر سمجھنے سے کیوں بچنا چاہیے؟,Medium,2,ELITE,1
q_10_isl_b1_short_045,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | منتخب احادیث | حدیث 6,selected_hadith_concept,منتخب دعا میں مانگی گئی تین چیزیں کون سی ہیں؟,Medium,2,ELITE,1
q_10_isl_b1_short_046,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | منتخب احادیث | حدیث 6,selected_hadith_concept,نافع علم اور پاکیزہ رزق کی اہمیت مختصراً بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b1_short_047,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | منتخب احادیث | حدیث 7,selected_hadith_concept,اتباع رسول ﷺ کے بارے میں منتخب حدیث کی تعلیم لکھیں۔,Medium,2,ELITE,1
q_10_isl_b1_short_048,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | منتخب احادیث | حدیث 7,selected_hadith_concept,نبی کریم ﷺ کے حکم اور ممانعت کے بارے میں ہمارا رویہ کیا ہونا چاہیے؟,Medium,2,ELITE,1
q_10_isl_b1_short_049,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | منتخب احادیث | حدیث 8,selected_hadith_concept,بدگمانی کے بارے میں حدیث کی تعلیم کیا ہے؟,Medium,2,ELITE,1
q_10_isl_b1_short_050,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | منتخب احادیث | حدیث 8,selected_hadith_concept,بدگمانی معاشرتی تعلقات کو کیسے نقصان پہنچاتی ہے؟,Medium,2,ELITE,1
q_10_isl_b1_short_051,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | منتخب احادیث | حدیث 9,selected_hadith_concept,رشوت دینے اور لینے کے بارے میں اسلامی حکم کیا ہے؟,Medium,2,ELITE,1
q_10_isl_b1_short_052,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | منتخب احادیث | حدیث 9,selected_hadith_concept,رشوت معاشرے میں عدل کو کیسے متاثر کرتی ہے؟,Medium,2,ELITE,1
q_10_isl_b1_short_053,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | منتخب احادیث | حدیث 10,selected_hadith_concept,قرآن مجید لوگوں کے درجات بلند کرنے کا ذریعہ کیسے بنتا ہے؟,Medium,2,ELITE,1
q_10_isl_b1_short_054,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | منتخب احادیث | حدیث 10,selected_hadith_concept,منتخب حدیث 10 سے قرآن مجید کی عظمت کا کیا سبق ملتا ہے؟,Medium,2,ELITE,1
q_10_isl_b1_short_055,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK DIRECT | اسماء الحسنیٰ,asma_ul_husna_translation,اسماء الحسنیٰ «الرَّؤُوفُ» اور «مَالِكُ الْمُلْكِ» کے اردو معانی لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b1_short_056,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK DIRECT | اسماء الحسنیٰ,asma_ul_husna_translation,اسماء الحسنیٰ «ذُو الْجَلَالِ وَالْإِكْرَامِ» اور «الْمُقْسِطُ» کے اردو معانی لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b1_short_057,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK DIRECT | اسماء الحسنیٰ,asma_ul_husna_translation,اسماء الحسنیٰ «الْجَامِعُ» اور «الْغَنِيُّ» کے اردو معانی لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b1_short_058,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK DIRECT | اسماء الحسنیٰ,asma_ul_husna_translation,اسماء الحسنیٰ «الْمُغْنِي» اور «الْمَانِعُ» کے اردو معانی لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b1_short_059,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK DIRECT | اسماء الحسنیٰ,asma_ul_husna_translation,اسماء الحسنیٰ «الضَّارُّ» اور «النَّافِعُ» کے اردو معانی لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b1_short_060,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK DIRECT | اسماء الحسنیٰ,asma_ul_husna_translation,اسماء الحسنیٰ «النُّورُ» اور «الْهَادِي» کے اردو معانی لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b1_short_061,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK DIRECT | اسماء الحسنیٰ,asma_ul_husna_translation,اسماء الحسنیٰ «الْبَدِيعُ» اور «الْبَاقِي» کے اردو معانی لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b1_short_062,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK DIRECT | اسماء الحسنیٰ,asma_ul_husna_translation,اسماء الحسنیٰ «الْوَارِثُ» اور «الرَّشِيدُ» کے اردو معانی لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b1_short_063,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK DIRECT | اسماء الحسنیٰ,asma_ul_husna_translation,اسماء الحسنیٰ «الصَّبُورُ» اور «السَّمِيعُ» کے اردو معانی لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b1_short_064,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK DIRECT | اسماء الحسنیٰ,asma_ul_husna_translation,اسماء الحسنیٰ «الْبَصِيرُ» اور «الْحَكِيمُ» کے اردو معانی لکھیں۔,Medium,2,ULTRA,1
