question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_10_isl_b5_mcq_001,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXERCISE DIRECT | سود کی حرمت,Remember,سود کو عربی میں کہتے ہیں:,کذب,ربا,نفع,فحش,B | ربا,Medium,1,ELITE,1
q_10_isl_b5_mcq_024,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,سود سے کمزور طبقہ ہوتا ہے:,مزید کمزور,زیادہ خوشحال,بے نیاز,غیر متاثر,A | مزید کمزور,Medium,1,ULTRA,1
q_10_isl_b5_mcq_025,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,سود عام ہو تو محنت کا جذبہ:,کم ہو سکتا ہے,ضرور بڑھتا ہے,غیر متعلق رہتا ہے,فرض بن جاتا ہے,A | کم ہو سکتا ہے,Medium,1,ULTRA,1
q_10_isl_b5_mcq_026,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,سودی نظام سے صنعت و کاروبار پر اثر پڑتا ہے:,منفی,صرف مثبت,کوئی نہیں,ہمیشہ یکساں,A | منفی,Medium,1,ULTRA,1
q_10_isl_b5_mcq_027,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,سود معاشرے میں بڑھا سکتا ہے:,طبقاتی فرق,مساوات,اخوت,قناعت,A | طبقاتی فرق,Medium,1,ULTRA,1
q_10_isl_b5_mcq_028,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,سود سے پیدا ہو سکتی ہے:,غربت,قناعت,اخلاص,سخاوت,A | غربت,Medium,1,ULTRA,1
q_10_isl_b5_mcq_029,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,سود سے معاشرے میں بڑھ سکتا ہے:,باہمی تناؤ,اعتماد,رحمت,ایثار,A | باہمی تناؤ,Medium,1,ULTRA,1
q_10_isl_b5_mcq_030,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,اسلام نے ضرورت مند کے لیے پسند کیا:,قرض حسنہ,سودی قرض,قمار,رشوت,A | قرض حسنہ,Medium,1,ULTRA,1
q_10_isl_b5_mcq_031,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,قرض حسنہ ہوتا ہے:,بلا سود,زیادہ سود پر,مشروط منافع پر,قمار کے ساتھ,A | بلا سود,Medium,1,ULTRA,1
q_10_isl_b5_mcq_032,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,صدقہ میں مال:,واپس نہیں لیا جاتا,لازماً واپس لیا جاتا ہے,سود کے ساتھ آتا ہے,تجارت بنتا ہے,A | واپس نہیں لیا جاتا,Medium,1,ULTRA,1
q_10_isl_b5_mcq_033,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,قرض حسنہ میں اصل مال:,واپس لیا جاتا ہے,معاف کرنا لازم ہے,دوگنا لیا جاتا ہے,سود کے ساتھ لیا جاتا ہے,A | واپس لیا جاتا ہے,Medium,1,ULTRA,1
q_10_isl_b5_mcq_034,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,قرض حسنہ کا مقصد ہے:,ضرورت پوری کرنا,استحصال,منافع,نمائش,A | ضرورت پوری کرنا,Medium,1,ULTRA,1
q_10_isl_b5_mcq_035,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,قرض حسنہ معاشرے میں پیدا کرتا ہے:,باہمی تعاون,طبقاتی نفرت,بخل,بدگمانی,A | باہمی تعاون,Medium,1,ULTRA,1
q_10_isl_b5_mcq_036,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,قرض حسنہ دینے والا مستحق ہے:,اجر کا,سود کا,جرمانے کا,رشوت کا,A | اجر کا,Medium,1,ULTRA,1
q_10_isl_b5_mcq_037,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,بہتر قرض کی علامت ہے:,آسانی پیدا کرنا,سختی کرنا,زیادہ لینا,تاخیر پر سود,A | آسانی پیدا کرنا,Medium,1,ULTRA,1
q_10_isl_b5_mcq_038,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,قرض دار کے ساتھ اچھا رویہ ہے:,نرمی,تحقیر,استحصال,سختی,A | نرمی,Medium,1,ULTRA,1
q_10_isl_b5_mcq_039,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,سود سے بچنے کا اہم اصول ہے:,حلال تجارت,قمار,رشوت,ذخیرہ اندوزی,A | حلال تجارت,Medium,1,ULTRA,1
q_10_isl_b5_mcq_040,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,حلال تجارت میں بنیادی عنصر ہے:,رضامندی,جبری اضافہ,سود,دھوکا,A | رضامندی,Medium,1,ULTRA,1
q_10_isl_b5_mcq_041,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,سود اور صدقہ کے اثرات ہیں:,متضاد,بالکل یکساں,غیر متعلق,ایک ہی,A | متضاد,Medium,1,ULTRA,1
q_10_isl_b5_mcq_042,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,سود انسان میں بڑھا سکتا ہے:,خود غرضی,ایثار,قناعت,سخاوت,A | خود غرضی,Medium,1,ULTRA,1
q_10_isl_b5_mcq_043,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,سود کی حرمت کا مقصد ہے:,معاشی انصاف,استحصال,طبقاتی فرق,بخل,A | معاشی انصاف,Medium,1,ULTRA,1
q_10_isl_b5_mcq_044,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,اسلامی معاشی رویہ ہے:,عدل و تعاون,سود و قمار,حرص و استحصال,ذخیرہ اندوزی,A | عدل و تعاون,Medium,1,ULTRA,1
q_10_isl_b5_mcq_045,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,قرض حسنہ سود کا ہے:,متبادل,حصہ,لازمی نتیجہ,مترادف,A | متبادل,Medium,1,ULTRA,1
q_10_isl_b5_mcq_046,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,اسلامی ریاست کا بنیادی ماخذ ہے:,قرآن و سنت,نسلی رسم,صرف رواج,صرف بادشاہت,A | قرآن و سنت,Medium,1,ULTRA,1
q_10_isl_b5_mcq_047,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,اسلامی ریاست میں قانون کی بنیاد ہے:,عدل,تعصب,طبقاتی فرق,ذاتی خواہش,A | عدل,Medium,1,ULTRA,1
q_10_isl_b5_mcq_048,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,مسلمان ریاست کا مقصد ہے:,فلاح عامہ,نسلی برتری,ذاتی اقتدار,مالی استحصال,A | فلاح عامہ,Medium,1,ULTRA,1
q_10_isl_b5_mcq_049,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,اسلامی معاشرے کا بنیادی ادارہ ہے:,خاندان,قمار خانہ,سودی ادارہ,نسلی مجلس,A | خاندان,Medium,1,ULTRA,1
q_10_isl_b5_mcq_050,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,اسلامی معاشرے کا دینی مرکز ہے:,مسجد,بازار,محل,قافلہ,A | مسجد,Medium,1,ULTRA,1
q_10_isl_b5_mcq_051,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,تعلیم و تربیت کا بنیادی ادارہ ہے:,مکتب,بازار,کارخانہ,دربار,A | مکتب,Medium,1,ULTRA,1
q_10_isl_b5_mcq_052,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,قانون سازی کا ریاستی ادارہ ہے:,مقننہ,انتظامیہ,عدلیہ,خاندان,A | مقننہ,Medium,1,ULTRA,1
q_10_isl_b5_mcq_053,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,قانون نافذ کرنے والا ادارہ ہے:,انتظامیہ,مقننہ,عدلیہ,مکتب,A | انتظامیہ,Medium,1,ULTRA,1
q_10_isl_b5_mcq_054,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,نزاعات کے فیصلے کا ادارہ ہے:,عدلیہ,انتظامیہ,مقننہ,مسجد,A | عدلیہ,Medium,1,ULTRA,1
q_10_isl_b5_mcq_055,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,ریاست مدینہ قائم ہوئی:,مدینہ منورہ میں,مکہ مکرمہ میں,طائف میں,شام میں,A | مدینہ منورہ میں,Medium,1,ULTRA,1
q_10_isl_b5_mcq_056,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,مسجد نبوی ﷺ نے ادا کیا کردار:,مرکزی سیکرٹریٹ,صرف بازار,صرف رہائش,صرف مدرسہ,A | مرکزی سیکرٹریٹ,Medium,1,ULTRA,1
q_10_isl_b5_mcq_057,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,اسلامی ریاست میں جان کی حفاظت ہے:,بنیادی حق,غیر ضروری,صرف امیروں کا حق,صرف حکمران کا حق,A | بنیادی حق,Medium,1,ULTRA,1
q_10_isl_b5_mcq_058,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,اسلامی ریاست میں مال کی حفاظت ہے:,بنیادی حق,صرف تاجر کا حق,غیر اہم,اختیاری,A | بنیادی حق,Medium,1,ULTRA,1
q_10_isl_b5_mcq_059,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,اسلامی ریاست میں عزت کی حفاظت ہے:,ضروری,غیر متعلق,صرف حکمرانوں کے لیے,صرف علما کے لیے,A | ضروری,Medium,1,ULTRA,1
q_10_isl_b5_mcq_060,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,غیر مسلم شہریوں کو حاصل ہے:,مذہبی آزادی,عبادت کی ممانعت,کوئی حق نہیں,صرف تجارت کا حق,A | مذہبی آزادی,Medium,1,ULTRA,1
q_10_isl_b5_mcq_061,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,غیر مسلموں کی عبادت گاہوں کا تحفظ:,ریاست کی ذمہ داری,غیر ضروری,ممنوع,صرف خاندان کا کام,A | ریاست کی ذمہ داری,Medium,1,ULTRA,1
q_10_isl_b5_mcq_062,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,اسلامی ریاست میں عدل ہونا چاہیے:,سب کے لیے,صرف مسلمانوں کے لیے,صرف امیروں کے لیے,صرف حکمرانوں کے لیے,A | سب کے لیے,Medium,1,ULTRA,1
q_10_isl_b5_mcq_063,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,حاکم کا فرض ہے:,جوابدہی,خود مختاری مطلق,قانون سے بالاتر ہونا,ذاتی مفاد,A | جوابدہی,Medium,1,ULTRA,1
q_10_isl_b5_mcq_064,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,بے سہارا لوگوں کی نگہداشت ہے:,ریاستی ذمہ داری,صرف خاندان کی ذمہ داری,غیر ضروری,ممنوع,A | ریاستی ذمہ داری,Medium,1,ULTRA,1
q_10_isl_b5_mcq_065,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,یتیموں کی کفالت سے متعلق رویہ ہے:,رحمت و ذمہ داری,نظر انداز کرنا,تحقیر,استحصال,A | رحمت و ذمہ داری,Medium,1,ULTRA,1
q_10_isl_b5_mcq_066,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,بیواؤں اور محتاجوں کی مدد ہے:,فلاحی ذمہ داری,غیر ضروری,صرف صدقہ فردی,ممنوع,A | فلاحی ذمہ داری,Medium,1,ULTRA,1
q_10_isl_b5_mcq_067,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,اسلامی ریاست میں مذہبی امتیاز پر ظلم:,درست نہیں,لازم ہے,مستحب ہے,فرض ہے,A | درست نہیں,Medium,1,ULTRA,1
q_10_isl_b5_mcq_068,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,فلاحی ریاست کا مقصد ہے:,عوامی بہبود,ذاتی دولت,نسلی تفریق,سیاسی انتقام,A | عوامی بہبود,Medium,1,ULTRA,1
