question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
q_10_isl_b7_short_001,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,textbook_exercise_direct,مستقبل کی منصوبہ بندی کا معنی و مفہوم تحریر کریں۔,Medium,2,ELITE,1
q_10_isl_b7_short_020,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_book_derived,صلح حدیبیہ مستقبل کی کامیابی کا ذریعہ کیسے بنی؟,Medium,2,ULTRA,1
q_10_isl_b7_short_021,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_book_derived,فتح مکہ اور صلح حدیبیہ میں کیا تعلق ہے؟,Medium,2,ULTRA,1
q_10_isl_b7_short_022,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_book_derived,منصوبہ بندی میں مشاورت کیوں ضروری ہے؟,Medium,2,ULTRA,1
q_10_isl_b7_short_023,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_book_derived,منصوبہ بندی میں دور اندیشی کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b7_short_024,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_book_derived,واضح مقاصد اچھی منصوبہ بندی میں کیسے مدد دیتے ہیں؟,Medium,2,ULTRA,1
q_10_isl_b7_short_025,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_book_derived,منصوبہ بندی وسائل کے بہتر استعمال میں کیسے مدد دیتی ہے؟,Medium,2,ULTRA,1
q_10_isl_b7_short_026,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_book_derived,منصوبہ بندی وقت کے ضیاع کو کیسے کم کرتی ہے؟,Medium,2,ULTRA,1
q_10_isl_b7_short_027,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_book_derived,مستقبل کی تیاری انسان میں ذمہ داری کیسے پیدا کرتی ہے؟,Medium,2,ULTRA,1
q_10_isl_b7_short_028,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_book_derived,منصوبہ بندی سے ناکامی کے امکانات کیسے کم ہوتے ہیں؟,Medium,2,ULTRA,1
q_10_isl_b7_short_029,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_book_derived,اسلامی منصوبہ بندی میں شرعی حدود کی پابندی کیوں ضروری ہے؟,Medium,2,ULTRA,1
q_10_isl_b7_short_030,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_book_derived,منصوبہ بندی اور تقدیر پر ایمان میں کیا تعلق ہے؟,Medium,2,ULTRA,1
q_10_isl_b7_short_031,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_book_derived,محنت اور توکل کا باہمی تعلق بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b7_short_032,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_book_derived,غیر یقینی حالات میں منصوبہ بندی کیوں مفید ہے؟,Medium,2,ULTRA,1
q_10_isl_b7_short_033,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_book_derived,تعلیم کے انتخاب میں مستقبل کی منصوبہ بندی کیسے کی جا سکتی ہے؟,Medium,2,ULTRA,1
q_10_isl_b7_short_034,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_book_derived,پیشہ کے انتخاب میں منصوبہ بندی کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b7_short_035,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_book_derived,خاندانی مالی منصوبہ بندی کے دو فوائد لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b7_short_036,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_book_derived,قومی ترقی میں منصوبہ بندی کا کردار بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b7_short_037,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_book_derived,صحت کے لیے مستقبل کی منصوبہ بندی کی ایک مثال دیں۔,Medium,2,ULTRA,1
q_10_isl_b7_short_038,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_book_derived,بچت اور مستقبل کی تیاری میں کیا تعلق ہے؟,Medium,2,ULTRA,1
q_10_isl_b7_short_039,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_book_derived,منصوبہ بندی میں جائز ذرائع اختیار کرنا کیوں ضروری ہے؟,Medium,2,ULTRA,1
q_10_isl_b7_short_040,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_book_derived,مستقبل کی تیاری میں امید کا کیا کردار ہے؟,Medium,2,ULTRA,1
q_10_isl_b7_short_041,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_book_derived,دور اندیش فیصلے کی دو خصوصیات لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b7_short_042,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_book_derived,بے ترتیبی اور منصوبہ بندی میں فرق بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b7_short_043,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_book_derived,مستقبل کی منصوبہ بندی کے فرد پر دو مثبت اثرات لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b7_short_044,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_book_derived,اسلامی تہذیب کی بنیاد توحید کو کیوں کہا جاتا ہے؟,Medium,2,ULTRA,1
q_10_isl_b7_short_045,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_book_derived,اسلامی تہذیب کی عالمگیریت سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_10_isl_b7_short_046,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_book_derived,اسلامی تہذیب میں قرآن و سنت کی حیثیت کیا ہے؟,Medium,2,ULTRA,1
q_10_isl_b7_short_047,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_book_derived,اسلامی تہذیب انسانی عزت و کرامت کی حفاظت کیسے کرتی ہے؟,Medium,2,ULTRA,1
q_10_isl_b7_short_048,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_book_derived,اسلامی تہذیب میں مساوات کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b7_short_049,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_book_derived,اسلامی تہذیب میں عدل کی کیا حیثیت ہے؟,Medium,2,ULTRA,1
q_10_isl_b7_short_050,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_book_derived,اسلامی تہذیب میں علم کو بنیادی مقام کیوں حاصل ہے؟,Medium,2,ULTRA,1
q_10_isl_b7_short_051,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_book_derived,پہلی وحی کے لفظ اقراء سے کیا پیغام ملتا ہے؟,Medium,2,ULTRA,1
q_10_isl_b7_short_052,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_book_derived,اسلامی تہذیب میں احترام رسالت ﷺ کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b7_short_053,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_book_derived,اسلامی تہذیب میں انسانی اخوت سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_10_isl_b7_short_054,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_book_derived,کشادہ دلی اسلامی تہذیب کا امتیاز کیسے ہے؟,Medium,2,ULTRA,1
q_10_isl_b7_short_055,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_book_derived,اسلامی تہذیب رنگ و نسل کے تعصب کو کیسے رد کرتی ہے؟,Medium,2,ULTRA,1
q_10_isl_b7_short_056,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_book_derived,اسلامی تہذیب میں انسانی حقوق کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b7_short_057,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_book_derived,اسلامی تہذیب میں اقلیتوں کے حقوق کا تصور بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b7_short_058,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_book_derived,اسلامی تہذیب میں عورت کے احترام کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b7_short_059,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_book_derived,اسلامی تہذیب میں جان و مال کی حرمت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b7_short_060,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_book_derived,اسلامی تہذیب میں آزادی اور ذمہ داری کا تعلق بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b7_short_061,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_book_derived,اسلامی تہذیب میں رواداری کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b7_short_062,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_book_derived,اسلامی تہذیب میں اخلاقی اقدار کا کیا مقام ہے؟,Medium,2,ULTRA,1
q_10_isl_b7_short_063,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_book_derived,اسلامی تہذیب میں تقویٰ کو بنیادی قدر کیوں سمجھا جاتا ہے؟,Medium,2,ULTRA,1
q_10_isl_b7_short_064,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_book_derived,اسلامی تہذیب میں سچائی اور امانت کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b7_short_065,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_book_derived,اسلامی تہذیب عبادت اور معاشرت میں توازن کیسے پیدا کرتی ہے؟,Medium,2,ULTRA,1
q_10_isl_b7_short_066,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_book_derived,اسلامی تہذیب نے دوسری اقوام کو کیسے متاثر کیا؟,Medium,2,ULTRA,1
q_10_isl_b7_short_067,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_book_derived,اسلامی تہذیب کے علمی اثرات کی ایک مثال بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b7_short_068,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_book_derived,اسلامی تہذیب انسانی فلاح کو کیسے فروغ دیتی ہے؟,Medium,2,ULTRA,1
q_10_isl_b7_short_069,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_book_derived,اسلامی تہذیب کا امن سے کیا تعلق ہے؟,Medium,2,ULTRA,1
q_10_isl_b7_short_070,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_book_derived,اسلامی تہذیب میں تحقیق کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b7_short_071,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_book_derived,اسلامی تہذیب میں تعلیم عام کرنے کی ضرورت کیوں ہے؟,Medium,2,ULTRA,1
q_10_isl_b7_short_072,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_book_derived,اسلامی تہذیب انسان کو متوازن شخصیت کیسے دیتی ہے؟,Medium,2,ULTRA,1
q_10_isl_b7_short_073,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_book_derived,اسلامی تہذیب کی دو اخلاقی خصوصیات لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b7_short_074,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,extra_important_book_derived,اسلامی تہذیب کے دو معاشرتی امتیازات لکھیں۔,Medium,2,ULTRA,1
