question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_10_isl_b2_mcq_001,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | ملائکہ (فرشتے),Remember,فرشتوں کی تخلیق کا اولین مقصد ہے:,اللہ تعالیٰ کی عبادت,روح قبض کرنا,بارش برسانا,رزق پہنچانا,A | اللہ تعالیٰ کی عبادت,Medium,1,ELITE,1
q_10_isl_b2_mcq_046,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | کتب سماویہ,Remember,قرآن مجید نازل ہوا:,حضرت محمد ﷺ پر,حضرت موسیٰ علیہ السلام پر,حضرت عیسیٰ علیہ السلام پر,حضرت داؤد علیہ السلام پر,A | حضرت محمد ﷺ پر,Medium,1,ULTRA,1
q_10_isl_b2_mcq_047,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | کتب سماویہ,Remember,قرآن مجید ہے:,آخری آسمانی کتاب,پہلی آسمانی کتاب,صرف عربوں کی کتاب,صرف بنی اسرائیل کی کتاب,A | آخری آسمانی کتاب,Medium,1,ULTRA,1
q_10_isl_b2_mcq_048,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | کتب سماویہ,Remember,قرآن مجید کی حفاظت کا ذمہ لیا:,اللہ تعالیٰ نے,صرف حفاظ نے,صرف صحابہ نے,صرف علماء نے,A | اللہ تعالیٰ نے,Medium,1,ULTRA,1
q_10_isl_b2_mcq_049,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | کتب سماویہ,Remember,سابقہ آسمانی کتابوں پر ایمان لانا:,ضروری ہے,ممنوع ہے,صرف اہل کتاب پر لازم ہے,غیر اہم ہے,A | ضروری ہے,Medium,1,ULTRA,1
q_10_isl_b2_mcq_050,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | کتب سماویہ,Remember,تمام آسمانی کتابوں کی بنیادی دعوت ہے:,توحید,نسلی برتری,مال جمع کرنا,دنیا پرستی,A | توحید,Medium,1,ULTRA,1
q_10_isl_b2_mcq_051,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | کتب سماویہ,Remember,تمام انبیاء کی دعوت میں شامل تھا:,آخرت پر ایمان,صرف تجارت,صرف سیاست,صرف زراعت,A | آخرت پر ایمان,Medium,1,ULTRA,1
q_10_isl_b2_mcq_052,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | کتب سماویہ,Remember,بنی اسرائیل سے مراد ہیں:,حضرت یعقوب علیہ السلام کی اولاد,حضرت اسماعیل علیہ السلام کی اولاد,صرف اہل عرب,صرف قریش,A | حضرت یعقوب علیہ السلام کی اولاد,Medium,1,ULTRA,1
q_10_isl_b2_mcq_053,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | کتب سماویہ,Remember,حضرت موسیٰ علیہ السلام کا لقب ہے:,کلیم اللہ,خلیل اللہ,روح اللہ,ذبیح اللہ,A | کلیم اللہ,Medium,1,ULTRA,1
q_10_isl_b2_mcq_054,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | کتب سماویہ,Remember,حضرت عیسیٰ علیہ السلام کا معروف لقب ہے:,روح اللہ,خلیل اللہ,کلیم اللہ,ذبیح اللہ,A | روح اللہ,Medium,1,ULTRA,1
q_10_isl_b2_mcq_055,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | کتب سماویہ,Remember,پچھلی آسمانی کتابوں کے بعد جامع ہدایت دی گئی:,قرآن مجید میں,صرف زبور میں,صرف تورات میں,صرف صحف میں,A | قرآن مجید میں,Medium,1,ULTRA,1
q_10_isl_b2_mcq_056,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | عقیدہ آخرت,Remember,آخرت سے مراد ہے:,مرنے کے بعد کی زندگی,صرف قبر,صرف دنیا,صرف خواب,A | مرنے کے بعد کی زندگی,Medium,1,ULTRA,1
q_10_isl_b2_mcq_057,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | عقیدہ آخرت,Remember,دنیاوی زندگی ہے:,عارضی,ہمیشہ رہنے والی,آخری منزل,بے حساب,A | عارضی,Medium,1,ULTRA,1
q_10_isl_b2_mcq_058,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | عقیدہ آخرت,Remember,عالم برزخ واقع ہے:,موت اور قیامت کے درمیان,پیدائش اور بلوغ کے درمیان,ہجرت اور فتح کے درمیان,دن اور رات کے درمیان,A | موت اور قیامت کے درمیان,Medium,1,ULTRA,1
q_10_isl_b2_mcq_059,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | عقیدہ آخرت,Remember,قبر مومن کے لیے ہو سکتی ہے:,جنت کے باغوں میں سے باغ,بازار,دنیاوی گھر,سفر گاہ,A | جنت کے باغوں میں سے باغ,Medium,1,ULTRA,1
q_10_isl_b2_mcq_060,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | عقیدہ آخرت,Remember,حشر سے مراد ہے:,لوگوں کو جمع کرنا,روح قبض کرنا,اعمال لکھنا,نماز پڑھنا,A | لوگوں کو جمع کرنا,Medium,1,ULTRA,1
q_10_isl_b2_mcq_061,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | عقیدہ آخرت,Remember,سبق کی روشنی میں نشر سے مراد ہے:,دوبارہ زندہ کرنا,جنت میں داخل کرنا,اعمال تولنا,شفاعت کرنا,A | دوبارہ زندہ کرنا,Medium,1,ULTRA,1
q_10_isl_b2_mcq_062,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | عقیدہ آخرت,Remember,اعمال تولے جائیں گے:,میزان میں,بازار میں,مسجد میں,دنیا میں,A | میزان میں,Medium,1,ULTRA,1
q_10_isl_b2_mcq_063,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | عقیدہ آخرت,Remember,مقام محمود عطا ہوگا:,نبی کریم ﷺ کو,ہر فرشتے کو,ہر بادشاہ کو,ہر تاجر کو,A | نبی کریم ﷺ کو,Medium,1,ULTRA,1
q_10_isl_b2_mcq_064,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | عقیدہ آخرت,Remember,حوض کوثر کا تعلق ہے:,نبی کریم ﷺ سے,صرف فرشتوں سے,صرف انبیاء سابقین سے,صرف شہداء سے,A | نبی کریم ﷺ سے,Medium,1,ULTRA,1
q_10_isl_b2_mcq_065,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | عقیدہ آخرت,Remember,شفاعت کا آغاز ہوگا:,اللہ کی اجازت سے,انسان کی مرضی سے,مال کے بدلے,نسب کی بنیاد پر,A | اللہ کی اجازت سے,Medium,1,ULTRA,1
q_10_isl_b2_mcq_066,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | عقیدہ آخرت,Remember,قیامت کے دن کامیابی کا معیار ہے:,ایمان و اعمال صالحہ,صرف دولت,صرف نسب,صرف شہرت,A | ایمان و اعمال صالحہ,Medium,1,ULTRA,1
q_10_isl_b2_mcq_067,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | عقیدہ آخرت,Remember,جنت ہے:,نعمتوں کا مقام,عذاب کا مقام,دنیاوی شہر,عارضی ٹھکانہ,A | نعمتوں کا مقام,Medium,1,ULTRA,1
q_10_isl_b2_mcq_068,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | عقیدہ آخرت,Remember,جہنم ہے:,عذاب کا مقام,نعمتوں کا مقام,دنیاوی بازار,عارضی کھیل,A | عذاب کا مقام,Medium,1,ULTRA,1
q_10_isl_b2_mcq_069,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | عقیدہ آخرت,Remember,عقیدہ آخرت انسان میں پیدا کرتا ہے:,جوابدہی کا احساس,غفلت,بے خوفی از گناہ,تکبر,A | جوابدہی کا احساس,Medium,1,ULTRA,1
q_10_isl_b2_mcq_070,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | عقیدہ آخرت,Remember,آخرت کی تیاری کا بہترین ذریعہ ہے:,نیک اعمال,مال کی نمائش,دنیاوی شہرت,بے فکری,A | نیک اعمال,Medium,1,ULTRA,1
