question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
q_10_isl_b2_short_001,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | ملائکہ (فرشتے),textbook_exercise_direct,ملائکہ کا تعارف بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b2_short_041,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | کتب سماویہ,extra_important_book_derived,تمام آسمانی کتابوں پر ایمان لانا کیوں ضروری ہے؟,Medium,2,ULTRA,1
q_10_isl_b2_short_042,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | کتب سماویہ,extra_important_book_derived,قرآن مجید کی حفاظت کی خصوصیت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b2_short_043,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | کتب سماویہ,extra_important_book_derived,تمام آسمانی کتابوں کی بنیادی دعوت کیا رہی ہے؟,Medium,2,ULTRA,1
q_10_isl_b2_short_044,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | کتب سماویہ,extra_important_book_derived,حضرت موسیٰ علیہ السلام کے لقب کی وضاحت کریں۔,Medium,2,ULTRA,1
q_10_isl_b2_short_045,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | کتب سماویہ,extra_important_book_derived,سابقہ آسمانی کتابوں اور قرآن مجید میں حفاظت کے اعتبار سے بنیادی فرق بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b2_short_046,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | عقیدہ آخرت,extra_important_book_derived,عالم برزخ سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_10_isl_b2_short_047,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | عقیدہ آخرت,extra_important_book_derived,حشر سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_10_isl_b2_short_048,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | عقیدہ آخرت,extra_important_book_derived,نشر سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_10_isl_b2_short_049,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | عقیدہ آخرت,extra_important_book_derived,قبر مومن کے لیے کس طرح جنت کے باغوں میں سے باغ بن سکتی ہے؟,Medium,2,ULTRA,1
q_10_isl_b2_short_050,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | عقیدہ آخرت,extra_important_book_derived,مقام محمود نبی کریم ﷺ کی کس فضیلت کو ظاہر کرتا ہے؟,Medium,2,ULTRA,1
q_10_isl_b2_short_051,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | عقیدہ آخرت,extra_important_book_derived,شفاعت سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_10_isl_b2_short_052,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | عقیدہ آخرت,extra_important_book_derived,حوض کوثر کی ایک خصوصیت لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b2_short_053,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | عقیدہ آخرت,extra_important_book_derived,میزان کا مقصد کیا ہے؟,Medium,2,ULTRA,1
q_10_isl_b2_short_054,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | عقیدہ آخرت,extra_important_book_derived,عقیدہ آخرت انسان میں جواب دہی کا احساس کیسے پیدا کرتا ہے؟,Medium,2,ULTRA,1
q_10_isl_b2_short_055,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | عقیدہ آخرت,extra_important_book_derived,جنت اور جہنم کے بارے میں اسلامی عقیدہ مختصراً بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b2_short_056,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | زکوٰۃ,extra_important_book_derived,زکوٰۃ کے لغوی معنی کیا ہیں؟,Medium,2,ULTRA,1
q_10_isl_b2_short_057,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | زکوٰۃ,extra_important_book_derived,زکوٰۃ مال اور دل کی پاکیزگی کا سبب کیسے بنتی ہے؟,Medium,2,ULTRA,1
q_10_isl_b2_short_058,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | زکوٰۃ,extra_important_book_derived,عام مالی زکوٰۃ کی شرح کتنی ہے؟,Medium,2,ULTRA,1
q_10_isl_b2_short_059,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | زکوٰۃ,extra_important_book_derived,چالیسواں حصہ کتنے فیصد کے برابر ہے؟,Medium,2,ULTRA,1
q_10_isl_b2_short_060,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | زکوٰۃ,extra_important_book_derived,قدرتی پانی سے سیراب فصل پر عشر کی شرح لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b2_short_061,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | زکوٰۃ,extra_important_book_derived,مصنوعی ذرائع سے سیراب فصل پر عشر کی شرح لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b2_short_062,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | زکوٰۃ,extra_important_book_derived,زکوٰۃ غربت کے خاتمے میں کیسے مدد دیتی ہے؟,Medium,2,ULTRA,1
q_10_isl_b2_short_063,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | زکوٰۃ,extra_important_book_derived,زکوٰۃ دولت کی گردش کو کیسے بڑھاتی ہے؟,Medium,2,ULTRA,1
q_10_isl_b2_short_064,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | زکوٰۃ,extra_important_book_derived,زکوٰۃ اور اسلامی معاشی عدل میں کیا تعلق ہے؟,Medium,2,ULTRA,1
q_10_isl_b2_short_065,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | زکوٰۃ,extra_important_book_derived,زکوٰۃ نہ دینے کے دو دینی یا معاشرتی نقصانات لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b2_short_066,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حج اور قربانی,extra_important_book_derived,حج کا لغوی معنی بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b2_short_067,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حج اور قربانی,extra_important_book_derived,حج کن مسلمانوں پر فرض ہے؟,Medium,2,ULTRA,1
q_10_isl_b2_short_068,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حج اور قربانی,extra_important_book_derived,وقوف عرفہ کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b2_short_069,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حج اور قربانی,extra_important_book_derived,احرام سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_10_isl_b2_short_070,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حج اور قربانی,extra_important_book_derived,حج مبرور کی فضیلت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b2_short_071,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حج اور قربانی,extra_important_book_derived,عمرہ کی فضیلت ایک حدیث کی روشنی میں بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b2_short_072,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حج اور قربانی,extra_important_book_derived,قربانی حضرت ابراہیم و اسماعیل علیہما السلام کی کس سنت کی یاد دلاتی ہے؟,Medium,2,ULTRA,1
q_10_isl_b2_short_073,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حج اور قربانی,extra_important_book_derived,قربانی کے جانور میں کن عیوب سے بچنا چاہیے؟,Medium,2,ULTRA,1
q_10_isl_b2_short_074,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حج اور قربانی,extra_important_book_derived,احرام مساوات کا سبق کیسے دیتا ہے؟,Medium,2,ULTRA,1
q_10_isl_b2_short_075,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حج اور قربانی,extra_important_book_derived,حج امت مسلمہ کے عالمی اتحاد کی علامت کیسے ہے؟,Medium,2,ULTRA,1
