question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_10_isl_b6_mcq_001,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | اہل بیت اطہار | حضرت امام زید بن علی رحمۃ اللہ علیہ,Remember,حضرت امام زید بن علی رحمۃ اللہ علیہ کے بارے میں لقب کیا تھا؟,حلیف القرآن,تجارت,زراعت,سیاست,A | حلیف القرآن,Medium,1,ELITE,1
q_10_isl_b6_mcq_012,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابہ کرام رضی اللہ عنہم | حضرت عقبہ بن عامر رضی اللہ عنہ,Remember,حضرت عقبہ بن عامر رضی اللہ عنہ کے بارے میں دفن کہاں ہوئے؟,زراعت,سیاست,مصر,تجارت,C | مصر,Medium,1,ULTRA,1
q_10_isl_b6_mcq_013,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابہ کرام رضی اللہ عنہم | حضرت عقبہ بن عامر رضی اللہ عنہ,Remember,حضرت عقبہ بن عامر رضی اللہ عنہ کے بارے میں نمایاں وصف کیا تھا؟,علم و عبادت,تجارت,زراعت,سیاست,A | علم و عبادت,Medium,1,ULTRA,1
q_10_isl_b6_mcq_014,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابہ کرام رضی اللہ عنہم | حضرت عقبہ بن عامر رضی اللہ عنہ,Remember,حضرت عقبہ بن عامر رضی اللہ عنہ کے بارے میں نبی کریم ﷺ سے تعلق کیا تھا؟,زراعت,سیاست,صحابی,تجارت,C | صحابی,Medium,1,ULTRA,1
q_10_isl_b6_mcq_015,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابہ کرام رضی اللہ عنہم | حضرت عقبہ بن عامر رضی اللہ عنہ,Remember,حضرت عقبہ بن عامر رضی اللہ عنہ کے بارے میں آپ قرآن مجید کے کیسے قاری تھے؟,ماہر قاری,تجارت,زراعت,سیاست,A | ماہر قاری,Medium,1,ULTRA,1
q_10_isl_b6_mcq_016,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابہ کرام رضی اللہ عنہم | حضرت عقبہ بن عامر رضی اللہ عنہ,Remember,حضرت عقبہ بن عامر رضی اللہ عنہ کے بارے میں عملی زندگی کی نمایاں صفت کیا تھی؟,زراعت,سیاست,تقویٰ,تجارت,C | تقویٰ,Medium,1,ULTRA,1
q_10_isl_b6_mcq_017,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابہ کرام رضی اللہ عنہم | حضرت جابر بن عبداللہ رضی اللہ عنہ,Remember,حضرت جابر بن عبداللہ رضی اللہ عنہ کے بارے میں والد کا نام کیا تھا؟,حضرت عبداللہ رضی اللہ عنہ,تجارت,زراعت,سیاست,A | حضرت عبداللہ رضی اللہ عنہ,Medium,1,ELITE,1
q_10_isl_b6_mcq_018,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابہ کرام رضی اللہ عنہم | حضرت جابر بن عبداللہ رضی اللہ عنہ,Remember,حضرت جابر بن عبداللہ رضی اللہ عنہ کے بارے میں والد کہاں شہید ہوئے؟,زراعت,سیاست,غزوہ احد,تجارت,C | غزوہ احد,Medium,1,ELITE,1
q_10_isl_b6_mcq_019,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابہ کرام رضی اللہ عنہم | حضرت جابر بن عبداللہ رضی اللہ عنہ,Remember,حضرت جابر بن عبداللہ رضی اللہ عنہ کے بارے میں کتنے غزوات میں شریک ہوئے؟,انیس,تجارت,زراعت,سیاست,A | انیس,Medium,1,ELITE,1
q_10_isl_b6_mcq_020,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابہ کرام رضی اللہ عنہم | حضرت جابر بن عبداللہ رضی اللہ عنہ,Remember,حضرت جابر بن عبداللہ رضی اللہ عنہ کے بارے میں وفات کب ہوئی؟,چالیس سال,60 ہجری,74 ہجری,بیس سال,C | 74 ہجری,Medium,1,ULTRA,1
q_10_isl_b6_mcq_021,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابہ کرام رضی اللہ عنہم | حضرت جابر بن عبداللہ رضی اللہ عنہ,Remember,حضرت جابر بن عبداللہ رضی اللہ عنہ کے بارے میں مروی احادیث کی تعداد کتنی ہے؟,1540,بیس سال,چالیس سال,60 ہجری,A | 1540,Medium,1,ULTRA,1
q_10_isl_b6_mcq_022,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابہ کرام رضی اللہ عنہم | حضرت جابر بن عبداللہ رضی اللہ عنہ,Remember,حضرت جابر بن عبداللہ رضی اللہ عنہ کے بارے میں علمی خدمت کیا تھی؟,زراعت,سیاست,روایت حدیث,تجارت,C | روایت حدیث,Medium,1,ULTRA,1
q_10_isl_b6_mcq_023,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابہ کرام رضی اللہ عنہم | حضرت جابر بن عبداللہ رضی اللہ عنہ,Remember,حضرت جابر بن عبداللہ رضی اللہ عنہ کے بارے میں نمایاں وصف کیا تھا؟,علم و تقویٰ,تجارت,زراعت,سیاست,A | علم و تقویٰ,Medium,1,ULTRA,1
q_10_isl_b6_mcq_024,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابہ کرام رضی اللہ عنہم | حضرت جابر بن عبداللہ رضی اللہ عنہ,Remember,حضرت جابر بن عبداللہ رضی اللہ عنہ کے بارے میں صحابہ میں مقام کیا تھا؟,زراعت,سیاست,کثیر الروایہ صحابی,تجارت,C | کثیر الروایہ صحابی,Medium,1,ULTRA,1
q_10_isl_b6_mcq_025,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابہ کرام رضی اللہ عنہم | حضرت انس بن مالک رضی اللہ عنہ,Remember,حضرت انس بن مالک رضی اللہ عنہ کے بارے میں کنیت کیا تھی؟,ابو حمزہ,تجارت,زراعت,سیاست,A | ابو حمزہ,Medium,1,ELITE,1
q_10_isl_b6_mcq_026,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابہ کرام رضی اللہ عنہم | حضرت انس بن مالک رضی اللہ عنہ,Remember,حضرت انس بن مالک رضی اللہ عنہ کے بارے میں والدہ کون تھیں؟,زراعت,سیاست,حضرت ام سلیم رضی اللہ عنہا,تجارت,C | حضرت ام سلیم رضی اللہ عنہا,Medium,1,ELITE,1
q_10_isl_b6_mcq_027,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابہ کرام رضی اللہ عنہم | حضرت انس بن مالک رضی اللہ عنہ,Remember,حضرت انس بن مالک رضی اللہ عنہ کے بارے میں نبی کریم ﷺ کی خدمت کتنے سال کی؟,دس سال,بیس سال,چالیس سال,60 ہجری,A | دس سال,Medium,1,ELITE,1
q_10_isl_b6_mcq_028,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابہ کرام رضی اللہ عنہم | حضرت انس بن مالک رضی اللہ عنہ,Remember,حضرت انس بن مالک رضی اللہ عنہ کے بارے میں لقب کیا تھا؟,زراعت,سیاست,خادم الرسول ﷺ,تجارت,C | خادم الرسول ﷺ,Medium,1,ULTRA,1
q_10_isl_b6_mcq_029,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابہ کرام رضی اللہ عنہم | حضرت انس بن مالک رضی اللہ عنہ,Remember,حضرت انس بن مالک رضی اللہ عنہ کے بارے میں علمی میدان کیا تھا؟,علم حدیث,تجارت,زراعت,سیاست,A | علم حدیث,Medium,1,ULTRA,1
q_10_isl_b6_mcq_030,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابہ کرام رضی اللہ عنہم | حضرت انس بن مالک رضی اللہ عنہ,Remember,حضرت انس بن مالک رضی اللہ عنہ کے بارے میں آپ نے کس سے براہ راست تربیت پائی؟,زراعت,سیاست,نبی کریم ﷺ,تجارت,C | نبی کریم ﷺ,Medium,1,ULTRA,1
q_10_isl_b6_mcq_031,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابہ کرام رضی اللہ عنہم | حضرت انس بن مالک رضی اللہ عنہ,Remember,حضرت انس بن مالک رضی اللہ عنہ کے بارے میں نمایاں وصف کیا تھا؟,حسن اخلاق,تجارت,زراعت,سیاست,A | حسن اخلاق,Medium,1,ULTRA,1
q_10_isl_b6_mcq_032,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابہ کرام رضی اللہ عنہم | حضرت انس بن مالک رضی اللہ عنہ,Remember,حضرت انس بن مالک رضی اللہ عنہ کے بارے میں وفات کب ہوئی؟,چالیس سال,60 ہجری,93 ہجری,بیس سال,C | 93 ہجری,Medium,1,ULTRA,1
q_10_isl_b6_mcq_033,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابیات رضی اللہ عنہن | حضرت ام ایمن رضی اللہ عنہا,Remember,حضرت ام ایمن رضی اللہ عنہا کے بارے میں اصل نام کیا تھا؟,برکہ,تجارت,زراعت,سیاست,A | برکہ,Medium,1,ELITE,1
q_10_isl_b6_mcq_034,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابیات رضی اللہ عنہن | حضرت ام ایمن رضی اللہ عنہا,Remember,حضرت ام ایمن رضی اللہ عنہا کے بارے میں نبی کریم ﷺ سے تعلق کیا تھا؟,زراعت,سیاست,خدمت و پرورش,تجارت,C | خدمت و پرورش,Medium,1,ELITE,1
q_10_isl_b6_mcq_035,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابیات رضی اللہ عنہن | حضرت ام ایمن رضی اللہ عنہا,Remember,حضرت ام ایمن رضی اللہ عنہا کے بارے میں نمایاں وصف کیا تھا؟,وفاداری,تجارت,زراعت,سیاست,A | وفاداری,Medium,1,ELITE,1
q_10_isl_b6_mcq_036,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابیات رضی اللہ عنہن | حضرت ام ایمن رضی اللہ عنہا,Remember,حضرت ام ایمن رضی اللہ عنہا کے بارے میں ہجرت میں شریک ہوئیں؟,زراعت,سیاست,ہاں,تجارت,C | ہاں,Medium,1,ULTRA,1
q_10_isl_b6_mcq_037,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابیات رضی اللہ عنہن | حضرت ام ایمن رضی اللہ عنہا,Remember,حضرت ام ایمن رضی اللہ عنہا کے بارے میں غزوات میں خدمت کیا تھی؟,مجاہدین کی خدمت,تجارت,زراعت,سیاست,A | مجاہدین کی خدمت,Medium,1,ULTRA,1
q_10_isl_b6_mcq_038,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابیات رضی اللہ عنہن | حضرت ام ایمن رضی اللہ عنہا,Remember,حضرت ام ایمن رضی اللہ عنہا کے بارے میں اسلامی تاریخ میں مقام کیا تھا؟,زراعت,سیاست,جلیل القدر صحابیہ,تجارت,C | جلیل القدر صحابیہ,Medium,1,ULTRA,1
q_10_isl_b6_mcq_039,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابیات رضی اللہ عنہن | حضرت ام ایمن رضی اللہ عنہا,Remember,حضرت ام ایمن رضی اللہ عنہا کے بارے میں آپ کس خاندان کے قریب رہیں؟,خاندان نبوی ﷺ,تجارت,زراعت,سیاست,A | خاندان نبوی ﷺ,Medium,1,ULTRA,1
q_10_isl_b6_mcq_040,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابیات رضی اللہ عنہن | حضرت ام ایمن رضی اللہ عنہا,Remember,حضرت ام ایمن رضی اللہ عنہا کے بارے میں عملی سبق کیا ہے؟,زراعت,سیاست,وفاداری و خدمت,تجارت,C | وفاداری و خدمت,Medium,1,ULTRA,1
q_10_isl_b6_mcq_041,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابیات رضی اللہ عنہن | حضرت ام عمارہ رضی اللہ عنہا,Remember,حضرت ام عمارہ رضی اللہ عنہا کے بارے میں اصل نام کیا تھا؟,نسیبہ بنت کعب,تجارت,زراعت,سیاست,A | نسیبہ بنت کعب,Medium,1,ELITE,1
q_10_isl_b6_mcq_042,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابیات رضی اللہ عنہن | حضرت ام عمارہ رضی اللہ عنہا,Remember,حضرت ام عمارہ رضی اللہ عنہا کے بارے میں کس غزوہ میں شجاعت دکھائی؟,زراعت,سیاست,غزوہ احد,تجارت,C | غزوہ احد,Medium,1,ELITE,1
q_10_isl_b6_mcq_043,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابیات رضی اللہ عنہن | حضرت ام عمارہ رضی اللہ عنہا,Remember,حضرت ام عمارہ رضی اللہ عنہا کے بارے میں نبی کریم ﷺ کا کس موقع پر دفاع کیا؟,غزوہ احد,تجارت,زراعت,سیاست,A | غزوہ احد,Medium,1,ELITE,1
q_10_isl_b6_mcq_044,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابیات رضی اللہ عنہن | حضرت ام عمارہ رضی اللہ عنہا,Remember,حضرت ام عمارہ رضی اللہ عنہا کے بارے میں نمایاں صفت کیا تھی؟,زراعت,سیاست,شجاعت,تجارت,C | شجاعت,Medium,1,ULTRA,1
q_10_isl_b6_mcq_045,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابیات رضی اللہ عنہن | حضرت ام عمارہ رضی اللہ عنہا,Remember,حضرت ام عمارہ رضی اللہ عنہا کے بارے میں کس طبقے کی مثال ہیں؟,مجاہد صحابیات,تجارت,زراعت,سیاست,A | مجاہد صحابیات,Medium,1,ULTRA,1
q_10_isl_b6_mcq_046,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابیات رضی اللہ عنہن | حضرت ام عمارہ رضی اللہ عنہا,Remember,حضرت ام عمارہ رضی اللہ عنہا کے بارے میں دین کے لیے رویہ کیا تھا؟,زراعت,سیاست,ثابت قدمی,تجارت,C | ثابت قدمی,Medium,1,ULTRA,1
q_10_isl_b6_mcq_047,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابیات رضی اللہ عنہن | حضرت ام عمارہ رضی اللہ عنہا,Remember,حضرت ام عمارہ رضی اللہ عنہا کے بارے میں آپ کا تعلق کس شہر سے تھا؟,مدینہ منورہ,تجارت,زراعت,سیاست,A | مدینہ منورہ,Medium,1,ULTRA,1
q_10_isl_b6_mcq_048,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابیات رضی اللہ عنہن | حضرت ام عمارہ رضی اللہ عنہا,Remember,حضرت ام عمارہ رضی اللہ عنہا کے بارے میں عملی سبق کیا ہے؟,زراعت,سیاست,جرأت و ایثار,تجارت,C | جرأت و ایثار,Medium,1,ULTRA,1
q_10_isl_b6_mcq_049,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابیات رضی اللہ عنہن | حضرت اسماء بنت ابی بکر رضی اللہ عنہا,Remember,حضرت اسماء بنت ابی بکر رضی اللہ عنہا کے بارے میں والد کون تھے؟,حضرت ابو بکر صدیق رضی اللہ عنہ,تجارت,زراعت,سیاست,A | حضرت ابو بکر صدیق رضی اللہ عنہ,Medium,1,ELITE,1
q_10_isl_b6_mcq_050,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابیات رضی اللہ عنہن | حضرت اسماء بنت ابی بکر رضی اللہ عنہا,Remember,حضرت اسماء بنت ابی بکر رضی اللہ عنہا کے بارے میں لقب کیا تھا؟,زراعت,سیاست,ذات النطاقین,تجارت,C | ذات النطاقین,Medium,1,ELITE,1
q_10_isl_b6_mcq_051,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابیات رضی اللہ عنہن | حضرت اسماء بنت ابی بکر رضی اللہ عنہا,Remember,حضرت اسماء بنت ابی بکر رضی اللہ عنہا کے بارے میں بہن کون تھیں؟,حضرت عائشہ رضی اللہ عنہا,تجارت,زراعت,سیاست,A | حضرت عائشہ رضی اللہ عنہا,Medium,1,ELITE,1
q_10_isl_b6_mcq_052,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابیات رضی اللہ عنہن | حضرت اسماء بنت ابی بکر رضی اللہ عنہا,Remember,حضرت اسماء بنت ابی بکر رضی اللہ عنہا کے بارے میں بیٹے کون تھے؟,زراعت,سیاست,حضرت عبداللہ بن زبیر رضی اللہ عنہ,تجارت,C | حضرت عبداللہ بن زبیر رضی اللہ عنہ,Medium,1,ULTRA,1
q_10_isl_b6_mcq_053,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابیات رضی اللہ عنہن | حضرت اسماء بنت ابی بکر رضی اللہ عنہا,Remember,حضرت اسماء بنت ابی بکر رضی اللہ عنہا کے بارے میں ہجرت میں خدمت کیا تھی؟,زاد راہ پہنچانا,تجارت,زراعت,سیاست,A | زاد راہ پہنچانا,Medium,1,ULTRA,1
q_10_isl_b6_mcq_054,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابیات رضی اللہ عنہن | حضرت اسماء بنت ابی بکر رضی اللہ عنہا,Remember,حضرت اسماء بنت ابی بکر رضی اللہ عنہا کے بارے میں نمایاں صفت کیا تھی؟,زراعت,سیاست,ثابت قدمی,تجارت,C | ثابت قدمی,Medium,1,ULTRA,1
q_10_isl_b6_mcq_055,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابیات رضی اللہ عنہن | حضرت اسماء بنت ابی بکر رضی اللہ عنہا,Remember,حضرت اسماء بنت ابی بکر رضی اللہ عنہا کے بارے میں آپ نے طویل عمر پائی؟,ہاں,تجارت,زراعت,سیاست,A | ہاں,Medium,1,ULTRA,1
q_10_isl_b6_mcq_056,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابیات رضی اللہ عنہن | حضرت اسماء بنت ابی بکر رضی اللہ عنہا,Remember,حضرت اسماء بنت ابی بکر رضی اللہ عنہا کے بارے میں عملی سبق کیا ہے؟,زراعت,سیاست,صبر و شجاعت,تجارت,C | صبر و شجاعت,Medium,1,ULTRA,1
q_10_isl_b6_mcq_057,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صوفیائے کرام رحمۃ اللہ علیہم | حضرت سید عبداللطیف کاظمی رحمۃ اللہ علیہ (امام بری),Remember,حضرت سید عبداللطیف کاظمی رحمۃ اللہ علیہ (امام بری) کے بارے میں مشہور نام کیا ہے؟,امام بری,تجارت,زراعت,سیاست,A | امام بری,Medium,1,ELITE,1
