question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
q_10_isl_b5_short_001,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | سود کی حرمت,textbook_exercise_direct,سود کا معنی و مفہوم بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b5_short_029,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | سود کی حرمت,extra_important_book_derived,قرض حسنہ اور صدقہ میں فرق بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b5_short_030,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | سود کی حرمت,extra_important_book_derived,قرض حسنہ ضرورت مند کی کیسے مدد کرتا ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_031,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | سود کی حرمت,extra_important_book_derived,قرض حسنہ معاشرتی تعاون میں کیسے اضافہ کرتا ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_032,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | سود کی حرمت,extra_important_book_derived,قرض دار کے ساتھ نرمی کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b5_short_033,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | سود کی حرمت,extra_important_book_derived,سود سے بچنے کے لیے حلال تجارت کیوں ضروری ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_034,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | سود کی حرمت,extra_important_book_derived,اسلامی معاشی نظام میں عدل کی اہمیت کیا ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_035,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | سود کی حرمت,extra_important_book_derived,سود کے بجائے قرض حسنہ اختیار کرنے کے دو فوائد لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b5_short_036,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی ریاست,extra_important_book_derived,اسلامی ریاست کے بنیادی ماخذ کیا ہیں؟,Medium,2,ULTRA,1
q_10_isl_b5_short_037,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی ریاست,extra_important_book_derived,اسلامی معاشرے کے تین بنیادی ادارے لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b5_short_038,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی ریاست,extra_important_book_derived,ریاست کے تین بنیادی ادارے لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b5_short_039,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی ریاست,extra_important_book_derived,مقننہ کا بنیادی کام کیا ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_040,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی ریاست,extra_important_book_derived,انتظامیہ کا بنیادی کام کیا ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_041,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی ریاست,extra_important_book_derived,عدلیہ کا بنیادی کام کیا ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_042,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی ریاست,extra_important_book_derived,پہلی اسلامی ریاست کہاں قائم ہوئی؟,Medium,2,ULTRA,1
q_10_isl_b5_short_043,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی ریاست,extra_important_book_derived,مسجد نبوی ﷺ کو اسلامی ریاست میں کیا حیثیت حاصل تھی؟,Medium,2,ULTRA,1
q_10_isl_b5_short_044,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی ریاست,extra_important_book_derived,اسلامی ریاست میں جان کے تحفظ کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b5_short_045,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی ریاست,extra_important_book_derived,اسلامی ریاست میں مال کے تحفظ کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b5_short_046,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی ریاست,extra_important_book_derived,اسلامی ریاست میں عزت و آبرو کے تحفظ کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b5_short_047,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی ریاست,extra_important_book_derived,غیر مسلم شہریوں کی مذہبی آزادی سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_048,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی ریاست,extra_important_book_derived,غیر مسلموں کی عبادت گاہوں کی حفاظت کیوں ضروری ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_049,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی ریاست,extra_important_book_derived,اسلامی ریاست میں قانون کی بالادستی کیوں ضروری ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_050,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی ریاست,extra_important_book_derived,اسلامی ریاست میں عدل و مساوات کا کیا مقام ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_051,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی ریاست,extra_important_book_derived,اسلامی فلاحی ریاست یتیموں اور بیواؤں کی کیسے مدد کرتی ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_052,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی ریاست,extra_important_book_derived,اسلامی ریاست میں کمزور طبقوں کی نگہداشت کیوں ضروری ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_053,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی ریاست,extra_important_book_derived,ریاست مدینہ کی دو نمایاں خصوصیات لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b5_short_054,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی ریاست,extra_important_book_derived,حاکم کی جواب دہی سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_055,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی ریاست,extra_important_book_derived,پاکستان کو اسلامی فلاحی ریاست بنانے کے لیے دو عملی اقدامات لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b5_short_056,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جہاد فی سبیل اللہ,extra_important_book_derived,جہاد کا اصطلاحی مفہوم بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b5_short_057,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جہاد فی سبیل اللہ,extra_important_book_derived,جہاد اور قتال میں فرق بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b5_short_058,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جہاد فی سبیل اللہ,extra_important_book_derived,جہاد بالنفس سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_059,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جہاد فی سبیل اللہ,extra_important_book_derived,جہاد بالمال سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_060,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جہاد فی سبیل اللہ,extra_important_book_derived,جہاد بالعلم سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_061,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جہاد فی سبیل اللہ,extra_important_book_derived,جہاد باللسان سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_062,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جہاد فی سبیل اللہ,extra_important_book_derived,جہاد بالسیف سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_063,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جہاد فی سبیل اللہ,extra_important_book_derived,جہاد کا بنیادی مقصد امن کیوں ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_064,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جہاد فی سبیل اللہ,extra_important_book_derived,ظلم اور فساد کے خاتمے میں جہاد کا کیا کردار ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_065,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جہاد فی سبیل اللہ,extra_important_book_derived,جہاد بالسیف کے لیے ریاستی نظم کیوں ضروری ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_066,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جہاد فی سبیل اللہ,extra_important_book_derived,نجی گروہوں کا خود جنگ شروع کرنا کیوں درست نہیں؟,Medium,2,ULTRA,1
q_10_isl_b5_short_067,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جہاد فی سبیل اللہ,extra_important_book_derived,اسلام جنگ میں بے گناہوں کے تحفظ کی کیا تعلیم دیتا ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_068,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جہاد فی سبیل اللہ,extra_important_book_derived,جنگ کے دوران بچوں اور خواتین کے بارے میں اسلامی ہدایت کیا ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_069,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جہاد فی سبیل اللہ,extra_important_book_derived,درختوں اور فصلوں کو بلا ضرورت نقصان پہنچانے سے کیوں منع کیا گیا ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_070,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جہاد فی سبیل اللہ,extra_important_book_derived,عبادت گاہوں کے تحفظ کے بارے میں اسلامی تعلیم کیا ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_071,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جہاد فی سبیل اللہ,extra_important_book_derived,دہشت گردی اور اسلامی جہاد میں بنیادی فرق کیا ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_072,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جہاد فی سبیل اللہ,extra_important_book_derived,پیغام پاکستان کب جاری ہوا؟,Medium,2,ULTRA,1
q_10_isl_b5_short_073,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جہاد فی سبیل اللہ,extra_important_book_derived,پیغام پاکستان کا بنیادی مقصد کیا ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_074,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جہاد فی سبیل اللہ,extra_important_book_derived,ظالم حکمران کے سامنے کلمہ حق کہنا بہترین جہاد کیوں ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_075,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | جہاد فی سبیل اللہ,extra_important_book_derived,صحیح تصور جہاد معاشرے میں امن پیدا کرنے میں کیسے مدد دیتا ہے؟,Medium,2,ULTRA,1
