question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
q_10_isl_b6_short_001,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | اہل بیت اطہار | حضرت امام زید بن علی رحمۃ اللہ علیہ,textbook_exercise_or_direct,حضرت امام زید بن علی رحمۃ اللہ علیہ کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_012,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صحابہ کرام رضی اللہ عنہم | حضرت جابر بن عبداللہ رضی اللہ عنہ,textbook_exercise_or_direct,حضرت جابر بن عبداللہ رضی اللہ عنہ کی دو نمایاں صفات بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_013,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صحابہ کرام رضی اللہ عنہم | حضرت جابر بن عبداللہ رضی اللہ عنہ,textbook_exercise_or_direct,حضرت جابر بن عبداللہ رضی اللہ عنہ کی علمی یا دینی خدمات میں سے دو بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_014,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صحابہ کرام رضی اللہ عنہم | حضرت جابر بن عبداللہ رضی اللہ عنہ,textbook_exercise_or_direct,حضرت جابر بن عبداللہ رضی اللہ عنہ کی زندگی سے حاصل ہونے والے دو اسباق لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_015,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صحابہ کرام رضی اللہ عنہم | حضرت جابر بن عبداللہ رضی اللہ عنہ,textbook_exercise_or_direct,حضرت جابر بن عبداللہ رضی اللہ عنہ کے بارے میں کتاب میں بیان کردہ کسی ایک اہم واقعے یا خدمت کا ذکر کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_016,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صحابہ کرام رضی اللہ عنہم | حضرت انس بن مالک رضی اللہ عنہ,textbook_exercise_or_direct,حضرت انس بن مالک رضی اللہ عنہ کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_017,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صحابہ کرام رضی اللہ عنہم | حضرت انس بن مالک رضی اللہ عنہ,textbook_exercise_or_direct,حضرت انس بن مالک رضی اللہ عنہ کی دو نمایاں صفات بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_018,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صحابہ کرام رضی اللہ عنہم | حضرت انس بن مالک رضی اللہ عنہ,textbook_exercise_or_direct,حضرت انس بن مالک رضی اللہ عنہ کی علمی یا دینی خدمات میں سے دو بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_019,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صحابہ کرام رضی اللہ عنہم | حضرت انس بن مالک رضی اللہ عنہ,textbook_exercise_or_direct,حضرت انس بن مالک رضی اللہ عنہ کی زندگی سے حاصل ہونے والے دو اسباق لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_020,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صحابہ کرام رضی اللہ عنہم | حضرت انس بن مالک رضی اللہ عنہ,textbook_exercise_or_direct,حضرت انس بن مالک رضی اللہ عنہ کے بارے میں کتاب میں بیان کردہ کسی ایک اہم واقعے یا خدمت کا ذکر کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_021,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صحابیات رضی اللہ عنہن | حضرت ام ایمن رضی اللہ عنہا,textbook_exercise_or_direct,حضرت ام ایمن رضی اللہ عنہا کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_022,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صحابیات رضی اللہ عنہن | حضرت ام ایمن رضی اللہ عنہا,textbook_exercise_or_direct,حضرت ام ایمن رضی اللہ عنہا کی دو نمایاں صفات بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_023,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صحابیات رضی اللہ عنہن | حضرت ام ایمن رضی اللہ عنہا,textbook_exercise_or_direct,حضرت ام ایمن رضی اللہ عنہا کی علمی یا دینی خدمات میں سے دو بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_024,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صحابیات رضی اللہ عنہن | حضرت ام ایمن رضی اللہ عنہا,textbook_exercise_or_direct,حضرت ام ایمن رضی اللہ عنہا کی زندگی سے حاصل ہونے والے دو اسباق لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_025,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صحابیات رضی اللہ عنہن | حضرت ام ایمن رضی اللہ عنہا,textbook_exercise_or_direct,حضرت ام ایمن رضی اللہ عنہا کے بارے میں کتاب میں بیان کردہ کسی ایک اہم واقعے یا خدمت کا ذکر کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_026,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صحابیات رضی اللہ عنہن | حضرت ام عمارہ رضی اللہ عنہا,textbook_exercise_or_direct,حضرت ام عمارہ رضی اللہ عنہا کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_027,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صحابیات رضی اللہ عنہن | حضرت ام عمارہ رضی اللہ عنہا,textbook_exercise_or_direct,حضرت ام عمارہ رضی اللہ عنہا کی دو نمایاں صفات بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_028,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صحابیات رضی اللہ عنہن | حضرت ام عمارہ رضی اللہ عنہا,textbook_exercise_or_direct,حضرت ام عمارہ رضی اللہ عنہا کی علمی یا دینی خدمات میں سے دو بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_029,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صحابیات رضی اللہ عنہن | حضرت ام عمارہ رضی اللہ عنہا,textbook_exercise_or_direct,حضرت ام عمارہ رضی اللہ عنہا کی زندگی سے حاصل ہونے والے دو اسباق لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_030,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صحابیات رضی اللہ عنہن | حضرت ام عمارہ رضی اللہ عنہا,textbook_exercise_or_direct,حضرت ام عمارہ رضی اللہ عنہا کے بارے میں کتاب میں بیان کردہ کسی ایک اہم واقعے یا خدمت کا ذکر کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_031,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صحابیات رضی اللہ عنہن | حضرت اسماء بنت ابی بکر رضی اللہ عنہا,textbook_exercise_or_direct,حضرت اسماء بنت ابی بکر رضی اللہ عنہا کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_032,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صحابیات رضی اللہ عنہن | حضرت اسماء بنت ابی بکر رضی اللہ عنہا,textbook_exercise_or_direct,حضرت اسماء بنت ابی بکر رضی اللہ عنہا کی دو نمایاں صفات بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_033,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صحابیات رضی اللہ عنہن | حضرت اسماء بنت ابی بکر رضی اللہ عنہا,textbook_exercise_or_direct,حضرت اسماء بنت ابی بکر رضی اللہ عنہا کی علمی یا دینی خدمات میں سے دو بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_034,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صحابیات رضی اللہ عنہن | حضرت اسماء بنت ابی بکر رضی اللہ عنہا,textbook_exercise_or_direct,حضرت اسماء بنت ابی بکر رضی اللہ عنہا کی زندگی سے حاصل ہونے والے دو اسباق لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_035,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صحابیات رضی اللہ عنہن | حضرت اسماء بنت ابی بکر رضی اللہ عنہا,textbook_exercise_or_direct,حضرت اسماء بنت ابی بکر رضی اللہ عنہا کے بارے میں کتاب میں بیان کردہ کسی ایک اہم واقعے یا خدمت کا ذکر کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_036,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صوفیائے کرام رحمۃ اللہ علیہم | حضرت سید عبداللطیف کاظمی رحمۃ اللہ علیہ (امام بری),textbook_exercise_or_direct,حضرت سید عبداللطیف کاظمی رحمۃ اللہ علیہ (امام بری) کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_037,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صوفیائے کرام رحمۃ اللہ علیہم | حضرت سید عبداللطیف کاظمی رحمۃ اللہ علیہ (امام بری),textbook_exercise_or_direct,حضرت سید عبداللطیف کاظمی رحمۃ اللہ علیہ (امام بری) کی دو نمایاں صفات بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_038,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صوفیائے کرام رحمۃ اللہ علیہم | حضرت سید عبداللطیف کاظمی رحمۃ اللہ علیہ (امام بری),textbook_exercise_or_direct,حضرت سید عبداللطیف کاظمی رحمۃ اللہ علیہ (امام بری) کی علمی یا دینی خدمات میں سے دو بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_039,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صوفیائے کرام رحمۃ اللہ علیہم | حضرت سید عبداللطیف کاظمی رحمۃ اللہ علیہ (امام بری),textbook_exercise_or_direct,حضرت سید عبداللطیف کاظمی رحمۃ اللہ علیہ (امام بری) کی زندگی سے حاصل ہونے والے دو اسباق لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_040,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صوفیائے کرام رحمۃ اللہ علیہم | حضرت سید عبداللطیف کاظمی رحمۃ اللہ علیہ (امام بری),textbook_exercise_or_direct,حضرت سید عبداللطیف کاظمی رحمۃ اللہ علیہ (امام بری) کے بارے میں کتاب میں بیان کردہ کسی ایک اہم واقعے یا خدمت کا ذکر کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_041,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صوفیائے کرام رحمۃ اللہ علیہم | حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ,textbook_exercise_or_direct,حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_042,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صوفیائے کرام رحمۃ اللہ علیہم | حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ,textbook_exercise_or_direct,حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ کی دو نمایاں صفات بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_043,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صوفیائے کرام رحمۃ اللہ علیہم | حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ,textbook_exercise_or_direct,حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ کی علمی یا دینی خدمات میں سے دو بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_044,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صوفیائے کرام رحمۃ اللہ علیہم | حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ,textbook_exercise_or_direct,حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ کی زندگی سے حاصل ہونے والے دو اسباق لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_045,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صوفیائے کرام رحمۃ اللہ علیہم | حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ,textbook_exercise_or_direct,حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ کے بارے میں کتاب میں بیان کردہ کسی ایک اہم واقعے یا خدمت کا ذکر کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_046,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صوفیائے کرام رحمۃ اللہ علیہم | حضرت لعل شہباز قلندر رحمۃ اللہ علیہ,textbook_exercise_or_direct,حضرت لعل شہباز قلندر رحمۃ اللہ علیہ کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_047,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صوفیائے کرام رحمۃ اللہ علیہم | حضرت لعل شہباز قلندر رحمۃ اللہ علیہ,textbook_exercise_or_direct,حضرت لعل شہباز قلندر رحمۃ اللہ علیہ کی دو نمایاں صفات بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_048,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صوفیائے کرام رحمۃ اللہ علیہم | حضرت لعل شہباز قلندر رحمۃ اللہ علیہ,textbook_exercise_or_direct,حضرت لعل شہباز قلندر رحمۃ اللہ علیہ کی علمی یا دینی خدمات میں سے دو بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_049,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صوفیائے کرام رحمۃ اللہ علیہم | حضرت لعل شہباز قلندر رحمۃ اللہ علیہ,textbook_exercise_or_direct,حضرت لعل شہباز قلندر رحمۃ اللہ علیہ کی زندگی سے حاصل ہونے والے دو اسباق لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_050,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صوفیائے کرام رحمۃ اللہ علیہم | حضرت لعل شہباز قلندر رحمۃ اللہ علیہ,textbook_exercise_or_direct,حضرت لعل شہباز قلندر رحمۃ اللہ علیہ کے بارے میں کتاب میں بیان کردہ کسی ایک اہم واقعے یا خدمت کا ذکر کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_051,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | علماء و مفکرین | شیخ ابن عربی رحمۃ اللہ علیہ,textbook_exercise_or_direct,شیخ ابن عربی رحمۃ اللہ علیہ کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_052,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | علماء و مفکرین | شیخ ابن عربی رحمۃ اللہ علیہ,textbook_exercise_or_direct,شیخ ابن عربی رحمۃ اللہ علیہ کی دو نمایاں صفات بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_053,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | علماء و مفکرین | شیخ ابن عربی رحمۃ اللہ علیہ,textbook_exercise_or_direct,شیخ ابن عربی رحمۃ اللہ علیہ کی علمی یا دینی خدمات میں سے دو بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_054,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | علماء و مفکرین | شیخ ابن عربی رحمۃ اللہ علیہ,textbook_exercise_or_direct,شیخ ابن عربی رحمۃ اللہ علیہ کی زندگی سے حاصل ہونے والے دو اسباق لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_055,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | علماء و مفکرین | شیخ ابن عربی رحمۃ اللہ علیہ,textbook_exercise_or_direct,شیخ ابن عربی رحمۃ اللہ علیہ کے بارے میں کتاب میں بیان کردہ کسی ایک اہم واقعے یا خدمت کا ذکر کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_056,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | علماء و مفکرین | شاہ عبدالعزیز محدث دہلوی رحمۃ اللہ علیہ,textbook_exercise_or_direct,شاہ عبدالعزیز محدث دہلوی رحمۃ اللہ علیہ کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_057,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | علماء و مفکرین | شاہ عبدالعزیز محدث دہلوی رحمۃ اللہ علیہ,textbook_exercise_or_direct,شاہ عبدالعزیز محدث دہلوی رحمۃ اللہ علیہ کی دو نمایاں صفات بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_058,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | علماء و مفکرین | شاہ عبدالعزیز محدث دہلوی رحمۃ اللہ علیہ,textbook_exercise_or_direct,شاہ عبدالعزیز محدث دہلوی رحمۃ اللہ علیہ کی علمی یا دینی خدمات میں سے دو بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_059,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | علماء و مفکرین | شاہ عبدالعزیز محدث دہلوی رحمۃ اللہ علیہ,textbook_exercise_or_direct,شاہ عبدالعزیز محدث دہلوی رحمۃ اللہ علیہ کی زندگی سے حاصل ہونے والے دو اسباق لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_060,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | علماء و مفکرین | شاہ عبدالعزیز محدث دہلوی رحمۃ اللہ علیہ,textbook_exercise_or_direct,شاہ عبدالعزیز محدث دہلوی رحمۃ اللہ علیہ کے بارے میں کتاب میں بیان کردہ کسی ایک اہم واقعے یا خدمت کا ذکر کریں۔,Medium,2,ULTRA,1
