question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_10_isl_b3_mcq_001,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | غزوہ تبوک,Remember,مدینہ منورہ سے دمشق کے راستے پر واقع تبوک نام ہے:,چشمے کا,سرائے کا,باغ کا,دریا کا,A | چشمے کا,Medium,1,ELITE,1
q_10_isl_b3_mcq_012,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | وصال نبوی ﷺ,Remember,نبی کریم ﷺ نے آخری وصیت فرمائی:,عورتوں، غلاموں اور نماز کے بارے میں,وراثت کی تقسیم کے بارے میں,سودی حرمت کے بارے میں,زکوٰۃ کی ادائیگی کے بارے میں,A | عورتوں، غلاموں اور نماز کے بارے میں,Medium,1,ELITE,1
q_10_isl_b3_mcq_013,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | وصال نبوی ﷺ,Remember,وصال سے ایک دن قبل نبی کریم ﷺ نے:,تمام غلام آزاد کر دیے,وراثت تقسیم کی,عمرہ ادا کیا,نماز کی امامت کی,A | تمام غلام آزاد کر دیے,Medium,1,ELITE,1
q_10_isl_b3_mcq_014,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | وصال نبوی ﷺ,Remember,حضرت فاطمہ رضی اللہ عنہا مسکرائیں:,وصال کے بعد پہلی ملاقات کی بشارت پر,جنت کی بشارت پر,تسبیح فاطمہ ملنے پر,حج کا حکم ملنے پر,A | وصال کے بعد پہلی ملاقات کی بشارت پر,Medium,1,ELITE,1
q_10_isl_b3_mcq_015,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | وصال نبوی ﷺ,Remember,نبی کریم ﷺ کا وصال ہوا:,چاشت کے وقت,سہ پہر کے وقت,عشاء کے وقت,مغرب کے بعد,A | چاشت کے وقت,Medium,1,ELITE,1
q_10_isl_b3_mcq_016,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | صلہ رحمی,Remember,صلہ رحمی سے مراد ہے:,رشتہ داروں سے تعلق مضبوط کرنا,کثرت سے صدقات دینا,فضول خرچی سے بچنا,تکلیف برداشت کرنا,A | رشتہ داروں سے تعلق مضبوط کرنا,Medium,1,ELITE,1
q_10_isl_b3_mcq_017,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | صلہ رحمی,Remember,عمر اور رزق میں اضافے کی برکت کے لیے حکم دیا گیا:,صلہ رحمی کا,کفایت شعاری کا,صبر و تحمل کا,میانہ روی کا,A | صلہ رحمی کا,Medium,1,ELITE,1
q_10_isl_b3_mcq_018,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | صلہ رحمی,Remember,رشتہ داروں سے تعلقات ختم کرنا کہلاتا ہے:,قطع رحمی,کفایت شعاری,صلہ رحمی,میانہ روی,A | قطع رحمی,Medium,1,ELITE,1
q_10_isl_b3_mcq_019,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | صلہ رحمی,Remember,حدیث کی روشنی میں اصل صلہ رحمی کرنے والا وہ ہے جو:,توڑنے والے سے تعلق جوڑے,کبھی کسی سے نہ جھگڑے,ہمیشہ ادب سے بات کرے,کسی سے تعلق نہ رکھے,A | توڑنے والے سے تعلق جوڑے,Medium,1,ELITE,1
q_10_isl_b3_mcq_020,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | صلہ رحمی,Remember,اسلام کی تعلیمات کے مطابق تعلق توڑنے والے شخص سے:,تعلق جوڑنا چاہیے,تعلق ختم کرنا چاہیے,بحث کرنی چاہیے,جھگڑا کرنا چاہیے,A | تعلق جوڑنا چاہیے,Medium,1,ELITE,1
q_10_isl_b3_mcq_021,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | خواتین کے ساتھ حسن سلوک,Remember,جنت کس کے قدموں میں ہے؟,ماں,بیٹی,بہن,بیوی,A | ماں,Medium,1,ELITE,1
q_10_isl_b3_mcq_022,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | خواتین کے ساتھ حسن سلوک,Remember,نبی کریم ﷺ کے قریب قیامت کے دن ہوگا:,دو بیٹیوں کی اچھی تربیت کرنے والا,مسلسل روزے رکھنے والا,صدقہ خیرات کرنے والا,دوسروں کو معاف کرنے والا,A | دو بیٹیوں کی اچھی تربیت کرنے والا,Medium,1,ELITE,1
q_10_isl_b3_mcq_023,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | خواتین کے ساتھ حسن سلوک,Remember,حضرت حلیمہ سعدیہ رضی اللہ عنہا کے احترام میں نبی کریم ﷺ:,اپنی چادر بچھاتے تھے,گھر سے چلے جاتے تھے,خاموش رہتے تھے,ان سے ملاقات نہ کرتے تھے,A | اپنی چادر بچھاتے تھے,Medium,1,ELITE,1
q_10_isl_b3_mcq_024,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | خواتین کے ساتھ حسن سلوک,Remember,نبی کریم ﷺ نے حسن سلوک کی وصیت فرمائی:,عورتوں کے ساتھ,طلبہ کے ساتھ,تاجروں کے ساتھ,عمال کے ساتھ,A | عورتوں کے ساتھ,Medium,1,ELITE,1
q_10_isl_b3_mcq_025,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | خواتین کے ساتھ حسن سلوک,Remember,حضرت فاطمہ رضی اللہ عنہا کے استقبال کے لیے نبی کریم ﷺ:,ان کا احترام کرتے تھے,ان سے رخ موڑتے تھے,خاموش رہتے تھے,ملاقات مؤخر کرتے تھے,A | ان کا احترام کرتے تھے,Medium,1,ELITE,1
q_10_isl_b3_mcq_026,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | انداز تربیت,Remember,نبی کریم ﷺ کی دس سال تک خدمت کی:,حضرت انس بن مالک رضی اللہ عنہ نے,حضرت خالد بن ولید رضی اللہ عنہ نے,حضرت ابو عبیدہ رضی اللہ عنہ نے,حضرت ابو ہریرہ رضی اللہ عنہ نے,A | حضرت انس بن مالک رضی اللہ عنہ نے,Medium,1,ELITE,1
q_10_isl_b3_mcq_027,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | انداز تربیت,Remember,نبی کریم ﷺ نے حضرت معاذ بن جبل رضی اللہ عنہ کو بھیجا:,یمن,مصر,شام,طائف,A | یمن,Medium,1,ELITE,1
q_10_isl_b3_mcq_028,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | انداز تربیت,Remember,قیامت کے بارے میں سوال پر نبی کریم ﷺ نے پوچھا:,تم نے کیا تیاری کی ہے؟,تمہارا نام کیا ہے؟,تم کس شہر سے ہو؟,تم کیوں پوچھ رہے ہو؟,A | تم نے کیا تیاری کی ہے؟,Medium,1,ELITE,1
q_10_isl_b3_mcq_029,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | انداز تربیت,Remember,نبی کریم ﷺ نے شفقت سے ہاتھ پھیرے:,محنت کش کے ہاتھ پر,سخاوت کرنے والے کے ہاتھ پر,معاف کرنے والے کے ہاتھ پر,تاجر کے ہاتھ پر,A | محنت کش کے ہاتھ پر,Medium,1,ELITE,1
q_10_isl_b3_mcq_030,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | انداز تربیت,Remember,نبی کریم ﷺ تربیت کے عمل میں اہتمام فرماتے تھے:,تدریج کا,وعظ و نصیحت کا,تحریر و تقریر کا,ذاتی دل چسپی کا,A | تدریج کا,Medium,1,ELITE,1
q_10_isl_b3_mcq_031,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غزوہ تبوک,Remember,غزوہ تبوک پیش آیا:,9 ہجری میں,7 ہجری میں,8 ہجری میں,10 ہجری میں,A | 9 ہجری میں,Medium,1,ULTRA,1
q_10_isl_b3_mcq_032,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غزوہ تبوک,Remember,غزوہ تبوک میں خطرہ تھا:,رومی لشکر کا,فارسی لشکر کا,حبشی لشکر کا,مصری لشکر کا,A | رومی لشکر کا,Medium,1,ULTRA,1
q_10_isl_b3_mcq_033,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غزوہ تبوک,Remember,تبوک کے سفر میں موسم تھا:,شدید گرم,سخت سرد,برسات,بہار,A | شدید گرم,Medium,1,ULTRA,1
q_10_isl_b3_mcq_034,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غزوہ تبوک,Remember,تبوک کے سفر میں بڑی مشکل تھی:,پانی و زاد راہ کی کمی,مال کی کثرت,سواریاں زیادہ,راستہ مختصر,A | پانی و زاد راہ کی کمی,Medium,1,ULTRA,1
q_10_isl_b3_mcq_035,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غزوہ تبوک,Remember,حضرت ابوبکر رضی اللہ عنہ نے پیش کیا:,سارا مال,آدھا مال,ایک تہائی مال,صرف کھجوریں,A | سارا مال,Medium,1,ULTRA,1
q_10_isl_b3_mcq_036,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غزوہ تبوک,Remember,حضرت عمر رضی اللہ عنہ نے پیش کیا:,آدھا مال,سارا مال,صرف اونٹ,صرف کھجوریں,A | آدھا مال,Medium,1,ULTRA,1
q_10_isl_b3_mcq_037,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غزوہ تبوک,Remember,حضرت عثمان رضی اللہ عنہ نے نمایاں خدمت کی:,مالی تعاون,مخالفت,ہجرت,معاہدہ شکنی,A | مالی تعاون,Medium,1,ULTRA,1
q_10_isl_b3_mcq_038,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غزوہ تبوک,Remember,منافقین نے اختیار کیا:,پیچھے رہنے کا رویہ,بڑھ چڑھ کر شرکت,تمام مال دینے کا رویہ,پہلا دستہ بننے کا رویہ,A | پیچھے رہنے کا رویہ,Medium,1,ULTRA,1
q_10_isl_b3_mcq_039,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غزوہ تبوک,Remember,حضرت کعب بن مالک رضی اللہ عنہ نے اختیار کیا:,سچائی,جھوٹ,بہانہ,خاموشی,A | سچائی,Medium,1,ULTRA,1
q_10_isl_b3_mcq_040,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غزوہ تبوک,Remember,حضرت کعب رضی اللہ عنہ کی توبہ:,قبول ہوئی,رد ہوئی,مؤخر ہوئی,ممنوع ہوئی,A | قبول ہوئی,Medium,1,ULTRA,1
q_10_isl_b3_mcq_041,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غزوہ تبوک,Remember,غزوہ تبوک سے سبق ملتا ہے:,ایثار و قربانی,حسد,بخل,تکبر,A | ایثار و قربانی,Medium,1,ULTRA,1
q_10_isl_b3_mcq_042,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غزوہ تبوک,Remember,مشکل حالات میں صحابہ نے دکھایا:,ثابت قدمی,مایوسی,بے عملی,اختلاف,A | ثابت قدمی,Medium,1,ULTRA,1
q_10_isl_b3_mcq_043,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حجۃ الوداع,Remember,حجۃ الوداع نبی کریم ﷺ کا تھا:,آخری حج,پہلا حج,دوسرا حج,تیسرا حج,A | آخری حج,Medium,1,ULTRA,1
q_10_isl_b3_mcq_044,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حجۃ الوداع,Remember,نبی کریم ﷺ نے عمرے ادا کیے:,چار,دو,تین,پانچ,A | چار,Medium,1,ULTRA,1
q_10_isl_b3_mcq_045,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حجۃ الوداع,Remember,حج قران میں ہوتا ہے:,حج و عمرہ ایک احرام سے,صرف حج,صرف عمرہ,دو الگ احرام لازمی,A | حج و عمرہ ایک احرام سے,Medium,1,ULTRA,1
q_10_isl_b3_mcq_046,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حجۃ الوداع,Remember,خطبہ حجۃ الوداع میں جان و مال کو قرار دیا:,محترم,غیر اہم,صرف عربوں کے لیے محفوظ,صرف امیروں کے لیے,A | محترم,Medium,1,ULTRA,1
q_10_isl_b3_mcq_047,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حجۃ الوداع,Remember,خطبہ حجۃ الوداع میں نسلی برتری کی:,نفی کی گئی,تائید کی گئی,صرف عربوں کو دی گئی,صرف قریش کو دی گئی,A | نفی کی گئی,Medium,1,ULTRA,1
q_10_isl_b3_mcq_048,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حجۃ الوداع,Remember,خطبہ حجۃ الوداع میں عورتوں کے:,حقوق بیان ہوئے,حقوق ختم ہوئے,ذکر نہ ہوا,صرف مالی ذکر ہوا,A | حقوق بیان ہوئے,Medium,1,ULTRA,1
q_10_isl_b3_mcq_049,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حجۃ الوداع,Remember,خطبہ حجۃ الوداع میں سود کو:,ختم کیا گیا,لازم کیا گیا,بڑھایا گیا,محفوظ کیا گیا,A | ختم کیا گیا,Medium,1,ULTRA,1
q_10_isl_b3_mcq_050,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حجۃ الوداع,Remember,ہدایت کے لیے مضبوطی سے پکڑنے کا حکم دیا:,قرآن و سنت,مال و نسب,تجارت و زراعت,قبیلہ و خاندان,A | قرآن و سنت,Medium,1,ULTRA,1
q_10_isl_b3_mcq_051,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حجۃ الوداع,Remember,غدیر خم کا واقعہ متعلق ہے:,حضرت علی رضی اللہ عنہ سے,حضرت عثمان رضی اللہ عنہ سے,حضرت بلال رضی اللہ عنہ سے,حضرت خالد رضی اللہ عنہ سے,A | حضرت علی رضی اللہ عنہ سے,Medium,1,ULTRA,1
q_10_isl_b3_mcq_052,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حجۃ الوداع,Remember,خطبہ حجۃ الوداع کا بنیادی پیغام ہے:,عدل و مساوات,نسلی فخر,مالی تفاخر,قبائلی برتری,A | عدل و مساوات,Medium,1,ULTRA,1
q_10_isl_b3_mcq_053,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حجۃ الوداع,Remember,حجۃ الوداع میں دین کی تکمیل کا:,اعلان ہوا,انکار ہوا,التوا ہوا,ذکر نہ ہوا,A | اعلان ہوا,Medium,1,ULTRA,1
q_10_isl_b3_mcq_054,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حجۃ الوداع,Remember,صحابہ نے گواہی دی کہ نبی کریم ﷺ نے:,پیغام پہنچا دیا,صرف حج سکھایا,صرف زکوٰۃ سکھائی,صرف تجارت سکھائی,A | پیغام پہنچا دیا,Medium,1,ULTRA,1
q_10_isl_b3_mcq_055,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | وصال نبوی ﷺ,Remember,آخری بیماری میں نماز کی امامت کی:,حضرت ابوبکر رضی اللہ عنہ نے,حضرت عمر رضی اللہ عنہ نے,حضرت علی رضی اللہ عنہ نے,حضرت عثمان رضی اللہ عنہ نے,A | حضرت ابوبکر رضی اللہ عنہ نے,Medium,1,ULTRA,1
q_10_isl_b3_mcq_056,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | وصال نبوی ﷺ,Remember,آخری ایام میں خصوصی تاکید تھی:,نماز کی,تجارت کی,شکار کی,سفر کی,A | نماز کی,Medium,1,ULTRA,1
q_10_isl_b3_mcq_057,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | وصال نبوی ﷺ,Remember,کمزور طبقے کے حقوق میں ذکر ہوا:,غلاموں کا,تاجروں کا,بادشاہوں کا,شاعروں کا,A | غلاموں کا,Medium,1,ULTRA,1
q_10_isl_b3_mcq_058,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | وصال نبوی ﷺ,Remember,حضرت فاطمہ رضی اللہ عنہا پہلے:,روئیں,ہنسیں,چلی گئیں,خاموش رہیں,A | روئیں,Medium,1,ULTRA,1
q_10_isl_b3_mcq_059,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | وصال نبوی ﷺ,Remember,حضرت فاطمہ رضی اللہ عنہا بعد میں:,مسکرائیں,روئیں,ناراض ہوئیں,چلی گئیں,A | مسکرائیں,Medium,1,ULTRA,1
q_10_isl_b3_mcq_060,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | وصال نبوی ﷺ,Remember,نبی کریم ﷺ کے آخری الفاظ میں تھا:,الرفيق الأعلى,اللہ اکبر فقط,لبیک اللہم,حسبنا اللہ,A | الرفيق الأعلى,Medium,1,ULTRA,1
q_10_isl_b3_mcq_061,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | وصال نبوی ﷺ,Remember,نماز جنازہ ادا کی گئی:,گروہ در گروہ,صرف ایک امام کے پیچھے,صرف اہل بیت نے,صرف مہاجرین نے,A | گروہ در گروہ,Medium,1,ULTRA,1
q_10_isl_b3_mcq_062,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | وصال نبوی ﷺ,Remember,نبی کریم ﷺ کو دفن کیا گیا:,حضرت عائشہ رضی اللہ عنہا کے حجرے میں,جنت البقیع میں,مسجد قبا میں,احد میں,A | حضرت عائشہ رضی اللہ عنہا کے حجرے میں,Medium,1,ULTRA,1
q_10_isl_b3_mcq_063,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | وصال نبوی ﷺ,Remember,وصال نبوی ﷺ کا سب سے بڑا صدمہ ہوا:,صحابہ کرام کو,رومیوں کو,فارسیوں کو,قریش کے مشرکین کو,A | صحابہ کرام کو,Medium,1,ULTRA,1
q_10_isl_b3_mcq_064,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | وصال نبوی ﷺ,Remember,امت کے لیے مستقل رہنمائی ہے:,قرآن و سنت,صرف مال,صرف لشکر,صرف بازار,A | قرآن و سنت,Medium,1,ULTRA,1
q_10_isl_b3_mcq_065,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | وصال نبوی ﷺ,Remember,آخری وقت تک نبی کریم ﷺ نے فکر کی:,امت کی,صرف تجارت کی,صرف سفر کی,صرف حکومت کی,A | امت کی,Medium,1,ULTRA,1
q_10_isl_b3_mcq_066,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | وصال نبوی ﷺ,Remember,وصال نبوی ﷺ ہمیں سکھاتا ہے:,دین پر ثابت قدمی,دنیا پرستی,بے عملی,غرور,A | دین پر ثابت قدمی,Medium,1,ULTRA,1
