question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
q_10_isl_b3_short_001,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | غزوہ تبوک,textbook_exercise_direct,اہل مدینہ کو رومیوں کی جنگی تیاری کے بارے میں کیا خبر پہنچی؟,Medium,2,ELITE,1
q_10_isl_b3_short_012,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | وصال نبوی ﷺ,textbook_exercise_direct,نبی کریم ﷺ کی بیماری کی تیمارداری کس نے کی؟,Medium,2,ELITE,1
q_10_isl_b3_short_013,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | وصال نبوی ﷺ,textbook_exercise_direct,نبی کریم ﷺ کو قبر مبارک میں کس نے اتارا؟,Medium,2,ELITE,1
q_10_isl_b3_short_014,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | وصال نبوی ﷺ,textbook_exercise_direct,صحابہ کرام رضی اللہ عنہم نے نبی کریم ﷺ کی نماز جنازہ کس طرح ادا کی؟,Medium,2,ELITE,1
q_10_isl_b3_short_015,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | وصال نبوی ﷺ,textbook_exercise_direct,وصال کے وقت نبی کریم ﷺ کی زبان مبارک پر کون سے کلمات تھے؟,Medium,2,ELITE,1
q_10_isl_b3_short_016,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | صلہ رحمی,textbook_exercise_direct,صلہ رحمی کی کوئی سی دو صورتیں لکھیں۔,Medium,2,ELITE,1
q_10_isl_b3_short_017,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | صلہ رحمی,textbook_exercise_direct,صلہ رحمی کے حوالے سے حضرت ابوبکر رضی اللہ عنہ کا واقعہ لکھیں۔,Medium,2,ELITE,1
q_10_isl_b3_short_018,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | صلہ رحمی,textbook_exercise_direct,صلہ رحمی کی فضیلت کے بارے میں ایک حدیث مبارک کا ترجمہ لکھیں۔,Medium,2,ELITE,1
q_10_isl_b3_short_019,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | صلہ رحمی,textbook_exercise_direct,صلہ رحمی کے دو فوائد بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b3_short_020,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | صلہ رحمی,textbook_exercise_direct,قطع رحمی کے دو نقصانات تحریر کریں۔,Medium,2,ELITE,1
q_10_isl_b3_short_021,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | خواتین کے ساتھ حسن سلوک,textbook_exercise_direct,اسلام کی آمد سے پہلے عورتوں کے ساتھ کیا سلوک کیا جاتا تھا؟,Medium,2,ELITE,1
q_10_isl_b3_short_022,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | خواتین کے ساتھ حسن سلوک,textbook_exercise_direct,نبی کریم ﷺ نے خواتین کی تربیت کے لیے کیا اہتمام کیا؟,Medium,2,ELITE,1
q_10_isl_b3_short_023,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | خواتین کے ساتھ حسن سلوک,textbook_exercise_direct,حضرت حلیمہ سعدیہ رضی اللہ عنہا کی آمد پر نبی کریم ﷺ ان کے ساتھ کس طرح حسن سلوک کرتے تھے؟,Medium,2,ELITE,1
q_10_isl_b3_short_024,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | خواتین کے ساتھ حسن سلوک,textbook_exercise_direct,دو بیٹیوں کے ساتھ حسن سلوک کرنے والے کے بارے میں نبی کریم ﷺ نے کیا ارشاد فرمایا؟,Medium,2,ELITE,1
q_10_isl_b3_short_025,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | خواتین کے ساتھ حسن سلوک,textbook_exercise_direct,ہمیں خواتین کے ساتھ کس طرح کا رویہ اختیار کرنا چاہیے؟,Medium,2,ELITE,1
q_10_isl_b3_short_026,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | انداز تربیت,textbook_exercise_direct,انبیاء کرام علیہم السلام کی بعثت کا مقصد کیا تھا؟,Medium,2,ELITE,1
q_10_isl_b3_short_027,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | انداز تربیت,textbook_exercise_direct,نبی کریم ﷺ کے انداز تربیت کے دو نمایاں اوصاف کیا تھے؟,Medium,2,ELITE,1
q_10_isl_b3_short_028,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | انداز تربیت,textbook_exercise_direct,کسی کی غلطی پر نبی کریم ﷺ کا انداز تربیت کیا ہوتا؟,Medium,2,ELITE,1
q_10_isl_b3_short_029,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | انداز تربیت,textbook_exercise_direct,مسلمانوں سے رشتہ رکھنے والے صحابہ کرام رضی اللہ عنہم سے نبی کریم ﷺ نے کیا ارشاد فرمایا؟,Medium,2,ELITE,1
q_10_isl_b3_short_030,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | انداز تربیت,textbook_exercise_direct,نبی کریم ﷺ کے انداز تربیت میں کن اصولوں کو اہمیت حاصل ہے؟,Medium,2,ELITE,1
q_10_isl_b3_short_031,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غزوہ تبوک,extra_important_book_derived,غزوہ تبوک کس ہجری میں پیش آیا؟,Medium,2,ULTRA,1
q_10_isl_b3_short_032,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غزوہ تبوک,extra_important_book_derived,غزوہ تبوک کے بنیادی سبب کو مختصراً بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b3_short_033,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غزوہ تبوک,extra_important_book_derived,غزوہ تبوک میں شدید گرمی اور قلت زاد راہ نے مسلمانوں کو کیسے آزمایا؟,Medium,2,ULTRA,1
q_10_isl_b3_short_034,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غزوہ تبوک,extra_important_book_derived,حضرت ابوبکر صدیق رضی اللہ عنہ کی مالی قربانی کی مثال بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b3_short_035,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غزوہ تبوک,extra_important_book_derived,حضرت عمر رضی اللہ عنہ نے غزوہ تبوک کی تیاری میں کیا تعاون کیا؟,Medium,2,ULTRA,1
q_10_isl_b3_short_036,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غزوہ تبوک,extra_important_book_derived,حضرت عثمان رضی اللہ عنہ کی سخاوت کا مختصر ذکر کریں۔,Medium,2,ULTRA,1
q_10_isl_b3_short_037,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غزوہ تبوک,extra_important_book_derived,غزوہ تبوک میں منافقین کا رویہ کیا تھا؟,Medium,2,ULTRA,1
q_10_isl_b3_short_038,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غزوہ تبوک,extra_important_book_derived,حضرت کعب بن مالک رضی اللہ عنہ کے واقعے سے سچائی کا کیا سبق ملتا ہے؟,Medium,2,ULTRA,1
q_10_isl_b3_short_039,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غزوہ تبوک,extra_important_book_derived,غزوہ تبوک سے ایثار و قربانی کا کیا سبق ملتا ہے؟,Medium,2,ULTRA,1
q_10_isl_b3_short_040,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غزوہ تبوک,extra_important_book_derived,غزوہ تبوک میں صحابہ کرام رضی اللہ عنہم کی ثابت قدمی کی ایک مثال لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b3_short_041,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حجۃ الوداع,extra_important_book_derived,نبی کریم ﷺ نے حجۃ الوداع کب ادا فرمایا؟,Medium,2,ULTRA,1
q_10_isl_b3_short_042,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حجۃ الوداع,extra_important_book_derived,حج قران سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_10_isl_b3_short_043,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حجۃ الوداع,extra_important_book_derived,ہدی سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_10_isl_b3_short_044,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حجۃ الوداع,extra_important_book_derived,خطبہ حجۃ الوداع میں جان و مال کے احترام کے بارے میں کیا تعلیم دی گئی؟,Medium,2,ULTRA,1
q_10_isl_b3_short_045,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حجۃ الوداع,extra_important_book_derived,خطبہ حجۃ الوداع میں سود کے بارے میں کیا اعلان کیا گیا؟,Medium,2,ULTRA,1
q_10_isl_b3_short_046,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حجۃ الوداع,extra_important_book_derived,خطبہ حجۃ الوداع میں خواتین کے حقوق کے بارے میں کیا ہدایت دی گئی؟,Medium,2,ULTRA,1
q_10_isl_b3_short_047,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حجۃ الوداع,extra_important_book_derived,خطبہ حجۃ الوداع میں نسلی برتری کی نفی کیسے کی گئی؟,Medium,2,ULTRA,1
q_10_isl_b3_short_048,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حجۃ الوداع,extra_important_book_derived,حجۃ الوداع میں دین کی تکمیل کا اعلان کیوں اہم ہے؟,Medium,2,ULTRA,1
q_10_isl_b3_short_049,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حجۃ الوداع,extra_important_book_derived,غدیر خم کے واقعے کی مختصر اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b3_short_050,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حجۃ الوداع,extra_important_book_derived,قرآن و سنت کو مضبوطی سے تھامنے کی ہدایت کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b3_short_051,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | وصال نبوی ﷺ,extra_important_book_derived,نبی کریم ﷺ کی آخری بیماری کب شروع ہوئی؟,Medium,2,ULTRA,1
q_10_isl_b3_short_052,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | وصال نبوی ﷺ,extra_important_book_derived,آخری بیماری میں نماز کی امامت کس نے کرائی؟,Medium,2,ULTRA,1
q_10_isl_b3_short_053,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | وصال نبوی ﷺ,extra_important_book_derived,آخری ایام میں نماز کی تاکید کیوں اہم تھی؟,Medium,2,ULTRA,1
q_10_isl_b3_short_054,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | وصال نبوی ﷺ,extra_important_book_derived,نبی کریم ﷺ نے غلاموں اور کمزوروں کے حقوق کے بارے میں کیا نصیحت فرمائی؟,Medium,2,ULTRA,1
q_10_isl_b3_short_055,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | وصال نبوی ﷺ,extra_important_book_derived,حضرت فاطمہ رضی اللہ عنہا پہلے غمگین اور پھر خوش کیوں ہوئیں؟,Medium,2,ULTRA,1
q_10_isl_b3_short_056,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | وصال نبوی ﷺ,extra_important_book_derived,نبی کریم ﷺ کے آخری الفاظ کا مفہوم کیا تھا؟,Medium,2,ULTRA,1
q_10_isl_b3_short_057,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | وصال نبوی ﷺ,extra_important_book_derived,نبی کریم ﷺ کی نماز جنازہ کا طریقہ مختصراً بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b3_short_058,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | وصال نبوی ﷺ,extra_important_book_derived,نبی کریم ﷺ کو کہاں دفن کیا گیا؟,Medium,2,ULTRA,1
q_10_isl_b3_short_059,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | وصال نبوی ﷺ,extra_important_book_derived,وصال نبوی ﷺ کے موقع پر صحابہ کرام رضی اللہ عنہم کی کیفیت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b3_short_060,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | وصال نبوی ﷺ,extra_important_book_derived,امت کے لیے قرآن و سنت کی دائمی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b3_short_061,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صلہ رحمی,extra_important_book_derived,صلہ رحمی سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_10_isl_b3_short_062,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صلہ رحمی,extra_important_book_derived,قطع رحمی سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_10_isl_b3_short_063,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صلہ رحمی,extra_important_book_derived,کامل صلہ رحمی کی ایک علامت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b3_short_064,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صلہ رحمی,extra_important_book_derived,صلہ رحمی عمر اور رزق میں برکت کا سبب کیسے بنتی ہے؟,Medium,2,ULTRA,1
q_10_isl_b3_short_065,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صلہ رحمی,extra_important_book_derived,صلہ رحمی سے خاندانی محبت کیسے بڑھتی ہے؟,Medium,2,ULTRA,1
q_10_isl_b3_short_066,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صلہ رحمی,extra_important_book_derived,قطع رحمی خاندانی نظام کو کیسے نقصان پہنچاتی ہے؟,Medium,2,ULTRA,1
q_10_isl_b3_short_067,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صلہ رحمی,extra_important_book_derived,حضرت ابوبکر رضی اللہ عنہ اور مسطح رضی اللہ عنہ کے واقعے سے کیا سبق ملتا ہے؟,Medium,2,ULTRA,1
q_10_isl_b3_short_068,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صلہ رحمی,extra_important_book_derived,رشتہ توڑنے والے سے تعلق جوڑنے کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b3_short_069,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صلہ رحمی,extra_important_book_derived,صلہ رحمی معاشرتی استحکام میں کیسے مدد دیتی ہے؟,Medium,2,ULTRA,1
q_10_isl_b3_short_070,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صلہ رحمی,extra_important_book_derived,رشتہ داروں کی غلطی پر اسلامی رویہ کیا ہونا چاہیے؟,Medium,2,ULTRA,1
q_10_isl_b3_short_071,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | خواتین کے ساتھ حسن سلوک,extra_important_book_derived,قرآن مجید میں خواتین کے ساتھ حسن معاشرت کی کیا تعلیم دی گئی ہے؟,Medium,2,ULTRA,1
q_10_isl_b3_short_072,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | خواتین کے ساتھ حسن سلوک,extra_important_book_derived,ماں کے احترام کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b3_short_073,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | خواتین کے ساتھ حسن سلوک,extra_important_book_derived,بیٹیوں کی اچھی تربیت کی فضیلت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b3_short_074,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | خواتین کے ساتھ حسن سلوک,extra_important_book_derived,حضرت فاطمہ رضی اللہ عنہا کے ساتھ نبی کریم ﷺ کے حسن سلوک کی ایک مثال لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b3_short_075,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | خواتین کے ساتھ حسن سلوک,extra_important_book_derived,حضرت حلیمہ سعدیہ رضی اللہ عنہا کے احترام کی ایک مثال لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b3_short_076,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | خواتین کے ساتھ حسن سلوک,extra_important_book_derived,گھریلو زندگی میں نرمی اور احترام کیوں ضروری ہے؟,Medium,2,ULTRA,1
q_10_isl_b3_short_077,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | خواتین کے ساتھ حسن سلوک,extra_important_book_derived,اسلام میں خواتین کی تعلیم کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b3_short_078,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | خواتین کے ساتھ حسن سلوک,extra_important_book_derived,خواتین کے حقوق کی ادائیگی معاشرتی استحکام میں کیسے مدد دیتی ہے؟,Medium,2,ULTRA,1
q_10_isl_b3_short_079,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | خواتین کے ساتھ حسن سلوک,extra_important_book_derived,خواتین کی عزت و آبرو کی حفاظت کیوں ضروری ہے؟,Medium,2,ULTRA,1
q_10_isl_b3_short_080,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | خواتین کے ساتھ حسن سلوک,extra_important_book_derived,خواتین کے ساتھ حسن سلوک کی بنیاد کن اخلاقی اصولوں پر ہے؟,Medium,2,ULTRA,1
q_10_isl_b3_short_081,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | انداز تربیت,extra_important_book_derived,نبی کریم ﷺ کے انداز تربیت میں نرمی کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b3_short_082,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | انداز تربیت,extra_important_book_derived,سوال و جواب کا طریقہ تربیت میں کیسے مؤثر ہوتا ہے؟,Medium,2,ULTRA,1
q_10_isl_b3_short_083,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | انداز تربیت,extra_important_book_derived,تربیت میں تدرج سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_10_isl_b3_short_084,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | انداز تربیت,extra_important_book_derived,غلطی کی اصلاح میں تحقیر سے بچنا کیوں ضروری ہے؟,Medium,2,ULTRA,1
