question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_10_eng_ch8_sq_001,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,topic_separator,,,,,1
q_10_eng_ch8_sq_010,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,What is pollution according to the essay?,Medium,2,ELITE,1
q_10_eng_ch8_sq_011,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,How does vehicle smoke make city air dangerous?,Medium,2,ULTRA,1
q_10_eng_ch8_sq_012,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,How do plastic waste and chemicals pollute water?,Medium,2,ELITE,1
q_10_eng_ch8_sq_013,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,How does deforestation damage the environment?,Medium,2,ELITE,1
q_10_eng_ch8_sq_014,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,Why are children and elderly people especially affected by pollution?,Medium,2,ULTRA,1
q_10_eng_ch8_sq_015,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,How has urbanization contributed to pollution?,Medium,2,ELITE,1
q_10_eng_ch8_sq_016,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,Why must industrial development go with environmental protection?,Medium,2,ELITE,1
q_10_eng_ch8_sq_017,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,What damage can poor factory waste management cause?,Medium,2,ULTRA,1
q_10_eng_ch8_sq_018,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,How do increasing vehicles add to atmospheric pollution?,Medium,2,ELITE,1
q_10_eng_ch8_sq_019,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,How do trees help improve air quality?,Medium,2,ELITE,1
q_10_eng_ch8_sq_020,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,How do trees support biodiversity?,Medium,2,ULTRA,1
q_10_eng_ch8_sq_021,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,Why are parks and green belts important in cities?,Medium,2,ELITE,1
q_10_eng_ch8_sq_022,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,Why is planting more trees an effective anti-pollution measure?,Medium,2,ELITE,1
q_10_eng_ch8_sq_023,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,How can public awareness change harmful daily habits?,Medium,2,ULTRA,1
q_10_eng_ch8_sq_024,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,"Why should people recycle, reuse, and reduce waste?",Medium,2,ELITE,1
q_10_eng_ch8_sq_025,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,What role can schools and colleges play in environmental protection?,Medium,2,ELITE,1
q_10_eng_ch8_sq_026,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,Why are environmental laws important?,Medium,2,ULTRA,1
q_10_eng_ch8_sq_027,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,Why should polluters be held accountable?,Medium,2,ELITE,1
q_10_eng_ch8_sq_028,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,How does renewable energy help reduce environmental damage?,Medium,2,ELITE,1
q_10_eng_ch8_sq_029,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,Why is better public transport important for a cleaner Pakistan?,Medium,2,ULTRA,1
q_10_eng_ch8_sq_030,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,How can families contribute to clean surroundings?,Medium,2,ELITE,1
q_10_eng_ch8_sq_031,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,What are community-level activities mentioned in the essay?,Medium,2,ELITE,1
q_10_eng_ch8_sq_032,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,How can local organizations promote green living?,Medium,2,ULTRA,1
q_10_eng_ch8_sq_033,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,How can modern farming methods reduce pollution?,Medium,2,ELITE,1
q_10_eng_ch8_sq_034,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,How can mobile apps help protect the environment?,Medium,2,ELITE,1
q_10_eng_ch8_sq_035,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,What are smart waste-management systems?,Medium,2,ULTRA,1
q_10_eng_ch8_sq_036,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,How can media motivate people to act?,Medium,2,ELITE,1
q_10_eng_ch8_sq_037,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,What examples of environmental progress are mentioned from Islamabad?,Medium,2,ELITE,1
q_10_eng_ch8_sq_038,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,How do rooftop gardens and clean-up drives show that change is possible?,Medium,2,ULTRA,1
q_10_eng_ch8_sq_039,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,What does the writer mean by saying every small action counts?,Medium,2,ELITE,1
q_10_eng_ch8_sq_040,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,Why is a pollution-free Pakistan described as within our reach?,Medium,2,ELITE,1
q_10_eng_ch8_sq_041,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,How does the essay link individual responsibility with collective action?,Medium,2,ULTRA,1
q_10_eng_ch8_sq_042,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,What is the central theme of the essay?,Medium,2,ELITE,1
q_10_eng_ch8_sq_043,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,Why is a sustainable environment necessary for future generations?,Medium,2,ELITE,1
q_10_eng_ch8_sq_044,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,How can technology and media work together for environmental protection?,Medium,2,ULTRA,1
q_10_eng_ch8_sq_045,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,Why does the essay emphasize both greenery and waste reduction?,Medium,2,ELITE,1
