question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_10_eng_ch2_sq_001,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Direct Textbook Exercise,topic_separator,,,,,1
q_10_eng_ch2_sq_023,1,"ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Poem, Theme and Literary Understanding",literary_device,How does repetition strengthen the poem's message of unity?,Hard,2,ULTRA,1
q_10_eng_ch2_sq_024,1,"ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Poem, Theme and Literary Understanding",figurative_language,Identify one simile in the poem and state its effect.,Medium,2,ELITE,1
q_10_eng_ch2_sq_025,1,"ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Poem, Theme and Literary Understanding",literary_device,How does imagery make the poem's patriotic message more effective?,Hard,2,ELITE,1
q_10_eng_ch2_sq_026,1,"ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Poem, Theme and Literary Understanding",tone,Why is the tone of the poem hopeful as well as patriotic?,Hard,2,ULTRA,1
q_10_eng_ch2_sq_027,1,"ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Poem, Theme and Literary Understanding",theme_message,How does the poem encourage young readers to take a positive role in Pakistan's future?,Medium,2,ELITE,1
q_10_eng_ch2_sq_028,1,"ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Poem, Theme and Literary Understanding",theme_message,Explain how natural beauty and national duty are connected in the poem.,Hard,2,ELITE,1
sep_10_eng_ch2_sq_004,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Variety of Texts,topic_separator,,,,,1
q_10_eng_ch2_sq_029,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Variety of Texts,text_type,What is the main difference between fiction and non-fiction?,Medium,2,ULTRA,1
q_10_eng_ch2_sq_030,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Variety of Texts,text_type,How is a poem different from a short story?,Medium,2,ULTRA,1
q_10_eng_ch2_sq_031,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Variety of Texts,text_type,Which genre in the textbook examples is based on facts and real events?,Medium,2,ULTRA,1
q_10_eng_ch2_sq_032,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Variety of Texts,text_type,Why can poetry create strong emotions in readers?,Medium,2,PRO,1
q_10_eng_ch2_sq_033,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Variety of Texts,text_type,How can imagery and figurative language distinguish poetry from ordinary prose?,Medium,2,PRO,1
q_10_eng_ch2_sq_034,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Variety of Texts,text_type,What is the purpose of an informative article?,Medium,2,PRO,1
q_10_eng_ch2_sq_035,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Variety of Texts,text_type,Why is “My Beloved Pakistan” classified as poetry rather than non-fiction prose?,Medium,2,PRO,1
sep_10_eng_ch2_sq_005,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Inferred Meanings,topic_separator,,,,,1
q_10_eng_ch2_sq_036,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Inferred Meanings,context_clue,What does the word “neglected” suggest about the state of the garden before Hania found it?,Medium,2,ULTRA,1
q_10_eng_ch2_sq_037,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Inferred Meanings,context_clue,"In the sentence “Hania was not so easily deterred,” what does “deterred” mean and which clue supports the meaning?",Medium,2,ULTRA,1
q_10_eng_ch2_sq_038,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Inferred Meanings,context_clue,What does the description “hinges groaning in protest” suggest about the condition of the gate?,Medium,2,ULTRA,1
q_10_eng_ch2_sq_039,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Inferred Meanings,context_clue,What does “luminescent” most likely mean in the description of the petals?,Medium,2,ULTRA,1
q_10_eng_ch2_sq_040,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Inferred Meanings,context_clue,What does it mean that Hania was “mesmerized” by the gentle light?,Medium,2,ULTRA,1
sep_10_eng_ch2_sq_006,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | SDG Connections,topic_separator,,,,,1
q_10_eng_ch2_sq_041,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | SDG Connections,slo_connection,"How is the line “We'll work, we'll learn...” connected with Quality Education?",Hard,2,ULTRA,1
q_10_eng_ch2_sq_042,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | SDG Connections,slo_connection,"How does the poem support the ideas of peace, justice, and responsibility?",Hard,2,ULTRA,1
q_10_eng_ch2_sq_043,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | SDG Connections,slo_connection,How can appreciation of Pakistan's natural beauty encourage climate action?,Hard,2,ULTRA,1
q_10_eng_ch2_sq_044,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | SDG Connections,slo_connection,How does the poem promote unity and reduced inequalities?,Hard,2,ULTRA,1
q_10_eng_ch2_sq_045,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | SDG Connections,slo_connection,Why does standing together reflect the idea of partnership for national development?,Hard,2,ULTRA,1
