question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_10_eng_ch6_sq_001,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,topic_separator,,,,,1
q_10_eng_ch6_sq_016,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Core Lesson,cause_effect,What role does peer pressure play in drug addiction?,Medium,2,ELITE,1
q_10_eng_ch6_sq_017,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Core Lesson,cause_effect,How can unemployment lead people toward drugs?,Medium,2,ELITE,1
q_10_eng_ch6_sq_018,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Core Lesson,cause_effect,Why may stressed people turn to drugs?,Medium,2,ULTRA,1
q_10_eng_ch6_sq_019,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Core Lesson,cause_effect,How can family problems contribute to drug abuse?,Medium,2,ULTRA,1
q_10_eng_ch6_sq_020,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Core Lesson,evidence_based,What physical organs can be damaged by drug abuse?,Easy,2,ELITE,1
q_10_eng_ch6_sq_021,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Core Lesson,cause_effect,How can an overdose affect a drug user?,Easy,2,ELITE,1
q_10_eng_ch6_sq_022,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Core Lesson,evidence_based,What behavioural changes can drug abuse cause?,Medium,2,ELITE,1
q_10_eng_ch6_sq_023,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Core Lesson,cause_effect,How can drug addiction affect a student's education?,Medium,2,ELITE,1
q_10_eng_ch6_sq_024,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Core Lesson,cause_effect,How does drug abuse affect families?,Medium,2,ELITE,1
q_10_eng_ch6_sq_025,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Core Lesson,cause_effect,How can drug abuse increase crime in society?,Hard,2,ELITE,1
q_10_eng_ch6_sq_026,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Core Lesson,cause_effect,Why are teenagers and university students especially at risk?,Medium,2,ELITE,1
q_10_eng_ch6_sq_027,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Core Lesson,theme_message,What harm does drug addiction cause to a young person's future?,Medium,2,ELITE,1
q_10_eng_ch6_sq_028,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,How are schools and colleges responding to drug abuse?,Medium,2,ULTRA,1
q_10_eng_ch6_sq_029,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,What is the role of the Anti-Narcotics Force?,Medium,2,ELITE,1
q_10_eng_ch6_sq_030,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Core Lesson,cause_effect,How do awareness campaigns help prevent drug abuse?,Medium,2,ELITE,1
q_10_eng_ch6_sq_031,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Core Lesson,evidence_based,What services do rehabilitation centers provide?,Medium,2,ELITE,1
q_10_eng_ch6_sq_032,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Core Lesson,theme_message,Why can the government alone not defeat drug abuse?,Hard,2,ELITE,1
q_10_eng_ch6_sq_033,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,How can parents help prevent drug addiction?,Medium,2,ELITE,1
q_10_eng_ch6_sq_034,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,What responsibility do teachers have in drug prevention?,Medium,2,ELITE,1
q_10_eng_ch6_sq_035,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,What role can religious leaders and social workers play?,Medium,2,ULTRA,1
q_10_eng_ch6_sq_036,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Core Lesson,theme_message,Why should drug users be treated with care rather than hate?,Hard,2,ELITE,1
q_10_eng_ch6_sq_037,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Core Lesson,cause_effect,Why should more rehabilitation centers be opened?,Medium,2,ELITE,1
q_10_eng_ch6_sq_038,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Core Lesson,cause_effect,"How can sports, arts, and hobbies protect the youth?",Medium,2,ULTRA,1
q_10_eng_ch6_sq_039,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Core Lesson,theme_message,Why is united action necessary to control drug abuse?,Hard,2,ELITE,1
q_10_eng_ch6_sq_040,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Core Lesson,theme_message,What is the central message of the essay?,Medium,2,ELITE,1
sep_10_eng_ch6_sq_003,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Theme and Prevention,topic_separator,,,,,1
q_10_eng_ch6_sq_041,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Theme and Prevention,theme_message,Why is prevention better than punishment in dealing with drug abuse?,Hard,2,ELITE,1
q_10_eng_ch6_sq_042,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Theme and Prevention,comparison,"How are health, education, family life, and crime connected with drug abuse?",Hard,2,ELITE,1
q_10_eng_ch6_sq_043,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Theme and Prevention,theme_message,Why is awareness one of the strongest tools against drug addiction?,Hard,2,ELITE,1
q_10_eng_ch6_sq_044,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Theme and Prevention,cause_effect,How can a safe and loving home environment protect children from drugs?,Hard,2,ELITE,1
q_10_eng_ch6_sq_045,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Theme and Prevention,comparison,How does the essay combine treatment with prevention in solving the drug problem?,Hard,2,ELITE,1
