question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_10_eng_ch4_sq_001,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,topic_separator,,,,,1
q_10_eng_ch4_sq_020,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Core Lesson,cause_effect,How do droughts and unpredictable rainfall affect farmers?,Medium,2,ELITE,1
q_10_eng_ch4_sq_021,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Core Lesson,cause_effect,Why does climate change increase hunger in vulnerable regions?,Hard,2,ULTRA,1
q_10_eng_ch4_sq_022,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Core Lesson,cause_effect,Why does climate change affect poor countries disproportionately?,Medium,2,ELITE,1
q_10_eng_ch4_sq_023,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Core Lesson,theme_message,How is climate action connected with justice and fairness?,Hard,2,ELITE,1
q_10_eng_ch4_sq_024,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,When was the Paris Agreement signed?,Easy,2,ULTRA,1
q_10_eng_ch4_sq_025,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,What temperature target does the Paris Agreement set?,Medium,2,ELITE,1
q_10_eng_ch4_sq_026,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Core Lesson,evidence_based,What steps have nations pledged to take under the Paris Agreement?,Medium,2,ELITE,1
q_10_eng_ch4_sq_027,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,How are businesses contributing to climate action?,Medium,2,ULTRA,1
q_10_eng_ch4_sq_028,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,What are sustainable business practices?,Medium,2,ULTRA,1
q_10_eng_ch4_sq_029,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Core Lesson,theme_message,How can ordinary people make a significant difference?,Medium,2,ELITE,1
q_10_eng_ch4_sq_030,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Core Lesson,evidence_based,Mention two everyday choices that reduce climate impact.,Easy,2,ELITE,1
q_10_eng_ch4_sq_031,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Core Lesson,cause_effect,Why should people reduce single-use plastics?,Medium,2,ULTRA,1
q_10_eng_ch4_sq_032,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Core Lesson,cause_effect,How can education and awareness support climate action?,Medium,2,ELITE,1
q_10_eng_ch4_sq_033,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Core Lesson,theme_message,Why should companies be held accountable for environmental impact?,Hard,2,ELITE,1
q_10_eng_ch4_sq_034,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Core Lesson,cause_effect,Why is the world still far from solving the climate crisis?,Hard,2,ELITE,1
q_10_eng_ch4_sq_035,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Core Lesson,cause_effect,Why do some powerful industries resist climate action?,Medium,2,ULTRA,1
q_10_eng_ch4_sq_036,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Core Lesson,evidence_based,Which technological innovations give hope for the future?,Medium,2,ELITE,1
q_10_eng_ch4_sq_037,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,How are young people contributing to climate action?,Medium,2,ULTRA,1
q_10_eng_ch4_sq_038,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Core Lesson,theme_message,Why is climate action now a global conversation?,Medium,2,ELITE,1
q_10_eng_ch4_sq_039,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Core Lesson,theme_message,What does the writer mean by “Time is running out”?,Hard,2,ELITE,1
q_10_eng_ch4_sq_040,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Core Lesson,theme_message,How will today's choices shape the world of tomorrow?,Hard,2,ELITE,1
sep_10_eng_ch4_sq_004,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Theme and Figurative Language,topic_separator,,,,,1
q_10_eng_ch4_sq_041,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Theme and Figurative Language,theme_message,What is the central theme of the lesson?,Medium,2,ELITE,1
q_10_eng_ch4_sq_042,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Theme and Figurative Language,theme_message,Why is climate action described as urgent and collective?,Hard,2,ELITE,1
q_10_eng_ch4_sq_043,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Theme and Figurative Language,figurative_language,What does the expression “silent killer” suggest about climate change?,Medium,2,ULTRA,1
q_10_eng_ch4_sq_044,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Theme and Figurative Language,figurative_language,What does the expression “ticking time bomb” emphasize?,Medium,2,ELITE,1
q_10_eng_ch4_sq_045,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Theme and Figurative Language,figurative_language,How does “deafening silence” criticize those in power?,Hard,2,ELITE,1
