question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_10_eng_ch3_sq_001,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Direct Textbook Exercise,topic_separator,,,,,1
q_10_eng_ch3_sq_016,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Core Lesson,prose_short,What are Taglish and Singlish?,Easy,2,ULTRA,1
q_10_eng_ch3_sq_017,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Core Lesson,event_cause_effect,How has texting influenced sentence structure and punctuation?,Medium,2,ELITE,1
q_10_eng_ch3_sq_018,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Core Lesson,event_cause_effect,Why do some users omit articles and capitalization online?,Easy,2,ULTRA,1
q_10_eng_ch3_sq_019,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Core Lesson,theme_message,How can relaxed online grammar be viewed positively?,Hard,2,ULTRA,1
q_10_eng_ch3_sq_020,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Core Lesson,prose_short,How do emojis carry emotional meanings?,Medium,2,ELITE,1
q_10_eng_ch3_sq_021,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Core Lesson,comparison,Why are emojis compared to modern-day hieroglyphs?,Medium,2,ELITE,1
q_10_eng_ch3_sq_022,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Core Lesson,prose_short,How has global media influenced spoken English?,Medium,2,ELITE,1
q_10_eng_ch3_sq_023,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Core Lesson,prose_short,What changes are occurring in accents among younger speakers?,Medium,2,ULTRA,1
q_10_eng_ch3_sq_024,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Core Lesson,event_cause_effect,How can global English threaten regional accents and traditional forms?,Hard,2,ELITE,1
q_10_eng_ch3_sq_025,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Core Lesson,event_cause_effect,Why may non-native speakers feel pressure to adopt English online?,Medium,2,ELITE,1
q_10_eng_ch3_sq_026,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Core Lesson,event_cause_effect,How can the dominance of English marginalize local languages?,Hard,2,ELITE,1
q_10_eng_ch3_sq_027,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Core Lesson,prose_short,What positive effect has digital globalisation had on varieties of English?,Medium,2,ULTRA,1
q_10_eng_ch3_sq_028,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Core Lesson,theme_message,How do users from different cultures shape global English?,Hard,2,ELITE,1
q_10_eng_ch3_sq_029,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Core Lesson,evidence_based,What example of Urdu-English blending is mentioned in the lesson?,Easy,2,ULTRA,1
q_10_eng_ch3_sq_030,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Core Lesson,theme_message,Why does the author call the digital linguistic landscape inclusive and diverse?,Hard,2,ELITE,1
q_10_eng_ch3_sq_031,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Core Lesson,prose_short,What concerns exist about linguistic purity?,Medium,2,ULTRA,1
q_10_eng_ch3_sq_032,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Core Lesson,theme_message,What overall impact has digital globalisation had on English?,Medium,2,ELITE,1
q_10_eng_ch3_sq_033,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Core Lesson,event_cause_effect,Why does the author say English will continue to evolve?,Medium,2,ULTRA,1
q_10_eng_ch3_sq_034,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Core Lesson,evidence_based,State two ways digital communication has changed vocabulary.,Medium,2,ELITE,1
q_10_eng_ch3_sq_035,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Core Lesson,evidence_based,State two ways digital communication has changed grammar or usage.,Medium,2,ELITE,1
q_10_eng_ch3_sq_036,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Core Lesson,comparison,How does the lesson balance the benefits and risks of digital English?,Hard,2,ELITE,1
q_10_eng_ch3_sq_037,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Core Lesson,theme_message,What is the central theme of the lesson?,Medium,2,ELITE,1
sep_10_eng_ch3_sq_004,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Vocabulary and Grammar,topic_separator,,,,,1
q_10_eng_ch3_sq_038,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Vocabulary and Grammar,grammar_concept,What is an adjectival phrase?,Easy,2,ULTRA,1
q_10_eng_ch3_sq_039,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Vocabulary and Grammar,grammar_concept,What is a prepositional phrase?,Easy,2,ULTRA,1
q_10_eng_ch3_sq_040,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Vocabulary and Grammar,grammar_concept,What is an adverbial phrase?,Easy,2,ULTRA,1
q_10_eng_ch3_sq_041,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Vocabulary and Grammar,grammar_concept,How can a prepositional phrase function as an adjective or adverb?,Hard,2,ULTRA,1
q_10_eng_ch3_sq_042,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Vocabulary and Grammar,comparison,What is the difference between denotative and connotative meaning?,Medium,2,ELITE,1
q_10_eng_ch3_sq_043,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Vocabulary and Grammar,grammar_concept,Why can two words with similar denotation have different connotations?,Hard,2,ELITE,1
q_10_eng_ch3_sq_044,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Vocabulary and Grammar,comparison,How do the words “slim” and “skinny” differ in connotation?,Medium,2,ELITE,1
q_10_eng_ch3_sq_045,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Vocabulary and Grammar,comparison,How do “house” and “home” differ in meaning and feeling?,Medium,2,ELITE,1
q_10_eng_ch3_sq_046,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Vocabulary and Grammar,context_clue,What positive idea does the word “frugal” usually suggest?,Medium,2,ULTRA,1
q_10_eng_ch3_sq_047,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Vocabulary and Grammar,context_clue,What negative idea does the word “stingy” suggest?,Medium,2,ULTRA,1
sep_10_eng_ch3_sq_005,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Writing Skills,topic_separator,,,,,1
q_10_eng_ch3_sq_048,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Writing Skills,writing_concept,What is the purpose of a topic sentence?,Medium,2,ULTRA,1
q_10_eng_ch3_sq_049,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Writing Skills,writing_concept,How do supporting sentences develop a paragraph?,Medium,2,ULTRA,1
q_10_eng_ch3_sq_050,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Writing Skills,writing_concept,What is a hook in paragraph writing?,Medium,2,ULTRA,1
q_10_eng_ch3_sq_051,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Writing Skills,writing_concept,What is the purpose of a lead-in sentence?,Medium,2,ULTRA,1
q_10_eng_ch3_sq_052,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Writing Skills,writing_concept,Why should every sentence in a paragraph support the main idea?,Medium,2,ULTRA,1
