question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_10_eng_ch9_sq_001,1,ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,topic_separator,,,,,1
q_10_eng_ch9_sq_018,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,What does the word “sigh” suggest about the speaker's future feelings?,Medium,2,ULTRA,1
q_10_eng_ch9_sq_019,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,How does the poem connect choices with consequences?,Medium,2,ELITE,1
q_10_eng_ch9_sq_020,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,Why is the less-traveled road important to the speaker?,Medium,2,ELITE,1
q_10_eng_ch9_sq_021,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,How does the chosen road shape the speaker's future?,Medium,2,ULTRA,1
q_10_eng_ch9_sq_022,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,What is the central theme of the poem?,Medium,2,ELITE,1
q_10_eng_ch9_sq_023,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,How does the poem explore regret and reflection?,Medium,2,ELITE,1
q_10_eng_ch9_sq_024,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,Why is the speaker's tone thoughtful rather than certain?,Medium,2,ULTRA,1
q_10_eng_ch9_sq_025,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,How does the poem show that choices can define us?,Medium,2,ELITE,1
q_10_eng_ch9_sq_026,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,What does the fork in the road symbolize?,Medium,2,ELITE,1
q_10_eng_ch9_sq_027,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,How does imagery of the forest support the poem's theme?,Medium,2,ULTRA,1
q_10_eng_ch9_sq_028,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,Why is the title “The Road Not Taken” significant?,Medium,2,ELITE,1
q_10_eng_ch9_sq_029,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,How does the poet create uncertainty in the poem?,Medium,2,ELITE,1
q_10_eng_ch9_sq_030,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,What can be inferred from the speaker's long hesitation?,Medium,2,ULTRA,1
q_10_eng_ch9_sq_031,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,What can you infer about the speaker's feelings at the end?,Medium,2,ELITE,1
q_10_eng_ch9_sq_032,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,How does “all the difference” affect the poem's message?,Medium,2,ELITE,1
q_10_eng_ch9_sq_033,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,Why are the two roads described as nearly equal?,Medium,2,ULTRA,1
q_10_eng_ch9_sq_034,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,What does the poem suggest about knowing the results of our choices?,Medium,2,ELITE,1
q_10_eng_ch9_sq_035,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,How does the poem represent decision-making in real life?,Medium,2,ELITE,1
q_10_eng_ch9_sq_036,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,Why can the poem be read as both hopeful and regretful?,Medium,2,ULTRA,1
q_10_eng_ch9_sq_037,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,What role does memory play in the final stanza?,Medium,2,ELITE,1
q_10_eng_ch9_sq_038,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,How does the future tense affect the ending?,Medium,2,ELITE,1
q_10_eng_ch9_sq_039,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,What is the effect of repeating “ages and ages”?,Medium,2,ULTRA,1
q_10_eng_ch9_sq_040,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,How does the poem balance individual choice and uncertainty?,Medium,2,ELITE,1
q_10_eng_ch9_sq_041,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,Why is the road a powerful metaphor for life?,Medium,2,ELITE,1
q_10_eng_ch9_sq_042,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,What lesson can students learn from the poem about decisions?,Medium,2,ULTRA,1
q_10_eng_ch9_sq_043,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,How does the natural setting make the choice seem more meaningful?,Medium,2,ELITE,1
q_10_eng_ch9_sq_044,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,Why does the speaker not simply choose the first road?,Medium,2,ELITE,1
q_10_eng_ch9_sq_045,1,"ENGLISH_A | Unit 9 - The Road Not Taken by Robert Frost | BISE Board Pattern | Q2 Short Questions | Poem, Theme and Inference",poem_short,What overall message does Robert Frost convey about life choices?,Medium,2,ULTRA,1
