question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_10_eng_ch10_sq_001,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,topic_separator,,,,,1
q_10_eng_ch10_sq_025,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,Why had the bearded man planned to kill the king?,Medium,2,ELITE,1
q_10_eng_ch10_sq_026,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,How had the king unknowingly saved his enemy's life?,Medium,2,ULTRA,1
q_10_eng_ch10_sq_027,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,How did the king make peace with his enemy?,Medium,2,ELITE,1
q_10_eng_ch10_sq_028,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,What did the king promise to do for the wounded man?,Medium,2,ELITE,1
q_10_eng_ch10_sq_029,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,Why did the king return to the hermit after forgiving his enemy?,Medium,2,ULTRA,1
q_10_eng_ch10_sq_030,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,How did the hermit explain that the king had already received his answers?,Medium,2,ELITE,1
q_10_eng_ch10_sq_031,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,Why was the time spent digging the most important time?,Medium,2,ELITE,1
q_10_eng_ch10_sq_032,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,Why was the hermit the most important person while the king was digging?,Medium,2,ULTRA,1
q_10_eng_ch10_sq_033,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,Why was helping the hermit the most important business at that time?,Medium,2,ELITE,1
q_10_eng_ch10_sq_034,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,Why did the wounded man become the most important person later?,Medium,2,ELITE,1
q_10_eng_ch10_sq_035,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,Why was attending to the wounded man the most important action?,Medium,2,ULTRA,1
q_10_eng_ch10_sq_036,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,What is the most important time according to the hermit?,Medium,2,ELITE,1
q_10_eng_ch10_sq_037,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,Who is the most necessary person according to the hermit?,Medium,2,ELITE,1
q_10_eng_ch10_sq_038,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,What is the most important thing to do according to the hermit?,Medium,2,ULTRA,1
q_10_eng_ch10_sq_039,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,Why does the hermit say that “Now” is the only important time?,Medium,2,ELITE,1
q_10_eng_ch10_sq_040,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,How does the story teach compassion and practical wisdom?,Medium,2,ELITE,1
q_10_eng_ch10_sq_041,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,How does the king's behaviour show kindness and patience?,Medium,2,ULTRA,1
q_10_eng_ch10_sq_042,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,How does the wounded enemy change after receiving help?,Medium,2,ELITE,1
q_10_eng_ch10_sq_043,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,What is the central theme of “The Three Questions”?,Medium,2,ELITE,1
q_10_eng_ch10_sq_044,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,Why is doing good more important than complicated theories in the story?,Medium,2,ULTRA,1
q_10_eng_ch10_sq_045,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,What lesson does Tolstoy give about living in the present?,Medium,2,ELITE,1
