question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_10_eng_ch5_sq_001,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,topic_separator,,,,,1
q_10_eng_ch5_sq_013,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Core Story,event_cause_effect,Why was the Swallow surprised by the falling drops of water?,Medium,2,ULTRA,1
q_10_eng_ch5_sq_014,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Core Story,prose_short,What had the Happy Prince's life been like in the Palace of Sans-Souci?,Medium,2,ELITE,1
q_10_eng_ch5_sq_015,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Core Story,prose_short,Why did the Prince call himself happy while he was alive?,Medium,2,ULTRA,1
q_10_eng_ch5_sq_016,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Core Story,evidence_based,What did the Prince see after being placed above the city?,Medium,2,ELITE,1
q_10_eng_ch5_sq_017,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Core Story,prose_short,Who was the first poor person the Prince wanted to help?,Easy,2,ELITE,1
q_10_eng_ch5_sq_018,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Core Story,event_cause_effect,Why did the seamstress need help?,Easy,2,ELITE,1
q_10_eng_ch5_sq_019,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Core Story,prose_short,How did the Swallow help the sick boy?,Medium,2,ULTRA,1
q_10_eng_ch5_sq_020,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Core Story,theme_message,Why did the Swallow feel warm after delivering the ruby?,Medium,2,ELITE,1
q_10_eng_ch5_sq_021,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Core Story,event_cause_effect,Why did the Prince ask the Swallow to stay another night?,Medium,2,ULTRA,1
q_10_eng_ch5_sq_022,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Core Story,prose_short,Who was the young man in the garret and what problem did he face?,Medium,2,ELITE,1
q_10_eng_ch5_sq_023,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Core Story,event_cause_effect,Why did the Swallow hesitate to take out the Prince's sapphire?,Medium,2,ELITE,1
q_10_eng_ch5_sq_024,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Core Story,prose_short,How did the sapphire help the young playwright?,Medium,2,ULTRA,1
q_10_eng_ch5_sq_025,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Core Story,prose_short,What problem did the little match-girl face?,Easy,2,ELITE,1
q_10_eng_ch5_sq_026,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Core Story,theme_message,Why did the Swallow decide to stay with the Prince forever?,Hard,2,ELITE,1
q_10_eng_ch5_sq_027,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Core Story,evidence_based,What did the Swallow see while flying over the city?,Medium,2,ELITE,1
q_10_eng_ch5_sq_028,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Core Story,prose_short,How did the Prince use his gold to help the poor?,Medium,2,ELITE,1
q_10_eng_ch5_sq_029,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Core Story,cause_effect,How did the poor children's condition change after receiving the gold?,Medium,2,ULTRA,1
q_10_eng_ch5_sq_030,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Core Story,cause_effect,Why did the Swallow finally die?,Easy,2,ULTRA,1
q_10_eng_ch5_sq_031,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Core Story,prose_short,What happened to the Prince's leaden heart when the Swallow died?,Easy,2,ELITE,1
q_10_eng_ch5_sq_032,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Core Story,theme_message,Why did the Mayor and Councillors consider the statue useless?,Medium,2,ELITE,1
q_10_eng_ch5_sq_033,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Core Story,symbolism,Why did the leaden heart not melt in the furnace?,Hard,2,ELITE,1
q_10_eng_ch5_sq_034,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Core Story,theme_message,What does the behaviour of the Mayor and Councillors reveal about society?,Hard,2,ELITE,1
q_10_eng_ch5_sq_035,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Core Story,theme_message,How does the ending support the central message of the story?,Hard,2,ELITE,1
sep_10_eng_ch5_sq_004,1,"ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Theme, Character and Literary Value",topic_separator,,,,,1
q_10_eng_ch5_sq_036,1,"ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Theme, Character and Literary Value",theme_message,What is the central theme of “The Happy Prince”?,Medium,2,ELITE,1
q_10_eng_ch5_sq_037,1,"ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Theme, Character and Literary Value",character_trait,How does the Happy Prince show selflessness?,Medium,2,ELITE,1
q_10_eng_ch5_sq_038,1,"ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Theme, Character and Literary Value",character_development,How does the Swallow develop from a traveller into a loyal companion?,Hard,2,ELITE,1
q_10_eng_ch5_sq_039,1,"ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Theme, Character and Literary Value",symbolism,Why is the Happy Prince a symbol of compassion?,Hard,2,ELITE,1
q_10_eng_ch5_sq_040,1,"ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Theme, Character and Literary Value",comparison,How does Oscar Wilde contrast outward beauty with inner goodness?,Hard,2,ELITE,1
q_10_eng_ch5_sq_041,1,"ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Theme, Character and Literary Value",theme_message,What does the story teach about true happiness?,Medium,2,ELITE,1
q_10_eng_ch5_sq_042,1,"ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Theme, Character and Literary Value",theme_message,How does the story criticize social inequality?,Hard,2,ELITE,1
q_10_eng_ch5_sq_043,1,"ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Theme, Character and Literary Value",theme_message,What role does sacrifice play in the friendship between the Prince and the Swallow?,Hard,2,ELITE,1
q_10_eng_ch5_sq_044,1,"ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Theme, Character and Literary Value",literary_device,How does sensory language help create the setting and mood of the story?,Hard,2,ULTRA,1
q_10_eng_ch5_sq_045,1,"ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q2 Short Questions | Theme, Character and Literary Value",theme_message,Why are kindness and generosity presented as greater treasures than gold and jewels?,Hard,2,ELITE,1
