question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_10_eng_ch1_030,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(c) Correct Meaning | Contextual Vocabulary",Understand,"In context, “righteousness” means:",wrongdoing,fear,weakness,moral goodness,D | moral goodness,Medium,1,ULTRA,1
sep_10_eng_ch1_mcq_003,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(b) Correct Spellings | Unit Vocabulary",Topic,,,,,,,,,,1
q_10_eng_ch1_031,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(b) Correct Spellings | Unit Vocabulary",Remember,Choose the correctly spelled word meaning “responsible for one's actions and expected to explain them”:,accountible,acountible,accountable,acountable,C | accountable,Easy,1,ELITE,1
q_10_eng_ch1_032,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(b) Correct Spellings | Unit Vocabulary",Remember,"Choose the correctly spelled word meaning “the act of being freed from restrictions, especially slavery”:",emancipetion,emancipation,emancipasion,emansipation,B | emancipation,Easy,1,ELITE,1
q_10_eng_ch1_033,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(b) Correct Spellings | Unit Vocabulary",Remember,Choose the correctly spelled word meaning “given special importance or attention”:,emphasized,emphazised,emphasisedd,emphesized,A | emphasized,Easy,1,ULTRA,1
q_10_eng_ch1_034,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(b) Correct Spellings | Unit Vocabulary",Remember,"Choose the correctly spelled word meaning “related to money, income, or management of funds”:",finencial,finantial,financiel,financial,D | financial,Easy,1,PRO,1
q_10_eng_ch1_035,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(b) Correct Spellings | Unit Vocabulary",Remember,Choose the correctly spelled word meaning “to receive property or money from someone after death”:,inharit,inherrit,inherit,inheret,C | inherit,Easy,1,ELITE,1
q_10_eng_ch1_036,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(b) Correct Spellings | Unit Vocabulary",Remember,Choose the correctly spelled word meaning “unable to be separated; closely connected”:,insaparable,inseparable,inseperable,inseparible,B | inseparable,Easy,1,ULTRA,1
q_10_eng_ch1_037,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(b) Correct Spellings | Unit Vocabulary",Remember,"Choose the correctly spelled word meaning “treated cruelly or unfairly, especially by those in power”:",oppressed,opresed,opressed,oppressd,A | oppressed,Easy,1,ELITE,1
q_10_eng_ch1_038,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(b) Correct Spellings | Unit Vocabulary",Remember,Choose the correctly spelled word meaning “relating to a system in which men hold primary power”:,patriarchial,patriachal,patriarchel,patriarchal,D | patriarchal,Easy,1,ELITE,1
q_10_eng_ch1_039,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(b) Correct Spellings | Unit Vocabulary",Remember,"Choose the correctly spelled word meaning “important, well-known, or easily noticeable”:",promenent,prominnent,prominent,prominant,C | prominent,Easy,1,ULTRA,1
q_10_eng_ch1_040,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(b) Correct Spellings | Unit Vocabulary",Remember,Choose the correctly spelled word meaning “closely connected or appropriate to what is being discussed”:,relevantt,relevant,relevent,relavent,B | relevant,Easy,1,ULTRA,1
q_10_eng_ch1_041,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(b) Correct Spellings | Unit Vocabulary",Remember,Choose the correctly spelled word meaning “found or occurring over a large area or among many people”:,widespread,wide-spred,widespred,widespreed,A | widespread,Easy,1,ELITE,1
q_10_eng_ch1_042,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(b) Correct Spellings | Unit Vocabulary",Remember,Choose the correctly spelled word meaning “unfair use of someone or something for benefit”:,exploitasion,explotation,exploitaion,exploitation,D | exploitation,Easy,1,ULTRA,1
q_10_eng_ch1_043,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(b) Correct Spellings | Unit Vocabulary",Remember,Choose the correctly spelled word meaning “the responsibility of legally caring for another person”:,guardienship,guardian-ship,guardianship,gardianship,C | guardianship,Easy,1,ULTRA,1
q_10_eng_ch1_044,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(b) Correct Spellings | Unit Vocabulary",Remember,Choose the correctly spelled word meaning “a relationship of unity and fellowship”:,brother-hood,brotherhood,brotherhod,brotharhood,B | brotherhood,Easy,1,PRO,1
q_10_eng_ch1_045,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(b) Correct Spellings | Unit Vocabulary",Remember,Choose the correctly spelled word meaning “morally right conduct”:,righteousness,rightousness,righteousnes,righteusness,A | righteousness,Easy,1,ULTRA,1
sep_10_eng_ch1_mcq_004,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Figures of Speech",Topic,,,,,,,,,,1
q_10_eng_ch1_046,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Figures of Speech",Understand,A comparison using “like” or “as” is called:,simile,metaphor,hyperbole,idiom,A | simile,Medium,1,ELITE,1
q_10_eng_ch1_047,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Figures of Speech",Understand,A direct comparison without “like” or “as” is called:,simile,alliteration,onomatopoeia,metaphor,D | metaphor,Medium,1,ELITE,1
q_10_eng_ch1_048,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Figures of Speech",Understand,Giving human qualities to non-human things is:,simile,idiom,personification,hyperbole,C | personification,Medium,1,ELITE,1
q_10_eng_ch1_049,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Figures of Speech",Understand,An exaggeration used for emphasis is:,alliteration,hyperbole,metaphor,oxymoron,B | hyperbole,Medium,1,ULTRA,1
q_10_eng_ch1_050,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Figures of Speech",Understand,A word that imitates a sound is:,onomatopoeia,simile,idiom,personification,A | onomatopoeia,Medium,1,ULTRA,1
q_10_eng_ch1_051,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Figures of Speech",Understand,Repetition of the same beginning consonant sound is:,metaphor,hyperbole,oxymoron,alliteration,D | alliteration,Medium,1,ULTRA,1
q_10_eng_ch1_052,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Figures of Speech",Understand,Two contradictory terms used together form an:,simile,alliteration,oxymoron,idiom,C | oxymoron,Medium,1,ULTRA,1
q_10_eng_ch1_053,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Figures of Speech",Understand,“The old house groaned in protest” is an example of:,hyperbole,personification,simile,metaphor,B | personification,Medium,1,ELITE,1
q_10_eng_ch1_054,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Figures of Speech",Understand,“Howling like a hungry wolf” is an example of:,simile,metaphor,onomatopoeia,idiom,A | simile,Medium,1,ELITE,1
q_10_eng_ch1_055,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Figures of Speech",Understand,“His courage had turned to stone” is an example of:,simile,alliteration,oxymoron,metaphor,D | metaphor,Medium,1,ELITE,1
q_10_eng_ch1_056,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Figures of Speech",Understand,“Crash!” in the storm paragraph is an example of:,personification,simile,onomatopoeia,hyperbole,C | onomatopoeia,Medium,1,ELITE,1
q_10_eng_ch1_057,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Figures of Speech",Understand,“This storm is going to bury us alive!” is mainly an example of:,idiom,hyperbole,alliteration,metaphor,B | hyperbole,Medium,1,ELITE,1
sep_10_eng_ch1_mcq_005,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Idioms and Proverbs",Topic,,,,,,,,,,1
q_10_eng_ch1_058,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Idioms and Proverbs",Understand,The idiom “break the ice” means:,start conversation,end friendship,become angry,stay silent,A | start conversation,Medium,1,ULTRA,1
q_10_eng_ch1_059,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Idioms and Proverbs",Understand,“The ball is in your court” means:,your turn,game ended,play unfairly,leave now,A | your turn,Medium,1,ELITE,1
q_10_eng_ch1_060,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Idioms and Proverbs",Understand,“Bite off more than you can chew” means:,take on too much,eat quickly,refuse work,solve easily,A | take on too much,Medium,1,ELITE,1
q_10_eng_ch1_061,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Idioms and Proverbs",Understand,“Actions speak louder than words” teaches that:,deeds matter more,speak loudly,promises enough,hide actions,A | deeds matter more,Medium,1,ELITE,1
q_10_eng_ch1_062,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Idioms and Proverbs",Understand,“Don't judge a book by its cover” advises us to:,avoid judging appearance,buy pretty books,ignore behaviour,judge quickly,A | avoid judging appearance,Medium,1,ULTRA,1
q_10_eng_ch1_063,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Idioms and Proverbs",Understand,"“Nothing ventured, nothing gained” teaches that:",take reasonable risks,avoid all risks,depend on luck,fear failure,A | take reasonable risks,Medium,1,ELITE,1
q_10_eng_ch1_064,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Idioms and Proverbs",Understand,"In the talent-show paragraph, “kept her cool” means:",stayed calm,felt cold,left stage,forgot lines,A | stayed calm,Medium,1,ELITE,1
q_10_eng_ch1_065,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Idioms and Proverbs",Understand,An idiom is best described as:,non-literal phrase,punctuation rule,direct comparison,scientific fact,A | non-literal phrase,Medium,1,ULTRA,1
sep_10_eng_ch1_mcq_006,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Context Clues",Topic,,,,,,,,,,1
q_10_eng_ch1_066,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Context Clues",Apply,"In “The cat was so famished that it devoured an entire bowl of food in seconds,” “famished” means:",very frightened,very noisy,very hungry,very tired,C | very hungry,Medium,1,ELITE,1
q_10_eng_ch1_067,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Context Clues",Apply,"In “Even though the directions were ambiguous, we tried to follow them carefully,” “ambiguous” means:",pleasant and friendly,unclear or confusing,short and simple,completely correct,B | unclear or confusing,Medium,1,ULTRA,1
q_10_eng_ch1_068,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Context Clues",Apply,"In “Lubna tried to console her friend after the bad news,” “console” means:",comfort,criticize,ignore,question,A | comfort,Medium,1,ULTRA,1
q_10_eng_ch1_069,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Context Clues",Apply,"In the storm paragraph, “pummel the shore” most nearly means:",move gently away,shine brightly on,dry completely,strike repeatedly with force,D | strike repeatedly with force,Medium,1,ELITE,1
q_10_eng_ch1_070,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Context Clues",Apply,Which strategy uses surrounding words to infer an unfamiliar word's meaning?,proofreading,hyphenation,context clues,alliteration,C | context clues,Medium,1,ELITE,1
sep_10_eng_ch1_mcq_007,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Editing and Proofreading",Topic,,,,,,,,,,1
q_10_eng_ch1_071,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Editing and Proofreading",Apply,"Choose the correct form: “Yesterday, ______ went to the park.”",my friend and me,my friend and I,me and my friend,I and me friend,B | my friend and I,Medium,1,ELITE,1
q_10_eng_ch1_072,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Editing and Proofreading",Apply,Choose the correct verb: “We ______ a group of kids playing soccer.”,saw,seen,see,seeing,A | saw,Medium,1,ELITE,1
q_10_eng_ch1_073,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Editing and Proofreading",Apply,Choose the correct verb: “We ______ to join them.”,decide,deciding,decides,decided,D | decided,Medium,1,ULTRA,1
q_10_eng_ch1_074,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Editing and Proofreading",Apply,"Choose the correct verb: “After that, we ______ to the ice-cream shop.”",walking,walks,walked,walk,C | walked,Medium,1,ULTRA,1
q_10_eng_ch1_075,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Editing and Proofreading",Apply,Choose the correct form: “The shop ______ closed.”,be,was,were,are,B | was,Medium,1,ELITE,1
q_10_eng_ch1_076,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Editing and Proofreading",Apply,Choose the correct form: “We ______ disappointed.”,were,was,is,be,A | were,Medium,1,ELITE,1
q_10_eng_ch1_077,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Editing and Proofreading",Apply,Proofreading mainly focuses on correcting:,only ideas,only paragraph length,only handwriting,"spelling, punctuation, capitalization, and grammar","D | spelling, punctuation, capitalization, and grammar",Medium,1,ULTRA,1
q_10_eng_ch1_078,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Editing and Proofreading",Apply,Editing mainly improves a piece of writing's:,ink colour only,number of pages only,"content, structure, and clarity",paper size only,"C | content, structure, and clarity",Medium,1,ULTRA,1
q_10_eng_ch1_079,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Editing and Proofreading",Apply,Which is normally the final step of writing?,free writing,proofreading,brainstorming,mind-mapping,B | proofreading,Medium,1,ELITE,1
q_10_eng_ch1_080,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Editing and Proofreading",Apply,Reorganizing ideas is part of:,editing,pronunciation,hyphenation,alliteration,A | editing,Medium,1,ULTRA,1
sep_10_eng_ch1_mcq_008,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Hyphens and -ough Words",Topic,,,,,,,,,,1
q_10_eng_ch1_081,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Hyphens and -ough Words",Apply,Choose the correctly hyphenated form of “part time job”:,part-time job,part time-job,parttime job,part-timejob,A | part-time job,Medium,1,ULTRA,1
q_10_eng_ch1_082,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Hyphens and -ough Words",Apply,Choose the correctly hyphenated form of “check in desk”:,check in-desk,checkin desk,check-indesk,check-in desk,D | check-in desk,Medium,1,ULTRA,1
q_10_eng_ch1_083,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Hyphens and -ough Words",Apply,Choose the correctly hyphenated form of “well deserved speech”:,welldeserved speech,well-deservedspeech,well-deserved speech,well deserved-speech,C | well-deserved speech,Medium,1,ULTRA,1
q_10_eng_ch1_084,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Hyphens and -ough Words",Apply,Choose the correctly hyphenated form of “mother in law”:,motherinlaw,mother-in-law,mother in-law,mother-in law,B | mother-in-law,Medium,1,ELITE,1
q_10_eng_ch1_085,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Hyphens and -ough Words",Apply,The word “though” most nearly means:,even if; however,a sudden noise from the throat,not smooth,an idea,A | even if; however,Medium,1,ULTRA,1
